"","Alamance","Alexander","Alleghany","Anson","Ashe","Avery","Beaufort","Bertie","Bladen","Brunswick","Buncombe","Burke","Cabarrus","Caldwell","Camden","Carteret","Caswell","Catawba","Chatham","Cherokee","Chowan","Clay","Cleveland","Columbus","Craven","Cumberland","Currituck","Dare","Davidson","Davie","Duplin","Durham","Edgecombe","Forsyth","Franklin","Gaston","Gates","Graham","Granville","Greene","Guilford","Halifax","Harnett","Haywood","Henderson","Hertford","Hoke","Hyde","Iredell","Jackson","Johnston","Jones","Lee","Lenoir","Lincoln","Macon","Madison","Martin","McDowell","Mecklenburg","Mitchell","Montgomery","Moore","Nash","New Hanover","Northampton","Onslow","Orange","Pamlico","Pasquotank","Pender","Perquimans","Person","Pitt","Polk","Randolph","Richmond","Robeson","Rockingham","Rowan","Rutherford","Sampson","Scotland","Stanly","Stokes","Surry","Swain","Transylvania","Tyrrell","Union","Vance","Wake","Warren","Washington","Watauga","Wayne","Wilkes","Wilson","Yadkin","Yancey"
"Dare",232.783,403.05,293.333,299.383,354.983,383.083,206.5,89.317,257.35,278.033,389.417,346.5,329.417,316.017,81.317,206.5,249.05,316.35,212.433,448.183,96.35,248.417,306.017,395.017,290.2,228.367,72.433,0,320,290.483,202.65,201.583,217.183,204.95,455.6,167.883,124.45,225.1,216.317,243.3,250.783,152.85,238.733,203.117,200.1,83.767,82.95,78.95,297.417,144.083,177.35,154.283,213.617,348.117,341.533,185.95,276.517,97.6,361.017,320.267,113.767,270.383,233.233,143.233,253.917,274.217,189.633,217.433,180.283,94.533,150.633,83.767,242.55,132.55,395.017,256.633,278.183,242.083,278.183,252.767,382.967,215.883,267.417,334.7,116.9,308.2,449.7,427.683,41.5,228.95,323.683,182.05,182.533,109.65,430.533,176.8,311.65,154.633,282.583,408.75
"Davidson",99.433,127.9,80.667,78.683,103.933,119.583,301.8,244.183,181.017,176.367,114.267,71.35,39.217,9.517,302.017,301.8,207.9,41.2,121.45,173.033,281.183,87.05,36.683,98.5,52.817,173.867,320.533,321.283,0,43.333,214.333,127.133,238.733,124.6,180.45,217.917,279.65,101.567,151.25,95.933,76.233,215.883,222.533,135.633,157.3,277.617,254.533,302.733,214.45,237.25,174.517,276.217,128.367,74.217,47.733,180.05,98.067,231.017,85.867,25.783,249.55,98.267,127.533,182.333,214.067,68.633,263.05,193.917,288.65,288.383,215.783,277.617,149.55,216.983,98.5,87.55,104.367,150.467,104.367,210.617,90.717,204.4,121.917,38.183,222.967,63.55,174.55,149.533,278.467,224.45,38,149.9,178.2,241.65,179.5,195.417,60.6,188.283,75.3,133.6
"Davie",68.583,126.45,64.1,115.4,97.4,118.117,270.95,213.333,189.217,187.733,112.817,69.9,75.933,50.933,271.183,270.95,213.333,39.75,92.717,171.583,250.35,58.333,28.017,130.017,45.433,149.2,289.683,290.433,44.733,0,183.483,96.283,232.05,93.75,179,187.067,248.8,70.717,120.4,67.217,45.05,185.033,216.433,106.917,126.45,246.767,223.683,271.883,225.8,206.4,143.683,245.367,99.633,72.767,64.933,149.2,66.883,200.167,84.417,61.333,218.717,81.3,103.5,151.483,225.417,37.45,232.2,165.2,257.8,257.533,184.95,246.767,118.7,186.133,130.017,63.517,108.083,161.817,108.083,211.617,106.367,173.567,133.283,73.733,192.117,57.4,173.1,151.083,247.617,193.617,74.717,119.067,147.35,210.8,172.967,164.583,54.067,157.433,44.117,132.15
"Duplin",124.6,294.867,183.9,167.8,246.8,274.9,118.783,127.117,64.233,100.417,281.233,238.333,219.017,207.833,184.95,118.783,49.8,208.167,103.017,340,164.117,141.217,197.833,286.833,182.017,91.6,203.467,204.217,211.817,182.3,0,93.417,60.667,96.767,347.417,119.083,161.65,116.917,124.45,135.117,142.617,112.733,51.633,93.683,125.583,160.55,134.9,166.333,101.183,130.483,60.317,113.483,104.683,239.933,233.35,132.533,168.333,113.95,252.833,212.1,131.567,163.083,123.25,89.25,56.983,166.033,53.1,56.883,112.133,171.317,112.633,160.55,137.583,83.05,286.833,147.2,154.133,98.25,154.133,53.467,274.783,30.867,128.333,226.533,89.033,200.033,341.533,319.5,161.4,28.817,208.383,73.6,129.117,102.383,322.367,47.483,203.467,74.367,174.417,300.567
"Durham",39.183,209.467,102.65,132.833,161.383,189.483,184.367,126.75,121.183,144.883,195.817,152.917,131.317,122.417,184.583,184.367,126.733,122.75,40.05,254.583,163.75,54.817,112.417,201.417,96.6,95.217,203.1,203.85,126.4,96.883,96.9,0,145.467,18.55,262.017,101.067,162.217,31.517,34.4,49.7,57.2,98.45,129.85,36.567,40.433,160.183,137.1,185.3,179.4,120.4,57.083,158.783,47.067,154.517,147.933,63.183,82.917,113.583,167.417,126.683,132.117,98.433,66.667,64.9,135.2,80.633,145.617,84.267,171.217,170.95,98.35,160.183,47.8,99.55,201.417,72.7,111.633,108.933,111.633,129.5,189.383,86.967,109.4,141.117,105.533,114.617,256.117,234.083,161.033,107.017,130.083,32.467,61.333,124.217,236.95,77.983,118.05,70.85,89,215.167
"Edgecombe",174.617,349.483,222.8,162.633,296.817,324.933,98.117,143.583,83.967,83.217,335.467,292.55,213.833,235.517,201.433,98.117,59.45,258.183,153.033,389.267,180.6,191.233,247.85,300.467,234.783,133.683,219.95,214.083,237.4,232.317,61.4,143.433,0,146.783,396.683,171.65,196.467,166.95,174.483,185.133,192.633,165.3,23.6,143.717,175.617,177.017,141.733,173.167,82.283,183.05,110.333,109.383,154.717,289.95,254.067,185.1,218.35,130.417,307.067,221.617,166.433,186.25,173.267,141.817,38.783,216.067,31.85,106.9,108.033,187.783,165.2,177.017,187.6,117.917,300.467,197.217,148.967,103.933,148.967,70.067,292.7,80.883,123.167,245.133,123.9,250.05,390.8,351.517,171.267,49.833,203.2,123.617,181.683,109.233,372.383,97.65,253.483,126.933,224.433,354.8
"Forsyth",38.283,208.55,101.75,133.933,160.483,188.583,185.667,128.033,122.483,146.167,194.917,152,130.417,121.517,185.883,185.667,128.033,121.85,32.233,253.683,165.05,53.917,111.517,200.517,95.7,96.5,204.4,205.15,125.5,95.983,98.183,19.333,146.75,0,261.1,106.1,163.517,30.6,43.467,48.8,56.283,99.75,131.133,37.667,49.517,161.467,138.4,186.583,180.7,117.5,58.383,160.067,48.167,153.617,147.033,72.267,82.017,114.883,166.517,125.783,133.417,97.533,67.767,66.2,136.5,79.717,146.9,85.567,172.5,172.25,99.65,161.467,56.433,100.85,200.517,74.25,112.733,110.233,112.733,130.8,188.467,88.267,110.5,140.217,106.817,113.717,255.2,233.183,162.333,108.317,129.183,33.767,70.417,125.517,236.05,79.283,117.15,72.133,88.1,214.25
"Franklin",236.117,88.1,240.9,235.867,216.483,154.4,438.467,380.85,338.2,333.55,76.383,125.433,206.85,187.467,438.7,438.467,365.067,152.417,260.25,42.717,417.867,225.85,178.333,102.383,213.617,316.733,457.217,457.967,181.267,179.667,351,263.8,395.9,261.267,0,354.6,416.333,238.233,287.933,234.733,212.583,352.567,379.717,274.433,293.967,414.283,391.217,439.4,356.167,373.933,311.2,412.883,267.15,145.917,151.583,316.717,234.4,367.683,108.233,184.967,386.233,258.1,272.733,319.017,371.233,204.967,399.717,332.717,425.317,425.05,352.467,414.283,286.217,353.667,102.383,229.6,261.533,307.633,261.533,367.783,124.05,341.083,279.1,172.1,359.633,200.3,44.367,94.367,415.15,361.133,198.733,286.583,314.883,378.333,136.017,332.1,184.617,324.95,211.633,109.533
"Gaston",131.967,302.233,193.15,199.2,254.167,282.267,182.2,79.117,153.217,176.9,288.6,245.683,224.1,215.2,126.283,182.2,153.117,215.533,112.25,347.367,97.6,147.6,205.2,294.2,189.383,127.233,133.167,169.7,219.183,189.667,120.6,101.633,171.217,104.767,354.783,0,77.25,124.283,80.25,142.483,149.967,20.817,154.95,102.933,69.433,112.183,105.833,158.4,204.5,24.217,76.233,135.617,113.433,247.3,240.717,42.25,175.7,82.767,260.2,219.467,54.3,170.2,133.05,43.05,160.3,173.4,154.55,116.3,161.6,117.983,22.2,112.183,114.3,84.9,294.2,156.45,178.017,140.967,178.017,160.367,282.15,114.6,166.283,233.9,77.933,207.4,348.883,326.867,126.883,132.117,222.867,81.867,49.533,101.05,329.733,75.517,210.833,59,181.783,307.933
"Gates",190.833,361.1,251.383,257.433,313.033,341.133,184.917,54.9,215.4,236.083,347.467,304.55,287.467,274.067,56.717,184.917,207.733,274.4,170.483,406.233,31.083,206.467,264.067,353.067,248.25,186.417,69.033,126.783,278.05,248.533,160.433,159.65,195.6,163,413.65,75.367,0,183.15,140.367,201.35,208.833,74,209.567,161.167,129.55,43.783,87.533,126.283,259.117,51.567,135.4,132.417,171.667,306.167,299.583,108.6,234.567,69.85,319.067,278.333,33.567,228.433,191.283,101.283,214.917,232.267,168.05,175.483,158.417,48.4,71.783,43.783,171.8,90.333,353.067,214.683,236.233,200.15,236.233,210.55,341.017,173.933,225.467,292.767,83.35,266.267,407.75,385.733,83.967,186.733,281.733,140.1,115.883,98.817,388.6,134.85,269.7,112.683,240.65,366.8
"Graham",13.15,183.417,76.617,115.583,135.35,163.45,207.033,149.417,143.85,167.55,169.783,126.867,105.283,96.383,207.267,207.033,149.417,96.717,41.717,228.55,186.433,28.783,86.383,175.383,70.567,112.95,225.783,226.533,100.367,70.85,119.567,32.367,168.133,29.833,235.967,123.167,184.9,0,56.5,23.667,31.15,121.133,152.517,55.733,62.533,182.85,159.783,207.967,202.083,142.5,79.767,181.45,62.833,128.483,121.9,85.283,56.883,136.25,141.383,100.633,154.8,72.383,82.433,87.583,157.867,54.583,168.283,106.95,193.883,193.617,121.033,182.85,52.033,122.233,175.383,46.667,94.383,131.617,94.383,152.167,163.333,109.65,125.167,115.067,128.2,88.567,230.067,208.05,183.717,129.7,104.05,55.15,83.45,146.9,210.9,100.667,92.017,93.517,62.95,189.117
"Granville",63.95,234.217,127.417,163.583,186.15,214.25,208.5,140.567,152.3,176,220.583,177.667,156.083,147.183,200.833,208.5,157.85,147.517,70.317,279.35,172.133,79.583,137.183,226.183,121.367,126.333,195.967,217.667,151.167,121.65,128.017,33.617,176.583,43.35,286.767,79.433,140.683,56.267,0,74.467,81.95,85.483,160.967,67.317,18.8,174,150.917,199.117,210.517,98.767,88.2,176.267,77.817,179.283,172.7,41.55,107.683,127.4,192.183,151.433,128.85,123.183,97.433,78.117,166.317,105.383,176.733,115.4,195.35,184.767,86.867,174,37.833,117.05,226.183,97.467,142.383,140.05,142.383,160.617,214.133,118.083,140.15,165.867,123.017,139.367,280.867,258.85,174.85,138.15,154.85,63.6,39.717,141.717,261.7,101.817,142.817,88.333,113.75,239.917
"Greene",10.15,181.15,70.083,107.9,133.067,161.167,223.083,165.467,142.05,166.5,167.5,124.6,100.833,91.95,223.3,223.083,165.45,94.433,44.033,226.283,202.467,15.717,81.933,170.933,66.117,102.033,241.817,242.567,95.933,68.567,135.617,48.4,184.167,45.867,233.7,139.2,200.933,22.85,72.533,0,30.817,137.167,168.567,58.05,78.583,198.9,175.817,224.017,204.567,158.533,95.8,197.5,52.467,126.2,119.617,101.333,54.6,152.3,139.117,96.2,170.833,64.7,69.967,103.617,173.917,52.317,184.317,118.017,209.917,209.667,137.067,198.9,72.533,138.267,170.933,38.983,86.7,130.55,86.7,164.45,161.067,125.683,111.883,110.633,144.25,86.3,227.8,205.767,199.75,145.733,99.617,71.183,99.483,162.933,208.633,116.7,89.733,109.55,60.683,186.85
"Guilford",30.7,158.533,61.167,100.817,110.467,138.567,233.067,175.433,153.05,159.25,144.9,101.983,89.833,80.933,233.283,233.067,175.433,71.833,56.55,203.667,212.45,22.167,63.15,159.933,55.117,113.033,251.8,252.55,76.817,45.95,145.6,58.383,194.15,55.85,211.083,149.183,210.917,32.817,82.517,30.95,0,147.15,178.533,70.75,88.567,208.883,185.8,234,197.333,168.517,105.783,207.483,63.467,103.583,97.017,111.3,31.167,162.283,116.5,85.2,180.817,57.617,75.033,113.6,183.9,29.7,194.3,129.017,219.9,219.65,147.05,208.883,80.8,148.25,159.933,31.9,79.6,133.35,79.6,175.45,138.45,135.667,104.8,99.633,154.217,63.683,205.183,183.15,209.733,155.717,88.6,81.167,109.467,172.917,186.017,126.683,67.133,119.533,38.067,164.233
"Halifax",127.833,298.117,188.4,194.45,250.033,278.15,180.467,66.75,148.45,172.15,284.483,241.567,224.467,211.083,123.1,180.467,148.35,211.4,107.5,343.25,99.05,143.467,201.067,290.067,185.25,122.483,141.867,155.45,215.067,185.533,115.833,96.65,166.45,100,350.667,20.717,78.7,120.167,86.4,138.35,145.85,0,150.183,98.167,75.583,98.7,96.717,144.917,199.733,25.683,71.467,127.983,108.683,243.167,236.583,44.8,171.567,63.983,256.083,215.333,46.367,165.433,128.283,38.3,155.533,169.283,149.8,111.533,153.983,109.467,3.417,98.7,120.433,77.283,290.067,151.683,173.25,136.2,173.25,155.617,278.033,109.85,161.533,229.767,70.3,203.267,344.767,322.733,112.633,127.367,218.75,77.117,49.717,93.417,325.6,70.767,206.7,54.233,177.65,303.817
"Harnett",160.383,333.5,206.833,146.65,282.583,310.683,120.383,165.833,67.983,67.25,319.483,276.583,197.867,219.533,223.683,120.383,42.967,243.95,138.8,373.3,202.85,177,233.617,284.5,218.817,117.7,242.2,236.35,221.433,218.083,51.8,129.2,22.9,132.55,380.717,155.017,209.133,152.717,160.25,170.9,178.4,148.667,0,129.467,161.367,199.267,163.983,195.417,66.317,166.417,96.1,131.633,140.483,278.2,238.1,168.467,204.117,152.683,291.1,205.633,179.033,170.267,159.033,125.167,18.417,201.833,54.1,92.667,130.283,210.05,148.567,199.267,173.367,130.517,284.5,182.983,132.983,87.967,132.983,53.5,276.733,66.65,107.183,229.167,136.517,235.817,374.817,335.533,193.517,35.6,187.233,109.383,165.05,131.483,358.15,83.417,239.25,110.283,210.2,338.833
"Haywood",56.85,219.8,99.1,101.5,171.733,199.833,182.7,125.367,105.883,130.317,206.167,163.25,131.533,130.6,183.2,182.7,125.067,133.1,16.3,264.933,162.367,56.417,120.6,209.6,104.783,65.867,201.717,202.467,134.583,107.233,95.233,36.167,143.783,39.7,272.35,103.417,160.833,55.917,67.217,58.25,69.1,97.067,128.167,0,73.267,158.8,135.717,183.917,168.4,114.817,55.417,157.4,15.733,164.867,158.283,96.017,93.267,112.2,177.767,134.867,130.733,72.5,35.35,63.517,133.533,90.967,143.933,81.85,169.533,169.567,96.967,158.8,80.35,98.167,209.6,62.4,80.3,94.383,80.3,127.833,199.717,85.3,78.067,149.3,104.15,124.967,266.45,244.433,159.65,105.35,142.083,31.833,94.167,122.833,247.3,76.317,128.4,69.467,99.35,225.5
"Henderson",69.433,239.7,132.9,169.067,191.633,219.733,201.217,124.7,151.2,174.9,226.067,183.167,161.567,152.667,182.55,201.217,156.767,153,75.817,284.833,159.867,85.067,142.667,231.667,126.85,125.233,183.7,201.817,156.65,127.133,126.917,39.1,175.483,48.833,292.25,67.15,128.4,61.75,17.733,79.95,87.45,73.217,159.867,72.8,0,158.15,135.067,183.267,209.417,86.483,87.117,164.85,83.3,184.767,178.183,29.283,113.167,111.55,197.667,156.933,116.567,128.683,102.917,62.25,165.217,110.867,173.567,114.3,190.85,168.917,74.583,158.15,51.767,109.75,231.667,102.95,147.883,138.967,147.883,159.517,219.617,117,145.633,171.367,107.167,144.867,286.367,264.333,159,137.05,160.333,61.2,23.517,130.283,267.2,94.533,148.3,81.05,119.25,245.4
"Hertford",189.15,359.417,249.7,255.75,311.35,339.45,165.95,36.883,213.717,234.4,345.783,302.867,285.767,272.383,30.417,165.95,206.317,272.717,168.8,404.55,22.883,204.783,262.383,351.383,246.55,184.733,48.933,85.667,276.367,246.833,159.017,157.95,176.633,161.3,411.967,111.667,44.45,181.467,172.683,199.667,207.15,96.633,198.183,159.483,156.467,0,55.05,86.3,256.867,87.867,133.717,113.45,169.983,304.483,297.9,140.417,232.883,50.867,317.383,276.633,57.55,226.733,189.6,99.6,213.367,230.583,149.083,173.8,139.45,16.767,94.417,0,198.917,88.917,351.383,212.983,234.55,198.45,234.55,209.133,339.333,172.25,223.783,291.067,73.267,264.567,406.067,384.033,42.833,185.317,280.05,138.417,138.883,79.85,386.9,133.167,268.017,111,238.95,365.117
"Hoke",168.517,338.8,229.083,235.133,290.717,318.817,128.417,41.217,192.917,220.267,325.15,282.25,265.15,251.75,79.65,128.417,170.967,252.083,148.183,383.933,60.683,184.15,241.75,330.75,225.933,164.117,98.15,84.1,255.733,226.217,132.033,137.333,139.1,140.683,391.35,108.233,87.1,160.85,152.05,179.033,186.533,95.767,160.65,138.85,135.833,55.233,0,59.117,219.333,95.983,113.1,76.2,149.367,283.85,277.267,121.683,212.25,33.333,296.767,256.017,65.667,206.117,168.967,78.967,175.833,209.967,111.55,153.167,102.2,66,94.45,55.233,178.3,64.483,330.75,192.367,213.933,177.833,213.933,185.967,318.717,151.633,203.15,270.45,52.633,243.95,385.45,363.417,41.283,157.533,259.433,117.8,118.267,31.55,366.283,112.55,247.383,90.367,218.333,344.5
"Hyde",216.567,386.833,277.117,283.617,338.767,366.867,160.983,79.6,226.333,253.683,373.2,330.283,313.2,299.8,109.55,160.983,204.383,300.133,196.217,431.967,99.067,232.2,289.8,378.8,273.983,205.117,128.067,78.983,303.783,274.267,165.45,185.383,172.517,188.733,439.383,158.167,125.467,208.883,200.1,227.083,234.567,143.8,194.083,186.9,183.883,85.15,59,0,252.75,134.367,154.1,86.517,197.4,331.9,325.317,169.733,260.3,81.383,344.8,304.067,104.033,254.167,217.017,127.017,209.25,258,144.967,194.167,119.65,95.917,142.483,85.15,226.333,97.9,378.8,240.417,261.967,218.833,261.967,219.383,366.75,185.217,244.15,318.5,90.1,292,433.483,411.467,50.433,190.95,307.467,165.833,166.317,64.983,414.333,146.133,295.433,131.05,266.383,392.533
"Iredell",213.083,307.533,200.167,139.983,295.567,318.133,180.35,225.817,77.9,40.75,295.8,269.9,191.183,212.867,283.65,180.35,77.217,246.183,177.983,347.317,262.817,199.667,239,258.183,212.133,111.883,302.167,296.317,214.75,227.083,102.717,180.117,82.883,183.483,354.733,205.933,260.067,203.633,211.167,204.717,199.233,199.583,66.683,169.167,212.3,259.25,223.967,255.4,0,217.35,147.017,191.617,161.567,271.533,231.417,219.383,224.05,212.65,284.417,198.967,229.967,163.6,155.967,176.1,56.317,217.583,114.083,129.45,190.25,270.017,199.5,259.25,224.3,181.45,258.183,175.217,126.317,81.3,126.317,79.917,270.05,117.183,100.517,222.483,187.433,249.867,348.85,309.567,253.5,86.517,180.567,160.317,215.967,191.45,355.433,134.333,252.233,161.217,224.25,332.15
"Jackson",145.55,315.817,206.1,212.15,267.75,295.85,184.433,54.883,166.15,189.85,302.183,259.267,242.183,228.783,102.067,184.433,166.067,229.117,125.2,360.95,73.367,161.183,218.783,307.783,202.967,140.183,114.4,145.483,232.767,203.25,133.55,114.367,184.15,117.717,368.367,23.8,53.017,137.867,98.633,156.067,163.55,27.633,167.883,115.883,87.817,87.967,95.417,134.183,217.45,0,89.167,131.95,126.383,260.883,254.3,57.033,189.283,66.75,273.783,233.05,30.083,183.15,146,56,173.25,186.983,167.567,129.25,157.95,93.767,29.017,87.967,132.667,83.633,307.783,169.4,190.95,153.917,190.95,173.317,295.733,127.55,179.233,247.483,76.667,220.983,362.467,340.45,102.667,145.067,236.45,94.817,64.317,98.35,343.317,88.467,224.417,71.95,195.367,321.517
"Johnston",87.767,258.033,147.067,136.817,209.967,238.067,137.017,100.817,84.283,107.967,244.4,201.483,183.15,171,158.667,137.017,91.017,171.333,66.167,303.167,137.833,104.367,161,250,145.167,58.317,177.183,177.933,174.983,145.45,62.217,56.567,110.783,59.917,310.583,77.7,136.3,80.083,87.617,98.283,105.767,71.35,95.167,56.85,88.75,134.25,111.183,153.667,144.733,89.1,0,124.3,67.35,203.1,196.517,91.15,131.5,87.65,216,175.25,106.2,124.117,86.967,47.85,100.533,129.2,109.367,47.367,123.85,145.017,71.25,134.25,100.733,65.067,250,110.367,123.15,72.033,123.15,93.783,237.95,51.25,97.35,189.683,71.033,163.183,304.683,282.65,135.1,72.35,177.4,36.767,87.717,89.733,285.517,30.633,166.633,36.533,137.567,263.733
"Jones",187.117,357.4,247.683,252.95,309.317,337.417,90.417,78.4,172.917,190.467,343.75,300.85,283.75,270.35,136.25,90.417,141.167,270.683,166.783,402.533,115.417,202.75,260.35,349.35,244.533,174.433,154.767,148.917,274.333,244.817,112.033,155.933,109.3,159.283,409.95,133.467,131.3,179.45,175.017,197.633,205.133,124.4,130.85,157.45,161.067,111.85,76.067,85.717,189.533,130.617,123.417,0,167.967,302.45,295.867,146.917,230.85,65.25,315.367,274.617,101.917,224.717,187.567,104.2,146.033,228.567,81.75,150.617,43.633,122.617,123.083,111.85,196.9,67.233,349.35,210.967,232.533,188.167,232.533,156.167,337.317,136.017,213.483,289.05,59.433,262.55,404.05,382.017,106.083,127.733,278.017,136.4,143.483,43.567,384.883,105.283,265.983,100.383,236.933,363.1
"Lee",59.7,213.833,93.833,91.65,165.767,193.867,192.65,135.317,97.283,121.733,200.2,157.283,121.667,124.633,193.167,192.65,127.3,127.133,23.867,258.967,172.333,50.433,114.633,203.633,98.8,57.267,211.683,212.433,128.617,101.25,108.267,46.133,156.833,49.65,266.383,113.383,170.8,63.717,77.183,51.333,63.117,107.033,141.217,15.05,83.233,168.767,145.683,193.883,159.8,124.783,65.383,167.367,0,158.883,152.317,105.967,87.3,122.167,171.8,128.883,140.7,62.633,25.5,73.483,146.567,85,156.983,73.25,179.5,179.533,106.933,168.767,90.3,108.133,203.633,57.133,70.45,85.783,70.45,119.683,193.75,94.883,68.217,143.317,114.1,118.983,260.483,238.45,169.617,118.4,132.233,41.8,104.133,132.8,241.317,86.283,122.433,79.417,93.367,219.533
"Lenoir",127.55,90.867,134.267,132.4,73.5,67.233,329.917,272.3,234.733,230.083,77.233,23,103.4,80.833,330.133,329.917,261.617,45.783,151.683,136,309.3,117.3,71.683,93.7,106.983,208.167,348.65,349.4,74.617,73.033,242.45,155.233,292.45,152.717,143.417,246.033,307.767,129.683,179.367,126.167,104.017,244,276.25,165.883,185.417,305.733,282.65,330.85,268.167,265.367,202.633,304.333,158.6,0,43.717,208.167,125.717,259.133,48.833,81.5,277.667,146.767,164.167,210.45,267.783,96.267,291.167,224.15,316.75,316.5,243.9,305.733,177.667,245.1,93.7,121.033,158.083,204.183,158.083,264.333,70.05,232.517,175.633,64.233,251.083,79.067,137.517,115.5,306.583,252.567,95.267,178.017,206.317,269.767,125.317,223.533,40.15,216.383,102.95,92.517
"Lincoln",120.1,99.317,105.033,92.05,112.117,90.983,322.467,264.833,194.383,189.733,85.667,42.767,63.033,45.367,322.683,322.467,221.25,36.4,144.233,144.45,301.85,109.833,62.317,78.317,80.067,187.233,341.2,341.95,47.883,63.65,234.983,147.783,252.083,145.25,151.867,238.583,300.317,122.217,171.917,118.717,96.567,236.55,235.9,158.417,177.967,298.267,275.2,323.383,227.8,257.917,195.183,296.867,151.133,44.383,0,200.7,118.383,251.683,57.283,41.15,270.217,120.483,155.067,203,227.417,88.95,284.383,213.9,309.3,309.05,236.45,298.267,170.2,237.65,78.317,114.8,117.717,163.817,117.717,223.967,70.55,227.117,135.283,22.85,243.617,84.283,145.967,123.933,299.133,244.183,54.917,170.567,198.867,262.317,150.867,216.083,76.4,208.933,95.617,105.017
"Macon",93.3,263.583,156.767,192.95,215.5,243.6,195.733,112.1,166.733,190.433,249.933,207.033,185.433,176.533,159.267,195.733,166.65,176.867,99.683,308.717,130.583,108.933,166.533,255.533,150.717,140.767,169.883,186.1,180.517,151,134.117,62.967,184.733,72.7,316.133,43,110.233,85.633,41.6,103.817,111.317,43.933,168.467,96.667,30.783,140.583,119.35,167.55,218.033,57.2,89.75,149.133,107.183,208.633,202.05,0,137.033,95.833,221.55,180.8,87.283,152.55,126.783,50.8,173.817,134.75,168.083,129.833,175.133,150.967,45.3,140.583,75.633,98.433,255.533,126.833,171.75,154.5,171.75,173.9,243.5,128.133,169.5,195.233,91.45,168.733,310.233,288.2,143.283,145.65,184.217,85.367,7.283,114.583,291.067,89.05,172.167,72.533,143.117,269.283
"Madison",55.35,179.45,84.083,124.233,131.25,159.35,257.7,200.083,175.967,182.683,165.817,122.9,111.6,103.933,257.933,257.7,200.083,92.75,79.467,224.583,237.1,45.067,84.067,183.017,76.883,135.95,276.45,277.2,97.733,66.867,170.233,83.033,218.8,80.5,232,173.833,240.867,57.467,107.167,53.95,31.533,171.783,203.183,93.65,113.2,233.517,210.45,258.633,220.75,193.167,130.433,232.117,86.383,124.383,117.933,135.95,0,186.917,137.417,106.967,205.467,81.05,98.45,138.25,208.533,40.033,218.95,151.933,244.55,244.283,171.7,233.517,85.117,172.883,183.017,55.317,103.033,156.767,103.033,198.367,159.367,160.317,128.233,121.4,178.867,71.317,226.1,204.067,234.367,180.367,110.367,105.817,134.117,197.567,197.45,151.333,87.917,144.183,43.317,185.15
"Martin",143.183,313.45,203.733,209.783,265.383,293.483,120.217,18.6,167.75,188.433,299.817,256.9,239.817,226.417,76.45,120.217,160.35,226.75,122.833,358.583,55.617,158.817,216.417,305.417,200.6,138.767,94.967,99.517,230.4,200.883,113.05,111.983,130.9,115.35,366,82.667,71.5,135.5,126.717,153.7,161.183,62.967,152.467,113.517,110.5,52.033,32.767,80.95,211.133,68.383,87.75,67.733,124.017,258.517,251.933,96.35,186.917,0,271.417,230.667,42.117,180.783,143.633,53.633,167.633,184.617,103.35,127.833,93.733,62.817,61.65,52.033,152.95,42.95,305.417,167.033,188.583,152.483,188.583,163.167,293.367,126.283,177.817,245.1,25.817,218.6,360.1,338.083,56.7,139.35,234.083,92.45,92.933,34.133,340.933,87.2,222.05,65.033,192.983,319.15
"McDowell",141.367,52.533,146.15,145.517,111.367,49.283,343.717,286.1,247.85,243.2,38.9,30.683,116.517,92.717,343.95,343.717,274.733,57.667,165.483,97.667,323.117,131.1,83.583,58.033,118.867,221.967,362.467,363.217,86.517,84.917,256.25,169.05,305.567,166.517,105.083,259.85,321.583,143.483,193.183,139.983,117.833,257.8,289.367,179.683,199.217,319.533,296.467,344.65,281.283,279.183,216.45,318.133,172.4,51.167,56.833,221.967,139.65,272.933,0,94.617,291.483,163.35,177.983,224.267,280.9,110.217,304.967,237.967,330.567,330.3,257.717,319.533,191.467,258.9,58.033,134.85,171.2,217.283,171.2,277.433,34.367,246.333,188.75,77.35,264.883,105.55,99.2,77.167,320.383,266.383,108.383,191.833,220.133,283.583,100.45,237.35,89.867,230.2,116.883,51.05
"Mecklenburg",99.717,139.133,78.05,63.35,122.233,130.433,302.067,244.45,165.683,161.033,125.117,82.217,32.533,24.55,302.3,302.067,192.567,57,121.717,178.933,281.467,87.333,54.983,90.133,53.083,158.533,320.817,321.567,26.45,61.617,214.6,127.4,223.4,124.867,186.35,218.2,279.933,101.833,151.533,96.217,85.683,216.15,207.2,135.917,157.567,277.883,254.817,303,199.117,237.533,174.8,276.483,128.633,83.833,43.733,180.317,108.4,231.283,96.717,0,249.833,89.983,124.567,182.617,198.717,81.25,255.683,185.217,288.917,288.65,216.067,277.883,149.817,217.25,90.133,87.817,89.033,135.117,89.033,195.267,82.35,198.417,106.583,35.333,223.233,81.85,180.45,141.167,278.733,215.5,26.217,150.183,178.483,241.933,190.317,195.7,78.9,188.55,87.917,144.467
