"","Alamance","Alexander","Alleghany","Anson","Ashe","Avery","Beaufort","Bertie","Bladen","Brunswick","Buncombe","Burke","Cabarrus","Caldwell","Camden","Carteret","Caswell","Catawba","Chatham","Cherokee","Chowan","Clay","Cleveland","Columbus","Craven","Cumberland","Currituck","Dare","Davidson","Davie","Duplin","Durham","Edgecombe","Forsyth","Franklin","Gaston","Gates","Graham","Granville","Greene","Guilford","Halifax","Harnett","Haywood","Henderson","Hertford","Hoke","Hyde","Iredell","Jackson","Johnston","Jones","Lee","Lenoir","Lincoln","Macon","Madison","Martin","McDowell","Mecklenburg","Mitchell","Montgomery","Moore","Nash","New Hanover","Northampton","Onslow","Orange","Pamlico","Pasquotank","Pender","Perquimans","Person","Pitt","Polk","Randolph","Richmond","Robeson","Rockingham","Rowan","Rutherford","Sampson","Scotland","Stanly","Stokes","Surry","Swain","Transylvania","Tyrrell","Union","Vance","Wake","Warren","Washington","Watauga","Wayne","Wilkes","Wilson","Yadkin","Yancey"
"Carteret",214.367,384.633,273.667,263.65,336.567,364.667,0,132.033,176.1,184.25,371,328.083,309.75,297.6,189.883,0,134.933,297.933,192.767,429.767,169.05,230.967,287.6,376.6,271.767,190.25,208.4,202.533,301.583,272.05,122.067,183.167,103.083,186.517,437.183,182,184.933,206.683,208,224.883,232.367,178.033,124.633,183.45,201.333,165.467,130.183,160.917,183.317,184.25,137.65,90.45,193.95,329.7,323.117,195.45,258.1,118.867,342.6,301.85,155.55,250.717,213.567,152.15,139.817,255.8,76.583,163.233,76.2,176.233,176.717,165.467,227.333,111.133,376.6,236.967,249.983,206.633,249.983,149.95,364.55,149.783,224.183,316.283,113.067,289.783,431.283,409.25,159.717,121.5,304.233,163.367,192.033,97.683,412.117,117.883,293.233,137.283,264.167,390.333
"Caswell",158.983,318.633,191.967,131.783,281.183,309.917,129.433,172.85,45.2,52.367,304.617,261.7,182.983,204.667,230.7,129.433,0,237.983,137.383,358.417,209.867,172.367,230.8,269.617,203.933,88.05,249.217,245.4,206.55,218.867,50.067,127.783,57.833,131.133,365.85,153.283,207.4,151.3,158.833,169.483,176.983,146.933,41.633,128.067,159.967,206.283,173.033,204.467,76.483,164.683,92.717,140.683,130.117,263.317,223.217,166.733,202.717,159.7,276.217,190.767,177.3,155.4,139.333,123.433,35.75,200.417,63.75,68.983,139.333,217.067,146.833,206.283,171.95,128.783,269.617,167.017,118.117,71.817,118.117,15.133,261.85,48.117,92.317,214.283,134.783,234.4,359.95,320.667,202.567,23.55,172.35,107.983,163.317,140.533,356.733,81.683,237.85,108.567,208.783,323.95
"Catawba",94.067,99.083,98.85,108.717,100.983,90.75,296.433,238.8,211.05,206.4,85.433,42.533,69.267,45.417,296.65,296.433,237.933,0,118.2,144.217,275.817,83.8,36.283,102.65,71.567,174.683,315.167,315.917,39.217,37.617,208.967,121.75,257.517,119.217,151.633,212.55,274.283,96.183,145.883,92.683,70.533,210.517,241.9,132.383,151.933,272.25,249.167,297.367,244.483,231.883,169.15,270.85,125.117,45.4,36.583,174.667,92.367,225.65,57.05,55.817,244.183,116.067,130.683,176.967,244.1,62.917,257.667,190.667,283.267,283.017,210.417,272.25,144.167,211.617,102.65,87.55,134.4,180.5,134.4,237.1,79,199.033,151.95,46.783,217.583,58.25,145.733,123.7,273.1,219.083,68.033,144.533,172.833,236.283,150.633,190.05,57.65,182.9,69.583,104.783
"Chatham",42.55,205.333,84.633,109.467,157.25,185.35,192.217,134.883,113.833,138.283,191.683,148.783,125.05,116.133,192.717,192.217,134.583,118.617,0,250.467,171.883,41.933,106.117,195.117,90.3,73.817,211.233,211.983,120.117,92.75,104.733,39.65,153.3,30.55,257.883,112.933,170.35,41.617,70,43.95,54.617,106.583,137.683,16.983,76.033,168.317,145.233,193.433,176.35,124.333,64.933,166.917,23.7,150.383,143.8,98.783,78.783,121.717,163.3,120.383,140.25,79.4,43.3,73.033,143.05,76.5,153.45,89.8,179.05,179.083,106.483,168.317,82.95,107.683,195.117,47.917,88.267,102.333,88.267,137.35,185.25,94.817,86.033,134.817,113.667,110.483,251.983,229.95,169.167,114.867,123.8,41.35,96.95,132.35,232.817,85.833,113.917,78.967,84.867,211.033
"Cherokee",227.317,79.317,232.1,227.067,207.683,145.6,429.683,372.05,329.4,324.75,67.583,116.633,198.05,178.667,429.9,429.683,356.267,143.617,251.45,0,409.067,217.05,169.533,93.6,204.817,307.933,448.417,449.167,172.467,170.867,342.2,255,387.1,252.467,40.55,345.8,407.533,229.433,279.133,225.933,203.783,343.767,370.917,265.633,285.183,405.483,382.417,430.6,347.367,365.133,302.4,404.083,258.35,137.117,142.783,307.917,225.6,358.9,99.433,176.167,377.433,249.317,263.933,310.217,362.433,196.167,390.917,323.917,416.517,416.267,343.667,405.483,277.417,344.867,93.6,220.8,252.75,298.833,252.75,358.983,115.25,332.283,270.3,163.3,350.833,191.5,16.833,98.233,406.35,352.333,189.933,277.783,306.083,369.533,127.217,323.3,175.817,316.15,202.833,100.733
"Chowan",192.867,363.133,253.417,259.467,315.067,343.167,169.667,40.6,217.433,238.117,349.5,306.583,289.5,276.1,46.267,169.667,210.033,276.433,172.517,408.267,0,208.5,266.1,355.1,250.283,188.45,64.783,98.05,280.083,250.567,162.733,161.683,180.35,165.033,415.683,96.433,30.967,185.183,171.283,203.383,210.867,95.067,201.9,163.2,160.467,21.25,60.617,99.383,260.583,72.633,137.433,117.167,173.7,308.2,301.617,129.667,236.6,54.6,321.1,280.367,54.633,230.467,193.317,103.317,217.083,234.3,152.8,177.517,143.167,32.633,92.85,21.25,205.317,92.633,355.1,216.717,238.267,202.183,238.267,212.85,343.05,175.967,227.5,294.8,76.983,268.3,409.783,387.767,55.233,189.05,283.767,142.133,136.967,83.567,390.633,136.883,271.733,114.717,242.683,368.833
"Clay",23.783,171.967,62.983,102.067,123.883,151.983,229.533,171.917,139.7,160.5,158.317,115.417,91.65,82.75,229.767,229.533,169.7,85.25,43.2,217.083,208.933,0,72.75,161.75,56.933,99.683,248.267,249.017,86.733,59.383,142.067,54.867,190.633,52.333,224.517,145.65,207.383,29.3,78.983,15.233,21.25,143.617,175.017,57.383,85.033,205.35,182.267,230.467,198.583,164.983,102.267,203.95,50.1,117.017,110.433,107.783,45.417,158.75,129.917,87.017,177.3,58.867,67.617,110.067,180.367,43.133,190.783,115.667,216.383,216.117,143.533,205.35,77.283,144.717,161.75,33.15,80.85,128.2,80.85,162.1,151.883,132.15,106.05,101.45,150.7,77.117,218.617,196.583,206.2,152.2,90.417,77.65,105.933,169.383,199.45,123.167,80.55,116.017,51.5,177.667
"Cleveland",85.483,124.683,62.15,104.867,100.717,116.35,287.85,230.217,202.467,197.817,111.033,68.133,65.417,40.983,288.067,287.85,229.333,37.967,107.5,169.817,267.233,73.1,0,124.083,38.85,163.983,306.583,307.333,34.783,29.033,200.383,113.167,248.933,110.633,177.233,203.967,265.7,87.6,137.3,81.983,62.1,201.933,233.317,121.683,143.35,263.667,240.583,288.783,235.883,223.3,160.567,262.267,114.4,71,63.15,166.083,83.933,217.067,82.65,51.383,235.6,85.467,113.583,168.383,235.5,54.5,249.083,179.967,274.683,274.433,201.833,263.667,135.583,203.033,124.083,73.6,118.167,171.9,118.167,226.4,104.6,190.45,143.367,63.783,209,60.333,171.333,149.3,264.517,210.5,64.183,135.95,164.25,227.7,176.267,181.467,57.383,174.317,61.167,130.383
"Columbus",172.333,52.683,150.667,137.683,164.667,106,374.7,317.083,240.017,235.367,40.95,73.467,108.667,94.833,374.917,374.7,266.9,101.25,194.35,92.483,354.083,159.95,127.15,0,125.7,232.867,393.433,394.183,96.717,128.5,287.233,200.017,297.733,197.483,99.9,290.817,352.55,174.467,224.15,168.833,158.3,288.783,281.533,208.533,230.2,350.517,327.433,375.633,258.383,310.15,247.417,349.117,201.25,94.85,78.533,252.95,183.233,303.917,59.833,86.783,322.45,166.117,200.7,255.233,273.05,153.783,330.017,259.55,361.533,361.283,288.683,350.517,222.45,289.883,0,160.45,163.367,209.45,163.367,269.6,25.883,272.75,180.917,78.917,295.867,149.133,94,54.717,351.367,289.833,100.55,222.8,251.1,314.55,100.583,268.317,133.55,261.167,160.467,74.117
"Craven",67.95,161.15,23.283,78.067,127.717,152.833,270.317,212.683,176.083,171.433,147.517,104.6,57.683,48.783,270.533,270.317,202.95,74.45,89.967,206.283,249.7,55.567,38.783,127.783,0,146.45,289.05,289.8,52.767,44.417,182.85,95.633,233.8,93.1,213.7,186.433,248.167,70.067,119.767,64.45,53.917,184.4,217.6,104.15,125.817,246.133,223.05,271.25,209.5,205.767,143.033,244.733,96.867,107.467,81.367,148.55,76.633,199.533,119.117,53.033,218.067,48.6,86.467,150.85,209.117,49.483,231.55,162.433,257.15,256.9,184.3,246.133,118.05,185.5,127.783,49.783,91.783,145.517,91.783,205.667,120,172.917,116.983,67.467,191.467,81.767,207.8,178.817,246.983,192.967,56.45,118.417,146.717,210.167,203.267,163.933,84.383,156.783,56.15,166.85
"Cumberland",108.583,262.717,140.467,97.083,214.65,242.75,189.267,151.567,53.217,72.283,249.083,206.167,148.283,169.967,209.417,189.267,88.317,176.017,73.483,307.85,188.583,99.317,163.517,234.933,147.7,0,227.933,228.683,171.85,150.133,92.533,95.75,132.633,99.267,315.267,128.45,187.05,113.333,126.8,100.217,112.017,122.1,116.45,64.667,127.55,185.017,161.933,204.433,110.367,139.85,59.7,175.05,57.083,207.783,188.517,141.9,136.183,138.417,220.683,156.067,156.95,103.917,66.3,98.617,107.967,133.883,140.233,48.05,176.1,195.783,122,185.017,139.917,115.817,234.933,106.017,83.417,36.35,83.417,80.7,227.15,61.933,57.217,179.583,121.8,167.867,309.367,285.967,185.867,101.65,137.667,75.567,138.483,140.483,290.2,82.883,171.317,87.3,142.25,268.417
"Currituck",232.533,402.8,293.083,299.133,354.733,382.833,209.333,80.267,257.1,277.783,389.167,346.25,329.15,315.767,17.4,209.333,249.7,316.1,212.183,447.933,64.083,248.167,305.75,394.767,289.933,228.117,0,72.3,319.75,290.217,202.4,201.333,220.017,204.683,455.35,132.55,68.633,224.85,196.183,243.033,250.533,136.067,241.567,202.867,185.35,47.317,98.433,129.683,300.233,113.633,177.1,156.833,213.367,347.85,341.283,169.733,276.267,94.25,360.767,320.017,95.633,270.117,232.967,142.983,256.75,273.967,192.45,217.167,182.833,37.467,133.85,47.317,227.617,132.3,394.767,256.367,277.933,241.833,277.933,252.517,382.717,215.633,267.167,334.45,116.65,307.95,449.45,427.417,86.217,228.7,323.433,181.8,177.017,123.233,430.283,176.55,311.4,154.383,282.333,408.5
