"","Adams","Allen","Ashland","Ashtabula","Athens","Auglaize","Belmont","Brown","Butler","Carroll","Champaign","Clark","Clermont","Clinton","Columbiana","Coshocton","Crawford","Cuyahoga","Darke","Defiance","Delaware","Erie","Fairfield","Fayette","Franklin","Fulton","Gallia","Geauga","Greene","Guernsey","Hamilton","Hancock","Hardin","Harrison","Henry","Highland","Hocking","Holmes","Huron","Jackson","Jefferson","Knox","Lake","Lawrence","Licking","Logan","Lorain","Lucas","Madison","Mahoning","Marion","Medina","Meigs","Mercer","Miami","Monroe","Montgomery","Morgan","Morrow","Muskingum","Noble","Ottawa","Paulding","Perry","Pickaway","Pike","Portage","Preble","Putnam","Richland","Ross","Sandusky","Scioto","Seneca","Shelby","Stark","Summit","Trumbull","Tuscarawas","Union","Van Wert","Vinton","Warren","Washington","Wayne","Williams","Wood","Wyandot"
"Mercer",73.065,201.754,234.825,430.852,295.826,74.066,355.718,345.255,233.043,211.484,119.159,262.594,233.245,310.526,405.987,279.882,302.001,374.195,64.628,87.181,153.276,207.41,206.813,128.466,158.453,211.304,335.749,386.311,426.464,304.456,196.062,129.921,74.903,228.983,134.07,219.301,226.258,171.444,247.923,305.389,423.916,266.961,330.056,359.437,232.76,257.368,309.586,227.844,398.445,369.852,135.412,290.402,302.639,0,139.376,173.556,204.139,161.612,189.101,257.289,85.78,77.613,55.431,398.201,231.559,266.96,148.414,103.218,269.106,299.349,215.805,233.864,140.91,354.11,213.757,317.118,373.812,417.217,290.892,102.954,25.351,346.629,387.879,155.72,159.291,94.152,156.475,166.709
"Miami",86.98,326.361,322.032,508.053,287.749,212.594,351.09,423.25,295.823,203.407,138.924,119.93,90.581,387.727,483.188,313.751,335.87,451.396,78.543,225.709,207.191,332.017,28.977,266.994,43.867,252.175,253.406,463.512,503.665,326.258,21.766,254.528,139.483,34.239,258.677,117.095,218.181,296.051,372.53,223.046,501.117,302.474,407.257,264.513,228.132,249.291,389.977,299.427,475.646,447.053,221.792,367.603,298.011,139.556,0,38.401,61.475,22.926,66.16,271.41,224.308,222.818,193.959,475.402,195.144,262.332,273.021,36.336,264.478,217.006,25.648,358.471,197.981,349.482,308.123,395.113,369.184,494.418,368.887,81.932,163.879,264.286,465.08,64.468,283.898,232.68,281.082,257.771
"Monroe",102.152,295.836,287.859,473.88,249.952,229.764,313.293,368.2,261.65,165.61,104.751,93.936,64.587,353.554,449.015,279.578,301.697,417.223,108.685,231.684,173.018,301.492,38.155,281.758,17.821,218.002,215.609,429.339,469.492,288.461,27.404,224.003,108.958,60.325,228.152,79.298,180.384,265.526,342.005,185.249,466.944,268.301,373.084,239.297,190.335,211.494,355.804,265.254,441.473,412.88,187.619,333.43,260.214,173.393,38.298,0,35.481,58.87,28.363,233.613,235.335,192.293,227.796,441.229,157.347,224.535,242.496,49.501,226.681,179.209,47.147,327.946,163.808,311.685,273.95,360.94,331.387,460.245,334.714,67.794,197.716,226.489,430.907,33.387,253.373,261.03,250.557,223.598
"Montgomery",132.648,326.332,281.632,467.653,258.737,260.26,322.078,376.985,255.423,174.395,135.247,65.967,36.618,347.327,442.788,273.24,295.359,410.996,139.181,262.18,189.837,331.988,29.709,312.254,48.317,211.775,224.394,423.112,463.265,297.246,42.771,254.499,139.454,47.321,258.648,88.083,189.169,263.075,332.528,194.034,460.717,261.963,366.857,210.55,199.12,220.279,349.577,259.027,435.246,406.653,223.623,327.203,268.999,203.889,61.328,35.709,0,50.424,37.213,242.398,265.831,222.789,258.292,435.002,166.132,233.32,272.992,87.664,235.466,187.994,38.701,358.442,193.744,320.47,267.723,354.713,340.172,454.018,328.487,98.29,228.212,235.274,424.68,63.883,283.869,291.526,281.053,240.417
"Morgan",109.038,351.326,324.577,510.598,301.682,285.254,365.023,419.93,298.368,217.34,160.241,108.641,79.292,390.272,485.733,316.185,338.304,453.941,100.601,287.174,232.782,356.982,22.549,337.248,73.311,254.72,267.339,466.057,506.21,340.191,25.04,279.493,164.448,12.907,283.642,131.028,232.114,321.016,397.495,236.979,503.662,304.908,409.802,253.224,242.065,263.224,392.522,301.972,478.191,449.598,243.109,370.148,311.944,161.614,22.966,60.703,50.186,0,80.158,285.343,290.825,247.783,216.017,477.947,209.077,276.265,297.986,58.394,278.411,230.939,11.722,383.436,219.298,363.415,310.668,397.658,383.117,496.963,371.432,123.284,185.937,278.219,467.625,88.877,308.863,254.738,306.047,283.362
"Morrow",119.793,313.477,262.477,448.498,239.582,247.405,302.923,357.83,236.268,155.24,100.482,66.006,39.833,328.172,423.633,254.085,276.204,391.841,126.326,249.325,170.682,319.133,47.474,299.399,35.455,192.62,205.239,403.957,444.11,278.091,42.583,241.644,126.599,69.644,245.793,50.352,170.014,243.92,313.373,174.879,441.562,242.808,347.702,228.927,179.965,201.124,330.422,239.872,416.091,387.498,204.468,308.048,249.844,191.034,64.868,28.365,23.969,68.189,0,223.243,252.976,209.934,245.437,415.847,146.977,214.165,260.137,75.022,216.311,168.839,56.466,307.064,174.589,301.315,248.568,335.558,321.017,434.863,309.332,85.435,215.357,216.119,405.525,39.274,271.014,278.671,268.198,221.262
"Muskingum",251.155,282.958,116.683,301.598,96.169,293.816,101.405,137.819,90.368,83.865,168.139,260.525,272.829,153.856,206.825,40.466,62.585,227.56,257.646,295.736,116.062,227.803,264.005,364.214,239.927,102.753,181.932,257.057,278.617,76.573,257.747,255.024,232.622,286.175,247.61,201.709,90.386,156.31,186.637,160.84,294.662,79.978,152.714,211.276,46.717,83.065,219.377,100.104,269.191,220.021,149.848,147.945,48.326,255.956,288.446,234.137,243.286,284.72,224.384,0,299.387,256.345,305.362,268.947,117.665,47.412,261.954,252.288,14.793,150.465,272.997,199.526,129.384,99.797,126.391,132.526,119.499,287.963,137.846,216.755,280.279,149.469,231.33,223.604,246.977,350.208,270.015,166.642
"Noble",157.748,106.94,226.619,354.353,339.213,22.067,399.105,358.949,228.662,254.871,160.047,324.046,294.697,300.378,362.974,299.215,304.752,302.633,149.311,3.651,206.952,136.201,268.265,49.136,219.905,208.598,397.201,300.083,340.415,413.844,257.514,61.911,136.355,290.435,74.158,280.753,269.645,167.063,179.119,366.841,347.417,262.58,316.581,420.889,276.147,300.755,214.772,223.463,321.946,310.243,173.112,265.486,346.026,85.711,224.059,235.008,265.591,288.98,250.553,300.676,0,48.081,30.278,312.604,274.946,310.347,72.99,187.901,312.493,360.801,277.257,170.458,184.297,397.497,209.376,327.375,417.199,340.718,286.511,182.271,61.176,408.081,328.27,217.172,81.053,25.695,69.655,162.328
"Ottawa",128.189,117.648,173.119,365.061,295.721,42.51,355.613,283.549,171.337,211.379,116.555,280.554,251.205,248.82,344.281,241.89,247.427,313.341,139.529,44.43,149.627,123.304,224.773,89.464,176.413,151.273,353.709,310.791,364.758,308.173,214.022,30.948,92.863,246.943,49.964,237.261,226.153,109.738,163.817,323.349,358.125,205.255,268.35,377.397,232.655,257.263,225.48,166.138,332.654,308.146,115.787,228.696,302.534,77.615,221.572,191.516,222.099,245.488,207.061,257.184,48.081,0,53.6,323.312,231.454,266.855,64.308,185.414,269.001,317.309,233.765,149.758,140.805,354.005,152.051,255.412,373.707,351.426,229.186,138.779,65.684,364.589,326.173,173.68,75.185,73.776,72.369,105.003
"Paulding",127.47,135.019,236.643,382.432,347.912,19.885,407.804,347.073,234.861,263.57,173.564,316.999,287.65,312.344,391.053,331.968,310.951,330.712,119.033,31.75,213.151,164.28,261.218,73.035,212.858,214.797,390.154,328.162,368.494,371.697,250.467,75.386,129.308,283.388,102.237,273.706,278.344,173.262,207.198,359.794,375.496,268.779,331.874,413.842,284.846,309.454,242.851,229.662,350.025,338.322,179.311,293.565,354.725,55.433,193.781,227.961,258.544,216.017,243.506,309.375,30.349,53.583,0,340.683,283.645,319.046,101.069,157.623,321.192,353.754,270.21,198.537,192.996,406.196,215.575,318.936,425.898,368.797,292.71,157.359,30.898,401.034,356.349,210.125,109.132,38.721,97.734,168.527
"Perry",436.63,219.488,164.271,43.717,393.244,333.196,283.94,169.171,203.47,317.279,349.838,452.174,464.478,124.686,147.936,232.744,200.064,65.272,443.121,312.944,261.325,189.974,455.654,302.975,425.402,228.93,437.423,13.742,81.246,224.066,463.011,297.38,390.476,477.824,279.941,393.358,332.053,236.906,141.842,407.063,36.781,184.978,126.803,461.111,311.325,363.163,101.908,186.536,8.247,63.511,246.091,109.466,273.369,393.89,473.921,440.505,434.935,476.369,416.033,268.148,313.054,323.029,341.407,0,347.362,309.824,241.267,437.763,277.205,401.023,464.646,161.738,275.601,272.532,201.302,137.597,302.134,30.082,139.834,402.23,369.479,423.104,112.521,409.079,225.427,328.446,256.421,248.406
"Pickaway",202.638,268.795,193.694,379.715,90.056,269.976,197.687,252.594,167.485,43.217,125.37,159.891,169.229,259.389,354.85,146.389,168.508,323.058,209.171,271.896,101.899,257.458,187.084,350.051,166.401,123.837,98.812,335.174,375.327,172.855,180.826,240.861,209.444,209.254,233.447,94.97,27.279,175.137,244.59,68.452,372.779,149.735,278.919,122.5,74.729,51.598,261.639,171.089,347.308,318.715,150.647,239.265,127.996,232.116,193.719,157.216,166.365,207.799,147.463,118.007,275.547,232.505,281.522,347.064,0,70.549,247.791,182.756,93.9,62.412,196.076,238.281,105.544,196.079,179.785,247.301,215.781,366.08,240.549,168.28,256.439,109.692,336.742,150.078,232.814,301.242,255.852,152.479
"Pike",242.868,294.748,215.878,350.022,57.25,305.606,131.336,186.243,119.206,52.683,159.852,202.845,264.542,202.28,255.249,101.102,123.221,275.984,249.359,307.526,127.852,283.411,255.718,376.004,231.64,146.021,142.656,305.481,327.041,106.504,249.46,266.814,249.674,277.888,259.4,143.516,43.319,201.09,266.774,121.564,343.086,115.753,201.138,172,38.337,31.33,307.288,193.273,317.615,268.445,161.638,247.908,58.817,267.746,280.159,225.85,234.999,276.433,216.097,50.749,311.177,268.135,317.152,317.371,70.598,0,273.744,244.001,38.215,88.44,264.71,271.147,141.174,108.567,201.969,180.95,111.75,336.387,186.27,208.468,292.069,110.193,279.754,215.317,258.767,361.998,281.805,178.432
"Portage",178.676,55.905,170.214,303.318,306.4,79.731,364.258,280.644,168.432,222.058,141.215,331.041,301.692,249.343,311.939,238.985,244.522,251.598,190.016,64.539,146.722,67.13,275.26,104.825,226.9,148.368,338.866,249.048,289.38,305.268,264.509,36.496,143.35,297.43,20.761,287.748,236.832,106.833,101.961,308.506,296.382,202.35,265.546,362.554,241.3,267.942,163.737,163.233,270.911,259.208,112.882,214.451,311.179,146.764,272.059,242.003,272.586,295.975,257.548,263.214,73.164,63.849,101.517,261.569,248.805,275.5,0,235.901,277.646,302.466,284.252,87.902,161.349,362.65,149.146,252.507,382.352,289.683,226.281,189.266,124.379,349.746,277.235,224.167,20.817,85.677,5.468,102.098
"Preble",50.644,290.025,285.696,471.717,272.347,176.258,332.239,386.914,259.487,188.005,102.588,145.582,116.233,351.391,446.852,277.415,299.534,415.06,42.207,189.373,170.855,295.681,52.103,230.658,39.398,215.839,240.928,427.176,467.329,307.407,44.893,218.192,103.147,72.563,222.341,124.48,202.779,259.715,336.194,210.568,464.781,266.138,370.921,264.616,209.281,233.889,353.641,263.091,439.31,410.717,185.456,331.267,279.16,103.22,36.158,49.981,87.127,58.394,77.74,252.559,187.972,186.482,157.623,439.066,182.666,243.481,236.685,0,245.627,204.528,55.278,322.135,161.645,330.631,271.787,358.777,350.333,458.082,332.551,45.596,127.543,251.808,428.744,52.434,247.562,196.344,244.746,221.435
"Putnam",244,295.88,129.659,311.192,81.68,306.738,92.506,147.413,102.4,76.71,160.984,253.37,265.674,163.45,216.419,56.829,78.948,237.154,250.491,308.658,128.984,235.684,256.85,377.136,232.772,147.153,167.443,266.651,288.211,67.674,250.592,267.946,250.806,279.02,260.532,194.554,66.609,202.222,194.518,146.351,304.256,92.954,162.308,196.787,39.562,67.075,268.458,121.33,278.785,229.615,162.77,209.078,36.218,268.878,281.291,226.982,236.131,277.565,217.229,12.58,312.309,269.267,318.284,278.541,93.888,32.923,274.876,245.133,0,124.685,265.842,207.407,142.306,90.898,132.907,142.12,110.6,297.557,147.44,209.6,293.201,134.98,240.924,216.449,259.899,363.13,282.937,179.564
"Richland",224.501,322.551,247.45,433.471,60.082,352.113,262.999,317.572,221.241,102.312,178.165,164.576,173.914,313.145,408.606,180.004,202.123,376.814,231.034,354.033,155.655,311.214,208.947,403.807,188.264,177.593,50.961,388.93,429.083,237.833,202.689,294.617,231.307,231.117,287.203,116.833,74.902,228.893,298.346,20.587,426.535,201.512,332.467,74.649,107.257,57.109,315.395,224.845,401.064,372.471,204.403,293.021,142.166,295.742,215.582,179.079,188.228,229.662,169.326,150.619,357.684,314.642,350.145,400.82,62.096,88.57,301.547,204.619,124.712,0,217.939,292.037,159.3,216.759,233.541,312.279,203.216,419.836,294.305,190.143,320.065,46.584,390.498,171.941,286.57,383.379,309.608,206.235
"Ross",145.919,339.603,312.854,498.875,289.959,273.531,353.3,408.207,286.645,205.617,148.518,96.918,67.569,378.549,474.01,304.462,326.581,442.218,99.309,275.451,221.059,345.259,10.826,325.525,61.588,242.997,255.616,454.334,494.487,328.468,14.283,267.77,152.725,17.341,271.919,119.305,220.391,309.293,385.772,225.256,491.939,293.185,398.079,241.501,230.342,251.501,380.799,290.249,466.468,437.875,231.386,358.425,300.221,217.16,25.561,48.98,38.463,11.722,68.435,273.62,279.102,236.06,271.563,466.224,197.354,264.542,286.263,57.102,266.688,219.216,0,371.713,207.575,351.692,298.945,385.935,371.394,485.24,359.709,111.561,241.483,266.496,455.902,77.154,297.14,304.797,294.324,271.639
"Sandusky",264.661,64.375,80.959,203.953,311.891,190.532,326.285,211.516,116.645,227.549,188.722,343.956,387.677,152.945,215.541,178.809,163.495,155.2,276.001,170.28,137.061,34.861,361.245,160.311,312.885,126.673,329.205,149.683,192.982,266.411,350.494,124.185,229.335,383.415,106.746,285.14,242.323,76.242,21.13,298.845,197.017,124.892,169.148,352.893,185.623,273.433,60.23,101.9,171.546,162.81,104.637,118.053,315.714,232.749,358.044,327.988,358.571,381.96,307.815,199.317,170.39,149.834,198.743,162.204,239.144,280.967,87.92,321.886,207.919,292.805,370.237,0,151.688,314.877,69.747,179.942,344.479,190.318,168.093,275.251,199.727,340.085,180.837,310.152,72.08,185.782,88.044,96.295
"Scioto",122.419,182.214,122.793,308.814,168.868,177.988,228.76,224.011,96.584,84.526,57.225,209.612,221.916,188.488,283.949,152.924,175.043,252.157,133.759,179.908,14.626,170.877,197.864,263.47,149.504,46.262,194.662,264.273,304.426,177.498,187.113,154.28,116.794,220.034,146.866,150.796,99.3,88.556,160.361,164.302,301.878,129.935,208.018,218.35,105.802,130.41,190.738,100.188,276.407,247.814,43.703,168.364,175.681,140.128,198.023,164.607,192.373,218.579,173.471,130.331,183.559,140.517,189.534,276.163,104.601,140.002,161.21,161.865,142.148,158.262,206.856,151.7,0,227.152,103.763,195.874,246.854,295.179,169.648,126.332,164.451,205.542,265.841,133.181,146.233,209.254,169.271,65.898
"Seneca",329.873,373.887,191.61,305.438,161.967,392.611,35.664,141.659,175.96,162.583,246.857,339.243,351.547,157.696,186.235,90.821,109.437,231.4,336.364,394.531,214.857,341.905,342.723,452.446,318.645,233.026,230.785,260.897,258.648,61.92,336.465,353.819,336.679,364.893,346.405,280.427,169.104,256.279,293.773,221.965,287.999,154.377,156.554,259.102,125.435,148.447,262.704,206.699,273.031,223.861,248.643,203.324,65.751,354.751,367.164,312.855,322.004,363.438,303.102,98.453,398.182,355.14,404.157,272.787,196.383,108.526,360.749,331.006,91.315,217.611,351.715,313.669,228.179,0,220.675,136.366,17.885,291.803,141.686,295.473,379.074,191.827,235.17,302.322,345.772,477.917,368.81,265.437
"Shelby",242.495,128.826,31.064,236.88,234.833,208.251,235.781,151.283,44.423,150.491,148.732,285.386,297.69,116.554,212.015,130.475,115.161,180.223,253.835,203.241,89.321,99.651,288.866,207.385,258.614,54.747,270.635,192.339,232.492,175.907,296.223,141.692,207.169,311.036,134.278,226.57,165.265,53.599,62.464,240.275,229.944,72.989,136.084,294.323,116.327,196.375,97.532,33.872,204.473,175.88,62.784,96.43,167.201,210.583,307.133,273.717,268.147,309.581,249.245,126.191,209.166,151.36,215.008,204.229,180.574,203.909,148.622,270.975,133.668,234.235,297.858,71.374,103.948,224.373,0,123.146,253.975,223.245,96.92,235.442,186.172,281.515,193.907,242.291,104.66,232.856,156.683,65.099
"Stark",356.423,238.792,91.24,170.343,258.34,310.561,149.036,32.045,107.036,213.569,269.631,371.967,384.271,42.234,71.774,97.84,65.16,96.305,362.914,327.32,181.118,206.81,375.447,317.351,345.195,148.723,327.158,125.802,147.362,89.162,382.804,244.002,309.479,397.617,236.588,313.151,220.09,155.909,158.678,318.338,163.407,86.574,21.459,355.475,176.421,226.245,127.609,106.329,137.936,88.766,165.094,68.229,138.465,312.893,393.714,360.298,354.728,396.162,335.826,133.244,327.43,253.67,317.318,137.692,247.369,174.92,250.932,357.556,142.301,313.984,384.439,178.574,195.394,137.628,120.305,0,167.23,156.708,25.899,322.023,288.482,288.2,100.075,328.872,239.803,342.822,258.993,167.409
"Summit",349.846,403.489,221.212,335.04,148.003,412.584,41.364,171.261,205.562,182.556,266.83,359.216,371.52,187.298,197.494,120.423,139.039,261.002,356.337,414.504,234.83,371.507,362.696,482.048,338.618,252.999,216.821,290.499,269.907,91.522,356.438,373.792,356.652,384.866,366.378,300.4,189.077,285.881,323.375,208.001,299.258,183.979,186.156,245.138,145.408,183.323,292.306,236.301,302.633,253.463,268.616,232.926,68.998,374.724,387.137,332.828,341.977,383.411,323.075,118.426,418.155,375.113,424.13,302.389,216.356,111.773,380.722,350.979,111.288,203.647,371.688,343.271,248.152,17.885,250.277,165.968,0,321.405,171.288,315.446,399.047,177.863,264.772,322.295,365.745,507.519,388.783,285.41
"Trumbull",456.385,247.828,184.026,37.195,412.999,361.536,257.039,133.593,223.225,337.034,369.593,471.929,484.233,144.441,113.859,252.499,219.819,53.538,462.876,341.284,281.08,218.314,475.409,331.315,445.157,248.685,457.178,50.4,37.913,243.821,482.766,325.72,410.231,497.579,308.281,413.113,351.808,256.661,170.182,426.818,26.868,204.733,146.558,480.866,331.08,382.918,130.248,206.291,21.691,54.155,265.846,132.677,293.124,413.645,493.676,460.26,454.69,496.124,435.788,287.903,341.394,351.369,369.747,29.939,367.117,329.579,269.607,457.518,296.96,420.778,484.401,190.078,295.356,292.287,221.057,157.352,321.889,0,159.589,421.985,389.234,442.859,55.255,428.834,253.767,356.786,284.761,268.161
"Tuscarawas",331.234,227.094,66.051,172.307,261.92,285.372,152.616,55.221,81.847,211.883,244.442,346.778,359.082,17.319,92.419,101.42,48.039,107.913,337.725,280.362,155.929,195.112,350.258,305.653,320.006,123.534,332.027,127.766,159.101,92.742,357.615,218.813,284.29,372.428,211.399,287.962,226.657,130.72,146.98,301.667,165.371,61.385,45.892,355.715,180.001,257.767,115.911,81.14,139.9,100.505,139.905,53.853,142.045,287.704,368.525,335.109,329.539,370.973,310.637,136.824,286.287,228.481,292.129,139.656,241.966,178.5,225.743,332.367,145.881,295.627,359.25,166.876,170.205,141.208,95.116,27.084,170.81,158.672,0,296.834,263.293,291.78,111.814,303.683,210.766,331.124,233.804,142.22
"Union",31.85,242.077,250.712,436.733,237.363,176.005,297.255,351.93,224.503,153.021,67.604,156.346,126.997,316.407,411.868,242.431,264.55,380.076,41.676,177.925,135.871,247.733,100.565,227.999,52.205,180.855,229.501,392.192,432.345,272.423,89.814,170.244,55.199,122.735,174.393,113.053,167.795,211.767,288.246,199.141,429.797,231.154,335.937,253.189,174.297,198.905,349.909,228.107,404.326,375.733,150.472,296.283,244.176,102.689,79.408,67.308,97.891,121.28,82.853,217.575,181.576,138.534,157.092,404.082,171.239,208.497,188.737,43.25,210.643,193.101,109.557,274.187,126.661,295.647,236.803,323.793,315.349,423.098,297.567,0,127.012,240.381,393.76,49.472,199.614,207.271,196.798,186.451
"Van Wert",97.388,177.817,207.305,403.332,318.574,49.531,378.466,317.735,205.523,234.232,143.482,286.917,257.568,283.006,378.467,302.63,281.613,346.675,88.951,62.646,183.813,183.473,231.136,103.931,182.776,185.459,360.072,358.791,398.944,342.359,220.385,84.026,99.226,253.306,110.133,243.624,249.006,143.924,208.088,329.712,396.396,239.441,302.536,383.76,255.508,280.116,285.649,200.324,370.925,342.332,149.973,262.882,325.387,25.351,163.699,197.879,228.462,185.935,213.424,280.037,61.245,65.833,30.896,370.681,254.307,289.708,124.477,127.541,291.854,323.672,240.128,209.927,163.658,376.858,186.237,289.598,396.56,389.697,263.372,127.277,0,370.952,360.359,180.043,135.354,69.617,132.538,139.189
"Vinton",271.864,369.914,294.813,455.545,53.028,399.476,237.193,291.766,268.604,138.309,225.528,184.376,193.714,307.803,360.772,189.492,259.544,381.507,278.397,401.396,203.018,358.577,256.31,451.17,235.627,224.956,36.474,411.004,432.564,212.027,250.052,341.98,278.67,278.48,334.566,164.196,126.085,276.256,345.709,43.329,448.609,237.509,306.661,64.791,148.229,93.113,362.758,272.208,423.138,373.968,251.766,340.384,135.112,343.105,262.945,226.442,235.591,277.025,216.689,145.243,405.047,362.005,397.508,422.894,109.459,110.27,348.91,251.982,132.709,46.584,265.302,339.4,206.663,190.953,280.904,286.473,177.41,441.91,291.793,237.506,367.428,0,385.277,219.304,333.933,430.742,356.971,253.598
"Warren",428.559,241.032,156.2,85.767,356.567,349.812,186.425,87.366,195.399,309.208,341.767,444.103,456.407,97.475,43.245,196.067,163.387,36.39,435.05,329.56,253.254,209.05,447.583,319.591,417.331,220.859,429.352,75.922,40.385,187.389,454.94,313.996,382.405,469.753,296.557,385.287,323.982,228.835,160.918,398.992,69.736,157.767,75.613,453.04,274.648,355.092,129.849,178.465,105.418,21.719,238.02,104.851,236.692,385.819,465.85,432.434,426.864,468.298,407.962,231.471,329.67,326.596,358.023,113.666,339.291,273.147,257.883,429.692,240.528,392.952,456.575,180.814,267.53,222.425,193.231,100.92,233.684,55.229,112.623,394.159,361.408,386.427,0,401.008,242.043,345.062,273.037,240.335
"Washington",83.82,277.504,256.48,442.501,221.979,211.432,303.023,357.698,230.271,158.789,73.372,122.718,93.369,322.175,417.636,248.199,270.318,385.844,90.353,213.352,141.639,283.16,66.937,263.426,18.577,186.623,206.902,397.96,438.113,278.191,56.186,205.671,90.626,89.107,209.82,71.432,173.563,214.877,323.673,176.542,435.565,236.922,341.705,230.59,180.065,204.673,324.425,233.875,410.094,381.501,156.24,302.051,249.944,155.061,63.558,33.68,64.263,87.652,40.116,223.343,217.003,173.961,209.464,409.85,148.64,214.265,224.164,52.293,216.411,170.502,75.929,309.614,132.429,301.415,242.571,329.561,321.117,428.866,303.335,49.462,179.384,217.782,399.528,0,235.041,242.698,232.225,192.219
"Wayne",189.569,42.74,129.052,269.469,292.174,90.624,350.032,274.065,154.206,207.832,152.108,341.934,312.585,215.494,278.09,224.759,230.296,217.749,200.909,75.432,132.496,51.496,286.153,120.734,237.793,134.142,324.64,215.199,255.531,328.96,275.402,47.389,154.243,308.323,31.654,298.641,222.606,73.959,86.327,294.28,262.533,188.124,231.697,348.328,227.074,253.716,125.427,149.007,237.062,225.359,98.656,180.602,296.953,157.657,282.952,252.896,283.479,306.868,268.441,248.988,81.357,74.742,109.71,227.72,234.579,261.274,20.805,246.794,263.42,288.24,295.145,72.268,147.123,348.424,104.322,242.491,368.126,255.834,212.055,200.159,135.272,335.52,243.386,235.06,0,106.643,26.45,87.872
"Williams",166.175,123.165,242.228,369.962,364.908,45.892,489.327,374.558,256.927,280.566,185.742,349.741,320.392,315.987,378.583,327.48,333.017,318.242,157.738,29.346,235.217,151.81,293.96,34.314,245.6,236.863,422.896,315.692,356.024,429.453,283.209,89.136,162.05,316.13,101.381,306.448,295.34,195.328,194.728,392.536,363.026,290.845,332.19,446.584,301.842,326.45,230.381,251.728,337.555,325.852,201.377,281.095,371.721,94.138,232.486,260.703,291.286,254.722,276.248,326.371,25.695,73.776,38.705,328.213,300.641,336.042,86.151,196.328,338.188,386.496,302.952,186.067,209.992,477.919,237.641,342.984,507.521,356.327,331.135,207.966,69.603,433.776,343.879,242.867,106.491,0,82.816,190.593
"Wood",186.905,51.625,178.443,299.038,314.629,89.779,372.487,288.873,176.661,230.287,149.444,339.27,309.921,245.063,307.659,247.214,252.751,247.318,198.245,69.527,154.951,56.854,283.489,100.545,235.129,156.597,347.095,244.768,285.1,313.497,272.738,46.429,151.579,305.659,28.99,295.977,245.061,115.062,102.491,316.735,292.102,210.579,261.266,370.783,249.529,276.171,159.457,171.462,266.631,254.928,121.111,210.171,319.408,154.993,280.288,250.232,280.815,304.204,265.777,271.443,69.637,72.078,97.99,257.289,257.034,283.729,5.471,244.13,285.875,310.695,292.481,88.432,169.578,370.879,157.375,272.06,390.581,285.403,234.51,197.495,132.608,357.975,272.955,232.396,25.831,82.15,0,110.327
"Wyandot",195.592,122.723,86.038,282.065,211.071,161.348,268.929,196.468,84.256,126.729,101.556,258.288,270.592,161.739,257.2,143.656,160.346,225.408,206.932,156.338,51.393,102.976,261.768,203.979,209.482,53.039,243.537,237.524,277.677,221.092,247.091,94.789,160.266,283.938,87.375,199.472,141.503,22.657,105.087,213.177,275.129,118.174,181.269,267.225,145.971,172.613,137.862,79.057,249.658,221.065,17.471,141.615,215.85,163.68,258.001,224.585,241.049,282.483,222.147,167.885,162.263,104.457,168.105,249.414,153.476,180.171,101.719,221.843,182.317,207.137,270.76,96.426,66.02,267.321,64.97,168.331,287.023,268.43,142.105,186.31,139.269,254.417,239.092,193.159,86.742,189.973,109.78,0
