"","Adams","Allen","Ashland","Ashtabula","Athens","Auglaize","Belmont","Brown","Butler","Carroll","Champaign","Clark","Clermont","Clinton","Columbiana","Coshocton","Crawford","Cuyahoga","Darke","Defiance","Delaware","Erie","Fairfield","Fayette","Franklin","Fulton","Gallia","Geauga","Greene","Guernsey","Hamilton","Hancock","Hardin","Harrison","Henry","Highland","Hocking","Holmes","Huron","Jackson","Jefferson","Knox","Lake","Lawrence","Licking","Logan","Lorain","Lucas","Madison","Mahoning","Marion","Medina","Meigs","Mercer","Miami","Monroe","Montgomery","Morgan","Morrow","Muskingum","Noble","Ottawa","Paulding","Perry","Pickaway","Pike","Portage","Preble","Putnam","Richland","Ross","Sandusky","Scioto","Seneca","Shelby","Stark","Summit","Trumbull","Tuscarawas","Union","Van Wert","Vinton","Warren","Washington","Wayne","Williams","Wood","Wyandot"
"Greene",465,252.366,192.641,53.964,402.944,361.146,217.897,135.882,231.84,345.649,378.208,480.544,492.848,143.852,74.717,242.444,209.764,46.134,471.491,340.894,289.695,220.384,484.024,330.925,453.772,257.3,465.793,70.829,0,233.766,491.381,325.33,418.846,506.194,307.891,421.728,360.423,265.276,172.252,435.433,37.933,204.144,121.99,489.481,321.025,391.533,141.183,214.906,73.615,48.448,274.461,131.58,283.069,422.26,502.291,468.875,463.305,504.739,444.403,277.848,341.004,363.037,369.357,81.863,375.732,319.524,269.217,466.133,286.905,429.393,493.016,192.148,303.971,253.897,229.672,147.297,265.156,37.915,159,430.6,397.849,432.804,39.302,437.449,253.377,356.396,284.371,276.776
"Guernsey",305.167,325.757,143.48,257.308,182.648,367.905,73.344,93.529,111.032,137.877,222.151,314.537,326.841,109.566,162.535,30.293,44.509,183.27,311.658,357.791,190.151,293.775,318.017,404.316,293.939,133.64,251.466,212.767,234.327,0,311.759,296.242,311.973,340.187,288.828,255.721,144.398,208.149,245.643,242.646,250.372,89.449,108.424,279.783,100.729,150.553,214.574,120.064,224.901,175.731,161.835,155.194,62.773,330.045,342.458,288.149,297.298,338.732,278.396,73.747,414.395,305.91,369.558,224.657,171.677,99.228,303.172,306.3,66.609,238.292,327.009,265.539,203.473,61.936,172.545,88.236,91.538,243.673,93.556,270.767,354.368,212.508,187.04,277.616,326.768,429.787,311.233,176.29
"Hamilton",95.537,319.166,311.189,497.21,273.827,253.094,337.168,392.075,284.98,189.485,128.081,100.689,71.34,376.884,472.345,288.33,310.449,440.553,87.1,255.014,196.348,324.822,7.21,305.088,41.151,241.332,239.484,452.669,492.822,312.336,0,247.333,132.288,31.74,251.482,103.173,204.259,288.856,365.335,209.124,490.274,277.053,396.414,245.272,214.21,235.369,379.134,288.584,464.803,436.21,210.949,356.76,284.089,196.723,21.577,19.125,42.234,26.178,52.303,257.488,258.665,215.623,251.126,464.559,181.222,248.41,265.826,44.893,250.556,203.084,14.455,351.276,187.138,335.56,297.28,384.27,355.262,483.575,358.044,91.124,221.046,250.364,454.237,56.717,276.703,284.36,273.887,246.928
"Hancock",160.272,91.661,163.451,339.074,299.637,64.279,357.495,273.881,161.669,215.295,129.907,312.637,283.288,239.152,334.613,232.222,237.759,287.354,171.612,56.29,139.959,97.317,256.856,93.565,208.496,141.605,332.103,284.804,325.136,298.505,246.105,0,124.946,279.026,17.406,269.344,230.069,100.07,137.83,301.743,332.138,195.587,258.682,355.791,234.537,261.179,199.493,156.47,306.667,294.964,106.119,219.028,304.416,128.36,253.655,223.599,254.182,277.571,239.144,256.451,62.215,30.729,75.386,297.325,242.042,268.737,36.049,217.497,270.883,295.703,265.848,123.771,154.586,355.887,142.383,245.744,375.589,325.439,219.518,170.862,83.809,342.983,312.991,205.763,46.926,88.47,41.317,95.335
"Hardin",42.637,197.234,230.305,426.332,278.909,131.162,338.801,340.735,230.954,194.567,54.23,197.688,168.339,306.006,401.467,255.884,278.003,369.675,49.38,133.082,129.278,202.89,141.907,183.156,93.547,187.306,270.843,381.791,421.944,313.969,131.156,125.401,0,164.077,129.55,154.395,209.341,166.924,243.403,240.483,419.396,262.441,325.536,294.531,215.843,240.451,305.066,223.324,393.925,365.332,131.273,285.882,285.722,74.791,138.706,108.65,139.233,162.622,124.195,233.291,136.733,93.691,129.194,393.681,212.581,250.043,143.894,102.548,252.189,234.443,150.899,229.344,116.912,337.193,209.237,312.598,356.895,412.697,286.372,55.913,99.114,281.723,383.359,90.814,154.771,162.428,151.955,162.189
"Harrison",158.471,352.155,325.406,511.427,302.511,286.083,365.852,420.759,299.197,218.169,161.07,95.424,75.149,391.101,486.562,317.014,339.133,454.77,165.004,288.003,233.611,357.811,33.016,338.077,74.14,255.549,268.168,466.886,507.039,341.02,31.568,280.322,165.277,0,284.471,131.857,232.943,321.845,398.324,237.808,504.491,305.737,410.631,249.081,242.894,264.053,393.351,302.801,479.02,450.427,243.938,370.977,312.773,229.712,34.301,61.532,47.775,12.929,80.987,286.172,291.654,248.612,284.115,478.776,209.906,277.094,298.815,74.387,279.24,231.768,17.341,384.265,220.127,364.244,311.497,398.487,383.946,497.792,372.261,124.113,254.035,279.048,468.454,89.706,309.692,317.349,306.876,284.191
"Henry",164.514,72.989,156.052,320.402,292.238,75.667,350.096,266.482,154.27,207.896,127.053,316.879,287.53,231.753,329.023,224.823,230.36,268.682,175.854,68.537,132.56,78.645,261.098,121.909,212.738,134.206,324.704,266.132,306.464,291.106,250.347,17.869,129.188,283.268,0,273.586,222.67,92.671,119.158,294.344,313.466,188.188,251.283,348.392,227.138,253.78,180.821,149.071,287.995,276.292,98.72,211.629,297.017,132.602,257.897,227.841,258.424,281.813,243.386,249.052,74.462,49.687,91.295,278.653,234.643,261.338,19.649,221.739,263.484,288.304,270.09,105.099,147.187,348.488,134.984,238.345,368.19,306.767,212.119,175.104,110.217,335.584,294.319,210.005,30.526,100.715,27.71,87.936
"Highland",144.774,338.458,240.002,426.023,157.421,272.386,280.448,335.355,213.793,132.765,98.414,70.632,68.994,305.697,401.158,231.61,253.729,369.366,151.307,274.306,148.207,303.766,109.117,324.38,73.65,170.145,142.344,381.482,421.635,255.616,102.859,266.625,151.58,131.287,270.774,0,100.032,221.445,290.898,111.984,419.087,220.333,325.227,166.032,157.49,134.432,307.947,217.397,393.616,365.023,181.993,285.573,227.369,216.015,115.752,79.249,88.398,129.832,50.372,200.768,277.957,234.915,270.418,393.372,84.082,143.303,285.118,124.892,193.836,105.944,118.109,284.589,152.114,278.84,226.093,313.083,298.542,412.388,286.857,110.416,240.338,153.224,383.05,71.475,295.995,303.652,293.179,198.787
"Hocking",202.869,261.687,179.834,365.855,72.857,264.719,170.408,225.315,153.625,15.938,119.853,159.525,220.691,245.529,294.321,119.11,141.229,309.198,209.36,266.639,94.791,250.35,211.867,342.943,191.641,109.977,126.092,321.314,361.467,145.576,205.609,233.753,209.675,234.037,226.339,100.196,0,168.029,230.73,95.732,358.919,122.456,240.21,149.78,47.45,34.399,247.779,157.229,333.448,304.855,128.577,225.405,100.717,226.859,218.502,181.999,191.148,232.582,172.246,90.728,270.29,227.248,276.265,333.204,27.279,43.27,240.683,204.002,66.621,78.799,220.859,235.103,100.287,168.8,165.925,220.022,188.502,352.22,226.689,168.469,251.182,125.8,322.882,175.318,225.706,295.985,248.744,145.371
"Holmes",199.409,98.949,74.812,270.839,232.196,165.165,269.74,185.242,73.03,147.854,122.681,279.413,291.717,150.513,245.974,164.434,149.12,214.182,210.749,160.155,72.518,91.942,295.993,207.796,247.633,64.292,264.662,226.298,266.451,209.866,285.242,98.606,164.083,318.163,91.192,220.597,162.628,0,84.901,234.302,263.903,106.948,170.043,288.35,167.096,193.738,117.676,67.831,238.432,209.839,38.596,130.389,195.808,167.497,292.792,262.736,262.174,316.708,243.272,154.798,166.08,108.274,171.922,238.188,174.601,201.296,105.536,256.634,162.275,228.262,304.985,76.24,87.145,258.332,53.744,157.105,287.934,257.204,130.879,209.999,143.086,275.542,227.866,244.9,74.288,193.79,113.597,22.013
"Huron",279.593,78.819,68.446,181.695,299.378,199.738,304.027,189.258,104.132,215.036,197.928,349.931,362.235,130.687,193.283,166.296,202.145,132.942,290.933,179.486,146.267,49.305,376.177,169.517,327.817,112.52,335.18,127.425,170.724,244.153,365.426,139.117,244.267,398.347,121.678,291.115,229.81,85.448,0,304.82,174.759,112.379,146.89,358.868,173.11,260.92,37.972,89.387,149.288,140.552,113.843,95.795,293.456,247.681,372.976,342.92,332.692,396.892,313.79,186.804,179.596,164.766,207.949,139.946,245.119,268.454,102.852,336.818,195.406,298.78,385.169,21.069,160.894,292.619,62.687,157.684,322.221,168.06,145.835,290.183,208.933,346.06,158.579,325.084,87.012,194.988,102.976,105.501
"Jackson",230.862,328.912,253.811,439.832,64.21,358.474,267.127,321.7,227.602,111.675,184.526,143.016,152.354,319.506,414.967,233.467,255.586,383.175,237.395,360.394,162.016,317.575,215.308,410.168,194.625,183.954,30.308,395.291,435.444,241.961,209.05,300.978,237.668,237.478,293.564,123.194,95.737,235.254,304.707,0,432.896,237.197,336.595,53.996,164.141,66.288,321.756,231.206,407.425,378.832,210.764,299.382,146.294,302.103,221.943,185.44,194.589,236.023,175.687,156.425,364.045,321.003,356.506,407.181,68.457,121.452,307.908,210.98,143.891,20.586,224.3,298.398,165.661,220.887,239.902,316.407,207.344,426.197,300.666,196.504,326.426,43.344,396.859,178.302,292.931,389.74,315.969,212.596
"Jefferson",463.158,254.601,190.799,18.078,419.772,368.309,247.271,165.256,229.998,343.807,376.366,478.702,491.006,151.214,104.091,259.272,226.592,83.536,469.649,348.057,287.853,225.087,482.182,338.088,451.93,255.458,463.951,57.173,37.401,250.594,489.539,332.493,417.004,504.352,315.054,419.886,358.581,263.434,176.955,433.591,0,211.506,153.331,487.639,337.853,389.691,137.021,213.064,28.464,84.508,272.619,139.45,299.897,420.418,500.449,467.033,461.463,502.897,442.561,294.676,348.167,358.142,376.52,36.712,373.89,336.352,276.38,464.291,303.733,427.551,491.174,196.851,302.129,283.271,227.83,164.125,294.53,22.165,166.362,428.758,396.007,449.632,68.676,435.607,260.54,363.559,291.534,274.934
"Knox",264.843,182.553,42.258,225.811,172.84,261.623,168.841,116.411,33.351,114.974,184.14,280.071,292.375,71.812,153.609,56.367,47.742,169.154,271.334,256.613,98.874,153.378,283.551,261.112,253.615,69.539,265.32,181.27,205.638,92.792,291.224,195.064,260.541,305.721,187.65,221.255,121.495,106.971,112.212,234.96,218.875,0,107.082,289.008,77.612,130.729,111.675,36.458,193.404,147.042,116.156,77.546,127.448,263.955,302.134,268.718,262.832,304.266,243.93,79.978,262.538,204.732,268.38,193.16,148.774,115.724,201.994,265.976,93.915,184.653,292.543,125.101,113.487,157.433,71.367,88.274,187.035,212.176,62.048,230.443,239.544,225.783,158.351,237.292,187.017,290.248,210.055,118.471
"Lake",369.965,228.749,97.606,160.3,276.752,324.893,167.448,52.679,125.472,231.981,283.173,385.509,397.813,22.83,61.789,116.252,83.572,86.262,376.456,317.277,194.66,196.767,388.989,307.308,358.737,162.265,345.57,115.759,122.563,107.574,396.346,258.334,323.811,411.159,250.92,326.693,238.502,170.241,148.635,336.75,153.364,105.01,0,373.887,194.833,244.657,117.566,119.871,127.893,63.967,179.426,58.186,156.877,327.225,407.256,373.84,368.27,409.704,349.368,151.656,317.387,268.002,331.65,127.649,265.781,193.332,245.6,371.098,160.713,332.396,397.981,168.531,208.936,156.04,134.637,21.105,185.642,146.665,44.335,335.565,302.814,306.612,75.276,342.414,229.76,332.779,260.754,181.741
