"","Adair","Allen","Anderson","Ballard","Barren","Bath","Bell","Boone","Bourbon","Boyd","Boyle","Bracken","Breathitt","Breckinridge","Bullitt","Butler","Caldwell","Calloway","Campbell","Carlisle","Carroll","Carter","Casey","Christian","Clark","Clay","Clinton","Crittenden","Cumberland","Daviess","Edmonson","Elliott","Estill","Fayette","Fleming","Floyd","Franklin","Fulton","Gallatin","Garrard","Grant","Graves","Grayson","Green","Greenup","Hancock","Hardin","Harlan","Harrison","Hart","Henderson","Henry","Hickman","Hopkins","Jackson","Jefferson","Jessamine","Johnson","Kenton","Knott","Knox","Larue","Laurel","Lawrence","Lee","Leslie","Letcher","Lewis","Lincoln","Livingston","Logan","Lyon","Madison","Magoffin","Marion","Marshall","Martin","Mason","McCracken","McCreary","McLean","Meade","Menifee","Mercer","Metcalfe","Monroe","Montgomery","Morgan","Muhlenberg","Nelson","Nicholas","Ohio","Oldham","Owen","Owsley","Pendleton","Perry","Pike","Powell","Pulaski","Robertson","Rockcastle","Rowan","Russell","Scott","Shelby","Simpson","Spencer","Taylor","Todd","Trigg","Trimble","Union","Warren","Washington","Wayne","Webster","Whitley","Wolfe","Woodford"
"Cumberland",493.051,120.1,428.462,309.119,317.918,57.803,82.557,206.481,200.068,287.536,242.858,309.538,112.666,274.425,378.486,315.486,340.243,574.264,370.69,243.26,354.027,239.326,436.953,479.707,332.639,557.827,675.911,327.054,0,495.226,368.911,193.392,97.034,247.268,49.847,206.871,403.737,672.536,353.79,108.32,222.878,638.33,216.366,326.326,272.656,483.402,563.645,36.409,264.941,352.232,542.261,511.432,701.986,518.94,112.666,361.572,278.393,103.771,349.028,74.95,109.302,129.653,141.011,192.071,399.731,310.777,36.585,267.41,112.481,178.35,422.639,563.658,233.496,156.322,579.663,609.204,112.643,304.187,624.871,183.192,495.521,419.456,179.674,478.513,293.222,314.472,508.622,315.736,468.35,473.559,243.26,455.916,367.939,296.494,104.719,352.168,63.356,99.397,176.264,208.819,290.33,537.699,203.306,247.201,683.41,321.536,129.887,339.554,292.835,447.689,517.367,216.803,350.08,109.621,303.126,233.764,401.382,144.579,141.558,269.789
"Daviess",35.832,479.695,105.302,239.245,178.522,484.444,423.564,353.208,304.732,336.175,259.704,385.299,419.342,337.765,194.251,329.99,326.09,232.374,331.063,340.536,252.419,431.093,84.394,139.661,206.082,87.091,269.654,308.44,492.003,0,115.571,432.17,492.943,296.074,518.303,315.423,148.764,266.279,276.274,387.452,463.479,232.073,441.144,173.272,478.433,40.848,216.514,474.122,328.281,154.548,49.146,19.564,295.729,86.821,419.342,173.606,287.921,457.113,323.711,474.806,398.843,373.864,353.881,507.331,94.266,232.96,491.702,442.398,394.36,357.051,123.352,157.401,328.1,442.628,132.572,202.947,483.821,313.045,218.614,345.757,34.441,115.718,385.46,61.391,207.186,175.005,160.884,326.807,68.158,73.394,340.536,47.031,226.819,332.604,501,219.525,449.622,512.098,356.752,310.289,366.93,173.37,389.744,478.183,277.153,219.921,417.825,229.315,215.158,117.211,169.629,295.74,306.211,417.941,379.726,291.413,147.269,398.27,391.216,267.902
"Edmonson",118.738,388.151,78.798,170.036,51.795,357.717,296.837,234.464,178.005,295.195,190.495,305.751,352.973,270.638,125.042,310.811,306.911,259.006,311.884,271.327,233.24,364.724,45.892,166.354,165.499,178.202,296.286,289.261,365.276,115.601,0,365.801,371.706,226.865,391.576,188.696,72.196,292.911,257.095,260.725,397.11,258.705,374.775,70.579,412.064,109.08,243.146,347.395,261.154,51.721,162.636,131.807,322.361,139.315,352.973,154.662,218.712,331.145,304.532,348.079,272.116,247.137,227.154,440.962,30.819,106.233,364.975,376.029,267.633,230.324,91.098,184.033,258.891,376.259,200.038,229.579,380.694,281.547,245.246,219.03,115.896,127.528,319.091,98.888,80.459,62.935,187.577,293.096,108.893,93.934,271.327,76.291,207.64,273.854,413.863,200.346,322.895,424.961,290.383,183.562,297.721,200.002,323.375,411.814,303.785,186.768,351.456,160.106,101.874,116.148,196.322,169.013,287.032,291.214,310.517,164.686,143.474,271.543,324.847,198.693
"Elliott",393.355,91.273,412.401,209.423,365.283,149.086,232.109,179.553,244.362,173.801,204.618,140.303,81.098,160.69,278.79,178.601,187.941,576.664,205.141,112.595,254.331,59.137,369.106,484.012,232.943,495.86,613.944,227.358,193.656,433.63,375.831,0,111.679,147.572,161.809,236.137,426.482,610.569,254.094,185.598,52.156,576.363,36.177,317.052,76.169,383.706,560.804,210.269,151.206,329.937,467.285,449.836,640.019,456.973,81.098,261.876,178.697,118.869,200.557,131.825,225.61,176.532,180.622,62.837,368.78,355.071,168.261,87.221,189.759,211.212,445.384,501.691,153.513,65.315,517.696,547.237,95.399,204.491,562.904,284.865,433.925,319.76,73.467,416.546,337.516,320.063,505.235,162.742,426.551,411.592,112.595,394.32,268.243,196.798,112.578,252.472,130.708,123.676,106.892,240.513,125.541,517.66,42.425,75.919,621.443,221.84,63.544,239.858,282.551,470.434,513.98,261.097,250.384,244.708,116.474,278.058,301.686,226.785,67.825,170.093
"Estill",454.063,24.959,432.541,270.131,321.997,46.07,158.91,198.964,204.147,248.548,235.341,226.356,96.308,235.437,339.498,276.498,301.255,637.372,331.702,204.272,315.039,144.185,429.814,483.786,293.651,556.568,674.652,288.066,97.462,494.338,372.99,108.772,0,208.28,50.129,210.95,407.816,671.277,314.802,112.399,127.737,637.071,121.225,330.405,177.515,444.414,621.512,137.07,225.953,356.311,527.993,510.544,700.727,517.681,96.308,322.584,239.405,87.413,310.04,28.809,152.411,133.732,145.09,96.93,429.488,314.856,65.245,172.269,116.56,170.833,426.718,562.399,196.235,55.159,578.404,607.945,17.502,265.199,623.612,230.59,494.633,380.468,124.481,477.254,297.301,318.551,512.701,276.748,487.259,472.3,204.272,455.028,328.951,257.506,50.671,313.18,55.839,61.769,137.276,212.898,211.594,541.778,130.356,152.06,682.151,282.548,93.933,300.566,296.914,451.768,521.446,220.882,311.092,171.509,202.527,237.843,362.394,190.402,102.935,230.801
"Fayette",258.712,194.446,274.382,71.404,227.264,219.179,185.229,62.988,127.797,83.496,60.166,94.515,134.093,59.402,144.147,109.804,105.904,438.645,136.351,58.689,119.688,145.844,231.087,345.993,98.3,357.841,475.925,92.715,246.651,295.611,237.812,146.921,207.694,0,253.038,119.572,288.463,472.55,119.451,149.136,178.23,438.344,155.895,179.033,193.184,249.063,422.785,235.787,49.918,191.918,342.646,311.817,502,318.954,134.093,127.233,27.488,171.864,114.689,206.5,160.508,135.548,115.565,222.082,230.761,238.506,226.437,157.149,156.044,94.647,307.365,363.672,37.88,157.379,379.677,409.218,198.572,69.848,424.885,168.3,295.906,185.117,100.211,278.527,220.951,182.044,367.216,81.397,288.532,273.573,58.689,256.301,133.6,62.155,215.751,117.829,183.703,226.849,71.503,123.948,85.083,379.641,104.495,192.934,483.424,87.197,132.576,109.139,144.532,332.415,375.961,144.532,115.741,179.606,97.879,161.493,167.043,159.935,105.967,32.074
"Fleming",499.469,72.878,452.537,315.537,341.993,29.897,132.607,218.96,224.143,293.954,255.337,276.526,119.084,280.843,384.904,321.904,346.661,598.339,377.108,249.678,360.445,194.355,461.028,503.782,339.057,581.902,699.986,333.472,50.469,519.301,392.986,158.942,50.169,253.686,0,230.946,427.812,696.611,360.208,132.395,177.907,662.405,171.395,350.401,227.685,489.82,587.72,86.459,271.359,376.307,566.336,535.507,726.061,543.015,119.084,367.99,284.811,110.189,355.446,47.16,159.352,153.728,165.086,147.1,423.806,334.852,43.347,222.439,136.556,190.829,446.714,587.733,245.975,105.329,603.738,633.279,65.421,310.605,648.946,250.586,519.596,425.874,174.651,502.588,317.297,338.547,532.697,322.154,492.425,497.634,249.678,479.991,374.357,302.912,64.8,358.586,69.774,59.478,182.682,232.894,261.764,561.774,180.526,202.23,707.485,327.954,136.305,345.972,316.91,471.764,541.442,240.878,356.498,159.671,252.697,257.839,407.8,210.398,147.976,276.207
"Floyd",343.319,227.317,247.438,97.951,136.894,196.883,144.964,53.657,25.226,200.79,51.257,219.723,174.799,184.61,158.138,227.098,223.198,393.24,253.645,173.673,194.612,231.422,255.929,298.683,155.323,376.803,494.887,210.009,204.442,314.202,187.887,232.499,210.872,119.744,230.742,0,222.713,491.512,236.745,99.891,263.808,457.306,241.473,145.302,278.762,262.675,382.621,195.522,175.126,171.208,361.237,330.408,520.962,337.916,174.799,184.256,82.748,173.576,231.983,187.245,120.243,86.303,66.32,307.66,218.707,129.753,204.141,242.727,106.799,54.371,241.615,382.634,85.521,242.957,398.639,428.18,219.86,187.142,443.847,69.682,314.497,208.966,185.789,297.489,112.198,133.448,327.598,198.691,287.326,292.535,173.673,274.892,190.623,179.449,253.029,174.852,162.061,264.127,157.081,5.289,200.067,356.675,190.073,278.512,502.386,144.22,218.154,138.975,111.811,266.665,336.343,38.699,233.035,139.341,212.863,63.452,224.066,119.67,191.545,109.699
"Franklin",170.585,423.162,49.499,230.735,86.806,392.728,331.848,269.475,213.016,355.894,251.194,366.45,413.672,331.337,185.741,371.51,367.61,187.237,372.583,332.026,293.939,425.423,83.195,92.68,226.198,185.605,269.424,349.96,400.287,141.468,72.642,426.5,406.717,287.564,426.587,223.707,0,266.049,317.794,295.736,457.809,231.843,435.474,121.49,472.763,175.601,176.618,382.406,321.853,102.632,188.503,157.674,295.499,146.718,413.672,215.361,279.411,366.156,365.231,383.09,307.127,282.148,262.165,501.661,85.105,141.244,399.986,436.728,302.644,265.335,33.788,161.156,296.485,436.958,178.426,192.707,415.705,342.246,218.384,254.041,141.763,191.476,379.79,95.866,115.47,114.441,121.595,353.795,92.179,100.162,332.026,102.158,268.339,334.553,448.874,261.045,357.906,459.972,351.082,218.573,358.42,150.672,384.074,472.513,276.923,247.467,412.155,220.805,153.38,60.662,130.34,204.024,347.731,326.225,371.216,199.697,221.014,306.554,385.546,259.392
"Fulton",314.607,658.916,253.811,415.626,355.279,661.201,600.321,529.589,481.489,540.785,436.085,551.341,598.563,516.228,370.632,556.401,552.501,56.178,557.474,516.917,478.83,610.314,261.151,168.737,411.089,172.662,23.587,534.851,668.76,265.361,292.328,611.391,672.164,472.455,695.06,492.18,275.545,0,502.685,564.209,642.7,38.871,620.365,349.653,657.654,319.623,77.046,650.879,506.744,330.929,243.087,239.216,31.067,183.863,598.563,400.252,464.302,636.334,550.122,651.563,575.6,550.621,530.638,686.552,271.023,409.717,668.459,621.619,571.117,533.808,239.52,108.19,504.481,621.849,138.293,89.167,663.042,527.137,74.792,522.514,223.007,341.731,564.681,202.305,383.943,351.386,146.038,538.686,194.798,209.757,516.917,246.18,453.23,519.444,680.221,445.936,626.379,691.319,535.973,487.046,543.311,133.944,568.965,657.404,31.086,432.358,597.046,405.696,391.539,216.394,142.264,472.497,532.622,594.698,556.107,468.17,367.812,575.027,570.437,444.283
