"","Anderson","Andrews","Angelina","Aransas","Archer","Armstrong","Atascosa","Austin","Bailey","Bandera","Bastrop","Baylor","Bee","Bell","Bexar","Blanco","Borden","Bosque","Bowie","Brazoria","Brazos","Brewster","Briscoe","Brooks","Brown","Burleson","Burnet","Caldwell","Calhoun","Callahan","Cameron","Camp","Carson","Cass","Castro","Chambers","Cherokee","Childress","Clay","Cochran","Coke","Coleman","Collin","Collingsworth","Colorado","Comal","Comanche","Concho","Cooke","Coryell","Cottle","Crane","Crockett","Crosby","Culberson","Dallam","Dallas","Dawson","Deaf Smith","Delta","Denton","DeWitt","Dickens","Dimmit","Donley","Duval","Eastland","Ector","Edwards","El Paso","Ellis","Erath","Falls","Fannin","Fayette","Fisher","Floyd","Foard","Fort Bend","Franklin","Freestone","Frio","Gaines","Galveston","Garza","Gillespie","Glasscock","Goliad","Gonzales","Gray","Grayson","Gregg","Grimes","Guadalupe","Hale","Hall","Hamilton","Hansford","Hardeman","Hardin","Harris","Harrison","Hartley","Haskell","Hays","Hemphill","Henderson","Hidalgo","Hill","Hockley","Hood","Hopkins","Houston","Howard","Hudspeth","Hunt","Hutchinson","Irion","Jack","Jackson","Jasper","Jeff Davis","Jefferson","Jim Hogg","Jim Wells","Johnson","Jones","Karnes","Kaufman","Kendall","Kenedy","Kent","Kerr","Kimble","King","Kinney","Kleberg","Knox","La Salle","Lamar","Lamb","Lampasas","Lavaca","Lee","Leon","Liberty","Limestone","Lipscomb","Live Oak","Llano","Loving","Lubbock","Lynn","Madison","Marion","Martin","Mason","Matagorda","Maverick","McCulloch","McLennan","McMullen","Medina","Menard","Midland","Milam","Mills","Mitchell","Montague","Montgomery","Moore","Morris","Motley","Nacogdoches","Navarro","Newton","Nolan","Nueces","Ochiltree","Oldham","Orange","Palo Pinto","Panola","Parker","Parmer","Pecos","Polk","Potter","Presidio","Rains","Randall","Reagan","Real","Red River","Reeves","Refugio","Roberts","Robertson","Rockwall","Runnels","Rusk","Sabine","San Augustine","San Jacinto","San Patricio","San Saba","Schleicher","Scurry","Shackelford","Shelby","Sherman","Smith","Somervell","Starr","Stephens","Sterling","Stonewall","Sutton","Swisher","Tarrant","Taylor","Terrell","Terry","Throckmorton","Titus","Tom Green","Travis","Trinity","Tyler","Upshur","Upton","Uvalde","Val Verde","Van Zandt","Victoria","Walker","Waller","Ward","Washington","Webb","Wharton","Wheeler","Wichita","Wilbarger","Willacy","Williamson","Wilson","Winkler","Wise","Wood","Yoakum","Young","Zapata","Zavala"
"Culberson",516.433,166.717,552.917,485.167,387.883,501.1,356.483,398.75,474.3,318.583,419.317,451.55,428.217,475.667,338.517,343.2,430.983,450.933,431.417,531.45,357.333,93.633,463.383,347.05,193.9,396.45,354.5,471.833,494.417,286.083,464.517,523.433,498.717,582.083,341.917,539.917,338.2,383.817,504.583,477.25,504.317,313.6,432.433,97.433,432.65,350.05,351.467,293.55,440.75,426.683,352.917,147.833,539.9,520.5,0,446.75,417.683,459.967,353.917,489.7,420.9,435.3,304.2,341.917,397.9,458.017,315.317,480.05,255.683,101.033,426.117,442.067,467.667,448.617,436.467,260.35,467.883,366.233,497.95,503.867,498.683,399.617,197.917,546.583,262.367,301.767,182.5,437.783,398.217,572.933,462.433,517.817,250.383,270.9,307.05,564.883,384.933,467.617,389.25,551.667,444.65,456.7,431.95,311.1,396.167,632.683,535.333,563.083,429.783,492.9,450.833,485.283,498.917,436.933,28.667,295.967,433.033,221.267,396.5,552.05,626.167,79.267,557.583,491.467,452.55,247.683,474.85,397.233,442.383,310.967,404.467,32.633,290.883,247.283,432.983,299.183,426.733,338.367,491.983,486.867,295.4,380.633,339.65,391.617,506.283,539.733,484.2,495.233,342.233,321.917,380.05,270.233,242.333,524.85,359.017,616.15,287.8,538.6,439.033,504.117,451.117,410.45,318.2,267.217,154.35,623.583,470.75,307.967,445.117,529.15,369.65,533.55,332.517,580.2,467.05,639.233,254.45,447.983,483.7,542.6,594.3,352.7,558.417,438.433,309.55,76.483,111.017,364.517,123.933,490.017,354.583,479.4,300.15,538.033,76.483,461.167,110.8,594.183,439.917,282.183,539.917,589.55,606.2,543.733,434.067,344.333,219.3,448.4,303,468.167,462.433,436.25,395.667,569.767,329.233,212.65,321.783,495.117,326.55,406.55,429.217,445.067,582.267,337.05,515.433,250.15,463.617,566.35,500.85,526.15,428.483,329.067,554.2,465.383,465.817,546.65,493.4,507.55,505.383,430.117,486.017,455.983,397.1,390.8,528.617,504.033,252.717,483.117,463.217,506.083,432.1,494.133,507.45,617.6
"Dallam",574.3,285.233,561.067,681.717,313.05,697.667,553.05,548.45,452.317,515.133,579.117,473.083,624.767,425.683,535.083,533.65,634.167,484.517,339.7,668.25,409.983,449.633,159.267,543.6,268.45,410.867,501.1,563.467,690.967,343.367,528.783,527.5,455.217,586.15,116.75,653.133,474.25,196.267,576.9,600.433,508.367,370.883,423.833,400.283,592.433,546.617,408.75,373.717,384.567,483.967,223.317,343.967,553.167,631.283,446.467,0,422.633,474.383,93.7,488.05,396.567,631.85,228.983,116.75,139.117,654.567,372.583,433.533,479.933,400.533,439.383,481.217,494.933,645.183,604.633,293.15,461.167,245.85,641.283,532.367,511.95,596.167,259.583,662.7,220.617,492.217,312.85,634.333,594.783,581.083,418.4,525.95,307.667,180.7,146.617,573.017,442.217,77.583,226.5,644.833,484.767,477.2,16.8,308.65,561.45,640.817,543.467,759.65,444.2,604.033,380.733,489.333,615.033,450.183,469.233,492.517,71.617,380.55,352.783,560.183,657.967,449.933,565.733,688.033,649.1,229.067,482.983,593.783,451.3,507.517,601.017,413.683,487.433,443.383,17.633,542.167,435.65,273.333,688.533,683.417,162.683,477.8,536.217,109.667,519.55,650.75,504.267,158.517,538.783,474.867,342.517,183.717,206.517,538.117,555.567,631.833,448.983,713.917,430.917,561.6,470.3,607.017,514.75,410.733,299.467,631.717,423.7,365.25,349.633,589.15,566.2,537.6,206,588.333,480.317,677.567,311.733,644.533,111.617,555.85,710.7,397.45,566.55,432.783,144.4,374.9,408.917,84.117,528.333,494.083,99.633,502.1,496.7,509.6,374.9,657.717,405.517,700.067,441.3,352.317,548.05,702.767,614.333,567.317,630.633,458.417,405.35,457.317,357.317,617.3,418.4,505.083,450.767,778.767,362.5,322.283,512.233,534.517,128.333,408,545.833,450.533,698.667,324.367,519.483,361.5,505.683,579.6,508.983,534.283,589.683,538.783,750.767,473.533,662.367,559.917,600.267,519.95,582.15,639.467,672.833,157.65,296.117,255.067,725.167,559.383,201.383,496.367,471.35,512.85,628.667,507.4,716.45,625.733
"Dallas",155.717,297.25,142.383,361.417,136.133,388.583,253.117,165.483,69.15,273.3,190.717,83.967,307.017,70.533,231.767,222.683,245.05,95.417,87.35,249.65,81.05,424.733,311,237.85,264.867,42.6,181.883,174.367,316.2,137.883,139.683,110.217,93.567,168.867,359.333,234.55,210.933,226.133,187.8,196.233,91.083,168.383,32.233,511.483,204.033,210.2,139.233,226.25,65.3,120.55,234.533,319.067,134.567,212.7,416.733,419.85,0,77.333,383.35,76.483,41.683,260.417,262.533,359.333,282.383,345.483,110.7,74.9,331.983,515.083,31.95,92.1,105.833,303,215.517,204.083,54.667,200.65,223.767,130.067,93.35,287.083,321.317,244.117,257.117,256.933,271.5,293.5,222.833,162.4,57.3,107.267,179.067,301.467,325.967,154.333,131.317,403.6,198.783,226.25,95.667,88.083,405.05,199.617,179.517,222.133,124.783,450.567,55.033,199.833,75.383,72.067,196.45,42.767,442.733,295.767,369.017,270.1,101.433,141.5,239.283,425.033,147.05,378.95,340.033,327.467,64.3,264.05,33.133,249.417,273,388.783,276.683,281.333,435.567,354.8,17.483,208.017,302.3,344.5,331.017,159.183,230.383,338.883,100.967,232.167,91.283,353.433,220.083,217.617,124.217,299.5,281.367,119.533,219.95,213.15,244.95,295.333,37.05,166.633,81.183,297.933,290.033,249.95,274.583,213.033,65.6,127.083,101.833,170.55,265.167,120.333,263.533,169.65,61.717,258.883,197.683,335.45,378.717,137.267,292.1,98.817,147.867,30.55,381.65,350,525.083,338.55,503.433,76.8,354.217,112.983,334.633,124.817,350,319.5,524.85,281.483,26.683,204.85,129.367,284.183,195.65,148.733,321.55,195.417,286.417,39.15,152.883,219.533,57.3,115.983,80.9,458,134.533,253.717,237.267,145.417,324.45,22.35,156.733,31.85,280.067,168.1,102.2,244.083,116.583,161.017,90.3,115.6,201.283,315.783,441.683,54.85,295.917,141.317,196.05,101.767,178.85,338.433,251.5,300.75,128.75,170.783,416.1,164.5,282.183,77.783,52.667,95.533,256.717,88.8,415.417,207.05
"Dawson",135.733,339.75,143.617,326.05,188.117,353.217,217.75,130.117,140.217,237.933,155.35,48.6,271.65,141.583,196.4,187.317,205.917,60.05,139.333,226.333,123.55,470.517,363,202.483,307.367,70.217,146.517,135.217,290.767,180.4,100.533,178.133,164.633,232.133,411.333,211.233,172.867,278.117,147.783,171.333,146.65,209.483,105.233,554,168.667,174.833,152.1,238.4,132.8,85.183,286.517,361.583,111.267,189.383,459.233,471.833,76.683,0,435.333,144.717,112.95,225.05,310.583,411.333,334.367,310.117,153.2,145.967,306.833,557.6,57.933,55.617,64.583,267.633,176.383,246.583,122.9,252.633,200.467,95.1,59.2,251.717,363.833,220.8,299.633,221.567,314.017,258.133,187.467,204.9,128.35,149.783,221.567,343.983,377.95,196.85,118.583,455.583,250.767,202.933,60.3,48.7,457.033,242.117,144.15,218.25,153.35,415.2,38.35,174.917,142.9,140.3,173.133,50.3,485.233,260.4,421,301.483,153.883,184.017,223.9,467.55,189.567,343.583,304.667,369.967,112.133,228.683,80.85,214.05,237.633,431.283,241.317,263.267,487.55,319.433,76.017,256.067,283.083,309.133,373.533,123.817,195.017,390.867,77.65,208.85,45.533,412.35,184.717,182.25,176.683,342,323.883,96.217,184.583,197.767,214.15,272.017,108.1,132.483,45.817,262.567,254.667,242.1,317.1,211.9,136.667,169.6,152.683,147.25,229.8,192.9,315.517,154.933,43.583,238.25,240.2,300.083,430.7,112.35,268.8,141.333,190.383,101.617,424.167,392.5,567.583,390.533,545.933,123.667,406.2,71.733,296.9,193.05,392.5,284.133,567.367,258.167,94.933,237.7,121.933,260.867,193.917,125.417,286.183,161.15,287.7,71.283,195.4,189.05,128.35,80.617,99.317,422.633,177.033,296.233,201.9,105.4,376.45,94.7,121.367,95.067,256.767,210.617,170.45,275.467,77.433,137.7,118.917,158.117,165.917,280.417,406.317,95.483,260.55,118.017,171.15,84.083,153.05,303.067,228.183,352.733,180.733,222.767,380.733,130.267,324.7,56.85,94.867,142.85,221.35,69.483,380.05,191.683
"Deaf Smith",536.667,198.383,523.417,605.217,275.417,621.167,476.55,471.967,414.683,438.65,502.617,432.333,548.267,388.033,458.583,457.15,551.033,431.717,302.067,630.6,338.117,368.233,148.133,467.117,191.95,373.233,424.617,506.517,614.467,266.867,472.85,489.85,417.567,548.5,24.417,615.5,397.75,158.633,537.2,560.733,470.717,294.383,386.2,383.683,515.933,470.117,332.25,297.217,346.933,407.467,159.4,263.133,515.517,593.65,354.133,92.867,385,436.75,0,450.4,358.917,555.35,154.133,24.417,101.467,578.067,296.1,395.9,403.433,383.933,401.733,422.85,455.233,568.683,532.95,216.65,423.533,192.5,601.583,492.65,474.3,519.667,167.25,625.067,144.117,415.733,236.35,557.85,518.283,543.433,380.75,488.317,231.167,104.2,68.833,535.383,365.733,152.367,188.867,607.2,436.433,437.483,78.067,238.75,484.95,603.183,505.833,683.15,406.567,564.333,343.083,451.7,577.4,412.55,376.917,416.017,117.783,304.05,311.733,522.55,620.317,369.983,528.083,611.533,572.617,136.733,445.35,517.3,413.667,431.033,524.533,333.733,410.95,366.9,108.583,465.667,398.017,208.883,612.05,606.933,70.367,401.317,459.717,76.35,481.917,613.117,464.983,179.967,462.3,398.367,288.617,107.217,130.017,500.483,479.083,594.183,372.483,659.883,393.283,521.9,431.9,530.517,438.267,334.233,222.983,594.083,386.067,288.767,312,551.5,489.717,499.967,131.15,550.7,442.667,639.933,235.25,568.033,168.45,518.217,673.05,333.5,528.917,395.15,52.067,294.95,392.317,49.267,448.383,456.433,33.833,462.383,420.2,471.95,294.95,581.217,388.917,662.433,403.667,275.817,510.417,665.133,576.7,529.683,554.133,381.917,328.85,419.683,277.433,555.267,380.75,443.717,376.45,702.283,303.933,245.783,435.733,494.817,58.8,370.367,476.333,412.883,661.017,265.8,481.833,285,457.333,541.967,471.35,496.65,513.183,462.283,674.267,435.883,585.867,522.267,560.55,482.3,542.45,562.967,607.3,141,258.483,217.433,648.683,519.667,124.883,458.733,433.717,475.217,552.167,469.75,639.967,588.1
"Delta",224.367,369.817,157.467,434.383,207.583,461.55,326.083,238.45,36.417,346.267,263.683,156.933,379.983,63.567,304.733,295.65,318.017,168.383,160.767,318.3,153.617,497.283,372.617,310.817,337.417,115.567,254.85,247.333,384.85,210.45,212.65,66.917,51.167,125.567,426.583,303.2,283.917,293.367,256.983,264.883,51.083,240.95,93.383,584.05,277,283.167,211.8,298.817,109.65,193.517,301.767,391.633,180.3,281.35,489.283,487.083,76.033,145.983,450.583,0,107.867,333.383,325.833,426.583,349.617,418.45,183.25,56.667,404.55,587.65,104.917,165.067,178.8,375.967,288.483,276.633,46.55,267.9,292.433,198.717,162,360.05,393.883,312.767,329.683,329.9,344.067,366.467,295.8,133.8,76,119.95,251.617,374.033,393.217,121.3,204.283,466.4,266.017,292.45,168.633,161.05,472.283,272.183,252.483,239.583,142.233,523.533,128,268.483,130.283,25,265.1,115.733,515.283,368.733,436.25,342.65,172.317,108.1,254.367,497.6,114,451.917,413,400.017,78.567,337.017,93.05,322.383,345.967,461.35,349.65,353.883,502.8,427.767,78.433,271.317,370.95,417.467,403.583,232.15,303.35,406.117,169.617,302.1,159.95,398.783,293.067,290.583,195.1,372.067,353.933,188.183,292.917,228.233,317.517,363.983,84.567,235.283,154.15,370.9,363,322.5,347.15,230.483,79.7,199.65,146.817,239.217,338.133,77.033,330.783,185.817,130.367,273.983,270.25,408.417,439.217,174.1,329.883,171.383,161.417,88.217,454.217,422.55,597.65,405.783,576,47.7,421.45,185.95,407.2,60.133,422.55,392.467,597.417,305.933,59.933,277.417,144.45,346.567,213.1,217.383,394.517,268.383,358.983,101.017,225.45,288.183,76,188.95,153.867,530.967,207.1,326.283,310.233,219.8,391.7,95.183,229.7,75.783,322.35,240.667,58.9,316.65,189.55,208.967,107.2,88.667,274.25,388.75,514.65,73.617,368.883,209.967,264.7,131.583,247.5,411.4,320.15,361.917,195.983,238.017,489.067,233.15,354.75,139.55,88.65,56.283,329.683,145.25,488.383,222.133
"Denton",194.35,301.917,177.3,390.533,111.25,417.7,282.233,194.6,84.2,302.417,219.833,113.083,336.133,81.2,260.867,251.8,274.167,124.517,62.45,288.3,85.733,429.4,286.117,266.967,269.533,50.883,209.5,203.483,355.233,142.567,168.783,143.233,108.633,201.883,334.45,273.183,216.933,201.233,216.9,234.867,124.1,173.05,34.367,516.167,233.15,239.3,143.9,230.933,35.367,149.667,209.633,323.75,173.217,251.333,421.4,394.95,43.1,114.383,358.45,109.5,0,289.517,233.7,334.45,257.483,374.6,115.367,89.967,336.667,519.767,68.967,121.217,134.95,332.1,244.633,208.75,78.183,175.767,262.417,168.717,132,316.2,326,282.75,261.8,276.15,276.183,322.617,251.95,197.317,71.167,142.183,183.733,296.383,301.083,189.25,141.183,378.7,173.883,264.883,124.783,117.2,380.15,178.55,208.617,257.05,159.7,479.683,84.2,238.467,45.467,105.067,235.083,79.783,447.4,327.283,344.117,274.767,75.967,176.417,274.2,429.717,181.967,408.067,369.133,332.133,99.217,293.167,71.767,278.533,302.1,393.467,307.533,286,410.667,383.917,56.117,179.183,340.933,373.617,327.55,186.2,259.5,313.983,139.6,270.8,129.933,323.5,249.2,234.667,98.75,297.233,286.05,158.167,249.067,248.067,249.633,333.983,48.583,201.617,110.3,327.05,319.15,254.617,279.267,247.95,79.217,131.767,71.917,209.2,294.283,153.35,238.65,204.567,100.367,293.8,202.367,364.567,353.817,175.9,330.75,103.5,182.783,48.517,378.183,354.667,529.767,313.65,508.117,109.817,329.333,142.1,339.317,163.017,354.667,348.617,529.533,320.117,57.033,209.533,164.283,322.817,230.567,187.383,350.667,201.4,291.1,77.783,157.567,257.3,71.167,145.083,90.767,487.117,142.017,258.4,267.8,174.517,299.567,40.3,185.85,66.767,318.717,147.033,135.217,248.767,145.683,199.65,125.217,150.517,230.4,344.9,470.8,89.767,325.033,179.967,234.7,140.417,217.483,367.533,290.15,275.85,103.85,145.9,445.2,199.383,286.867,116.433,87.583,128.583,285.833,127.45,444.533,241.967
"DeWitt",158.833,420.817,306.017,102.833,362.733,163.05,117.417,107.467,324.467,155.033,95.367,183.75,67.183,325.85,102.767,135.617,72.933,188.75,313.95,137.283,301.4,400.383,537.6,98.767,399.167,244.833,164.8,136.8,65.7,313.883,156.3,365,348.883,423.217,529.467,182.317,198.367,452.733,146.383,119.65,346.35,280.733,285.9,527.55,86.933,98.067,244.933,272.95,307.417,205.117,447.75,352.283,238.15,162.9,432.8,628.967,259.683,222.917,552.4,331.267,287.567,0,438.317,529.467,508.983,140.25,298.7,330.217,224.1,531.167,236.4,194.067,190.867,45.483,78.267,365.733,309.433,427.25,122.183,188.417,240.917,89.517,455.633,185.417,412.517,162.617,352.767,35.983,37.067,390.15,312.617,349.85,356.117,456.867,491.3,382.1,217.8,630.2,425.383,194.067,167.85,189.917,614.167,382.55,111.033,306.033,319.8,242.617,210.15,135.3,317.517,326.833,141.317,242.417,458.8,177.667,595.617,292.833,328.5,382.317,268.567,422.4,374.8,178.967,126.483,470.167,310.667,59.383,278.217,131.317,52.083,404.85,158.583,192.483,644.683,224.6,262.567,415.683,63.283,84.083,486.417,172.4,99.683,565.483,218.217,182.133,217.417,586.967,100.883,180.8,351.283,454.9,436.767,195.467,86.067,258.55,206.9,122.35,292.367,169.867,183.3,110.533,171.767,220.35,384.45,304.033,320.917,300.433,327.283,171.55,129.467,375.117,466.633,275.05,259.95,281.633,326.8,109.7,605.317,246.067,236.7,316.617,348.233,285.867,537.05,393.25,541.15,548.767,483.217,324.717,538.833,199.267,202.067,379.6,393.25,61.983,540.933,236.583,281.467,277.533,288.533,231.95,296.55,186.133,103.85,210.267,252.9,278.583,329.75,109.95,312.617,159.467,253.333,250.05,323.167,326.117,162.417,169.683,510.8,271.183,130.783,281.6,224.667,360.283,356.983,287.55,178.883,207.8,327.783,368.317,86.283,185.583,227.9,301.217,35.5,190.3,135.8,287.233,147.183,195.35,92.2,527.35,355.35,397.383,190.55,169.017,437.583,263.083,299.033,341.917,19.05,263.95,235.867,269.283
"Dickens",413.133,169.233,401.3,490.85,129.033,506.8,362.183,344.75,289.667,324.267,375.417,305.217,433.9,263.017,344.217,335.667,433.517,304.6,177.05,508.067,210.983,310.467,169.183,352.75,145.7,250.683,297.4,379.4,500.1,139.733,345.733,367.183,292.55,425.833,131.267,492.95,270.433,86.75,410.067,433.6,348.05,170.65,263.517,400.85,388.733,355.75,205.117,182.85,221.917,280.35,55.85,204.8,392.983,471.1,302.467,229.217,262.867,314.183,154.183,325.383,236.25,440.983,0,131.267,96.45,463.7,168.967,270.883,293.333,401.1,279.95,295.733,328.1,454.317,405.75,74.133,300.85,83.05,474.45,365.517,351.767,405.3,138.3,502.517,64.1,294.25,159.3,443.467,403.917,421.3,255.75,366.183,110.867,64.133,87.083,413.25,238.6,217.65,107.333,484.65,309.3,310.367,214.417,84.917,357.75,481.05,383.7,568.783,284,437.2,218.083,329.017,454.85,290.75,328.467,301.65,183.067,202.417,161,400.417,498.183,310.767,405.967,497.167,458.25,114.783,323.217,402.933,291.533,316.667,410.167,274.517,296.583,252.517,244.933,352.283,275.883,55.05,497.667,492.567,95.317,274.1,345.35,152.933,359.367,490.567,337.867,214.4,347.933,275.483,137.883,65,88.933,377.933,364.717,472.05,251,532.683,270.6,394.767,304.767,416.15,323.883,219.867,160.317,471.95,261.05,161.633,186.983,428.967,375.333,377.283,29.8,428.567,320.133,517.8,120.867,453.667,206.6,395.683,550.517,189.483,406.783,272.467,145.95,235.733,411.1,149.017,389.167,333.767,139.083,335.267,305.833,346.933,235.733,466.85,410.283,539.883,280.983,161.45,388.283,542.583,454.567,407.15,439.767,254.717,218.75,297.55,135.283,428.05,255.75,316.6,249.333,587.9,150.1,146.083,314.25,367.683,107.65,248.233,349.133,290.767,538.483,111.967,359.167,175.883,330.2,419.433,349.217,374.517,385.983,347.917,559.9,313.767,471.5,399.733,433.433,360.183,415.317,448.6,480.1,158.917,137.233,116.083,534.317,392.533,83.717,336.2,311.583,354.45,437.8,347.217,525.6,465.967
"Dimmit",517.217,175.35,498.217,582.183,255.183,598.133,453.5,448.917,389.483,415.6,479.583,409.3,525.233,362.833,435.533,434.117,528,408.683,276.867,605.4,315.083,345.2,163.133,444.067,168.917,348.033,401.567,483.483,591.433,243.817,449.817,464.65,392.367,523.3,0,590.3,374.717,133.433,514.15,537.683,445.517,271.333,361,380.633,492.9,447.067,309.2,274.183,321.733,384.433,136.35,240.083,490.317,568.45,338.633,115.8,359.8,411.55,22.967,425.2,333.717,532.317,131.083,0,111.35,555.033,273.05,370.7,380.4,380.883,376.533,399.817,432.183,545.633,509.917,193.617,398.333,169.467,578.533,469.617,449.1,496.633,144.217,599.867,121.083,392.683,213.3,534.8,495.233,518.233,355.55,463.117,208.133,81.15,45.783,510.183,342.683,167.367,163.667,582,413.383,414.45,101,215.7,461.917,577.983,480.633,660.1,381.367,541.283,317.883,426.5,552.2,387.35,365.983,392.983,132.783,281,288.7,497.35,595.117,346.95,502.883,588.483,549.567,113.683,420.15,494.25,388.467,407.983,501.483,310.7,387.9,343.85,131.517,442.633,372.817,185.833,589,583.883,47.317,378.267,436.683,91.35,456.717,587.917,441.95,194.967,439.25,375.333,265.583,84.183,106.983,475.283,456.033,568.983,349.45,636.833,368.083,498.85,408.85,507.467,415.217,311.2,199.933,568.883,360.867,265.717,286.8,526.3,466.667,474.767,108.117,525.5,417.467,614.733,212.2,545,183.433,493.017,647.85,310.45,503.717,369.95,49.017,271.9,389.267,64.267,425.35,431.233,48.833,439.35,397.167,446.75,271.9,558.183,385.867,637.233,378.467,252.783,485.217,639.933,551.5,504.483,531.083,358.883,305.817,394.483,254.4,532.217,355.55,420.683,353.417,679.233,280.883,222.733,412.683,471.767,34.383,345.167,453.283,387.683,635.817,242.75,456.633,261.95,434.283,516.767,446.15,471.45,490.15,439.25,651.233,410.683,562.833,497.067,537.517,457.1,519.4,539.933,584.25,156,233.283,192.233,625.633,496.633,101.833,433.533,408.517,450.017,529.133,444.55,616.917,562.9
"Donley",436.65,239.3,423.417,585.283,175.4,601.233,456.617,416.95,314.667,418.7,442.167,335.433,528.333,288.033,438.65,420.05,496.517,346.867,202.05,530.6,272.333,403.7,75.1,447.167,226.25,273.217,381.783,425.817,577.583,224.117,391.133,389.833,317.567,448.483,111.6,515.483,354.8,58.617,439.25,462.783,370.717,255.017,286.183,452.683,455.483,450.167,289.5,277.283,246.917,364.717,85.667,298.033,415.517,493.633,395.7,137.767,284.983,336.733,101.25,350.4,258.917,511.867,96.617,111.6,0,558.133,253.15,295.883,387.75,452.933,301.733,343.567,357.283,548.733,466.983,168.567,323.517,108.2,503.633,394.717,374.3,499.733,212.15,525.05,144.65,378.617,253.733,537.9,474.283,443.417,280.75,388.3,205.3,134.767,100.683,435.367,322.967,121.5,88.85,507.183,347.117,339.55,122.967,171,430.967,503.167,405.817,663.2,306.55,466.383,243.083,351.683,477.383,312.533,421.7,396.083,86.917,296.85,215.133,422.533,520.3,404,428.083,591.6,552.667,188.633,345.333,497.35,313.65,411.083,504.583,367.75,391,346.95,153.483,446.7,298,135.683,573.683,586.983,148.883,358.483,439.783,56.783,381.9,513.1,366.617,118.25,442.35,359.867,204.867,137.783,160.583,400.467,459.133,494.167,335.383,576.267,293.267,423.95,332.65,510.583,418.317,314.3,253.55,494.067,286.05,246,211.983,451.5,469.767,399.95,69.733,450.683,342.667,539.917,215.3,548.1,110.45,418.2,573.05,259.8,428.9,295.133,149.733,328.967,461.317,56.467,482.4,356.417,72.133,364.45,400.267,371.933,328.967,561.283,457.917,562.417,303.65,255.883,410.4,565.117,476.683,429.667,534.2,339.083,313.183,319.667,219.667,479.65,280.75,367.433,313.117,682.333,224.85,240.5,398.617,396.867,76.717,270.35,408.183,312.883,561.017,186.717,381.833,270.317,368.033,441.95,371.333,396.633,452.733,442.35,654.333,335.883,547.383,422.267,462.617,382.3,444.5,543.033,535.183,66.583,158.467,117.417,628.733,421.733,155.45,358.717,333.7,375.2,508.167,369.75,620.017,488.083
"Duval",294.217,447.7,416.733,126.35,451.233,81.767,141.85,190.617,412.967,176.683,213.117,272.25,78.15,414.35,128.15,177.433,214.817,277.25,402.45,236.05,386.783,413.8,594.333,123.95,426.05,333.333,234.85,265.617,145.033,357.917,269.717,453.5,437.383,512.15,556.35,284.15,246.683,511.883,288.267,255.05,434.85,316.333,374.4,554.433,217.617,144.75,320.8,299.833,395.917,293.617,481,379.167,349.4,264.733,459.683,655.85,348.183,311.417,579.283,419.767,376.067,142.183,465.2,556.35,560.167,0,374.567,418.717,243.917,558.05,324.9,282.567,279.367,117.267,220.15,392.617,397.933,476.8,219.933,302.117,328.533,65.333,482.517,280.567,439.4,189.5,379.65,106.433,166.9,496.35,401.117,442.133,382.65,483.75,518.183,488.3,303.183,671.933,499.817,295.9,256.35,278.417,641.05,415.783,185.767,412.233,426,127.45,298.65,255.85,406.017,415.333,243.933,330.917,485.683,204.55,637.35,319.717,417,476.367,374.75,437.367,481,48.35,20.6,497.05,399.167,105.35,366.717,158.2,97.017,431.733,185.467,219.367,671.567,208.367,351.067,448.917,154.183,105.333,513.3,257.783,124.867,602.75,335.35,283.967,305.917,643.7,134.667,229.117,443.333,481.783,463.65,322.383,147.767,364.75,233.783,210.133,380.867,297.917,271.8,65.483,193.7,247.233,411.333,410.217,409.417,369.783,415.783,285.8,133.5,463.617,493.517,381.25,348.45,383.467,353.683,65.833,662.033,358.633,338.533,396.333,454.417,374.367,563.933,420.133,568.033,575.65,496.65,413.217,565.717,291.117,207.45,468.1,420.133,92.7,567.817,338.417,369.967,304.417,399.783,333.783,402.733,307.567,51.017,262.467,279.783,367.083,383.4,251.85,401.117,247.967,341.833,133.95,392.517,353,200.317,290.133,537.683,359.683,223.933,370.1,326.5,417.45,445.483,314.433,275.317,318.683,426.767,450.467,209.583,169.1,118.567,389.717,134.467,301.183,261.65,389.533,289.067,84.35,189.85,584.067,443.85,490.183,109.283,297.833,464.467,351.583,387.533,430.417,160.933,359.833,104.433,375.483
