"","Adair","Andrew","Atchison","Audrain","Barry","Barton","Bates","Benton","Bollinger","Boone","Buchanan","Butler","Caldwell","Callaway","Camden","Cape Girardeau","Carroll","Carter","Cass","Cedar","Chariton","Christian","Clark","Clay","Clinton","Cole","Cooper","Crawford","Dade","Dallas","Daviess","DeKalb","Dent","Douglas","Dunklin","Franklin","Gasconade","Gentry","Greene","Grundy","Harrison","Henry","Hickory","Holt","Howard","Howell","Iron","Jackson","Jasper","Jefferson","Johnson","Kansas City","Knox","Laclede","Lafayette","Lawrence","Lewis","Lincoln","Linn","Livingston","Macon","Madison","Maries","Marion","McDonald","Mercer","Miller","Mississippi","Moniteau","Monroe","Montgomery","Morgan","New Madrid","Newton","Nodaway","Oregon","Osage","Ozark","Pemiscot","Perry","Pettis","Phelps","Pike","Platte","Polk","Pulaski","Putnam","Ralls","Randolph","Ray","Reynolds","Ripley","Saline","Schuyler","Scotland","Scott","Shannon","Shelby","St. Charles","St. Clair","St. Francois","St. Louis","St. Louis City","Ste. Genevieve","Stoddard","Stone","Sullivan","Taney","Texas","Vernon","Warren","Washington","Wayne","Webster","Worth","Wright"
"Shannon",241.722,591.325,669.245,291.243,507.673,342.596,428.851,226.594,176.199,234.242,190.368,428.851,245.144,258.212,437.222,252.253,526.274,53.223,68.446,317.582,461.507,220.314,301.742,354.427,365.382,288.026,637.313,184.038,290.805,182.97,513.091,561.416,100.235,248.728,199.5,306.367,217.926,656.911,672.501,490.392,534.878,415.708,624.056,535.713,657.739,92.078,114.997,261.341,324.16,253.329,132.738,488.341,270.52,419.889,241.461,266.399,212.163,295.332,184.038,373.263,354.918,331.494,154.398,311.473,290.336,539.74,267.511,241.057,293.851,312.507,249.093,526.247,225.404,37.54,595.561,615.261,234.225,220.314,243.335,309.384,498.297,216.626,194.735,520.78,232.519,122.158,483.826,384.337,495.142,431.265,271.646,454.061,235.076,449.184,315.862,252.31,0,93.629,274.362,186.119,119.438,245.482,245.482,183.552,155.247,261.354,162.17,233.659,85.439,432.97,192.908,210.073,184.2,191.291,665.571,128.202
"Shelby",278.095,592.288,670.208,380.952,508.636,343.559,429.814,229.847,221.536,340.735,162.628,429.814,334.853,347.921,489.284,255.506,527.237,109.192,111.205,403.695,551.216,221.277,391.451,444.136,366.345,374.983,638.276,273.747,291.768,183.933,557.957,562.379,192.134,210.384,181.25,396.076,324.419,657.874,673.464,580.101,663.804,416.671,625.019,536.676,658.702,44.647,198.515,264.594,325.123,359.822,222.447,489.304,271.483,509.598,347.954,267.362,215.416,360.916,273.747,374.226,444.627,421.203,244.107,312.436,291.299,686.745,268.474,244.31,383.56,419,355.586,672.436,228.657,131.142,596.524,616.224,270.598,221.277,218.616,430.59,499.26,217.589,197.988,521.743,290.465,83.224,573.535,468.004,496.105,483.327,272.609,491.697,287.898,538.893,316.825,202.591,93.601,0,380.855,292.612,223.149,360.584,360.584,289.858,158.5,262.317,268.663,183.94,167.926,554.176,229.281,316.566,187.453,192.254,666.534,155.505
"St. Charles",309.187,469.944,547.864,160.973,388.301,476.506,453.2,228.016,202.41,45.496,373.169,453.2,169.497,136.912,337.337,201.017,404.893,278.462,276.669,272.245,361.472,368.767,201.707,207.711,347.044,304.083,480.323,173.266,411.609,337.337,406.01,440.035,194.128,352.505,355.498,206.482,115.128,492.898,551.12,390.357,434.843,509.685,502.675,408.522,493.726,334.867,163.757,193.934,458.07,31.388,179.407,366.715,391.581,319.854,26.919,400.309,290.889,312.132,173.266,350.514,254.883,231.459,199.742,445.383,424.246,439.705,401.421,291.565,193.966,40.986,98.72,426.212,282.242,249.709,474.18,493.88,275.091,368.767,346.818,157.68,376.916,353.772,254.891,393.589,334.258,301.735,383.791,150.816,367.951,331.38,316.787,354.176,228.686,330.696,449.772,426.732,273.995,380.852,0,88.809,171.55,35.4,35.4,119.844,296.282,409.807,113.474,415.302,220.396,248.812,282.466,62.809,231.454,314.024,501.558,322.586
"St. Clair",243.64,472.476,550.396,163.505,390.833,388.866,386.764,257.536,231.93,49.071,285.529,386.764,121.592,139.444,339.869,230.537,407.425,193.528,189.029,274.777,364.004,281.127,204.239,224.324,328.131,267.084,482.855,100.583,323.969,249.697,408.542,442.567,106.488,382.025,385.018,209.014,84.757,495.43,553.652,392.889,437.375,392.038,505.207,411.054,496.258,247.227,91.1,223.454,370.43,68.167,91.767,369.247,303.941,322.386,56.299,312.669,320.409,297.25,100.583,335.989,257.415,233.991,112.102,357.743,336.606,442.237,313.781,321.085,196.498,127.345,101.252,428.744,311.762,162.069,476.712,496.412,236.143,281.127,376.338,161.543,379.448,266.132,284.411,396.121,246.618,265.533,386.323,199.175,370.483,333.912,229.147,356.708,191.687,351.681,362.132,339.092,186.355,293.212,89.2,0,135.348,84.259,84.259,149.364,259.571,322.167,25.834,327.662,132.756,297.171,194.826,24.902,188.047,226.384,504.09,234.946
"St. Francois",343.904,633.501,711.421,324.53,551.858,481.162,487.028,118.854,61.531,197.49,328.934,487.028,299.31,300.469,500.894,91.837,568.45,124.115,187.2,435.802,525.029,358.88,365.264,371.169,428.395,367.348,643.88,223.263,429.371,321.536,569.567,603.592,98.823,243.343,185.679,370.039,262.475,656.455,714.677,548.317,592.803,492.302,666.232,572.079,657.283,230.644,49.768,81.359,462.726,152.145,192.031,530.272,409.086,477.814,159.938,404.965,198.342,397.514,223.263,436.253,418.44,395.016,212.366,450.039,428.902,597.665,406.077,182.403,357.523,211.487,262.277,584.172,173.08,115.89,637.737,657.437,336.407,358.88,237.656,321.138,540.473,355.192,103.223,557.146,346.882,147.388,547.348,314.274,531.508,494.937,329.411,517.733,291.951,494.154,454.428,390.876,119.438,221.182,173.342,135.687,0,155.065,155.065,84.339,141.426,399.92,136.214,372.225,151.413,412.27,295.09,202.591,69.902,329.857,665.115,293.108
"St. Louis",326.625,502.368,580.288,193.397,420.725,471.851,485.624,210.815,185.209,66.357,368.514,485.624,201.921,169.336,369.761,183.816,437.317,261.261,272.014,304.669,393.896,364.112,234.131,240.036,379.468,336.507,512.747,168.611,406.954,332.682,438.434,472.459,189.473,335.304,338.297,238.906,147.552,525.322,583.544,417.184,461.67,475.023,535.099,440.946,526.15,330.212,146.556,176.733,453.415,18.986,174.752,399.139,386.926,346.681,36.136,395.654,273.688,344.556,168.611,382.938,287.307,263.883,195.087,440.728,419.591,466.532,396.766,274.364,226.39,74.335,131.144,453.039,265.041,245.054,506.604,526.304,307.515,364.112,329.617,190.005,409.34,349.117,237.69,426.013,329.603,284.534,416.215,183.141,400.375,363.804,312.132,386.6,261.11,363.021,445.117,422.077,244.999,358.328,36.19,84.154,154.349,0,0,102.643,279.081,405.152,108.819,410.647,215.741,281.137,277.811,83.198,214.253,309.369,533.982,317.931
"St. Louis City",326.625,502.368,580.288,193.397,420.725,471.851,485.624,210.815,185.209,66.357,368.514,485.624,201.921,169.336,369.761,183.816,437.317,261.261,272.014,304.669,393.896,364.112,234.131,240.036,379.468,336.507,512.747,168.611,406.954,332.682,438.434,472.459,189.473,335.304,338.297,238.906,147.552,525.322,583.544,417.184,461.67,475.023,535.099,440.946,526.15,330.212,146.556,176.733,453.415,18.986,174.752,399.139,386.926,346.681,36.136,395.654,273.688,344.556,168.611,382.938,287.307,263.883,195.087,440.728,419.591,466.532,396.766,274.364,226.39,74.335,131.144,453.039,265.041,245.054,506.604,526.304,307.515,364.112,329.617,190.005,409.34,349.117,237.69,426.013,329.603,284.534,416.215,183.141,400.375,363.804,312.132,386.6,261.11,363.021,445.117,422.077,244.999,358.328,36.19,84.154,154.349,0,0,102.643,279.081,405.152,108.819,410.647,215.741,281.137,277.811,83.198,214.253,309.369,533.982,317.931
"Ste. Genevieve",392.869,580.352,658.272,271.381,498.709,538.095,563.608,116.977,91.371,144.341,351.171,563.608,246.161,247.32,447.745,89.978,515.301,196.288,254.671,382.653,471.88,430.356,312.115,318.02,457.452,414.491,590.731,234.855,473.198,398.926,516.418,550.443,138.278,241.466,244.459,316.89,209.326,603.306,661.528,495.168,539.654,541.267,613.083,518.93,604.134,302.817,85.183,82.895,519.659,98.996,240.996,477.123,453.17,424.665,106.789,461.898,179.85,422.54,234.855,460.922,365.291,341.867,261.331,506.972,485.835,544.516,463.01,180.526,304.374,158.338,209.128,531.023,171.203,166.842,584.588,604.288,385.372,430.356,235.779,267.989,487.324,415.361,143.852,503.997,395.847,219.561,494.199,261.125,478.359,441.788,378.376,464.584,339.094,441.005,511.361,488.321,183.626,293.355,120.193,150.398,89.376,101.916,101.916,0,185.243,471.396,175.063,476.891,190.868,359.121,344.055,149.442,120.415,375.613,611.966,293.282
"Stoddard",395.429,757.746,835.666,448.775,676.103,460.893,547.148,74.508,68.566,321.735,308.665,547.148,423.555,424.714,625.139,100.167,692.695,103.846,205.615,560.047,649.274,338.611,489.509,495.414,483.679,492.317,768.125,333.746,409.102,301.267,693.812,727.837,204.216,150.192,82.148,494.284,386.72,780.7,838.922,672.562,717.048,534.005,790.477,696.324,781.528,210.375,184.41,109.255,442.457,276.39,282.446,654.517,388.817,602.059,284.183,384.696,60.077,478.25,333.746,491.56,542.685,519.261,304.106,429.77,408.633,721.91,385.808,88.971,481.768,335.732,386.522,708.417,73.318,193.398,761.982,781.682,387.932,338.611,144.505,445.383,664.718,334.923,42.649,681.391,407.799,85.776,671.593,438.519,655.753,619.182,389.943,641.978,405.232,618.399,434.159,370.607,155.857,159.57,297.587,260.549,142.492,279.31,279.31,185.9,0,379.651,261.076,351.956,235.147,536.515,346.615,326.836,62.652,309.588,789.36,272.839
"Stone",184.385,447.812,525.732,353.725,364.16,155.721,241.976,449.833,399.438,369.596,82.163,241.976,307.626,320.694,336.704,475.492,382.761,276.462,183.102,251.115,523.989,44.502,364.224,416.909,213.765,222.403,493.8,304.469,99.938,87.778,456.824,417.903,325.837,471.967,422.739,322.727,353.28,513.398,528.988,491.386,519.328,228.833,480.543,392.2,514.226,215.673,333.145,484.58,137.285,388.683,253.169,344.828,104,386.969,376.815,60.64,435.402,208.336,304.469,221.646,417.4,393.976,251.924,122.65,100.558,542.269,76.644,464.296,356.333,447.861,370.449,527.96,448.643,271.249,452.048,471.748,213.128,44.502,466.574,403.363,354.784,59.125,417.974,377.267,137.885,345.397,473.63,440.777,351.629,330.747,120.029,347.221,230.428,511.666,110.128,58.017,260.871,261.658,409.716,321.473,401.045,404.775,404.775,469.88,378.486,0,297.524,48.182,230.743,526.949,171.811,345.427,407.439,100.267,522.058,135.632
