"","Adair","Andrew","Atchison","Audrain","Barry","Barton","Bates","Benton","Bollinger","Boone","Buchanan","Butler","Caldwell","Callaway","Camden","Cape Girardeau","Carroll","Carter","Cass","Cedar","Chariton","Christian","Clark","Clay","Clinton","Cole","Cooper","Crawford","Dade","Dallas","Daviess","DeKalb","Dent","Douglas","Dunklin","Franklin","Gasconade","Gentry","Greene","Grundy","Harrison","Henry","Hickory","Holt","Howard","Howell","Iron","Jackson","Jasper","Jefferson","Johnson","Kansas City","Knox","Laclede","Lafayette","Lawrence","Lewis","Lincoln","Linn","Livingston","Macon","Madison","Maries","Marion","McDonald","Mercer","Miller","Mississippi","Moniteau","Monroe","Montgomery","Morgan","New Madrid","Newton","Nodaway","Oregon","Osage","Ozark","Pemiscot","Perry","Pettis","Phelps","Pike","Platte","Polk","Pulaski","Putnam","Ralls","Randolph","Ray","Reynolds","Ripley","Saline","Schuyler","Scotland","Scott","Shannon","Shelby","St. Charles","St. Clair","St. Francois","St. Louis","St. Louis City","Ste. Genevieve","Stoddard","Stone","Sullivan","Taney","Texas","Vernon","Warren","Washington","Wayne","Webster","Worth","Wright"
"Sullivan",219.682,497.054,574.974,188.083,415.411,364.908,362.806,282.105,183.982,73.649,261.571,362.806,137.762,164.022,364.447,255.106,432.003,193.416,165.071,251.328,395.253,257.169,235.488,248.902,304.173,243.126,507.433,89.759,300.011,225.739,433.12,467.145,82.53,406.594,304.485,233.592,86.008,520.008,578.23,424.138,468.624,368.08,529.785,435.632,520.836,223.269,86.752,248.023,346.472,92.736,67.809,393.825,279.983,353.635,80.868,288.711,344.978,273.292,89.759,312.031,288.664,265.24,88.144,333.785,312.648,473.486,289.823,345.654,221.076,151.914,125.83,459.993,336.331,138.111,501.29,520.99,212.185,257.169,400.907,186.121,404.026,242.174,308.98,420.699,222.66,266.194,417.572,223.744,395.061,358.49,205.189,381.286,167.729,382.93,338.174,315.134,162.397,269.254,113.769,25.526,136.009,108.828,108.828,173.933,260.232,298.209,0,303.704,108.798,321.74,170.868,49.48,188.708,202.426,528.668,210.988
"Taney",189.59,444.913,522.833,358.93,361.261,196.271,255.958,422.543,372.148,374.801,56.59,255.958,312.831,325.899,341.909,448.202,379.862,249.172,155.812,256.32,529.194,49.707,369.429,422.114,218.97,227.608,490.901,309.674,144.48,92.983,410.582,415.004,269.843,444.677,395.449,327.932,358.485,510.499,526.089,488.487,516.429,269.383,477.644,389.301,511.327,141.316,305.855,457.29,177.835,393.888,258.374,341.929,124.108,392.174,382.02,120.074,408.112,213.541,309.674,226.851,422.605,399.181,257.129,165.148,144.011,539.37,121.186,437.006,361.538,453.066,375.654,525.061,421.353,243.959,449.149,468.849,218.333,49.707,439.284,408.568,351.885,70.301,390.684,374.368,143.09,261.379,478.835,445.982,348.73,335.952,125.234,344.322,235.633,516.871,169.537,22.119,233.581,183.901,414.921,326.678,373.755,409.98,409.98,475.085,351.196,48.233,302.729,0,203.453,532.154,177.016,350.632,380.149,105.472,519.159,108.342
"Texas",191.48,512.66,590.58,234.074,431.017,312.531,398.786,255.786,208.794,180.652,160.303,398.786,187.975,201.043,380.053,228.769,447.609,138.645,63.803,260.413,404.338,190.249,244.573,297.258,275.971,237.784,530.94,126.869,260.74,152.905,455.922,482.751,66.39,327.771,278.543,249.198,164.336,535.614,593.836,433.223,477.709,385.643,545.391,451.238,512.121,122.001,102.402,218.291,294.095,199.739,75.569,409.431,240.455,362.72,187.871,236.334,291.206,245.09,126.869,283.829,297.749,274.325,97.229,281.408,260.271,482.571,237.446,320.1,236.682,258.917,195.503,469.078,304.447,61.135,516.896,536.596,183.983,190.249,322.378,283.712,419.632,186.561,273.778,436.305,194.458,201.201,426.657,321.126,410.667,374.096,176.987,396.892,158.843,392.015,285.797,222.245,85.421,167.986,220.772,132.529,151.408,215.831,215.831,190.776,234.29,231.289,108.58,203.594,0,407.298,142.666,156.483,213.534,144.352,544.274,102.414
"Vernon",378.788,400.016,356.61,175.517,403.794,600.838,509.71,467.318,441.712,230.087,500.742,509.71,239.098,206.513,361.64,440.319,410.118,517.764,451.861,341.861,114.849,486.766,202.164,157.397,416.66,373.684,291.733,284.728,529.608,455.336,269.437,413.275,352.645,591.807,594.8,251.51,235.476,289.398,303.472,232.137,206.267,566.195,432.747,365.281,274.325,510.059,403.059,433.236,616.766,270.902,331.44,411.484,474.317,237.405,256.888,518.308,530.191,381.748,284.728,420.13,176.562,161.421,309.781,563.382,542.245,197.913,519.42,530.867,242.402,213.83,183.493,197.636,521.544,408.238,406.888,423.952,344.692,486.766,586.12,129.175,409.024,471.771,494.193,387.739,416.668,541.037,144,99.445,400.519,361.772,409.851,406.364,298.287,100.119,567.771,544.731,432.524,556.044,249.583,297.311,410.852,281.781,281.781,359.146,535.584,527.806,321.976,533.301,409.14,0,356.089,250.362,470.756,432.023,298.058,440.574
"Warren",49.222,359.633,437.553,182.322,275.981,209.06,195.605,451.301,342.696,263.886,145.093,195.605,136.223,149.291,262.556,424.302,294.582,244.146,152.467,145.611,352.586,131.117,192.821,245.506,133.713,95.526,405.621,138.23,173.959,99.687,331.229,329.724,199.086,439.651,390.423,148.273,186.818,425.219,440.809,323.338,367.824,200.847,392.364,304.021,426.047,183.357,245.466,417.219,220.42,261.932,126.418,256.649,153.931,310.968,250.064,162.659,403.086,102.832,138.23,141.571,245.997,222.573,105.533,207.733,186.596,372.686,163.771,431.98,184.93,295.127,199.046,359.193,416.327,195.451,363.869,383.569,41.725,131.117,434.258,231.96,266.605,116.122,385.658,289.088,87.1,313.081,374.905,269.374,263.45,256.599,75.869,279.395,59.025,340.263,212.122,189.082,198.142,229.342,282.965,194.722,294.723,278.024,278.024,343.129,346.17,172.157,170.773,177.652,142.74,355.546,0,218.676,347.422,76.374,433.879,84.925
"Washington",267.376,449.78,527.7,140.809,368.137,412.602,433.036,256.892,231.286,26.375,309.265,433.036,98.277,116.748,317.173,229.893,384.729,218.637,212.765,252.081,341.308,304.863,181.543,201.628,326.88,244.833,460.159,89.844,347.705,273.433,385.846,419.871,130.224,381.381,384.374,186.318,61.442,472.734,530.956,370.193,414.679,415.774,482.511,388.358,473.562,270.963,116.209,222.81,394.166,67.523,115.503,346.551,327.677,299.69,55.655,336.405,319.765,291.968,89.844,330.35,234.719,211.295,135.838,381.479,360.342,419.541,337.517,320.441,173.802,86.119,78.556,406.048,311.118,185.805,454.016,473.716,215.841,304.863,375.694,138.847,356.752,289.868,283.767,373.425,270.354,330.611,363.627,152.083,347.787,311.216,252.883,334.012,169.436,328.985,385.868,362.828,210.091,316.948,62.875,24.902,200.426,83.615,83.615,148.72,325.158,345.903,49.57,351.398,156.492,250.079,218.562,0,260.33,250.12,481.394,258.682
"Wayne",422.451,692.212,770.132,383.241,610.569,487.915,574.17,66.14,29.044,256.201,335.687,574.17,358.021,359.18,559.605,66.065,627.161,130.868,232.637,494.513,583.74,365.633,423.975,429.88,510.701,419.737,702.591,275.652,436.124,328.289,628.278,662.303,160.992,196.079,124.493,428.75,321.186,715.166,773.388,607.028,651.514,561.027,724.943,630.79,715.994,237.397,111.937,64.635,469.479,210.856,244.42,588.983,415.839,536.525,218.649,411.718,105.964,505.272,275.652,518.582,477.151,453.727,264.755,456.792,435.655,656.376,412.83,134.858,416.234,270.198,320.988,642.883,119.205,220.42,696.448,716.148,414.954,365.633,190.392,379.849,599.184,361.945,38.987,615.857,434.821,112.798,606.059,372.985,590.219,553.648,416.965,576.444,344.34,552.865,461.181,397.629,182.879,186.592,232.053,188.076,70.019,213.776,213.776,120.366,61.238,406.673,188.603,378.978,213.582,470.981,373.637,261.302,0,336.61,723.826,299.861
"Webster",125.124,403.406,481.326,258.224,319.754,167.526,214.451,380.383,329.988,274.095,68.83,214.451,212.125,225.193,300.402,406.042,338.355,207.012,113.652,191.06,428.488,59.787,268.723,321.408,177.463,162.348,449.394,208.968,102.629,23.424,369.075,373.497,230.336,402.517,353.289,224.175,257.779,468.992,484.582,368.787,474.922,219.725,436.137,347.794,469.82,146.223,276.716,448.469,149.09,293.182,157.668,300.422,82.601,326.914,281.314,91.329,365.952,148.281,208.968,185.344,321.899,298.475,156.423,136.403,115.266,418.135,92.441,394.846,260.832,352.36,274.948,483.554,379.193,190.315,407.642,427.342,117.627,59.787,397.124,307.862,310.378,44.792,348.524,332.861,87.394,275.947,450.807,345.276,307.223,294.445,59.974,302.815,134.927,416.165,140.792,117.752,191.421,192.208,314.215,225.972,325.973,309.274,309.274,374.379,309.036,100.827,202.023,106.322,144.344,431.448,76.31,249.926,337.989,0,477.652,41.937
"Worth",386.045,91.709,60.501,354.121,171.196,371.243,280.115,719.542,693.936,479.885,514.788,280.115,406.494,373.909,178.979,692.543,148.744,682.111,588.751,284.603,199.553,472.974,309.441,302.198,301.022,349.656,31.489,428.802,422.657,493.427,97.137,140.002,565.188,844.031,847.024,305.845,454.738,8.659,9.615,108.936,91.761,330.759,96.399,135.686,25.21,621.322,595.201,685.46,387.171,523.126,475.514,181.889,418.025,191.974,509.112,463.767,782.415,324.49,428.802,300.411,254.258,306.419,453.855,406.482,419.237,114.702,447.632,783.091,331.61,468.522,415.045,100.393,773.768,586.128,100.582,110.709,390.927,472.974,838.344,349.114,174.72,447.9,746.417,141.387,403.66,751.046,154.037,354.137,170.924,170.026,421.194,176.769,381.865,197.905,423.824,530.939,666.52,667.307,501.734,503.894,663.076,533.932,533.932,611.37,787.808,522.779,528.562,519.509,553.214,298.025,434.037,481.198,722.98,478.076,0,520.014
"Wright",133.73,445.344,523.264,266.83,361.692,209.464,256.389,343.749,293.354,282.719,65.075,256.389,220.731,233.799,342.34,369.408,380.293,170.378,77.018,230.119,437.094,95.021,277.329,330.014,219.401,180.034,491.332,217.592,144.567,57.677,411.013,415.435,168.796,365.883,316.655,232.781,266.403,510.93,526.52,407.846,516.86,261.663,478.075,389.732,511.758,109.589,204.808,378.496,191.028,301.806,166.292,342.36,124.539,395.476,289.938,133.267,329.318,187.34,217.592,227.282,330.505,307.081,165.047,178.341,157.204,457.194,134.379,358.212,269.438,360.984,283.554,443.701,342.559,148.377,449.58,469.28,126.233,95.021,360.49,316.468,352.316,91.333,311.89,374.799,124.527,239.313,459.413,353.882,349.161,336.383,101.912,344.753,143.533,424.771,182.73,127.017,128.192,155.574,322.839,234.596,253.814,317.898,317.898,293.182,272.402,136.061,210.647,108.366,102.406,440.054,84.916,258.55,301.355,41.937,519.59,0
