"","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black Hawk","Boone","Bremer","Buchanan","Buena Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O'Brien","Osceola","Page","Palo Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"Linn",317.623,175.465,188.749,257.293,368.297,382.96,149.051,218.645,148.439,442.506,170.312,163.646,331.28,299.492,287.796,182.637,245.568,407.255,188.556,305.606,67.585,138.594,118.866,276.478,242.102,242.064,340.031,82.898,229.315,440.85,103.207,424.976,137.711,202.297,181.731,183.098,187.881,156.04,300.991,216.933,388.801,195.863,371.019,436.275,310.831,296.124,384.535,81.457,104.383,303.483,259.872,486.915,327.766,211.224,170.318,227.664,0,31.975,272.982,579.804,276.146,181.816,22.551,409.681,463.414,235.175,155.208,195.464,457.44,94.872,450.118,305.606,426.144,186.831,248.421,336.426,155.464,432.503,201.722,372.155,345.146,50.614,386.136,475.33,181.462,106.304,148.595,176.777,207.237,145.16,120.694,118.877,38.056,126.629,298.246,194.917,454.319,216.784,266.55
"Louisa",300.076,157.918,166.789,239.746,350.75,365.413,131.504,193.537,118.303,424.959,152.765,133.51,301.144,274.384,270.249,165.09,215.432,377.119,158.42,288.059,79.115,150.038,142.216,258.931,224.555,224.517,322.484,77.697,211.768,410.714,114.737,394.84,107.172,172.161,164.184,165.551,157.745,125.904,283.444,199.386,371.254,165.727,345.911,406.139,293.284,265.988,354.399,60.648,115.913,278.375,234.764,456.779,310.219,193.677,152.771,210.117,32.034,0,255.435,549.668,258.599,164.269,7.779,392.134,445.867,205.039,149.715,177.917,427.304,115.676,419.982,288.059,408.597,169.284,218.285,306.29,137.917,414.956,184.175,354.608,315.01,67.728,368.589,382.181,156.354,81.196,123.487,151.669,189.69,127.613,103.147,101.33,49.586,109.082,268.11,164.378,424.183,191.676,249.003
"Lucas",168.636,106.247,434.727,79.722,219.31,105.587,141.219,154.782,313.337,176.792,105.712,277.888,239.719,228.025,151.525,97.224,270.556,370.262,330.467,26.171,333.409,422.86,363.645,75.546,46.385,119.969,62.658,362.631,71.389,403.857,369.031,387.983,366.775,303.664,198.33,104.802,276.818,196.583,175.376,67.632,239.814,208.812,283.779,399.282,64.181,259.131,325.641,188.002,385.765,232.016,183.624,442.671,49.969,227.823,208.574,73.15,273.233,256.105,0,521.758,108.044,93.038,263.104,131.884,201.587,316.941,424.171,78.269,420.447,257.144,413.125,26.171,163.059,89.844,286.443,299.433,134.689,230.497,104.313,94.782,247.448,244.156,237.149,326.343,137.013,177.6,162.689,171.161,157.103,225.258,161.404,175.529,303.88,144.317,275.354,401.802,384.952,137.097,48.672
"Lyon",356.448,564.818,487.732,582.606,356.659,462.329,610.204,389.387,397.123,424.095,519.118,379.002,303.536,302.491,403.815,558.6,375.584,137.64,365.093,493.689,617.31,541.809,690.488,443.871,505.496,621.68,528.114,554.117,444.389,137.372,615.056,161.801,441.174,338.29,693.188,566.178,357.744,446.315,388.061,530.072,311.435,400.298,236.93,116.256,594.327,247.704,223.165,588.338,655.815,310.861,347.98,70.408,455.191,722.681,703.432,448.741,579.643,549.424,522.493,0,411.643,543.901,556.279,437.078,316.232,374.63,505.071,490.297,130.522,663.948,97.192,493.689,404.44,495.007,371.872,209.755,603.674,277.269,481.4,473.134,281.228,616,290.222,209.549,427.991,501.698,458.421,426.886,651.961,675.885,561.74,628.699,597.195,601.138,271.419,457.609,137.722,402.425,571.166
"Madison",57.232,168.532,406.457,177.863,107.906,117.065,205.461,83.107,285.067,182.115,122.832,249.618,143.426,136.277,50.18,153.857,242.286,263.603,302.197,79.157,337.459,394.59,367.695,32.943,100.753,216.937,113.582,334.361,48.103,304.614,373.081,288.74,338.505,275.394,288.445,161.435,248.548,179.885,63.972,125.329,128.41,180.542,172.375,335.76,179.795,159.883,214.237,192.052,389.815,140.268,87.778,331.267,61.598,317.938,298.689,52.455,277.283,260.155,107.961,410.354,0,139.158,267.154,138.289,203.023,288.671,395.901,94.011,321.204,296.154,307.778,79.157,165.753,98.721,258.173,200.19,198.931,172.112,85.114,106.26,156.07,248.206,125.745,214.939,108.743,160.902,145.991,154.463,247.218,308.432,165.454,223.956,307.93,204.852,247.084,373.532,273.548,79.843,156.634
"Mahaska",190.292,13.209,330.848,75.476,240.966,198.868,66.302,166.772,195.646,270.073,54.655,205.375,259.313,247.619,167.413,14.698,282.546,382.252,230.285,116.946,242.153,311.457,272.389,108.186,70.35,79.408,155.939,239.116,98.13,415.847,277.775,399.973,239.645,244.026,150.916,22.276,199.11,135.852,197.032,35.116,261.47,176.474,305.435,411.272,127.202,271.121,317.57,96.254,294.509,251.61,207.999,464.327,141.708,180.409,161.16,93.556,181.977,164.849,93.287,543.414,139.367,0,171.848,223.623,336.083,328.931,311.426,49.586,432.437,150.066,425.115,116.946,254.798,61.161,298.433,311.423,59.772,305.172,87.115,188.063,268.87,152.9,258.805,347.999,129.517,86.564,115.481,143.677,109.689,137.735,69.656,84.797,212.624,51.278,287.344,283.583,406.608,152.985,84.733
"Marion",307.161,165.003,172.425,246.831,357.835,372.498,138.589,200.624,125.133,432.044,159.85,140.34,307.974,281.471,277.334,172.175,222.262,383.949,165.25,295.144,69.619,138.915,134.434,266.016,231.64,231.602,329.569,66.574,218.853,417.544,105.241,401.67,121.387,178.991,171.269,172.636,164.575,132.734,290.529,206.471,378.339,172.557,352.998,412.969,300.369,272.818,361.229,67.735,106.417,285.462,241.851,463.609,317.304,200.762,159.856,217.202,22.538,7.658,262.52,556.498,265.684,171.354,0,399.219,452.952,211.869,138.884,185.002,434.134,122.761,426.812,295.144,415.682,176.369,225.115,313.12,145.002,422.041,191.26,361.693,321.84,74.813,375.674,389.268,163.441,88.283,130.574,158.756,196.775,134.698,110.232,108.415,40.09,116.167,274.94,178.593,431.013,198.763,256.088
"Marshall",102.237,238.474,539.619,168.238,137.14,40.808,273.104,228.209,418.229,53.102,255.994,382.78,204.153,181.907,149.604,229.109,375.448,292.837,435.359,106.677,470.621,527.752,500.857,129.56,169.15,209.493,86.484,467.523,181.56,349.77,506.243,346.693,471.667,408.556,297.264,236.687,381.71,313.047,133.85,199.859,134.775,313.704,201.609,361.353,152.697,271.046,243.471,325.214,522.977,200.995,182.95,356.86,82.191,319.95,340.459,185.912,410.445,393.317,131.884,435.947,138.289,225.265,400.316,0,125.467,421.833,529.063,228.415,353.083,429.316,337.012,106.677,40.282,233.125,391.335,258.143,266.574,154.377,218.276,51.613,201.648,381.368,154.979,240.532,241.905,294.064,279.153,287.625,258.709,357.143,298.616,307.414,441.092,276.544,380.246,506.694,299.141,213.005,157.329
"Mills",147.437,355.807,593.732,277.778,147.648,150.348,342.458,270.398,472.342,114.415,310.107,436.893,230.824,192.415,194.804,349.589,429.561,230.394,489.472,176.031,524.734,581.865,554.97,234.86,296.485,319.033,196.024,521.636,235.378,370.036,560.356,394.465,525.78,462.669,399.569,357.167,435.823,367.16,179.05,321.061,73.659,367.817,119.968,241.815,262.237,309.398,181.028,379.327,577.09,219.458,228.15,237.322,151.545,429.062,409.813,239.73,464.558,447.43,201.238,316.409,202.632,334.89,454.429,125.097,0,475.946,583.176,281.286,363.186,483.429,296.361,176.031,93.209,285.996,445.448,275.334,335.928,34.839,272.389,161.153,212.156,435.481,81.211,120.994,296.018,348.177,333.266,341.738,358.342,495.707,352.729,419.688,495.205,392.127,434.359,560.807,179.603,267.118,249.911
"Mitchell",329.527,266.612,133.88,378.219,338.24,394.864,336.353,220.165,92.933,454.41,211.518,74.812,259.839,301.012,295.411,293.268,46.526,282.952,62.287,317.51,273.887,187.957,347.065,288.382,301.109,345.571,351.935,210.694,241.281,200.024,271.633,184.597,136.984,32.86,369.033,293.729,52.427,114.677,308.241,325.685,400.705,119.78,362.978,364.834,378.174,173.826,313.094,222.014,312.392,267.164,261.392,391.648,339.67,398.526,357.62,239.63,236.22,206.001,319.318,375.041,288.05,330.87,212.856,421.585,475.318,0,151.219,280.42,249.418,320.525,265.534,317.51,438.048,291.242,29.07,210.037,342.766,444.407,242.89,384.059,273.705,272.577,398.04,388.449,203.357,190.47,155.441,151.426,394.539,332.462,222.348,306.179,253.772,271.429,68.639,103.757,382.878,218.304,362.665
