"","Adams","Ashland","Barron","Bayfield","Brown","Buffalo","Burnett","Calumet","Chippewa","Clark","Columbia","Crawford","Dane","Dodge","Door","Douglas","Dunn","Eau Claire","Florence","Fond du Lac","Forest","Grant","Green","Green Lake","Iowa","Iron","Jackson","Jefferson","Juneau","Kenosha","Kewaunee","La Crosse","Lafayette","Langlade","Lincoln","Manitowoc","Marathon","Marinette","Marquette","Menominee","Milwaukee","Monroe","Oconto","Oneida","Outagamie","Ozaukee","Pepin","Pierce","Polk","Portage","Price","Racine","Richland","Rock","Rusk","Sauk","Sawyer","Shawano","Sheboygan","St. Croix","Taylor","Trempealeau","Vernon","Vilas","Walworth","Washburn","Washington","Waukesha","Waupaca","Waushara","Winnebago","Wood"
"Portage",65.813,425.108,315.856,461.579,193.398,219.641,68.625,119.812,365.542,259.486,183.415,182.227,47.455,220.526,268.566,19.611,70.392,234.78,363.857,95.107,110.434,281.556,140.718,70.919,109.312,363.369,117.539,114.415,73.493,226.848,236.253,178.641,252.643,262.75,285.014,195.796,173.857,277.186,42.272,226.569,171.145,140.718,242.037,185.533,146.636,151.861,284.99,245.131,113.736,0,239.407,212.143,325.552,131.588,304.298,26.987,401.591,218.664,157.997,379.013,184.739,196.89,158.376,219.076,155.197,442.117,217.105,147.935,125.822,81.305,125.493,146.922
"Price",212.229,261.495,299.551,297.966,136.65,341.899,232.837,189.731,228.585,175.244,208.281,418.092,283.32,323.158,203.33,232.075,306.257,241.526,123.422,206.095,222.016,273.153,376.583,191.812,345.177,199.756,265.431,350.28,244.72,365.756,182.629,301.922,214.441,28.131,49.958,198.685,91.965,122.109,250.189,60.741,319.128,376.583,132.58,126.576,142.595,274.231,326.616,179.895,261.628,240.038,0,351.051,191.998,367.453,234.661,263.33,269.679,71.775,235.967,362.708,251.121,336.158,327.776,30.471,391.062,278.504,255.261,297.55,125.347,188.285,170.865,171.686
"Racine",274.303,598.516,516.608,634.987,231.989,420.393,141.776,171.258,538.95,432.894,384.167,331.473,183.805,421.278,292.703,228.101,170.225,435.532,411.591,149.66,141.606,482.308,174.808,192.443,240.665,536.777,92.507,113.68,152.116,16.517,228.193,379.393,453.395,371.148,407.248,174.562,347.265,318.968,205.789,302.043,47.847,174.808,283.819,241.254,214.344,87.599,485.742,238.439,94.491,210.7,350.761,0,498.96,126.798,505.05,228.123,602.343,291.625,137.148,579.765,385.491,397.642,67.326,392.484,89.534,615.525,417.857,71.688,245.091,240.261,193.201,364.452
"Richland",248.41,168.78,85.735,205.251,315.103,235.075,381.467,361.176,87.478,69.718,122.116,315.4,369.552,216.334,381.783,318.307,392.489,134.702,241.55,354.725,370.646,111.727,462.815,330.799,372.104,170.9,414.061,436.512,393.35,514.386,361.082,226.589,107.617,183.572,162.707,377.138,153.877,305.656,336.421,236.525,458.162,462.815,324.037,305.029,321.042,452.684,219.792,358.348,410.258,326.27,191.822,499.681,0,453.685,66.137,290.191,115.998,252.009,414.42,148.892,158.241,229.334,476.406,151.768,477.294,185.789,148.437,470.032,257.115,274.517,319.495,164.608
"Rock",194.095,552.982,436.4,589.453,285.316,340.185,123.405,211.73,493.416,387.36,303.959,212.873,103.597,341.07,360.484,147.893,58.586,355.324,461.727,187.025,202.352,402.1,56.107,183.014,122.065,491.243,159.212,73.699,111.421,121.575,310.012,299.185,373.187,390.624,412.888,256.381,301.731,369.104,157.253,315.509,129.997,56.107,333.955,277.451,238.554,169.418,405.534,320.258,161.196,130.492,367.281,126.519,453.426,0,424.842,147.915,522.135,305.091,218.967,499.557,305.283,317.434,91.321,346.95,52.081,569.991,337.649,107.992,253.696,209.179,217.411,270.162
"Rusk",261.598,202.971,37.766,228.803,362.602,175.968,374.393,408.675,127.83,106.076,154.545,300.805,341.515,157.227,429.282,290.903,364.452,75.595,307.707,402.224,418.145,50.941,403.856,333.597,372.523,206.252,461.56,408.475,385.966,520.908,408.581,208.732,73.646,249.729,228.864,424.637,201.376,406.685,328.034,307.413,465.205,403.856,371.536,352.528,368.541,504.626,160.685,405.847,457.757,306.067,234.686,506.203,66.156,425.648,0,290.61,110.71,299.508,461.919,100.923,147.798,170.227,452.436,203.33,449.257,209.341,89.33,441.995,304.614,322.016,366.994,200.058
"Sauk",69.195,478.98,301.777,504.812,220.086,205.562,95.313,146.5,390.341,241.546,169.336,160.118,62.773,206.447,295.254,44.818,85.71,220.701,388.656,121.795,137.122,267.477,118.536,101.142,87.203,388.168,151.27,129.733,107.224,242.166,262.941,164.562,238.564,287.549,309.813,222.484,198.656,303.874,68.96,251.368,186.463,118.536,268.725,212.221,173.324,225.884,270.911,271.819,147.467,26.987,264.206,227.461,290.111,146.906,290.219,0,387.512,243.463,184.685,364.934,170.66,182.811,173.694,243.875,170.515,485.35,203.026,163.253,150.621,106.104,152.181,135.539
"Sawyer",358.625,92.26,100.801,118.092,459.629,272.995,471.42,505.702,83.774,178.644,251.572,397.832,438.542,254.254,526.309,387.93,461.479,172.622,276.734,499.251,515.172,154.907,500.883,430.624,469.55,126.79,558.587,505.502,482.993,617.935,505.608,305.759,170.673,262.05,241.185,521.664,298.403,377.779,425.061,331.403,562.232,500.883,468.563,449.555,465.568,601.653,257.712,502.874,554.784,403.094,269.635,603.23,116.017,522.675,110.71,387.637,0,396.535,558.946,139.24,244.825,267.254,549.463,246.646,546.284,98.63,186.357,539.022,401.641,419.043,464.021,297.085
"Shawano",191.741,351.286,309.971,387.757,65.53,319.187,163.827,118.611,291.72,185.664,216.351,397.604,262.832,333.578,132.21,211.587,245.063,251.946,176.486,137.085,153.006,283.573,315.389,150.286,315.503,289.547,196.421,228.277,175.71,307.023,111.509,309.992,224.861,81.619,114.906,127.565,100.035,103.721,175.718,11.031,248.008,315.389,68.572,55.456,71.475,203.111,337.036,108.775,192.618,219.55,71.773,292.318,251.73,306.259,298.413,242.842,395.706,0,164.847,373.128,259.191,309.315,258.766,99.056,310.682,368.295,265.681,228.54,80.155,124.086,96.926,179.756
"Sheboygan",187.517,512.616,471.301,549.087,103.807,375.991,107.29,67.595,453.05,346.994,314.964,349.774,193.702,376.876,164.521,176.223,188.526,413.276,283.409,63.774,49.418,444.903,267.519,106.337,258.966,450.877,79.491,162.679,119.173,153.154,100.011,334.991,386.191,242.966,279.066,46.38,261.365,190.786,127.496,173.861,94.139,267.519,155.637,113.072,112.768,49.242,441.34,110.257,85.253,156.622,234.603,138.449,413.06,219.509,459.743,183.337,557.036,163.443,0,534.458,341.089,353.24,130.329,270.095,182.245,529.625,373.455,120.687,159.008,154.178,107.118,278.369
