"","Adams","Ashland","Barron","Bayfield","Brown","Buffalo","Burnett","Calumet","Chippewa","Clark","Columbia","Crawford","Dane","Dodge","Door","Douglas","Dunn","Eau Claire","Florence","Fond du Lac","Forest","Grant","Green","Green Lake","Iowa","Iron","Jackson","Jefferson","Juneau","Kenosha","Kewaunee","La Crosse","Lafayette","Langlade","Lincoln","Manitowoc","Marathon","Marinette","Marquette","Menominee","Milwaukee","Monroe","Oconto","Oneida","Outagamie","Ozaukee","Pepin","Pierce","Polk","Portage","Price","Racine","Richland","Rock","Rusk","Sauk","Sawyer","Shawano","Sheboygan","St. Croix","Taylor","Trempealeau","Vernon","Vilas","Walworth","Washburn","Washington","Waukesha","Waupaca","Waushara","Winnebago","Wood"
"Adams",0,398.411,271.609,434.882,210.591,193.573,134.385,149.315,338.845,182.511,139.168,197.674,109.527,194.458,285.759,53.498,132.464,190.533,337.16,128.658,144.579,237.309,181.997,81.452,150.664,336.672,188.011,176.487,139.096,288.92,253.446,152.573,208.396,236.053,258.317,233.929,147.16,294.379,90.416,199.872,233.217,181.997,259.23,179.116,163.07,272.638,258.922,262.324,184.208,65.797,212.71,274.215,248.577,193.66,260.051,68.751,357.344,191.967,187.489,334.766,140.492,170.822,220.448,192.379,217.269,415.42,172.858,210.007,99.125,54.582,125.857,80.458
"Ashland",397.824,0,192.311,36.47,414.466,364.505,480.83,460.539,77.734,223.314,287.752,489.342,468.915,345.764,481.146,417.67,491.852,264.132,242.822,454.088,470.009,246.417,562.178,430.162,561.06,61.622,513.424,535.875,492.713,613.749,460.445,397.269,262.183,253.737,232.872,476.501,254.767,380.213,435.784,318.866,557.525,562.178,390.292,404.392,420.405,552.047,349.222,457.711,509.621,425.633,261.322,599.044,168.781,553.048,190.488,448.925,92.302,351.372,513.783,230.75,336.335,358.764,575.769,242.301,576.657,17.008,277.867,569.395,356.478,373.88,418.858,267.135
"Barron",272.3,193.142,0,218.974,373.304,186.67,385.095,419.377,147.445,145.598,165.247,311.507,352.217,167.929,439.984,301.605,375.154,86.297,327.322,412.926,428.847,55.73,414.558,344.299,383.225,227.843,472.262,419.177,396.668,531.61,419.283,219.434,84.348,269.344,248.479,435.339,212.078,417.387,338.736,318.115,475.907,414.558,382.238,363.23,379.243,515.328,131.432,416.549,468.459,316.769,299.51,516.905,85.771,436.35,37.783,301.312,101.674,310.21,472.621,63.333,158.5,180.929,463.138,268.154,459.959,199.512,100.032,452.697,315.316,332.718,377.696,210.76
"Bayfield",434.385,36.56,218.051,0,451.027,390.245,517.391,497.1,115.486,261.066,368.822,515.082,505.476,371.504,517.707,454.231,528.413,289.872,279.383,490.649,506.57,272.157,598.739,466.723,586.8,98.183,549.985,572.436,529.274,650.31,497.006,423.009,287.923,290.298,269.433,513.062,292.519,416.774,472.345,355.427,594.086,598.739,426.853,440.953,456.966,588.608,374.962,494.272,546.182,462.194,297.883,635.605,206.533,589.609,228.753,504.887,118.042,387.933,550.344,256.49,362.075,384.504,612.33,278.862,613.218,19.461,303.607,605.956,393.039,410.441,455.419,304.887
"Brown",211.143,412.041,370.726,448.512,0,378.965,144.124,75.879,352.475,246.419,270.539,386.608,230.536,361.864,70.109,199.587,225.36,312.701,181.137,117.382,98.796,344.328,295.686,130.583,295.8,350.302,176.718,208.574,156.007,247.205,46.246,337.965,285.616,142.391,176.794,67.747,160.79,88.514,156.015,73.286,188.19,295.686,53.365,18.649,49.121,143.293,397.791,46.674,172.915,193.456,134.028,232.5,312.485,286.556,359.168,220.171,456.461,62.868,105.029,433.883,313.379,356.214,224.38,169.52,276.296,429.05,326.436,214.738,114.583,139.994,77.223,233.944
"Buffalo",183.765,364.434,187.231,390.266,378.831,0,288.985,340.172,290.549,185.268,105.716,152.055,256.107,16.808,453.999,205.495,279.044,106.349,452.605,315.467,330.794,150.775,318.448,248.189,212.576,368.971,344.604,323.067,300.558,435.5,421.686,51.612,124.018,354.194,373.762,416.156,251.748,462.619,242.626,327.344,379.797,318.448,427.47,347.356,331.31,419.218,64.563,430.564,340.801,220.659,339.18,420.795,232.711,340.24,175.673,205.202,272.966,319.439,378.357,210.132,62.823,21.229,367.028,307.824,363.849,370.804,98.668,356.587,267.365,222.822,294.097,151.445
"Burnett",134.413,480.769,384.194,517.24,143.359,287.979,0,69.773,421.203,315.147,251.753,249.382,93.31,288.864,218.527,88.211,88.134,303.118,319.77,45.068,60.395,349.894,158.46,56.625,158.574,419.03,56.191,64.752,12.185,156.516,186.214,246.979,320.981,242.666,266.983,145.757,229.518,227.147,60.431,173.552,100.292,158.46,191.998,135.494,96.597,75.349,353.328,195.092,52.388,68.61,233.014,141.811,381.213,123.53,372.636,95.325,469.929,163.134,107.958,447.351,253.077,265.228,110.617,274.737,135.285,497.778,285.443,100.176,127.344,100.091,75.454,246.705
"Calumet",149.196,460.125,418.81,496.596,75.244,337.657,68.956,0,400.559,294.503,262.656,311.44,155.368,338.542,150.412,137.889,150.192,333.967,251.655,25.44,22.917,392.412,220.518,68.016,220.632,398.386,85.338,133.406,80.839,185.663,118.099,296.657,333.7,197.945,222.262,63.642,208.874,159.032,89.162,128.831,129.439,220.518,123.883,67.336,46.196,94.055,403.006,126.977,81.535,118.288,189.573,170.958,360.569,211.388,407.252,145.003,504.545,118.413,67.601,481.967,302.755,314.906,147.683,254.093,199.599,477.134,316.292,117.457,106.7,115.857,68.797,226.061
"Chippewa",339.185,77.733,147.428,114.204,355.827,293.225,422.191,401.9,0,162.753,228.196,401.374,410.276,274.484,422.507,359.031,433.213,192.852,219.689,395.449,411.37,175.384,503.539,371.523,472.133,79.853,454.785,477.236,434.074,555.11,401.806,309.301,165.767,205.005,184.14,417.862,194.206,320.734,377.145,274.358,498.886,503.539,364.761,345.753,361.766,493.408,277.942,399.072,450.982,366.994,229.655,540.405,87.478,494.409,127.83,390.286,83.774,292.733,455.144,210.585,240.566,287.484,517.13,189.601,518.018,94.742,206.587,510.756,297.839,315.241,360.219,206.574
"Clark",182.206,222.826,145.442,259.297,248.899,187.79,315.263,294.972,157.329,0,65.212,268.14,303.348,169.049,315.579,252.103,326.285,87.417,288.53,288.521,304.442,119.044,396.611,264.595,324.844,224.946,347.857,370.308,327.146,448.182,294.878,179.329,60.332,190.119,209.687,310.934,87.673,292.982,270.217,193.71,391.958,396.611,257.833,238.825,254.838,386.48,172.507,292.144,344.054,260.066,175.105,433.477,69.863,387.481,106.06,242.931,178.628,185.805,348.216,208.599,110.981,182.049,410.202,143.749,411.09,239.835,101.152,403.828,190.911,208.313,253.291,98.404
"Columbia",140.124,287.746,164.991,368.026,269.861,105.652,252.919,262.474,227.9,65.239,0,196.446,220.041,94.141,345.029,169.429,242.978,83.915,328.622,256.023,271.944,130.691,282.382,212.123,251.049,289.866,315.359,287.001,264.492,399.434,312.716,109.71,101.778,230.211,249.779,293.199,123.118,323.716,206.56,224.444,343.731,282.382,288.567,238.386,222.34,334.527,145.168,321.594,311.556,184.593,208.692,384.729,122.134,304.174,153.433,169.136,250.726,216.539,314.854,228.148,45.656,95.78,330.962,183.841,327.783,348.564,66.24,320.521,158.413,175.815,220.793,57.021
"Crawford",197.471,504.756,327.553,530.588,386.283,151.974,249.386,312.697,399.556,268.636,196.426,0,158.183,153.529,461.451,180.402,172.606,246.477,504.802,287.992,303.319,276.028,161.705,255.055,92.354,504.314,320.232,234.354,242.397,346.787,429.138,94.6,264.34,403.695,425.959,388.681,305.772,470.071,223.303,405.281,291.084,161.705,434.922,378.418,339.521,330.505,217.323,438.016,280.65,181.33,380.352,332.082,315.419,213.315,315.995,159.75,413.288,397.376,350.882,385.213,171.424,129.893,278.315,360.021,261.765,511.126,218.416,267.874,304.534,260.017,318.378,225.951
"Dane",100.38,459.267,342.685,495.738,230.828,246.47,93.931,157.242,399.701,293.645,210.244,158.224,0,247.355,305.996,54.178,42.129,261.609,398.016,132.537,147.864,308.385,97.177,110.502,77.386,397.528,128.998,86.152,86.942,198.585,273.683,205.47,279.472,296.909,319.173,233.226,208.016,314.616,78.75,260.728,142.882,97.177,279.467,222.963,184.066,182.303,311.819,282.561,125.195,36.777,273.566,183.88,359.711,103.325,331.127,51.313,428.42,252.823,195.427,405.842,211.568,223.719,130.113,253.235,126.934,476.276,243.934,119.672,159.981,115.464,162.923,176.447
"Dodge",185.071,345.693,168.49,371.525,361.188,16.808,290.291,341.478,271.808,166.527,94.143,153.113,257.413,0,436.356,206.801,280.35,87.608,433.864,316.773,332.1,132.034,319.754,249.495,230.319,350.23,345.91,324.373,301.864,436.806,404.043,61.04,105.277,335.453,355.021,384.526,233.007,438.316,243.932,339.044,381.103,319.754,403.167,329.713,313.667,420.524,72.06,412.921,342.107,221.965,320.439,422.101,213.97,341.546,156.932,206.508,254.225,331.139,379.663,231.647,51.25,22.535,368.334,289.083,365.155,352.063,79.927,357.893,249.74,224.128,295.403,139.872
"Door",287.395,480.743,439.428,517.214,69.718,455.217,220.376,152.131,421.177,315.121,346.791,462.86,306.788,438.116,0,275.839,301.612,381.403,246.863,193.634,205.665,413.03,371.938,206.835,372.052,419.004,235.305,284.826,232.259,308.968,50.349,414.217,354.318,211.093,242.52,129.51,229.492,154.24,232.267,141.988,249.953,371.938,119.091,89.217,125.373,205.056,466.493,41.398,249.167,269.708,202.73,294.263,381.187,362.808,427.87,296.423,525.163,131.57,166.792,502.585,389.631,432.466,286.143,238.222,338.059,497.752,395.138,276.501,190.835,216.246,153.475,310.196
"Douglas",53.48,418.145,299.905,454.616,198.538,203.69,88.281,139.468,358.579,252.523,167.464,180.778,63.423,204.575,273.706,0,86.36,218.829,356.894,114.763,130.09,265.605,156.686,69.38,124.385,356.406,137.038,130.383,92.992,242.816,241.393,162.69,236.692,255.787,278.051,215.452,166.894,282.326,46.915,219.606,187.113,156.686,247.177,190.673,151.776,226.534,269.039,250.271,133.235,19.693,232.444,228.111,318.589,147.556,288.347,43.433,385.64,211.701,177.653,363.062,168.788,180.939,174.344,212.113,171.165,435.154,201.154,163.903,118.859,74.342,130.633,139.959
"Dunn",133.533,492.42,375.838,528.891,224.754,279.623,87.857,151.168,432.854,326.798,243.397,172.658,43.035,280.508,299.922,87.331,0,294.762,401.165,126.463,141.79,341.538,74.238,122.452,81.85,430.681,158.703,72.825,80.868,185.258,267.609,238.623,312.625,330.062,352.326,227.152,241.169,308.542,96.691,254.947,129.555,74.238,273.393,216.889,177.992,168.976,344.972,276.487,119.121,69.93,306.719,170.553,392.864,76.627,364.28,87.353,461.573,244.529,189.353,438.995,244.721,256.872,116.786,286.388,100.236,509.429,277.087,106.345,193.134,148.617,156.849,209.6
"Eau Claire",191.711,264.241,87.038,290.073,312.781,105.891,304.506,358.854,190.356,85.075,84.658,230.728,271.628,87.15,379.461,221.016,294.565,0,352.412,352.403,368.324,45.31,333.969,263.71,302.636,268.778,360.125,338.588,316.079,451.021,358.76,138.655,23.825,254.001,273.569,374.816,151.555,356.864,258.147,257.592,395.318,333.969,321.715,302.707,318.72,434.739,83.656,356.026,356.322,236.18,238.987,436.316,132.518,355.761,75.48,220.723,172.773,249.687,412.098,150.195,77.911,100.15,382.549,207.631,379.37,270.611,19.443,372.108,254.793,230.768,317.173,130.171
"Florence",336.944,244.261,325.382,280.732,180.661,455.306,320.389,252.144,219.607,288.651,328.932,542.807,408.035,436.565,247.341,356.79,401.625,354.933,0,293.647,275.061,386.56,471.951,306.848,472.065,185.009,352.983,384.839,332.272,426.566,231.052,426.637,327.848,105.536,78.842,247.108,212.865,131.556,332.28,165.41,367.551,471.951,151.686,189.23,225.386,322.654,440.023,223.906,349.18,364.753,123.378,411.861,239.646,462.821,305.784,388.045,276.722,173.862,284.39,388.539,375.836,449.565,403.741,155.952,455.657,261.27,368.668,394.099,290.848,313,253.488,296.401
"Fond du Lac",128.688,453.604,412.289,490.075,116.194,313.088,44.387,23.951,394.038,287.982,256.135,286.871,130.799,313.973,191.362,113.32,125.623,327.446,292.605,0,15.131,385.891,195.949,47.508,196.063,391.865,64.978,108.837,56.27,165.303,159.049,272.088,327.179,215.501,239.818,99.924,202.353,199.982,64.593,146.387,109.079,195.949,164.833,108.329,69.432,74.182,378.437,167.927,61.175,93.719,205.849,150.598,354.048,186.819,400.731,120.434,498.024,135.969,62.125,475.446,278.186,290.337,127.323,247.572,179.239,470.613,309.771,97.097,100.179,95.349,48.289,219.54
"Forest",144.613,469.529,428.214,506,98.161,333.087,64.386,22.917,409.963,303.907,272.06,306.87,150.798,333.972,205.364,133.319,145.622,348.226,274.572,15.131,0,401.816,215.948,63.433,216.062,407.79,53.063,128.836,76.269,156.544,140.854,292.087,343.104,231.426,255.743,87.223,218.278,181.949,84.592,162.312,100.32,215.948,146.8,90.253,85.357,88.109,398.436,151.1,51.566,113.718,221.774,141.839,369.973,206.818,416.656,140.433,513.949,151.894,49.424,491.371,298.185,310.336,118.564,263.497,170.48,486.538,330.551,108.808,116.104,111.274,64.214,235.465
"Grant",237.452,229.486,55.905,255.318,343.333,150.087,350.247,389.406,179.326,115.627,130.399,274.924,317.369,131.346,410.013,266.757,340.306,48.188,382.964,382.955,398.876,0,379.71,309.451,348.377,264.187,405.866,384.329,361.82,496.762,389.312,182.851,54.377,284.553,304.121,405.368,182.107,387.416,303.888,288.144,441.059,379.71,352.267,333.259,349.272,480.48,104.67,386.578,402.063,281.921,269.539,482.057,115.688,401.502,50.941,266.464,138.018,280.239,442.65,115.106,123.652,144.346,428.29,238.183,425.111,235.856,65.722,417.849,285.345,276.509,347.725,175.912
"Green",182.628,562.851,415.21,599.322,295.185,318.995,158.288,221.599,503.285,397.229,282.769,166.116,97.183,319.88,370.353,157.762,73.72,334.134,471.596,196.894,212.221,380.91,0,192.883,69.684,501.112,206.687,120.748,151.299,169.05,338.04,277.995,351.997,400.493,422.757,303.856,311.6,378.973,167.122,325.378,177.472,0,343.824,287.32,248.423,216.893,384.344,346.918,208.671,140.361,377.15,173.994,463.295,55.964,403.652,118.293,500.945,314.96,266.442,478.367,284.093,296.244,138.796,356.819,99.556,579.86,316.459,155.467,263.565,219.048,227.28,248.972
"Green Lake",81.473,430.195,344.144,466.666,129.451,247.929,55.583,68.156,370.629,264.573,211.703,255.314,120.542,248.814,204.619,69.297,122.148,263.068,305.862,47.499,63.42,309.844,192.474,0,192.588,368.456,106.852,122.214,67.466,207.177,172.306,206.929,280.931,228.758,253.075,144.129,178.944,213.239,28.488,159.644,150.953,192.474,178.09,121.586,82.689,126.02,313.278,181.184,103.049,70.92,206.795,192.472,330.639,183.344,332.586,100.552,429.879,149.226,106.33,407.301,213.027,225.178,169.197,224.163,206.953,447.204,245.393,138.971,74.997,45.787,61.546,152.009
"Iowa",151.249,538.451,361.248,564.283,296.268,212.581,159.371,222.682,442.948,301.017,228.807,92.445,74.796,232.098,371.436,124.66,82.591,280.172,472.679,197.977,213.304,326.948,69.69,193.966,0,502.195,230.217,144.339,152.382,256.772,339.123,161.303,298.035,401.576,423.84,298.666,312.683,380.056,168.205,326.461,201.069,69.69,344.907,288.403,249.506,240.49,277.93,348.001,190.635,141.444,378.233,242.067,349.582,123.3,349.69,86.914,446.983,316.043,260.867,424.405,230.131,208.462,188.3,357.902,171.75,544.821,262.497,177.859,264.648,220.131,228.363,189.262
"Iron",336.202,61.739,226.986,98.21,352.844,371.647,419.208,398.917,80.164,228.561,292.999,542.065,407.293,352.906,419.524,356.048,430.23,271.274,183.561,392.466,408.387,253.806,500.556,368.54,469.15,0,451.802,474.253,431.091,552.127,398.823,387.723,244.189,192.115,171.25,414.879,212.123,320.952,374.162,257.244,495.903,500.556,331.031,342.77,358.783,490.425,356.364,396.089,447.999,364.011,199.7,537.422,174.028,491.426,206.252,387.303,126.79,289.75,452.161,265.425,318.988,365.906,514.147,180.679,515.035,78.748,285.009,507.773,294.856,312.258,357.236,295.659
"Jackson",188.184,513.077,471.762,549.548,175.667,343.646,56.337,85.819,453.511,347.455,315.608,319.772,128.09,344.531,234.085,136.915,158.524,358.785,352.078,64.221,52.897,405.561,206.933,107.004,228.964,451.338,0,101.979,50.106,107.723,169.575,302.646,386.652,274.974,299.291,115.944,261.826,259.455,120.35,205.86,51.499,206.933,224.306,167.802,128.905,28.981,408.995,179.821,5.761,117.498,265.322,93.018,413.521,158.923,460.204,151.376,557.497,195.442,78.53,534.919,308.744,320.895,69.743,307.045,121.659,530.086,341.11,59.987,159.652,154.822,107.762,279.013
"Jefferson",176.803,535.69,419.108,572.161,206.422,322.893,63.365,132.836,476.124,370.068,286.667,220.403,86.305,323.778,281.59,130.601,59.155,338.032,382.833,108.131,123.458,384.808,119.325,119.688,129.595,473.951,101.694,0,51.381,128.249,252.561,281.893,355.895,305.729,330.046,198.93,284.439,290.21,115.283,236.615,72.546,119.325,255.061,198.557,159.66,111.967,388.242,262.807,81.548,113.2,349.989,113.544,436.134,72.315,407.55,130.623,504.843,226.197,161.516,482.265,287.991,300.142,49.416,329.658,67.595,552.699,320.357,49.336,190.407,191.887,138.517,252.87
"Juneau",138.836,493.045,395.58,529.516,155.635,299.365,12.578,82.049,433.479,327.423,263.139,242.07,85.998,300.25,230.803,92.634,80.822,314.504,332.046,57.344,72.671,361.28,151.148,68.901,151.262,431.306,50.106,52.768,0,167.105,198.49,258.365,332.367,254.942,279.259,158.033,241.794,239.423,67.607,185.828,111.402,151.148,204.274,147.77,108.873,74.42,364.714,207.368,46.303,73.217,245.29,152.4,393.489,111.546,384.022,107.095,481.315,175.41,120.234,458.737,264.463,276.614,98.633,287.013,123.301,510.054,296.829,88.192,139.62,107.267,87.73,219.81
"Kenosha",288.688,612.901,530.993,649.372,246.374,434.778,156.161,185.643,553.335,447.279,398.552,345.858,198.19,435.663,307.088,242.486,184.61,449.917,425.976,164.045,155.991,496.693,169.4,206.828,255.05,551.162,106.892,128.065,166.501,0,242.578,393.778,467.78,385.533,421.633,188.947,361.65,333.353,220.174,316.428,62.232,169.4,298.204,255.639,228.729,101.984,500.127,252.824,108.876,225.085,365.146,16.192,513.345,121.39,519.435,242.508,616.728,306.01,151.533,594.15,399.876,412.027,81.711,406.869,70.061,629.91,432.242,86.073,259.476,254.646,207.586,378.837
"Kewaunee",255.237,459.882,418.567,496.353,46.35,423.059,188.218,119.973,400.316,294.26,314.633,430.702,274.63,405.958,50.437,243.681,269.454,360.542,227.042,161.476,140.077,392.169,339.78,174.677,339.894,398.143,169.717,252.905,200.101,243.38,0,382.059,333.457,190.232,222.699,49.29,208.631,134.419,200.109,121.127,184.365,339.78,99.27,60.338,93.215,139.468,445.632,10.245,175.479,237.55,181.869,228.675,360.326,309.735,407.009,264.265,504.302,110.709,101.204,481.724,357.473,400.308,220.555,217.361,272.471,476.891,374.277,210.913,158.677,184.088,121.317,278.038
"La Crosse",141.787,412.224,235.021,438.056,336.853,51.277,247.007,298.194,307.024,190.608,118.398,94.722,214.129,60.997,412.021,163.517,237.066,153.945,426.742,273.489,288.816,183.496,276.47,206.211,161.474,385.446,302.626,281.089,258.58,393.522,379.708,0,171.808,325.635,347.899,374.178,227.712,420.641,200.648,318.044,337.819,276.47,385.492,305.378,289.332,377.24,116.626,388.586,298.823,178.681,302.292,378.817,226.31,298.262,223.463,163.224,320.756,310.139,336.379,316.352,78.892,37.361,325.05,281.961,321.871,418.594,125.884,314.609,225.387,180.844,252.119,147.891
"Lafayette",212.122,261.347,84.144,287.179,288.121,126.492,324.917,334.194,165.696,60.415,87.548,251.329,292.039,107.751,354.801,241.427,314.976,26.119,327.752,327.743,343.664,57.746,354.38,284.121,323.047,244.118,387.079,358.999,336.49,471.432,334.1,159.256,0,229.341,248.909,350.156,126.895,332.204,278.558,232.932,415.729,354.38,297.055,278.047,294.06,425.702,111.209,331.366,383.276,256.591,214.327,456.727,107.858,376.172,72.586,241.134,169.879,225.027,387.438,147.301,98.322,120.751,402.96,182.971,399.781,267.717,39.854,392.519,230.133,247.535,292.513,137.626
"Langlade",236.943,253.846,269.383,290.317,144.912,356.895,243.192,197.976,204.915,190.24,232.995,442.806,308.034,338.154,211.592,256.789,330.971,256.522,105.58,216.45,232.371,288.149,401.297,229.651,369.891,192.107,275.786,307.642,255.075,386.405,190.891,326.636,229.437,0,33.287,206.947,114.454,120.535,274.903,70.587,327.39,401.297,131.006,134.838,150.84,282.493,341.612,188.157,271.983,264.752,28.131,371.7,183.647,392.167,249.785,288.044,262.03,81.621,244.229,332.54,275.835,351.154,338.131,46.369,390.047,270.855,270.257,307.905,150.061,212.999,176.291,196.4
"Lincoln",258.101,232.969,248.506,269.44,176.039,376.463,267.509,222.293,184.038,209.808,250.089,463.964,329.192,357.722,242.719,277.947,352.129,276.09,78.842,240.767,256.688,307.717,422.455,253.968,391.049,171.23,300.103,396.152,279.392,421.944,226.43,347.794,249.005,33.287,0,242.486,134.022,136.593,296.061,103.874,362.929,422.455,147.064,159.155,175.157,318.032,361.18,219.284,296.3,285.91,49.958,407.239,162.77,413.325,228.908,309.202,241.153,114.908,279.768,311.663,296.993,370.722,362.448,77.109,436.934,249.978,289.825,332.222,180.801,234.157,200.608,217.558
"Manitowoc",232.409,474.643,433.328,511.114,65.834,413.18,144.479,63.496,415.077,309.021,291.805,386.963,230.891,383.13,126.548,213.412,225.715,375.303,245.436,100.963,86.607,406.93,304.275,143.526,296.155,412.904,116.247,199.435,156.362,189.91,48.096,372.18,348.218,204.993,241.093,0,223.392,152.813,164.685,135.888,130.895,304.275,117.664,75.099,74.795,85.998,460.393,58.342,122.009,193.811,196.63,175.205,375.087,256.265,421.77,220.526,519.063,125.47,47.734,496.485,334.645,390.429,167.085,232.122,219.001,491.652,389.038,157.443,135.849,161.052,98.281,255.21
"Marathon",146.431,254.877,212.145,291.348,163.073,254.493,229.437,209.146,194.247,87.838,123.06,305.641,217.522,235.752,229.753,166.277,240.459,154.12,212.717,202.695,218.616,185.747,310.785,178.769,279.379,212.229,262.031,284.482,241.32,362.356,209.052,227.838,127.035,114.306,133.874,225.108,0,207.156,184.391,107.884,306.132,310.785,172.007,152.999,169.012,300.654,239.21,206.318,258.228,174.24,92.132,347.651,153.904,301.655,200.587,197.532,297.88,99.979,262.39,275.302,165.9,216.024,324.376,67.936,325.264,271.886,167.855,318.002,105.085,122.487,167.465,86.465
"Marinette",295.597,380.824,418.363,417.295,88.85,463.419,228.578,160.333,321.289,294.056,324.743,471.062,314.99,441.97,155.53,284.041,309.814,360.338,132.166,201.836,183.25,391.965,380.14,215.037,380.254,321.572,261.172,293.028,240.461,334.755,139.241,422.419,333.253,121.192,137.25,155.297,208.427,0,240.469,99.996,275.74,380.14,38.662,97.419,133.575,230.843,445.428,132.095,257.369,277.91,122.556,320.05,306.489,371.01,406.805,304.625,378.404,105.069,192.579,481.52,367.583,440.668,311.93,153.323,363.846,397.833,374.073,302.288,199.037,224.448,161.677,288.148
"Marquette",89.756,434.986,337.902,471.457,155.07,241.687,60.436,90.084,375.42,269.364,205.461,224.228,89.456,242.572,230.238,46.915,94.97,256.826,331.481,65.379,80.706,303.602,165.296,28.562,165.41,373.247,120.164,116.69,67.627,220.489,197.925,200.687,274.689,272.628,294.892,166.068,183.735,238.858,0,185.263,164.265,165.296,203.709,147.205,108.308,139.332,307.036,206.803,116.361,42.273,249.285,205.784,335.43,156.166,326.344,68.988,423.637,174.845,128.269,401.059,206.785,218.936,162.555,228.954,179.775,451.995,239.151,152.114,103.266,54.643,87.165,156.8
