"","Adams","Allen","Bartholomew","Benton","Blackford","Boone","Brown","Carroll","Cass","Clark","Clay","Clinton","Crawford","Daviess","Dearborn","Decatur","DeKalb","Delaware","Dubois","Elkhart","Fayette","Floyd","Fountain","Franklin","Fulton","Gibson","Grant","Greene","Hamilton","Hancock","Harrison","Hendricks","Henry","Howard","Huntington","Jackson","Jasper","Jay","Jefferson","Jennings","Johnson","Knox","Kosciusko","LaGrange","Lake","LaPorte","Lawrence","Madison","Marion","Marshall","Martin","Miami","Monroe","Montgomery","Morgan","Newton","Noble","Ohio","Orange","Owen","Parke","Perry","Pike","Porter","Posey","Pulaski","Putnam","Randolph","Ripley","Rush","Scott","Shelby","Spencer","St. Joseph","Starke","Steuben","Sullivan","Switzerland","Tippecanoe","Tipton","Union","Vanderburgh","Vermillion","Vigo","Wabash","Warren","Warrick","Washington","Wayne","Wells","White","Whitley"
"Starke",171.052,74.894,290.264,107.164,183.606,51.834,231.44,99.269,452.202,244.9,88.681,262.06,343.713,390.801,341.05,183.516,174.221,210.137,408.717,105.536,186.819,223.112,172.334,254.26,71.364,359.909,157.965,211.405,202.411,221.009,281.249,270.808,244.79,233.911,137.364,316,406.005,220.391,137.071,343.826,466.845,0,83.073,146.938,88.39,40.787,191.663,373.176,149.279,202.201,476.194,112.584,194,392.88,296.941,122.221,121.942,481.076,278.591,398.133,220.442,232.945,149.536,68.812,377.274,86.876,207.736,357.17,177.873,265.138,468.397,77.403,296.822,80.947,0,200.349,357.664,353.537,51.931,140.325,162.432,484.104,233.456,306.644,121.942,160.857,484.959,379.584,293.787,99.739,458.761,113.277
"Steuben",73.284,150.561,327.486,83.77,141.27,244.036,292.85,215.257,498.567,282.122,128.907,408.459,390.078,437.166,395.073,105.048,30.722,167.805,455.082,112.612,268.14,326.759,300.484,291.482,170.13,397.131,286.867,155.402,9.554,229.303,384.298,308.03,226.924,381.195,102.355,353.222,452.37,150.122,251.068,381.048,517.357,200.115,119.712,39.464,119.906,182.507,245.686,410.398,143.585,356.337,522.559,181.16,115.532,439.245,355.867,273.448,135.217,527.441,269.017,435.355,369.021,270.167,291.744,210.289,431.297,229.465,339.159,411.193,345.511,255.567,514.762,273.308,355.748,137.276,200.115,0,416.59,407.56,151.141,205.091,315.606,530.469,392.521,403.247,135.217,115.463,531.324,416.806,213.325,168.315,601.35,86.651
"Sullivan",367.53,297.587,218.38,384.839,284.325,281.992,127.458,263.324,123.827,173.016,387.754,66.604,109.143,79.101,300.389,353.194,387.112,275.148,137.364,404.609,172.945,126.382,136.68,182.376,301.306,166.584,166.599,294.116,415.302,192.906,42.443,198.924,216.687,109.674,322.084,156.597,120.605,302.557,218.815,170.353,110.347,362.246,345.309,426.129,329.732,363.034,171.768,204.406,291.555,97.302,127.81,256.599,347.227,90.711,83.575,199.943,300.424,147.229,237.93,214.738,84.232,161.061,196.549,322.844,336.613,306.185,102.753,316.509,127.062,224.477,119.713,254.17,76.534,380.02,362.246,413.24,0,239.906,327.343,221.539,136.165,134.563,91.647,35.549,300.424,301.44,150.822,151.573,265.684,268.69,705.109,352.596
"Switzerland",360.795,300.046,105.876,418.725,213.974,386.788,187.776,293.209,237.511,144.703,390.213,309.268,135.379,206.647,52.294,340.639,380.377,203.363,231.154,407.068,202.83,221.17,296.735,158.247,303.765,88.037,328.8,222.331,408.567,147.594,285.107,125.618,149.577,313.186,315.349,96.041,240.556,234.711,248.7,70.483,311.846,352.021,347.768,419.394,332.191,403.168,165.033,35.499,284.82,272.444,294.677,259.058,338.821,194.942,220.24,335.404,280.111,299.92,112.932,79.432,263.432,166.98,226.434,427.64,27.969,410.981,239.968,37.381,277.502,114.957,286.88,370.121,203.423,382.479,352.021,406.505,239.331,0,329.802,223.998,247.638,302.948,324.512,304.056,280.111,294.705,271.18,101.282,175.59,271.149,785.135,345.861
"Tippecanoe",122.394,45.068,258.901,66.585,130.714,114.508,211.819,92.835,432.581,213.537,72.118,245.945,324.092,371.18,326.488,134.858,125.563,163.988,389.096,62.323,184.091,224.807,178.062,222.897,35.324,328.546,164.445,157.859,153.753,206.447,305.751,239.445,198.236,219.316,81.947,284.637,386.384,166.845,130.637,312.463,447.224,51.922,30.004,104.571,37.12,84.702,177.101,341.813,95.733,207.929,456.573,82.758,145.342,373.259,277.32,156.744,64.162,461.455,264.029,366.77,226.17,201.582,143.252,112.722,362.712,130.786,260.612,342.608,183.601,250.576,448.776,140.077,277.201,64.384,51.922,151.691,338.043,338.975,0,125.763,168.16,464.483,230.642,324.7,64.162,107.311,465.338,348.221,219.006,69.913,502.671,64.619
"Tipton",158.742,87.122,145.202,174.374,75.493,197.649,98.12,84.294,318.882,99.838,177.289,216.213,210.393,257.481,212.789,144.406,178.324,69.753,275.397,194.144,70.392,129.011,122.42,109.198,90.841,214.847,129.803,88.721,206.514,92.748,192.052,125.746,84.971,167.913,99.68,170.938,272.685,97.162,47.954,198.764,333.525,139.097,134.844,217.341,119.267,190.244,63.402,228.114,57.513,158.589,342.874,46.134,138.439,259.56,163.621,146.265,76.205,347.756,150.33,253.071,171.273,87.883,54.087,218.264,249.013,221.842,146.913,228.909,114.775,136.877,335.077,180.982,163.502,169.555,139.097,204.452,224.344,225.276,116.878,0,94.58,350.784,179.239,211.001,76.205,92.652,351.639,234.522,124.771,58.225,595.996,131.335
"Union",270.706,156.325,151.945,243.212,187.501,164.44,88.835,75.675,242.776,106.581,227.544,73.404,201.108,177.828,233.954,256.37,290.288,178.324,210.031,244.399,51.701,51.142,52.971,115.941,133.859,221.59,85.036,197.292,318.478,116.821,94.495,132.489,140.602,57.443,188.769,177.681,207.319,205.733,52.527,205.507,247.805,162.418,203.682,285.801,188.105,189.816,89.192,234.857,150.443,40.103,265.268,129.1,250.403,183.454,90.05,118.38,158.797,271.65,171.495,259.814,52.812,94.626,40.492,205.292,270.178,188.633,45.638,250.074,20.529,158.042,257.171,147.773,89.931,219.81,162.418,316.416,138.624,246.441,169.184,94.04,0,272.021,80.748,119.89,158.797,204.616,275.533,241.265,189.599,134.528,562.787,220.424
"Vanderburgh",484.646,423.897,254.96,542.576,401.441,486.793,247.638,393.214,78.158,287.143,514.064,201.958,178.595,104.965,367.93,470.31,504.228,392.264,116.432,530.919,302.835,253.894,272.034,257.413,427.616,219.632,301.953,411.232,532.418,310.11,177.797,277.049,333.891,245.028,439.2,267.589,100.62,419.673,348.705,237.725,50.03,492.136,471.619,543.245,456.042,512.574,288.884,259.144,408.671,232.656,23.64,382.909,464.343,106.082,201.022,335.297,403.962,17.711,352.057,223.762,219.586,265.342,326.439,527.645,312.137,510.986,230.265,321.084,262.416,338.604,18.472,389.524,185.93,506.33,492.136,530.356,134.594,304.057,453.653,347.849,271.519,0,227.001,170.903,403.962,418.556,30.19,198.967,382.888,395,809.136,469.712
"Vermillion",348.498,219.862,229.637,306.749,265.293,192.095,114.141,139.212,216.135,184.273,314.305,30.406,194.568,171.409,311.646,334.162,368.08,256.116,229.672,340.122,137.376,77.022,46.783,193.633,197.396,299.282,76.702,275.084,396.27,194.513,49.595,210.181,218.294,19.777,252.306,255.373,212.913,283.525,125.025,283.199,202.655,233.405,267.219,392.962,251.642,273.137,173.375,312.549,272.523,41.039,220.118,207.714,328.195,183.019,111.267,110.046,222.334,239.537,249.187,337.506,27.969,172.318,126.08,232.947,347.87,216.288,71.518,327.766,46.18,235.734,212.021,164.273,120.325,314.418,233.405,394.208,93.474,324.133,232.721,172.6,81.163,226.871,0,74.99,222.334,282.408,243.13,236.998,267.291,198.065,615.212,283.961
"Vigo",356.775,286.832,207.625,374.084,273.57,265.42,116.703,252.569,160.092,162.261,376.999,50.032,146.135,115.366,289.634,342.439,376.357,264.393,173.629,393.854,162.19,115.627,120.108,171.621,290.551,277.27,150.027,283.361,404.547,182.151,25.871,188.169,205.932,93.102,311.329,233.361,156.87,291.802,208.06,261.187,146.612,306.73,334.554,415.374,318.977,346.462,161.013,290.537,280.8,80.73,164.075,245.844,336.472,126.976,80.606,183.371,289.669,183.494,227.175,315.494,67.66,150.306,185.794,306.272,325.858,289.613,91.998,305.754,107.942,213.722,155.978,237.598,89.664,369.265,306.73,402.485,37.431,302.121,316.588,210.784,125.41,170.828,75.075,0,289.669,290.685,187.087,188.565,254.929,257.935,688.537,341.841
"Wabash",91.404,40.431,200.895,90.803,66.764,173.503,178.302,83.338,371.976,155.531,144.191,236.448,263.487,310.575,268.482,84.942,111.284,100.038,328.491,113.953,150.574,209.193,168.565,164.891,57.743,270.54,154.948,93.909,139.474,136.665,272.234,181.439,134.286,209.819,34.077,226.631,325.779,102.895,121.14,254.457,390.766,121.776,51.273,128.121,35.696,157.146,119.095,283.807,31.783,198.432,395.968,49.241,79.432,312.654,243.803,141.529,0,400.85,176.379,308.764,216.673,143.576,134.269,185.166,304.706,203.23,227.095,284.602,174.104,162.929,388.171,176.283,243.684,136.457,121.776,137.412,304.526,280.969,63.935,76.172,158.663,403.878,221.145,291.183,0,43.361,404.733,290.215,155.056,26.904,575.115,65.732
"Warren",69.502,91.973,215.642,127.432,28.929,208.252,181.006,121.287,386.723,170.278,165.862,296.615,278.234,325.322,283.229,55.166,89.084,58.36,343.238,156.197,156.296,214.915,252.9,179.638,95.692,285.287,192.897,55.916,117.274,117.459,272.454,196.186,115.08,269.351,24.033,241.378,340.526,64.902,139.224,269.204,405.513,159.725,94.635,128.101,68.651,178.446,133.842,298.554,31.741,244.493,410.715,73.321,46.514,327.401,244.023,179.478,43.362,415.597,157.173,323.511,257.177,158.323,179.9,206.466,319.453,224.53,227.315,299.349,233.667,143.723,402.918,214.232,243.904,158.128,159.725,115.212,304.746,295.716,107.297,93.247,203.762,418.625,280.677,291.403,43.362,0,419.48,304.962,115.81,65.152,596.415,54.545
"Warrick",483.651,422.902,264.232,541.581,400.446,485.798,246.643,392.219,45.818,286.148,513.069,216.94,177.6,103.97,335.59,469.315,503.233,391.269,84.092,529.924,301.84,252.899,287.016,256.418,426.621,187.292,316.935,410.237,531.423,309.115,192.779,294.776,332.896,260.01,438.205,235.249,68.28,418.678,347.71,205.385,74.174,491.141,470.624,542.25,455.047,511.579,287.889,226.804,407.676,247.638,57.005,381.914,463.348,105.087,200.027,350.279,402.967,18.123,338.414,191.422,234.568,264.347,325.444,526.65,279.797,509.991,229.27,288.744,277.398,324.964,36.051,404.506,184.935,505.335,491.141,529.361,149.576,271.717,452.658,346.854,274.911,29.948,241.983,185.885,402.967,417.561,0,166.627,381.893,394.005,833.28,468.717
"Washington",369.681,308.932,96.296,427.611,286.476,381.115,148.581,287.536,133.23,144.437,399.099,212.599,49.463,106.243,161.134,355.345,389.263,277.299,76.921,415.954,197.157,184.274,291.11,129.519,312.651,19.97,323.175,296.267,417.453,195.145,188.438,126.84,218.926,233.609,324.235,52.183,93.027,304.708,243.027,37.449,207.565,360.907,356.654,428.28,341.077,406.896,173.919,70.041,293.706,209.093,190.396,267.944,349.378,94.538,134.195,329.731,288.997,195.639,170.478,63.309,204.193,151.901,220.761,421.967,129.078,405.308,160.645,138.49,271.877,157.028,182.599,364.448,117.378,391.365,360.907,415.391,151.576,101.108,338.688,232.884,242.013,198.667,237.642,188.564,288.997,303.591,166.899,0,267.923,280.035,779.462,354.747
"Wayne",146.694,238.419,178.078,259.348,86.646,325.763,143.675,232.184,349.159,132.714,328.586,259.284,240.67,287.758,104.58,109.64,185.692,69.524,305.674,288.113,141.805,168.636,237.114,142.074,242.138,247.723,257.917,67.451,213.882,79.563,235.123,119.22,66.312,253.565,155.972,203.814,302.962,63.203,187.675,231.64,367.949,290.394,206.147,260.017,190.57,341.541,103.406,170.146,125.443,212.823,373.151,197.431,99.31,289.837,206.692,274.379,154.874,378.033,64.437,285.947,210.898,120.759,165.409,366.615,144.597,349.956,189.984,124.493,217.881,74.243,365.354,309.096,206.573,320.852,290.394,211.82,267.415,156.823,218.809,124.537,188.017,381.061,264.891,254.072,154.874,115.576,381.916,267.398,0,209.522,724.11,186.484
"Wells",121.792,31.656,191.854,118.908,88.769,151.135,144.772,61.334,365.534,146.49,121.823,214.444,257.045,304.133,259.441,115.33,141.672,128.528,322.049,138.678,117.044,175.663,146.561,155.85,35.375,261.499,132.944,115.914,169.862,139.4,238.704,172.398,163.181,187.815,64.465,217.59,319.337,124.9,94.909,245.416,380.177,99.408,79.378,180.08,63.801,134.778,110.054,274.766,53.788,176.428,389.526,15.711,101.437,306.212,210.273,119.525,34.493,394.408,196.982,299.723,194.669,134.535,100.739,162.798,295.665,180.862,193.565,275.561,152.1,183.529,381.729,154.279,210.154,114.089,99.408,167.8,270.996,271.928,61.412,58.716,136.659,397.436,199.141,257.653,34.493,65.366,398.291,281.174,212.178,0,552.747,96.12
"White",606.545,527.563,690.287,529.398,646.115,412.746,631.463,520.955,845.808,644.923,475.304,643.593,743.736,769.991,772.308,619.009,624.505,713.465,808.74,501.121,586.842,623.135,605.296,654.283,524.033,759.932,514.562,671.595,616.063,652.836,662.782,670.831,676.617,615.444,572.857,716.023,806.028,664.083,548.746,743.849,786.14,458.742,518.566,553.961,537.939,434.136,624.333,773.199,601.948,640.24,787.092,565.253,629.493,792.903,696.964,491.159,574.611,829.546,709.849,798.156,641.156,632.968,564.967,395.93,808.532,377.047,607.788,788.428,634.36,696.396,795.421,424.309,696.845,475.417,458.742,600.391,706.661,784.795,502.749,596.321,562.484,817.181,614.989,688.177,574.611,596.611,833.139,779.607,725.614,552.408,0,548.77
"Whitley",57.925,73.382,266.797,55.615,86.361,160.358,232.161,143.707,437.878,221.433,117.968,296.817,329.389,376.477,334.384,70.389,61.094,131.987,394.393,84.38,207.451,266.07,228.934,230.793,85.494,336.442,215.317,122.975,89.284,168.614,323.609,247.341,166.235,270.188,32.054,292.533,391.681,115.463,181.509,320.359,456.668,113.655,33.252,62.388,36.833,130.552,184.997,349.709,74.77,258.801,461.87,109.61,80.873,378.556,295.178,201.898,63.667,466.752,208.328,374.666,277.042,209.478,194.638,158.572,370.608,176.636,278.47,350.504,234.473,194.878,454.073,185.927,295.059,110.234,113.655,87.222,355.901,346.871,64.681,131.105,219.032,469.78,281.514,342.558,63.667,54.75,470.635,356.117,187.005,96.765,548.521,0
