"","Ada","Adams","Bannock","Bear Lake","Benewah","Bingham","Blaine","Boise","Bonner","Bonneville","Boundary","Butte","Camas","Canyon","Caribou","Cassia","Clark","Clearwater","Custer","Elmore","Franklin","Fremont","Gem","Gooding","Idaho","Jefferson","Jerome","Kootenai","Latah","Lemhi","Lewis","Lincoln","Madison","Minidoka","Nez Perce","Oneida","Owyhee","Payette","Power","Shoshone","Teton","Twin Falls","Valley","Washington"
"Jefferson",473.338,666.498,122.407,275.225,815.723,67.678,918.52,473.338,840.741,24.002,891.604,129.795,62.807,737.724,193.977,223.378,80.945,760.434,338.67,405.067,223.061,39.875,696.063,322.46,777.955,0,289.013,797.105,904.519,215.155,786.074,19.326,21.331,233.316,786.074,194.515,472.901,562.641,137.041,262.27,35.29,279.896,602.135,587.042
"Jerome",185.934,379.094,167.11,367.52,743.668,223.607,655.733,185.934,984.908,266.695,1035.771,162.69,326.244,951.611,286.272,71.38,284.016,537.899,253.802,117.663,315.356,328.184,899.178,35.056,508.305,288.697,0,989.485,663.958,358.983,549.067,274.476,309.64,102.906,549.067,250.931,185.497,275.237,152.847,30.21,323.599,20.666,314.731,299.638
"Kootenai",811.97,533.918,893.425,1046.243,167.372,838.696,223.779,811.97,5.377,796.112,49.994,838.736,737.984,113.064,964.995,994.396,717.761,401.202,698.88,875.307,994.079,775.302,160.875,969.129,371.608,797.069,991.591,0,209.778,562.109,348.243,802.233,788.289,1004.334,348.243,965.533,828.988,723.24,908.059,993.079,802.253,1010.531,559.199,617.235
"Latah",475.377,324.99,830.804,1031.214,79.71,944.673,14.851,475.377,204.955,902.089,255.818,783.42,843.961,171.675,949.966,735.074,823.738,192.274,592.77,549.136,979.05,881.279,219.486,642.958,162.68,903.046,665.42,209.532,0,668.086,139.315,908.21,894.266,747.691,139.315,914.625,501.959,429.88,816.541,666.908,908.23,684.36,350.271,408.307
"Lemhi",501.648,540.867,311.688,464.506,579.785,256.959,619.679,501.648,604.803,214.375,655.666,198.014,194.202,501.786,383.258,412.659,173.979,490.079,225.139,433.323,412.342,225.068,460.125,357.462,507.6,215.332,360.706,561.167,668.581,0,515.719,220.496,206.519,422.597,515.719,383.796,501.211,478.829,326.322,330.489,220.483,372.656,434.53,500.386
"Lewis",356.497,206.11,711.924,912.334,216.82,768.421,128.885,356.497,342.065,783.942,392.928,664.54,725.814,270.967,831.086,616.194,705.591,71.798,473.89,430.256,860.17,763.132,318.85,524.078,42.204,784.899,546.54,346.642,137.11,515.742,0,790.063,776.119,628.811,0,795.745,383.079,311,697.661,548.028,790.083,565.48,231.391,289.427
"Lincoln",459.31,652.47,108.379,261.197,820.93,53.65,923.727,459.31,845.948,7.382,896.811,115.767,68.014,742.931,179.949,209.35,86.152,765.641,324.642,391.039,209.033,58.704,701.27,308.432,781.681,19.217,274.985,802.312,909.726,220.362,791.281,0,40.16,219.288,791.281,180.487,458.873,548.613,123.013,248.242,54.119,265.868,588.107,573.014
"Madison",494.44,687.6,143.509,296.327,807.052,88.78,909.849,494.44,832.07,45.104,882.933,139.286,54.136,729.053,215.079,244.48,72.274,751.763,348.161,426.169,244.163,21.891,687.392,343.562,769.284,21.374,310.115,788.434,895.848,206.466,777.403,40.428,0,254.418,777.403,215.617,494.003,583.743,158.143,271.761,17.306,300.998,623.237,608.144
"Minidoka",268.224,461.384,111.511,311.921,825.958,168.008,738.023,268.224,1048.579,211.096,1099.442,194.404,270.645,945.562,230.673,35.804,288.783,620.189,304.505,199.953,259.757,272.585,903.901,107.755,590.595,233.098,101.869,1004.943,746.248,390.697,631.357,218.877,254.041,0,631.357,195.332,267.787,357.527,97.248,80.913,268,92.752,397.021,381.928
"Nez Perce",356.497,206.11,711.924,912.334,216.82,768.421,128.885,356.497,342.065,783.942,392.928,664.54,725.814,270.967,831.086,616.194,705.591,71.798,473.89,430.256,860.17,763.132,318.85,524.078,42.204,784.899,546.54,346.642,137.11,515.742,0,790.063,776.119,628.811,0,795.745,383.079,311,697.661,548.028,790.083,565.48,231.391,289.427
"Oneida",435.024,628.184,121.011,149.444,985.063,129.51,904.823,435.024,1010.081,172.598,1060.944,222.169,232.147,907.064,104.581,185.064,250.285,786.989,431.044,366.753,67.42,234.087,865.403,284.146,757.395,194.6,250.699,966.445,913.048,384.495,798.157,180.379,215.543,195.002,798.157,0,434.587,524.327,135.645,271.665,229.502,241.582,563.821,548.728
"Owyhee",39.709,216.656,349.976,550.386,580.412,406.473,492.477,39.709,822.47,449.561,873.333,302.592,428.983,789.173,469.138,254.246,423.918,374.643,269.554,68.308,498.222,511.05,836.984,162.13,345.049,471.563,184.592,827.047,500.702,498.885,385.811,457.342,492.506,266.863,385.811,433.797,0,112.799,335.713,186.08,506.465,203.532,151.475,137.2
"Payette",95.731,105.134,440.736,641.146,508.572,497.233,420.637,95.731,716.599,540.321,767.462,393.352,519.743,683.302,559.898,345.006,514.678,302.803,286.794,159.068,588.982,601.81,731.113,252.89,273.209,562.323,275.352,721.176,428.862,478.839,313.971,548.102,583.266,357.623,313.971,524.557,112.749,0,426.473,276.84,597.225,294.292,160.473,23.431
"Power",337.029,530.189,15.141,215.551,927.191,71.638,806.828,337.029,952.209,114.726,1003.072,164.297,174.275,849.192,134.303,87.069,192.413,688.994,373.172,268.758,163.387,176.215,807.531,186.151,659.4,136.728,152.704,908.573,815.053,326.623,700.162,122.507,157.671,97.007,700.162,134.841,336.592,426.332,0,173.67,171.63,143.587,465.826,450.733
"Shoshone",187.441,380.601,188.78,389.19,745.175,245.277,657.24,187.441,986.415,239.023,1037.278,132.479,258.87,910.628,307.942,93.05,253.805,539.406,223.591,119.17,337.026,300.091,868.967,26.972,509.812,260.604,30.216,990.992,665.465,328.772,550.574,246.383,281.547,80.913,550.574,272.601,187.004,276.744,174.517,0,295.506,42.166,316.238,301.145
"Teton",508.401,701.561,157.47,310.288,821.018,102.741,923.815,508.401,846.036,59.065,896.899,164.858,68.102,743.019,229.04,258.441,86.24,765.729,373.733,440.13,258.124,18.042,701.358,357.523,783.25,35.335,324.076,802.4,909.814,220.432,791.369,54.389,17.564,268.379,791.369,229.578,507.964,597.704,172.104,297.333,0,314.959,637.198,622.105
"Twin Falls",206.89,400.05,157.653,358.063,764.624,214.15,676.689,206.89,1005.864,257.238,1056.727,174.63,316.787,991.704,276.815,61.923,334.925,558.855,265.742,138.619,305.899,318.727,950.043,56.012,529.261,279.24,22.565,1010.441,684.914,370.923,570.023,265.019,300.183,93.449,570.023,241.474,206.453,296.193,143.39,42.15,314.142,0,335.687,320.594
"Valley",125.106,106.337,480.533,680.943,428.937,537.03,341.002,125.106,554.182,580.118,605.045,433.149,559.54,483.084,599.695,384.803,554.475,223.168,242.499,198.865,628.779,641.607,530.967,292.687,193.574,602.12,315.149,558.759,349.227,434.544,234.336,587.899,623.063,397.42,234.336,564.354,151.688,160.477,466.27,316.637,637.022,334.089,0,182.034
"Washington",120.087,83.908,465.092,665.502,487.346,521.589,399.411,120.087,612.591,564.677,663.454,417.708,544.099,541.493,584.254,369.362,539.034,281.577,308.698,183.424,613.338,626.166,589.376,277.246,251.983,586.679,299.708,617.168,407.636,500.743,292.745,572.458,607.622,381.979,292.745,548.913,137.105,23.778,450.829,301.196,621.581,318.648,190.001,0
