"","Adair","Andrew","Atchison","Audrain","Barry","Barton","Bates","Benton","Bollinger","Boone","Buchanan","Butler","Caldwell","Callaway","Camden","Cape Girardeau","Carroll","Carter","Cass","Cedar","Chariton","Christian","Clark","Clay","Clinton","Cole","Cooper","Crawford","Dade","Dallas","Daviess","DeKalb","Dent","Douglas","Dunklin","Franklin","Gasconade","Gentry","Greene","Grundy","Harrison","Henry","Hickory","Holt","Howard","Howell","Iron","Jackson","Jasper","Jefferson","Johnson","Kansas City","Knox","Laclede","Lafayette","Lawrence","Lewis","Lincoln","Linn","Livingston","Macon","Madison","Maries","Marion","McDonald","Mercer","Miller","Mississippi","Moniteau","Monroe","Montgomery","Morgan","New Madrid","Newton","Nodaway","Oregon","Osage","Ozark","Pemiscot","Perry","Pettis","Phelps","Pike","Platte","Polk","Pulaski","Putnam","Ralls","Randolph","Ray","Reynolds","Ripley","Saline","Schuyler","Scotland","Scott","Shannon","Shelby","St. Charles","St. Clair","St. Francois","St. Louis","St. Louis City","Ste. Genevieve","Stoddard","Stone","Sullivan","Taney","Texas","Vernon","Warren","Washington","Wayne","Webster","Worth","Wright"
"St. Charles",182.617,253.017,298.217,93.333,205.3,259.667,240.117,123.567,125.533,35.717,230.467,240.117,104.333,78.517,189.05,112.117,217.25,176.8,168.7,146.883,212,198.55,111.7,140.467,204.617,192.9,285.1,119.55,232.983,191.35,236.217,239.083,125.15,187.9,190.683,120.467,83.55,295.533,302.85,229.95,258.767,271.283,267.95,217.333,286,204.683,106.867,106.35,250.533,28.133,104.15,194.517,219.15,180.583,29.333,214.267,160.067,174.283,119.55,209.183,141.1,133.767,116.533,245.167,228.433,262.45,214.85,159.35,114.167,30.983,59.2,253.517,155.3,164.183,260.283,264.017,163.683,198.55,185.017,100.717,201.517,196.7,144.5,210.717,199.983,181.283,227.067,89.217,193.15,181.383,185.783,189.617,129.783,205.467,238.2,240.867,184.583,235.917,0,54.45,102.7,26.667,26.667,73.933,159.383,228.467,66.733,229.683,140.35,148.283,157.05,58.817,148.683,170.283,302.45,186.117
"St. Clair",143.383,276.667,321.883,116.983,228.95,211.633,245.567,136.15,138.133,53.25,182.433,245.567,107.433,102.167,212.717,124.7,240.917,154.4,120.65,170.55,235.667,150.5,135.35,164.083,205.533,195.417,308.75,81.1,184.933,143.3,259.883,262.75,77.1,200.483,203.267,144.133,78.1,319.2,326.5,253.617,282.433,249.817,291.6,241,309.667,156.633,77.583,118.933,202.5,41.233,56.1,218.167,171.1,204.25,46.1,166.217,172.667,179.417,81.1,213.167,164.767,157.433,68.483,197.117,180.4,286.117,166.817,171.95,137.817,76.683,82.85,277.167,167.883,116.15,283.933,287.683,137.517,150.5,197.6,129.467,225.183,148.65,157.1,234.367,151.933,180.283,250.733,128.683,216.8,205.033,137.733,213.267,132.3,226.883,190.167,192.833,136.533,187.883,53.3,0,101.683,53.683,53.683,86.533,169.417,180.433,18.683,181.633,92.3,187.75,109.017,27.883,144.717,122.233,326.1,138.067
"St. Francois",231.05,345.083,390.283,185.383,297.35,291.6,333.233,89.8,49.967,122.217,212.1,333.233,202.667,170.567,281.117,77.183,309.317,88.183,151.933,238.95,304.067,221.8,203.767,232.267,293.217,283.083,377.15,175.617,264.567,201.717,328.283,331.15,83.5,154.133,130.617,212.533,173.35,387.6,394.917,322.533,351.35,337.5,360,309.4,378.067,158.1,47.783,67.367,282.467,92.333,143.783,286.583,258.217,273.167,103.283,246.183,118.117,267.1,175.617,300.85,233.167,225.833,156.167,277.083,260.367,355.033,246.783,125.6,206.233,127.583,151.267,346.1,121.533,102.65,352.35,356.083,225.2,221.8,151.25,192.517,293.583,226.567,84.083,302.783,239.617,92.683,319.133,181.033,285.217,273.45,225.417,281.667,219.983,297.267,270.133,265.65,101.267,150.117,104.183,102.967,0,95.733,95.733,65.267,81.817,251.733,107.533,245.817,125.483,240.083,196.683,123.083,57.117,209.283,394.517,188.033
"St. Louis",192.483,272.867,318.067,113.167,225.133,260.733,259.967,116.283,118.267,50,231.533,259.967,124.183,98.35,208.9,104.85,237.1,169.517,169.75,166.733,231.85,199.6,131.55,160.05,224.467,212.733,304.933,120.6,234.033,192.4,256.067,258.933,126.2,180.633,183.4,140.317,103.4,315.383,322.7,250.317,279.133,298.917,287.783,237.183,305.85,205.733,99.6,99.083,251.6,20.95,105.2,214.367,220.2,200.95,32.983,215.317,152.8,194.133,120.6,229.017,160.95,153.617,117.583,246.217,229.5,282.817,215.917,152.083,134.017,51.483,79.05,273.883,148.017,165.25,280.133,283.867,183.533,199.6,177.75,120.3,221.367,197.75,137.233,230.567,201.033,174.017,246.917,108.817,213,201.233,186.833,209.45,149.633,225.05,239.267,241.933,174.783,231.467,28.083,55.5,95.433,0,0,66.667,152.1,229.533,67.783,230.733,141.4,167.867,158.117,60.05,141.417,171.333,322.3,187.167
"St. Louis City",192.483,272.867,318.067,113.167,225.133,260.733,259.967,116.283,118.267,50,231.533,259.967,124.183,98.35,208.9,104.85,237.1,169.517,169.75,166.733,231.85,199.6,131.55,160.05,224.467,212.733,304.933,120.6,234.033,192.4,256.067,258.933,126.2,180.633,183.4,140.317,103.4,315.383,322.7,250.317,279.133,298.917,287.783,237.183,305.85,205.733,99.6,99.083,251.6,20.95,105.2,214.367,220.2,200.95,32.983,215.317,152.8,194.133,120.6,229.017,160.95,153.617,117.583,246.217,229.5,282.817,215.917,152.083,134.017,51.483,79.05,273.883,148.017,165.25,280.133,283.867,183.533,199.6,177.75,120.3,221.367,197.75,137.233,230.567,201.033,174.017,246.917,108.817,213,201.233,186.833,209.45,149.633,225.05,239.267,241.933,174.783,231.467,28.083,55.5,95.433,0,0,66.667,152.1,229.533,67.783,230.733,141.4,167.867,158.117,60.05,141.417,171.333,322.3,187.167
"Ste. Genevieve",224.383,313.95,359.15,154.267,266.217,292.633,301.05,68.067,70.033,91.083,262.9,301.05,171.55,139.45,249.983,56.617,278.183,140.2,201.117,207.817,272.933,231.5,172.633,201.133,265.55,253.833,346.017,152.5,265.933,224.3,297.15,300.017,110.467,132.4,135.183,181.4,142.217,356.467,363.783,291.4,320.217,330.833,328.883,278.267,346.933,210.133,72.383,50.85,283.5,61.2,137.1,255.45,252.1,242.033,72.15,247.233,104.567,235.217,152.5,270.117,202.033,194.7,149.483,278.117,261.4,323.9,247.817,103.85,175.1,96.45,120.133,314.967,99.8,135.117,321.217,324.95,218.533,231.5,129.517,161.383,262.45,229.65,89,271.65,232.933,144.7,288,149.9,254.083,242.317,218.75,250.533,190.717,266.133,271.167,273.833,147.567,202.133,73.067,87.417,66.1,64.6,64.6,0,103.883,261.433,99.683,262.633,152.433,208.95,190.017,91.95,93.183,203.233,363.383,227.85
"Stoddard",258.017,399.85,445.05,240.167,352.133,265.5,308.017,43.567,52.717,176.983,186.017,308.017,257.45,225.35,335.883,57.7,364.083,62.083,129.383,293.717,358.833,195.717,258.533,287.033,278.65,303.45,431.933,238.367,238.483,175.633,383.067,385.933,137.767,82.8,67.45,267.3,228.117,442.367,449.683,377.3,406.117,306.2,414.783,364.167,432.833,132.017,118.383,61.1,256.367,147.1,197.083,341.35,232.133,327.933,158.05,220.1,40.9,286.4,238.367,286.35,287.933,280.6,211.25,251,234.267,409.817,220.683,53.867,261,182.35,206.033,400.867,50.883,126.817,407.117,410.85,252.167,195.717,79.917,247.3,348.367,200.483,31.733,357.55,245.967,57.767,373.9,235.8,339.983,328.217,225.2,336.45,261.633,352.033,244.033,239.55,95.383,115.2,158.967,171.383,83.55,150.5,150.5,103.467,0,225.633,175.95,219.733,160.933,294.85,223.65,177.85,44.733,183.2,449.283,161.95
"Stone",130.85,259.833,305.05,215.5,213.817,104.1,146.617,263.433,261.15,228.367,68.517,146.617,196.133,191.683,219.7,277.567,224.083,167.85,118.167,169.7,317.15,36.033,216.85,257.3,132.25,157.067,292.483,186.717,83.033,63.9,260.65,245.917,198.033,301.133,273.283,216.2,218.967,303.6,309.667,282.917,292.317,144.8,274.767,225.95,294.067,135.25,230.15,280.967,94.967,215.75,145.433,202.65,87.183,260.75,220.6,55.7,260.767,140.017,186.717,139.967,246.25,238.917,159.65,87.917,76.8,310.5,65.25,273.733,222.017,251.2,222.75,298.383,270.75,185.1,267.117,270.85,136.1,36.033,298.283,247.483,208.35,54.75,251.6,219.333,99.567,215.633,325.383,271.783,201.767,212.017,78.817,214.15,145.583,308.383,80.1,57.95,162.567,166.483,227.8,180.033,255.35,228.183,228.183,261.033,224.467,0,166.317,46.85,150.417,324.633,107.583,203,247.883,66.5,310.517,91.2
"Sullivan",130.017,289.633,334.833,129.95,241.9,198.267,232.2,148.5,146.867,66.2,169.067,232.2,117.1,115.133,225.667,137.05,253.867,148.767,107.283,168.65,246.433,137.133,146.133,177.033,192.167,182.05,321.7,72.85,171.567,129.933,272.833,275.7,63.733,212.833,223.367,157.083,75.333,332.15,339.467,264.383,293.2,236.467,304.567,253.95,322.617,143.283,74.683,131.283,189.133,53.583,42.733,231.133,157.733,215.017,58.45,152.867,185.017,166.05,72.85,199.8,175.533,168.2,55.117,183.75,167.033,296.883,153.45,184.3,150.783,89.033,95.817,287.95,180.233,102.783,296.9,300.633,124.167,137.133,209.95,142.417,238.133,135.283,169.45,247.333,138.567,185.417,261.5,141.033,229.767,218,124.383,226.217,118.933,237.667,176.8,179.467,123.183,174.517,65.65,17.867,106.817,66.033,66.033,98.867,174.55,167.067,0,168.267,78.95,200.1,95.65,40.85,149.867,108.867,339.067,124.7
"Taney",131.133,260.667,305.867,215.783,214.65,119.617,161.917,258.133,255.833,228.633,45.667,161.917,196.4,191.967,219.967,272.267,224.9,162.533,112.85,169.983,317.433,36.3,217.117,257.567,132.533,157.35,293.317,186.983,92.6,64.167,267.133,246.75,198.367,295.833,267.967,216.467,219.233,304.433,310.5,283.75,293.133,160.317,275.6,226.783,294.9,116.667,224.85,275.65,110.483,216.017,145.717,203.483,86.017,261.017,220.883,74.217,255.467,140.283,186.983,140.233,246.533,239.2,159.933,105.1,88.383,311.333,74.8,268.433,222.3,251.467,223.017,299.217,265.433,179.783,267.933,271.667,136.367,36.3,292.967,247.75,209.183,54.583,246.283,220.167,99.85,206.033,325.65,272.067,202.583,212.3,79.083,214.983,145.85,308.667,98.15,23.7,157.267,144.533,228.083,180.317,250.033,228.467,228.467,261.317,219.167,46.767,166.583,0,145.1,324.917,107.867,203.283,242.567,66.783,311.333,85.9
"Texas",135.2,307.367,352.583,162,259.65,190.583,233.1,194.8,164.733,139.483,111.083,233.1,142.633,138.183,243.417,182.183,271.617,107.9,49.3,185.867,263.667,120.783,163.35,203.8,197.367,183.117,336.783,99.45,163.55,100.7,288.1,293.45,53.383,236.467,208.617,174.833,130.083,349.9,357.2,281.6,310.417,231.267,322.3,271.7,343.017,85.283,79.867,172.367,181.45,126.867,58.167,248.883,157.2,232.233,131.717,145.167,196.117,171.25,99.45,205,192.75,185.433,72.35,176.067,159.35,314.117,145.767,209.067,168.517,162.317,152.767,305.167,206.083,48.867,314.65,318.383,129.35,120.783,233.617,193.983,255.883,125.55,186.933,265.083,143.767,150.967,278.717,218.3,247.5,235.733,129.567,243.967,130.583,254.883,169.117,164.633,69.25,116.533,138.917,91.15,124.467,139.317,139.317,151.933,159.8,150.717,77.433,144.8,0,271.133,100.833,114.133,168.483,108.117,356.8,76.033
"Vernon",240.15,232.817,262.733,117.217,230.033,329.333,284.367,261.033,263,143.433,326.833,284.367,161.867,136.033,225.983,249.583,242.95,314.267,299.083,205.333,83.933,296.167,134.083,97.55,263.067,250.417,212.3,181.067,330.583,288.95,197.517,241.517,261.5,325.367,328.15,177.333,168.217,210.917,226.933,170.2,148.45,315.517,247.75,209.867,201.917,335.083,244.333,243.817,336.6,165.367,214.433,233.833,316.267,136.5,158.8,311.883,297.533,232.733,181.067,267.617,105.567,104.7,201.117,342.767,326.05,143.983,312.467,296.817,170.333,135.617,123.967,143.2,292.767,301.2,241.933,243.817,221.217,296.167,322.483,85.117,233.417,294.3,281.967,223.133,269.083,318.75,104.25,64.183,225.767,213.383,263.75,242.617,187.317,71.717,335.817,338.483,321.6,366.317,150.433,189.1,240.167,168.833,168.833,211.4,296.85,326.083,201.367,327.283,273.317,0,221.7,166.4,286.15,267.883,217.833,282.767
"Warren",37.1,227.333,272.533,110.65,181.3,142.217,139.2,240.867,235.95,152.867,108.517,139.2,91.283,86.833,174.267,229.417,191.567,167.05,113.117,102.85,212.317,77.833,112,152.45,99.267,85.033,259.967,85.567,112.267,70.633,221.433,213.4,128.25,300.333,272.483,117.917,123.9,271.083,277.167,224.817,253.633,141.667,242.25,193.433,261.567,134.45,163.767,223.65,129.833,145.95,75.65,170.133,98.433,180.9,150.817,93.55,259.983,73.15,85.567,106.9,141.4,134.083,80.783,124.45,107.733,257.333,94.15,272.95,117.183,168.217,117.9,248.383,269.95,134.2,234.6,238.333,31.25,77.833,297.483,142.633,175.833,75.983,250.8,186.817,67.367,214.833,227.383,166.95,169.25,166.6,59.517,174.817,40.733,203.533,117.5,120.15,146.567,165.7,158.017,110.233,195.9,158.4,158.4,191.233,223.683,107.767,96.517,108.967,101.95,219.783,0,133.217,238.933,49.567,278,64.45
"Washington",165.9,253.583,298.8,93.9,205.867,234.15,240.7,142.367,144.35,30.167,204.95,240.7,84.833,79.083,189.633,130.933,217.833,180.65,143.167,147.467,212.583,173.033,112.267,141,205.183,186.117,285.667,71.483,207.45,165.817,236.8,239.667,99.617,206.717,209.483,121.05,55.517,296.117,303.417,230.533,259.35,272.35,268.517,217.917,286.583,179.167,103.833,125.167,225.017,47.467,78.617,195.083,193.617,181.167,52.317,188.75,178.883,174.867,71.483,209.75,141.667,134.35,91,219.633,202.917,263.033,189.333,178.167,114.733,68.1,59.767,254.083,174.1,138.667,260.85,264.6,156.917,173.033,203.833,106.367,202.1,171.167,163.317,211.283,174.45,200.1,227.65,107.283,193.717,181.95,160.267,190.183,123.017,203.8,212.683,215.35,159.067,210.4,58.467,28.183,121.517,59.917,59.917,92.75,178.183,202.95,41.2,204.15,114.833,166.333,131.533,0,167.5,144.75,303.017,160.583
"Wayne",279.033,390.283,435.483,230.6,342.567,286.517,329.033,52.133,23.267,167.417,207.033,329.033,247.883,215.783,326.317,54.9,354.517,83.1,150.4,284.15,349.267,216.733,248.967,277.467,299.667,325.2,422.367,217.733,259.5,196.65,373.5,376.367,127.817,119.15,99.933,257.733,218.55,432.8,440.117,367.733,396.55,327.217,405.217,354.6,423.267,153.033,92.1,54.933,277.383,137.533,185.9,331.783,253.15,318.367,148.483,241.117,77.267,307.417,217.733,307.367,278.367,271.033,198.283,272.017,255.283,400.25,241.7,90.233,251.433,172.783,196.467,391.3,87.233,147.833,397.55,401.283,273.183,216.733,116.267,237.733,338.8,221.5,31.133,347.983,266.983,78.783,364.333,226.233,330.417,318.65,246.217,326.883,262.1,342.467,265.05,260.567,116.4,136.217,149.4,145.083,57.25,140.933,140.933,93.9,43.417,246.65,149.65,240.75,169.783,285.283,244.667,168.283,0,204.217,439.717,182.967
"Webster",83.25,232.433,277.65,156.8,186.417,98.317,133.7,221.9,219.6,169.667,59.067,133.7,137.433,132.983,191.75,236.033,196.683,126.3,76.617,137.617,258.45,37.2,158.15,198.6,104.3,124.967,265.083,128.017,71.617,21.183,238.917,218.517,139.333,259.6,231.733,164.067,160.25,276.2,282.267,259.583,264.917,137.95,247.367,198.55,266.667,93.7,174.85,234.75,89.183,157.05,86.733,175.25,57.783,228.65,161.9,52.917,219.233,107.917,128.017,112.017,187.55,180.217,100.95,83.8,67.083,292.083,53.5,232.2,163.317,192.5,164.05,270.983,229.2,146.233,239.717,243.45,77.4,37.2,256.733,188.783,180.95,35.333,210.05,191.933,68.85,174.083,273.517,213.083,174.367,184.067,46.717,186.75,86.867,249.683,76.85,79.517,121.033,124.95,169.1,121.333,206.983,169.483,169.483,202.333,182.933,67.117,107.617,68.333,107.667,265.933,48.883,144.3,206.333,0,283.117,32.317
"Worth",244.65,66.75,53.017,228.9,108.933,213.717,168.733,414.133,416.117,294.933,315.483,168.733,261.85,236.033,133.65,402.7,97.417,400.4,350.733,190.7,145.55,280.933,195.8,192.333,182.75,240.3,24.233,262.883,249.05,296.45,72.267,98.233,370.417,478.483,481.25,209.217,288.883,7.15,8.267,81.017,68.767,196.35,75.033,94.25,21.65,367.817,402.783,396.917,220.983,318.483,296.267,118.2,256.333,127.567,311.9,261.317,450.65,218.1,262.883,184.483,162.883,197.9,282.933,231.4,241.167,86.967,258.867,449.933,222.7,290.383,259.967,74.85,445.867,382.65,79.75,80.583,263.95,280.933,475.6,223.833,111.483,274.75,435.083,107.883,253.567,448.183,114.267,218.95,110.15,121.4,256.9,127,256.35,146.017,239.217,323.267,395.133,399.05,303.35,327.133,393.267,321.75,321.75,364.517,449.95,309.583,340.167,312.067,355.15,217.533,278.933,303.267,439.267,283,0,315.333
"Wright",97.6,264.533,309.733,171.15,218.517,130.417,165.783,200.2,197.917,185.033,51.017,165.783,151.767,147.333,223.833,214.333,228.767,104.617,54.933,163.333,272.8,60.717,172.483,212.933,136.4,145.517,297.183,143.383,103.717,40.633,271,250.6,128.583,237.9,210.05,178.417,175.617,308.3,314.367,285.317,297,170.033,279.467,230.65,298.767,72.017,155.067,217.733,121.283,172.417,102.1,207.35,89.883,241.383,177.267,85,197.55,133.633,143.383,144.1,201.9,194.567,116.317,115.9,99.183,317.817,85.6,210.5,177.667,207.867,178.383,308.867,207.517,113.9,271.8,275.533,91.733,60.717,235.05,203.117,213.033,65.483,188.367,224.017,98.85,152.4,287.867,227.433,206.45,216.167,78.8,218.85,101.217,264.033,108.95,104.55,97.517,103.25,184.467,136.7,199.683,184.85,184.85,227.133,161.25,90.633,122.983,84.733,75.333,280.283,63.233,159.667,184.65,32.083,315.2,0
