"","Adair","Andrew","Atchison","Audrain","Barry","Barton","Bates","Benton","Bollinger","Boone","Buchanan","Butler","Caldwell","Callaway","Camden","Cape Girardeau","Carroll","Carter","Cass","Cedar","Chariton","Christian","Clark","Clay","Clinton","Cole","Cooper","Crawford","Dade","Dallas","Daviess","DeKalb","Dent","Douglas","Dunklin","Franklin","Gasconade","Gentry","Greene","Grundy","Harrison","Henry","Hickory","Holt","Howard","Howell","Iron","Jackson","Jasper","Jefferson","Johnson","Kansas City","Knox","Laclede","Lafayette","Lawrence","Lewis","Lincoln","Linn","Livingston","Macon","Madison","Maries","Marion","McDonald","Mercer","Miller","Mississippi","Moniteau","Monroe","Montgomery","Morgan","New Madrid","Newton","Nodaway","Oregon","Osage","Ozark","Pemiscot","Perry","Pettis","Phelps","Pike","Platte","Polk","Pulaski","Putnam","Ralls","Randolph","Ray","Reynolds","Ripley","Saline","Schuyler","Scotland","Scott","Shannon","Shelby","St. Charles","St. Clair","St. Francois","St. Louis","St. Louis City","Ste. Genevieve","Stoddard","Stone","Sullivan","Taney","Texas","Vernon","Warren","Washington","Wayne","Webster","Worth","Wright"
"Randolph",140.817,64.25,109.45,150.733,16.983,109.867,64.9,311.317,313.3,192.117,211.65,64.9,159.033,133.217,35.15,299.867,28.483,296.567,246.883,87.883,173.233,177.1,136.567,159.283,78.917,137.35,96.883,162.983,145.217,192.617,63.733,50.317,270.517,375.667,378.433,106.4,186.067,106.683,114.083,86,95.383,96.067,79.167,29.033,97.15,263.967,299.967,294.1,117.15,215.667,196.35,15.65,152.5,94.533,209.083,157.483,347.833,108.967,162.983,80.633,129.833,158.55,183.033,127.567,137.333,113.583,155.033,347.117,119.883,207.467,157.15,101.467,343.05,282.75,71.517,75.25,162.183,177.1,372.783,182.717,17.5,170.9,332.267,22.417,149.733,344.35,140.867,185.917,0,38.9,153.067,20.4,153.533,172.633,135.367,219.417,291.3,295.217,200.533,224.317,290.45,218.933,218.933,261.7,347.133,205.75,237.35,208.233,255.233,227.117,175.1,200.45,336.433,179.167,113.6,211.5
"Ray",133.55,95.483,140.683,132.133,51.25,143.817,98.85,292.717,294.7,173.517,216.85,98.85,140.433,114.617,11.767,281.283,62.733,301.767,252.083,69.283,177.467,182.3,117.967,143.767,84.083,118.883,103.7,144.383,173.867,197.817,54.833,86.833,251.917,357.067,359.833,87.8,167.467,114.15,129.183,81.733,102.85,130,110.4,44.767,104.617,269.167,281.367,275.5,151.083,197.067,177.75,51.617,157.7,80.467,190.483,189.317,329.233,96.683,144.383,86.083,115.783,125.217,164.433,161.5,171.283,123.1,189.9,328.517,101.283,188.883,138.55,108.933,324.45,264.15,104.6,106.483,142.533,182.3,354.183,160.683,53.483,176.1,313.667,56.283,154.917,349.55,145.1,171.85,38.333,0,158.267,44.267,134.933,172.417,169.317,224.617,284.533,300.4,181.933,205.717,271.85,200.333,200.333,243.1,328.533,212.217,218.75,213.433,236.633,213.067,167.833,181.85,317.85,184.367,121.05,216.7
"Reynolds",61.45,206.567,251.767,152.883,160.55,100.667,107.817,263.15,263.633,186.25,82.633,107.817,133.517,129.067,165.867,257.1,170.8,167.567,117.883,100.3,254.533,48.1,154.233,194.683,78.433,87.667,239.217,127.8,69.75,63.6,213.033,192.65,155.917,300.85,272.983,146.8,166.133,250.333,256.4,222.283,239.033,112.083,221.5,172.683,240.8,134.967,191.45,251.333,100.483,173.633,103.317,149.383,52.5,191.333,178.483,64.2,260.483,70.6,127.8,86.133,183.633,176.3,117.55,95.1,78.383,254.783,64.8,273.45,159.4,209.083,160.133,245.833,270.45,161.867,213.833,217.567,75.033,48.1,297.983,184.867,155.083,46.233,251.317,166.067,23.633,215.333,255.967,209.167,148.483,158.2,0,160.883,82.967,245.767,88.15,90.417,167.917,166.2,185.683,137.917,223.583,186.083,186.083,218.917,224.183,78.017,124.2,79.217,130.833,262.017,59.667,160.9,247.583,47.4,257.233,79.733
"Ripley",142.167,80.25,125.467,140.767,33,115.4,70.417,301.35,303.317,182.133,217.167,70.417,149.067,123.25,39.317,289.9,44.5,302.083,252.417,77.917,184.867,182.617,126.6,167.05,84.433,127.517,107.867,153.017,150.733,198.133,75.367,66.333,260.533,365.683,368.467,96.417,176.083,118.317,130.083,97.633,107.017,101.583,95.183,40.667,108.783,269.5,290,284.133,122.667,205.683,186.383,24.817,158.017,106.167,199.117,163,337.85,105.317,153.017,86.167,141.467,148.667,173.067,133.083,142.85,125.217,160.55,337.15,109.917,197.5,147.183,113.1,333.083,272.767,87.517,91.267,151.15,182.617,362.8,172.733,31.833,176.433,322.283,38.05,155.25,349.867,152.5,197.05,20.1,43.917,158.583,0,143.55,184.267,140.9,224.95,293.167,300.733,190.567,214.35,280.483,208.95,208.95,251.717,337.167,211.267,227.383,213.75,245.267,238.75,176.45,190.467,326.467,184.683,125.233,217.017
"Saline",59.317,205.767,250.967,77.35,158.033,163.1,139.25,238.75,240.733,119.55,146,139.25,57.967,53.533,141.8,227.317,170,204.533,151.117,73.333,179,115.317,78.7,119.133,93.6,63.1,237.833,52.25,149.75,108.117,188.967,191.833,151.35,303.1,309.967,78.267,90.6,248.283,255.583,193.067,221.883,162.567,220.683,170.083,238.75,171.933,186.867,221.55,170.367,143.1,77.2,147.267,135.417,147.583,136.517,131.033,275.267,60.567,52.25,104.733,108.1,100.767,64.267,161.933,145.217,225.567,131.633,274.55,83.867,134.917,84.583,216.617,270.483,163.05,213.033,216.767,40.367,115.317,300.217,109.317,154.267,113.467,259.7,163.467,88.25,252.317,194.067,133.633,145.9,134.133,82.917,142.35,0,170.233,154.983,157.633,180.867,203.183,127.967,132.5,219.017,146.367,146.367,189.133,261.167,145.25,118.983,146.45,130.8,186.483,40.85,122.5,262.05,87.05,255.2,101.933
"Schuyler",222.633,180.283,191.017,129.55,174.883,274.2,229.217,315.867,317.833,198.267,309.317,229.217,163.05,137.233,187.217,304.417,187.8,342.333,281.567,173.933,12.217,278.633,96.45,94.333,231.667,218.2,140.583,163.533,309.533,271.433,125.8,187.4,271.067,380.2,382.983,141.1,190.067,139.2,155.217,98.483,76.733,260.383,193.633,154.733,130.183,317.55,299.167,298.65,281.467,220.2,196.917,178.683,298.117,97.067,213.617,294.35,352.367,201.333,163.533,236.217,63.533,98.5,183.583,291.883,301.65,72.267,294.95,351.65,134.317,190.45,165.5,71.483,347.6,283.3,187.817,189.7,203.683,278.633,377.317,125.85,178.267,276.783,336.8,168,251.567,373.583,32.533,119.017,170.633,174.617,246.233,187.483,169.783,0,299.7,320.95,303.7,348.783,205.267,228.333,295,223.667,223.667,266.233,351.683,308.55,240.067,309.767,255.783,71.517,204.167,204.45,340.983,250.367,146.117,265.25
"Scotland",140.717,188.8,234,224.983,142.767,33.05,75.567,281.05,278.767,237.85,101.017,75.567,205.617,201.167,165.367,295.183,153.033,185.45,135.783,176.883,299.117,66.583,226.333,266.783,122.033,164.25,221.433,196.2,57.167,81.5,189.6,174.867,207.517,318.75,290.883,216.933,228.45,232.55,238.617,211.867,221.267,73.75,203.717,154.9,223.017,152.867,243.033,298.567,23.917,225.233,154.917,131.6,80.517,220.4,230.083,30.183,278.383,147.2,196.2,128.117,255.733,248.4,169.133,16.867,23.517,239.467,39.367,291.35,230.433,260.683,232.233,227.35,288.35,202.7,196.067,199.8,145.583,66.583,315.883,256.967,137.3,65.4,269.2,148.283,101.45,233.233,266.75,281.267,130.717,169.133,88.667,143.117,155.067,298.5,0,108.9,180.183,184.1,237.283,189.517,272.95,237.667,237.667,270.517,242.083,78.433,175.8,97.717,168.033,334.117,117.067,212.483,265.483,75.983,239.467,108.317
"Scott",140.267,269.8,315,224.917,223.783,128.75,171.05,275.25,272.967,237.767,62.8,171.05,205.533,201.083,229.1,289.383,234.033,179.667,129.983,179.117,326.567,45.433,226.25,266.7,141.667,166.467,302.433,196.117,101.733,73.3,276.267,255.867,207.45,312.95,285.083,225.6,228.367,313.55,319.633,292.867,302.267,169.433,284.733,235.917,304.033,133.783,241.967,292.783,119.617,225.15,154.85,212.6,95.15,270.15,230.017,83.35,272.583,149.417,196.117,149.367,255.667,248.333,169.067,114.233,97.517,320.467,83.933,285.55,231.433,260.6,232.15,308.35,282.55,196.917,277.067,280.8,145.5,45.433,310.083,256.883,218.3,63.717,263.417,229.283,108.983,223.167,334.783,281.2,211.717,221.433,88.217,224.117,154.983,317.783,107.283,0,174.383,161.65,237.217,189.433,267.167,237.6,237.6,270.433,236.283,56.667,175.717,21.15,162.233,334.033,117,212.417,259.7,75.9,320.467,103.017
"Shannon",183.483,343.3,388.517,210,297.283,202.033,244.55,134.233,131.933,184.233,122.533,244.55,190.617,186.183,291.4,148.367,307.55,38.633,52.45,233.867,311.65,132.233,211.35,251.783,215.167,231.417,375.95,147.433,175.017,112.167,336.1,329.383,80.75,171.933,144.067,222.817,174.833,387.067,393.133,329.6,358.417,242.733,358.233,309.417,377.533,68.55,89.033,151.75,192.9,171.617,106.167,286.117,168.65,280.233,176.467,156.633,131.567,219.533,147.433,222.883,240.75,233.417,120.333,187.517,170.8,362.1,157.217,144.533,216.517,207.067,197.517,353.15,141.533,31.433,350.583,354.317,177.633,132.233,169.067,244.117,291.817,137,122.383,302.8,184.733,86.417,326.717,259.067,285.233,283.733,161.733,291.967,180.617,302.883,180.567,176.083,0,76.3,183.667,135.9,101.733,174.567,174.567,148.317,95.267,162.167,122.183,156.267,70.017,321.267,149.133,158.883,118.667,119.717,393.983,97.867
"Shelby",199.083,347.85,393.05,254.567,301.833,206.567,249.083,152.483,158.067,234.967,126.083,249.083,235.2,230.75,307.15,166.617,312.083,80.467,83.533,257.167,356.233,136.783,255.917,296.367,219.717,244.533,380.5,192.017,179.55,116.7,354.317,333.933,149.683,166.85,147.7,267.4,225.55,391.617,397.683,374.183,380.317,247.267,362.783,313.967,382.083,32.95,155.2,170.017,197.433,222.35,150.733,290.667,173.2,324.817,227.2,161.167,149.817,227.467,192.017,227.417,285.317,278,164.917,192.067,175.333,398.517,161.767,162.783,261.1,257.8,248.233,386.4,159.8,106.633,355.117,358.85,193.233,136.783,171.183,286.55,296.367,141.55,140.65,307.35,187.033,70.617,371.3,310.867,289.767,299.483,166.267,302.167,202.7,347.45,185.117,164.55,75.2,0,234.4,186.633,151.667,232.267,232.267,201.8,113.517,166.7,172.917,144.733,115.067,363.7,164.717,209.6,136.933,124.267,398.517,103.017
