"","Allen","Anderson","Atchison","Barber","Barton","Bourbon","Brown","Butler","Chase","Chautauqua","Cherokee","Cheyenne","Clark","Clay","Cloud","Coffey","Comanche","Cowley","Crawford","Decatur","Dickinson","Doniphan","Douglas","Edwards","Elk","Ellis","Ellsworth","Finney","Ford","Franklin","Geary","Gove","Graham","Grant","Gray","Greeley","Greenwood","Hamilton","Harper","Harvey","Haskell","Hodgeman","Jackson","Jefferson","Jewell","Johnson","Kearny","Kingman","Kiowa","Labette","Lane","Leavenworth","Lincoln","Linn","Logan","Lyon","Marion","Marshall","McPherson","Meade","Miami","Mitchell","Montgomery","Morris","Morton","Nemaha","Neosho","Ness","Norton","Osage","Osborne","Ottawa","Pawnee","Phillips","Pottawatomie","Pratt","Rawlins","Reno","Republic","Rice","Riley","Rooks","Rush","Russell","Saline","Scott","Sedgwick","Seward","Shawnee","Sheridan","Sherman","Smith","Stafford","Stanton","Stevens","Sumner","Thomas","Trego","Wabaunsee","Wallace","Washington","Wichita","Wilson","Woodson","Wyandotte"
"Pottawatomie",109.083,210.724,145.181,345.637,196.955,310.859,141.823,195.861,245.119,294.622,351.855,228.166,130.667,236.328,226.2,182.277,248.86,273.742,325.539,463.998,91.243,161.136,289.13,329.243,125.615,298.228,187.648,450.804,416.685,346.565,53.69,396.689,383.866,41.637,337.018,212.811,327.624,176.988,310.913,259.266,473.024,362.509,43.702,136.863,200.241,548.767,489.388,294.501,373.214,334.866,202.238,191.671,513.696,104.585,314.254,65.568,137.866,83.031,189.42,456.504,243.548,227.833,297.733,316.569,162.675,108.996,367.796,353.023,357.593,294.648,234.269,169.727,299.495,306.357,0,324.176,493.454,145.163,191.477,129.13,52.56,283.294,293.399,235.987,128.946,241.961,214.354,277.638,186.462,437.703,52.633,455.922,300.859,551.141,528.461,285.34,207.052,327.762,29.442,482.526,110.182,233.915,202.908,217.366,189.776
"Pratt",291.662,366.12,431.011,377.42,186.755,370.086,462.44,173.076,117.931,296.076,370.569,117.841,202.113,97.821,144.027,332.164,88.791,201.145,352.902,372.838,237.743,446.966,71.58,94.631,347.66,207.068,145.068,204.331,92.508,367.351,272.876,305.529,292.706,317.524,138.959,385.758,302.383,249.837,98.886,260.825,205.324,150.934,336.436,409.028,262.508,281.067,245.406,55.654,85.399,353.622,381.212,442.854,245.996,325.873,295.089,275.84,194.859,378.064,136.896,151.285,425.1,120.123,305.661,135.276,199.87,429.963,386.552,183.357,328.807,391.664,219.708,354.013,101.436,281.116,324.079,0,402.294,396.346,331.908,283.736,312.77,244.44,138.389,144.8,195.668,428.905,143.281,63.535,426.318,346.543,328.52,364.762,48.493,283.441,251.343,141.114,135.407,236.602,332.95,391.366,342.668,125.967,146.358,274.597,440.959
"Rawlins",541.016,663.887,539.062,759.363,342.605,764.022,480.316,530.683,359.427,671.438,752.512,314.316,455.835,473.776,525.97,619.37,343.783,576.507,734.845,45.529,407.476,537.329,339.405,331.391,578.778,198.402,327.833,216.76,329.949,749.294,442.609,130.951,141.455,413.27,295.749,665.974,168.874,607.444,503.335,191.924,265.623,271.523,414.538,603.528,263.853,296.812,241.464,460.103,487.769,735.565,655.401,644.834,285.859,364.592,151.26,445.573,477.964,382.891,426.868,330.657,696.711,378.848,687.604,537.646,361.488,447.489,768.495,230.019,100.731,747.811,233.042,622.89,316.163,150.91,493.812,402.37,0,598.326,302.51,331.664,399.888,188.329,260.341,262.915,372.575,695.124,493.445,347.892,639.625,77.827,402.544,77.379,381.507,297.236,331.999,564.431,347.808,169.074,502.683,131.952,347.088,513.006,296.885,632.204,642.939
"Reno",120.331,102.875,68.924,213.113,304.661,178.335,126.787,229.705,352.825,302.246,245.89,335.872,220.709,309.009,257.957,140.121,356.566,302.886,226.105,571.704,198.949,80.079,396.836,436.949,67.558,405.934,295.354,558.51,492.062,214.041,161.396,504.395,491.572,168.782,444.724,86.72,480.792,197.608,357.329,418.51,580.73,470.215,187.694,42.408,359.485,656.473,597.094,344.163,419.63,241.803,75.496,41.24,621.402,248.874,473.498,173.274,213.781,221.338,270.314,550.839,111.024,308.727,242.462,364.999,270.381,192.462,284.049,460.729,527.673,162.124,385.473,61.878,407.201,459.525,148.024,399.553,601.16,0,335.766,271.982,179.705,443.306,401.105,343.693,236.652,115.992,278.457,385.344,44.785,545.409,179.778,563.628,371.875,658.847,650.897,320.613,314.758,435.468,125.844,590.232,254.471,275.165,310.614,175.21,48.099
"Republic",275.865,399.043,273.272,533.956,152.42,499.178,214.526,300.499,252.675,441.254,522.328,235.722,225.651,243.592,295.786,370.596,256.416,346.323,504.661,259.001,177.566,271.539,296.686,336.799,313.934,270.708,195.204,458.36,423.949,519.11,186.387,331.431,223.175,170.696,344.574,401.13,172.867,377.26,359.82,134.738,480.58,370.065,148.748,290.171,64.735,556.323,496.944,301.765,404.885,505.381,390.557,310.943,521.252,98.802,181.679,215.663,247.78,117.101,196.684,464.06,431.867,235.097,457.42,365.476,140.63,181.699,538.311,340.338,202.836,482.967,137.217,358.046,307.051,151.6,191.477,331.44,302.504,333.482,0,65.874,160.369,186.242,300.955,212.125,142.391,430.28,263.261,285.194,370.008,272.455,159.21,295.409,308.123,558.697,536.017,334.247,214.608,275.656,208.356,405.405,81.298,282.822,210.464,402.02,354.633
"Rice",212.324,335.502,261.094,470.415,129.042,435.637,202.348,252.351,204.527,393.106,474.18,187.574,177.503,195.444,247.638,307.055,208.268,298.175,456.513,288.157,129.418,259.361,248.538,288.651,250.393,257.636,147.056,410.212,375.801,470.962,120.024,356.097,237.006,107.155,296.426,337.589,202.023,329.112,311.672,141.856,432.432,321.917,86.401,233.951,59.206,508.175,448.796,253.617,356.737,457.233,327.016,298.765,473.104,54.034,196.844,130.809,199.632,104.923,148.536,415.912,368.326,186.949,409.272,317.328,92.482,169.521,490.163,312.431,231.992,419.426,116.859,294.505,258.903,180.756,129.13,283.292,331.66,269.941,65.876,0,93.773,165.884,252.807,195.395,94.243,366.739,215.113,237.046,311.24,287.62,96.429,310.574,259.975,510.549,487.869,286.099,166.46,287.17,144.815,441.934,69.527,234.674,162.316,353.872,314.554
"Riley",119.741,242.919,177.459,377.832,185.562,343.054,174.101,184.603,233.726,326.167,384.05,216.773,119.409,224.935,214.942,214.472,237.467,262.484,357.734,356.328,79.85,193.414,277.737,317.85,157.81,286.835,176.255,439.411,405.292,378.76,43.525,385.296,303.062,14.572,325.625,245.006,270.194,198.169,299.655,207.912,461.631,351.116,22.387,182.56,148.887,537.374,477.995,283.108,361.956,367.061,234.433,223.866,502.303,68.166,262.9,54.31,126.608,78.834,178.027,445.111,275.743,216.44,329.928,305.311,125.091,141.274,399.991,341.63,300.163,326.843,182.915,201.922,288.102,248.927,52.618,312.783,399.831,177.358,160.176,93.483,0,231.94,282.006,224.594,117.553,274.156,203.096,266.245,218.657,353.676,14.471,376.63,289.466,539.748,517.068,274.082,195.659,316.369,52.232,471.133,84.961,222.657,191.515,249.561,221.971
"Rooks",383.067,505.938,394.334,601.414,145.77,606.073,364.67,372.734,201.478,513.489,594.563,156.367,297.886,315.827,368.021,461.421,185.834,418.558,576.896,144.811,249.527,421.683,181.197,173.183,420.829,84.578,169.884,285.732,244.567,591.345,284.66,151.637,71.122,245.292,169.886,508.025,58.677,449.495,345.386,60.172,331.602,197.437,239.262,445.579,126.31,403.801,324.316,302.154,329.82,577.616,497.452,486.885,368.711,233.791,51.383,287.624,320.015,267.245,268.919,300.444,538.762,220.899,529.655,379.697,158.033,331.843,610.546,155.933,88.646,589.862,52.259,464.941,157.955,37.41,283.159,244.421,188.314,440.377,186.864,165.845,231.91,0,102.133,93.018,214.626,537.175,335.496,189.943,481.676,136.083,234.566,139.365,223.558,402.758,372.401,406.482,189.859,91.251,282.952,237.474,231.442,355.057,126.607,474.255,484.99
"Rush",300.938,390.258,425.249,496.625,160.014,464.955,445.149,267.945,95.726,408.7,489.774,68.023,222.15,177.785,263.232,356.302,79.802,313.769,472.107,230.782,207.214,441.204,79.064,71.05,378.516,65.012,106.424,181.539,142.434,486.556,242.347,163.473,150.65,286.995,67.753,409.896,160.076,344.706,237.9,161.571,214.831,93.244,305.907,403.266,235.767,290.574,220.123,194.668,223.788,472.827,405.35,444.572,255.503,295.344,152.782,245.311,214.896,347.535,155.951,198.311,496.449,116.602,424.866,273.665,161.226,399.434,505.757,59.624,186.751,547.549,155.203,378.151,55.822,138.809,293.55,138.389,260.238,398.064,301.667,253.495,282.241,102.133,0,80.295,172.313,453.043,230.707,88.575,439.363,204.487,297.991,222.706,117.526,292.948,270.268,280.128,104.385,94.546,302.421,249.31,312.139,250.268,114.294,369.466,442.677
"Russell",282.584,405.455,367.079,500.931,84.173,505.59,386.979,272.251,101.935,413.006,494.08,56.824,197.403,215.344,267.538,360.938,86.291,318.075,476.413,233.024,149.044,383.034,86.435,134.02,320.346,67.254,69.401,261.835,205.404,490.862,184.177,165.715,152.892,228.825,148.049,407.542,150.971,349.012,244.903,116.025,277.801,173.54,247.737,345.096,152.193,353.544,300.419,201.671,230.277,477.133,396.969,386.402,318.473,237.174,143.677,187.141,219.532,289.365,168.436,261.281,438.279,120.416,429.172,280.154,103.056,341.264,510.063,158.017,188.993,489.379,74.908,364.458,104.272,129.704,235.38,144.878,262.48,339.894,211.973,195.325,224.071,93.028,80.296,0,114.143,436.692,235.013,90.4,381.193,206.729,239.821,224.948,124.015,355.918,333.238,305.999,89.376,96.788,244.251,251.552,253.969,254.574,38.453,373.772,384.507
"Saline",176.122,298.993,260.617,389.793,76.424,399.128,280.517,161.113,112.115,301.868,382.942,107.635,86.265,104.206,156.4,249.8,128.329,206.937,365.275,343.467,42.582,276.572,168.599,208.712,213.884,177.697,67.117,330.273,284.563,379.724,77.715,276.158,263.335,122.363,216.487,301.08,252.299,237.874,220.434,190.017,352.493,241.978,141.275,238.634,130.992,428.236,368.857,162.379,265.499,365.995,290.507,279.94,393.165,130.712,245.005,80.679,108.394,182.903,57.298,343.34,331.817,95.711,318.034,226.09,42.144,234.802,398.925,232.492,299.436,382.917,157.236,257.996,178.964,231.032,128.918,192.054,372.923,233.432,142.252,94.08,117.609,215.069,172.868,115.456,0,330.23,123.875,157.107,274.731,317.172,133.359,335.391,168.737,430.61,407.93,194.861,86.521,207.231,137.789,361.995,147.507,143.436,82.377,262.634,278.045
"Scott",158.557,50.645,168.695,107.39,401.43,72.612,239.167,227.692,346.461,249.431,140.167,396.945,250.981,323.961,275.025,121.169,371.411,300.609,120.382,668.473,295.718,178.221,415.372,458.707,118.403,502.703,392.123,599.702,509.13,108.318,258.165,601.164,588.341,265.551,467.388,35.683,577.561,166.708,374.397,515.279,602.057,492.879,284.463,149.958,456.254,677.8,619.758,361.231,436.698,173.999,34.541,133.556,642.729,345.643,570.267,270.043,228.733,318.107,285.266,567.907,44.32,323.679,189.647,382.067,367.15,289.231,178.326,485.249,624.442,54.274,482.242,76.966,429.865,556.294,244.793,416.621,697.929,126.24,432.535,368.751,276.474,540.075,440.281,440.462,333.421,0,293.409,407.327,88.884,642.178,276.547,660.397,386.827,680.174,667.965,337.681,361.981,532.237,222.613,687.001,351.24,292.233,407.383,126.16,102.053
"Sedgwick",168.221,243.176,309.411,284.534,197.54,266.206,340.84,69.196,136.661,196.609,277.683,179.882,97.564,56.953,51.141,209.22,145.923,101.678,260.016,464.583,132.312,325.366,155.322,191.699,226.06,298.813,164.893,332.694,235.645,274.465,162.999,397.274,384.451,207.647,222.701,262.814,373.415,145.957,106.422,311.133,335.049,248.192,226.559,287.428,252.108,410.792,373.769,96.05,168.723,260.736,258.268,321.254,375.721,225.348,366.121,156.142,75.886,283.006,75.74,294.422,302.156,113.879,212.775,112.078,163.26,320.086,293.666,267.099,420.552,287.784,278.352,231.069,185.178,352.148,214.202,143.136,494.039,274.746,263.368,215.196,203.004,336.185,222.131,236.572,127.128,305.961,0,147.277,303.374,438.288,218.643,456.507,119.819,413.166,390.486,74.641,144.918,328.347,223.073,483.111,242.143,38.177,203.493,170.717,319.359
"Seward",282.517,357.472,409.415,415.247,132.277,397.609,429.315,200.599,63.453,327.322,408.396,63.363,189.364,102.954,181.854,323.516,34.313,232.391,390.729,318.36,191.38,425.37,12.502,69.646,362.682,152.59,90.59,193.667,141.03,405.178,226.513,240.141,238.228,271.161,79.881,377.11,247.905,277.36,163.069,206.347,213.427,105.372,290.073,387.432,208.03,289.17,232.251,119.837,148.957,391.449,372.564,428.738,254.099,279.51,240.611,229.477,182.11,331.701,123.678,196.907,416.452,84.329,343.488,198.834,145.392,383.6,424.379,133.53,274.329,419.187,165.23,345.365,42.358,226.638,277.716,63.558,347.816,382.23,285.833,237.661,266.407,189.962,88.562,90.322,156.479,420.257,148.414,0,423.529,292.065,282.157,310.284,42.695,291.544,268.864,205.297,88.864,182.124,286.587,336.888,296.305,168.89,91.88,302.12,426.843
"Shawnee",159.369,107.229,87.538,172.6,343.699,137.822,158.01,256.433,356.121,306.015,205.377,374.91,260.641,333.621,284.685,147.501,395.604,329.614,185.592,610.742,237.987,97.064,435.874,468.367,100.216,444.972,334.392,597.548,518.79,173.528,200.434,543.433,530.61,207.82,483.762,92.267,519.83,210.259,384.057,457.548,611.717,509.253,226.732,78.836,398.523,687.46,636.132,370.891,446.358,245.371,84.855,52.399,652.389,287.912,512.536,212.312,238.393,252.735,294.926,577.567,70.511,333.339,246.231,391.727,309.419,217.132,243.536,499.767,566.711,121.611,424.511,73.634,446.239,498.563,187.062,426.281,640.198,45.083,374.804,311.02,218.743,482.344,440.143,382.731,275.69,88.567,303.069,424.382,0,584.447,218.816,602.666,396.487,689.834,677.625,347.341,353.796,474.506,164.882,629.27,293.509,301.893,349.652,182.59,17.646
"Sheridan",485.328,608.199,569.823,703.675,286.917,708.334,450.421,474.995,303.739,615.75,696.824,258.628,400.147,418.088,470.282,563.682,288.095,520.819,679.157,32.497,351.788,507.434,283.717,275.703,523.09,142.714,272.145,197.454,274.261,693.606,386.921,81.578,81.555,367.269,240.061,610.286,140.831,551.756,447.647,145.923,246.317,215.835,361.239,547.84,233.958,298.137,227.722,404.415,432.081,679.877,599.713,589.146,272.117,334.697,91.36,389.885,422.276,352.996,371.18,281.284,641.023,323.16,631.916,481.958,305.8,417.594,712.807,174.331,72.688,692.123,187.041,567.202,260.475,122.867,438.124,346.682,78.026,542.638,272.615,287.822,353.887,136.243,204.653,207.227,316.887,639.436,437.757,292.204,583.937,0,356.543,23.281,325.819,298.561,312.693,508.743,292.12,113.386,446.995,133.277,317.193,457.318,241.197,576.516,587.251
"Sherman",119.877,243.055,166.21,377.968,198.783,343.19,162.852,197.824,246.947,339.388,384.186,229.994,132.63,238.156,228.163,214.608,250.688,275.705,357.87,358.993,93.071,182.165,290.958,331.071,157.946,300.056,189.476,452.632,418.513,378.896,56.746,398.517,305.727,14.708,338.846,245.142,272.859,198.305,312.876,210.577,474.852,364.337,11.138,159.856,151.552,550.595,491.216,296.329,375.177,367.197,234.569,197.161,515.524,72.318,265.565,67.531,139.829,67.585,191.248,458.332,275.879,229.661,330.064,318.532,143.314,130.025,400.127,354.851,302.828,326.979,185.58,202.058,301.323,251.592,55.035,326.004,402.496,177.494,159.21,96.148,14.427,234.605,295.227,237.815,130.774,274.292,216.317,279.466,218.793,356.341,0,379.295,302.687,552.969,530.289,287.303,208.88,329.59,52.368,484.354,77.915,235.878,204.736,249.697,222.107
"Smith",488.45,611.321,572.945,706.797,290.039,711.456,473.176,478.117,306.861,618.872,699.946,261.75,403.269,421.21,473.404,566.804,291.217,523.941,682.279,55.252,354.91,530.189,286.839,278.825,526.212,145.836,275.267,179.067,277.383,696.728,390.043,93.275,104.31,434.691,243.183,613.408,163.586,554.878,450.769,168.678,227.93,218.957,383.994,550.962,256.713,279.75,209.335,407.537,435.203,682.999,602.835,592.268,253.73,357.452,114.115,393.007,425.398,375.751,374.302,292.981,644.145,326.282,635.038,485.08,308.922,440.349,715.929,177.453,95.443,695.245,191.624,570.324,263.597,145.622,441.246,349.804,77.379,545.76,295.37,310.577,376.642,139.365,207.775,210.349,320.009,642.558,440.879,295.326,587.059,23.356,379.298,0,328.941,280.174,294.306,511.865,295.242,116.508,450.117,114.89,339.948,460.44,244.319,579.638,590.373
"Stafford",261.63,336.585,402.82,386.6,165.892,368.962,452.164,171.952,66.289,298.675,379.749,96.978,178.599,74.307,153.207,302.629,39.432,203.744,362.082,351.975,214.229,418.775,50.717,73.768,319.469,186.205,124.205,214.763,141.001,376.531,249.362,284.666,271.843,294.01,118.096,356.223,281.52,248.713,128.131,239.962,217.118,143.587,312.922,380.837,241.645,292.861,255.838,84.899,133.892,362.802,351.677,414.663,257.79,302.359,274.226,252.326,171.345,354.55,113.382,200.598,395.565,90.531,314.841,168.971,179.007,406.449,395.732,162.494,307.944,390.54,198.845,324.478,80.573,260.253,300.565,48.493,381.431,368.155,308.394,260.222,289.256,223.577,117.526,123.937,172.154,399.37,119.767,42.672,396.783,325.68,305.006,343.899,0,295.235,272.555,168.97,105.815,215.739,309.436,370.503,319.154,140.243,125.495,273.473,412.768
"Stanton",554.829,629.784,682.165,660.849,405.027,662.161,702.065,465.151,336.203,579.505,653.998,336.113,471.798,367.506,427.456,595.828,324.32,484.574,636.331,330.754,464.13,698.12,281.483,222.227,612.668,343.841,363.34,122.762,190.903,650.78,499.263,258.328,370.796,543.911,234.279,649.422,439.088,541.912,390.081,444.18,84.395,210.053,562.823,660.182,480.78,2.358,81.859,339.083,369.365,637.051,644.876,701.488,38.393,552.26,389.617,502.227,464.544,604.451,406.581,161.088,688.764,357.079,589.09,421.246,418.142,656.35,669.981,250.292,370.945,683.739,430.072,617.677,272.19,421.124,550.466,283.428,297.446,654.98,558.583,510.411,539.157,403.082,292.802,355.164,429.229,692.569,412.966,290.994,689.982,298.858,554.907,280.396,295.087,0,83.398,424.543,361.614,314.5,559.337,167.31,569.055,409.396,364.63,566.672,699.593
"Stevens",532.149,617.486,659.485,628.786,382.347,621.452,679.385,424.442,313.523,520.003,621.935,313.433,449.118,344.826,395.393,583.53,301.64,425.072,604.268,344.414,441.45,675.44,258.803,199.547,599.026,321.164,340.66,115.322,168.223,618.717,476.583,253.471,351.258,521.231,211.602,637.124,430.198,501.203,330.386,431.693,69.842,186.111,540.143,637.502,458.1,81.024,90.351,307.02,309.67,604.988,632.578,678.808,46.884,529.58,386.694,479.547,441.864,581.771,383.901,100.065,676.466,334.399,557.027,361.551,395.462,633.67,637.918,227.615,384.605,643.03,407.392,605.379,249.51,408.931,527.786,251.365,331.606,632.3,535.903,487.731,516.477,372.255,270.122,332.484,406.549,680.271,390.286,268.314,677.684,312.518,532.227,294.056,272.407,83.398,0,385.283,338.934,291.823,536.657,246.036,546.375,377.333,341.95,525.963,676.913
"Sumner",214.358,288.816,353.707,301.547,269.787,292.782,385.136,95.772,176.305,155.65,294.696,221.667,169.811,107.583,68.154,254.86,195.121,60.719,277.029,536.83,204.559,369.662,213.326,236.377,270.356,371.06,206.678,345.468,233.645,291.478,238.167,469.521,456.698,282.815,280.705,308.454,445.662,172.533,54.896,383.38,346.461,292.071,301.727,331.724,324.355,422.204,386.543,85.746,115.027,257.51,303.908,365.55,387.133,297.595,438.368,231.31,148.133,358.174,147.987,285.239,347.796,156.636,204.089,44.225,235.507,407.097,271.465,325.103,492.799,314.36,350.599,276.709,243.182,424.395,289.37,141.136,566.286,319.042,335.615,287.443,278.172,408.432,280.135,308.819,199.375,351.601,74.906,205.281,349.014,510.535,293.811,528.754,169.017,424.578,385.297,0,186.703,400.594,298.241,555.358,314.39,58.351,275.74,197.293,363.655
"Thomas",207.639,312.039,338.799,411.062,61.661,379.392,358.699,182.382,38.066,323.137,404.211,46.05,143.931,93.159,177.669,278.083,63.016,228.206,386.544,319.35,120.764,354.754,100.726,140.839,292.066,153.58,19.974,262.4,212.223,400.993,155.897,252.041,239.218,200.545,148.614,331.677,248.895,259.143,155.526,168.375,284.62,174.105,219.457,316.816,137.414,360.363,300.984,112.294,215.414,387.264,327.131,358.122,325.292,208.894,241.601,158.861,136.677,261.085,70.388,268.1,409.999,31.039,339.303,196.366,74.776,312.984,420.194,164.009,275.319,461.099,127.258,299.932,111.091,227.628,207.1,135.295,348.806,311.614,215.217,167.045,195.791,190.952,104.385,91.339,85.863,374.824,145.144,89.234,352.913,293.055,211.541,311.274,105.779,362.737,340.057,187.822,0,183.114,215.971,337.878,225.689,164.705,47.36,283.903,356.227
"Trego",373.969,496.84,458.464,592.316,175.558,596.975,478.364,363.636,192.38,504.391,585.465,147.269,288.788,306.729,358.923,452.323,176.736,409.46,567.798,139.227,240.429,474.419,172.358,164.344,411.731,31.355,160.786,194.007,164.138,582.247,275.562,71.918,58.965,320.21,129.938,498.927,147.469,440.397,336.288,148.964,239.877,105.712,339.122,436.481,217.561,312.076,232.591,293.056,320.722,568.518,488.354,477.787,276.986,328.559,94.401,278.526,310.917,380.75,259.821,220.015,529.664,211.801,520.557,370.599,194.441,432.649,601.448,64.208,95.066,580.764,143.51,455.843,149.116,126.202,326.765,235.323,168.683,431.279,275.656,286.71,315.456,91.251,93.294,95.868,205.528,528.077,326.398,180.845,472.578,112.932,331.206,131.151,214.46,314.45,291.972,397.384,180.761,0,335.636,157.755,345.354,345.959,129.838,465.157,475.892
"Wabaunsee",81.115,188.544,150.168,323.457,205.845,288.679,170.068,204.751,254.009,272.442,329.675,237.056,139.557,245.218,230.721,160.097,257.75,282.632,303.359,472.888,100.133,166.123,298.02,338.133,103.435,307.118,196.538,459.694,425.575,324.385,62.58,405.579,392.756,41.109,345.908,190.631,321.02,154.808,319.803,258.738,481.914,371.399,60.021,128.185,199.713,557.657,498.278,303.391,382.104,312.686,180.058,169.491,522.586,121.201,313.726,74.458,146.756,102.756,198.31,465.394,221.368,236.723,275.553,325.459,171.565,122.514,345.616,361.913,350.989,272.468,233.741,147.547,308.385,299.753,29.442,333.066,502.344,122.983,208.093,144.309,52.032,282.766,302.289,244.877,137.836,219.781,223.244,286.528,164.282,446.593,52.105,464.812,309.749,560.031,537.351,293.377,215.942,336.652,0,491.416,126.798,242.805,211.798,195.186,167.596
"Wallace",529.814,652.685,614.309,748.161,331.403,752.82,634.209,519.481,348.225,660.236,741.31,303.114,444.633,462.574,514.768,608.168,332.581,565.305,723.643,165.262,396.274,630.264,328.203,320.189,567.576,187.2,316.631,202.039,318.747,738.092,431.407,119.749,205.304,476.055,284.547,654.772,273.596,596.242,492.133,278.688,250.902,260.321,494.967,592.326,366.723,166.678,164.253,448.901,476.567,724.363,644.199,633.632,200.823,484.404,224.125,434.371,466.762,485.761,415.666,314.039,685.509,367.646,676.402,526.444,350.286,588.494,757.293,218.817,205.453,736.609,289.849,611.688,304.961,255.632,482.61,391.168,131.954,587.124,405.38,442.555,471.301,237.59,249.139,251.713,361.373,683.922,482.243,336.69,628.423,133.366,487.051,114.904,370.305,167.102,245.828,553.229,336.606,157.872,491.481,0,449.958,501.804,285.683,621.002,631.737
"Washington",194.567,317.745,191.974,452.658,195.891,417.88,133.228,252.296,263.725,393.86,458.876,246.772,170.239,254.934,274.685,289.298,267.466,325.222,432.56,303.579,109.833,190.241,307.736,347.849,232.636,316.834,206.254,469.41,435.291,453.586,111.218,415.295,267.753,89.398,355.624,319.832,217.445,272.995,338.719,179.316,491.63,381.115,67.45,208.873,109.313,567.373,507.994,313.107,416.227,441.887,309.259,229.645,532.302,17.504,226.257,122.003,192.017,35.803,208.026,475.11,350.569,246.439,404.754,344.375,159.331,100.401,474.817,371.629,247.414,401.669,181.795,276.748,318.101,196.178,110.179,342.782,347.082,252.184,81.298,69.524,84.967,230.82,312.005,254.593,147.552,348.982,242.16,296.244,288.71,317.033,77.912,339.987,319.465,569.747,547.067,313.146,225.658,346.368,127.058,449.983,0,261.721,221.514,324.387,273.335
"Wichita",167.331,241.789,306.68,253.089,215.531,245.755,338.109,48.745,154.652,163.546,246.238,197.873,115.555,83.214,19.696,207.833,166.856,68.615,228.571,482.574,150.303,322.635,176.255,212.632,223.329,316.804,182.884,330.227,218.404,243.02,180.99,415.265,402.442,225.638,243.634,261.427,391.406,125.506,80.958,329.124,331.22,269.125,244.55,284.697,270.099,406.963,371.302,70.505,143.259,229.291,256.881,318.523,371.892,243.339,384.112,174.133,93.877,300.997,93.731,277.181,300.769,131.87,181.33,86.614,181.251,360.07,262.221,293.44,438.543,267.333,296.343,229.682,206.111,370.139,232.193,125.895,512.03,272.015,281.359,233.187,220.995,354.176,248.472,254.563,145.119,304.574,36.893,168.21,301.987,456.279,236.634,474.498,140.752,409.337,377.239,56.539,162.909,346.338,241.064,501.102,260.134,0,221.484,150.266,316.628
"Wilson",250.106,372.977,334.601,468.453,51.695,473.112,354.501,239.773,64.01,380.528,461.602,40.932,164.925,140.549,235.06,328.46,63.106,285.597,443.935,267.353,116.566,350.556,103.376,143.489,287.868,101.583,26.327,265.05,214.873,458.384,151.699,200.044,187.221,196.347,151.264,375.064,184.524,316.534,202.916,122.242,287.27,176.755,215.259,312.618,127.448,363.013,303.634,159.684,231.761,444.655,364.491,353.924,327.942,204.696,177.23,154.663,187.054,256.887,135.958,270.75,405.801,78.429,396.694,243.756,70.578,308.786,477.585,192.346,223.322,456.901,81.125,331.98,113.741,163.257,202.902,146.362,296.809,307.416,211.019,162.847,191.593,126.581,114.652,39.342,81.665,404.214,202.535,91.884,348.715,241.058,207.343,259.277,125.499,365.387,342.707,273.521,47.389,131.117,211.773,285.881,221.491,222.096,0,341.294,352.029
"Woodson",128.893,77.566,220.122,130.266,335.794,95.488,248.046,101.531,274.915,142.436,135.603,318.136,192.503,213.267,133.693,36.147,299.865,171.963,116.06,602.837,268.423,236.077,309.017,345.394,114.045,437.067,303.147,486.389,367.798,130.509,230.87,535.528,522.705,238.256,376.396,91.054,511.669,56.593,233.065,449.387,488.744,401.887,257.168,198.139,390.362,564.487,527.464,219.899,295.366,118.614,101.87,227.524,529.416,318.348,504.375,242.748,166.913,290.812,213.994,426.575,166.15,252.133,81.481,240.735,301.514,270.007,151.544,413.703,558.806,117.066,416.606,110.547,338.873,490.402,217.498,275.289,632.293,173.478,401.622,353.45,249.179,474.439,368.735,374.826,265.382,126.018,166.925,300.972,182.852,576.542,249.252,594.761,273.514,566.861,526.633,196.349,283.172,466.601,195.318,621.365,323.945,150.901,341.747,0,196.021
"Wyandotte",161.958,122.745,76.295,188.116,346.288,153.338,143.03,271.332,394.452,321.531,220.893,377.499,262.336,350.636,299.584,163.017,398.193,344.513,201.108,613.331,240.576,85.821,438.463,478.576,115.732,447.561,336.981,600.137,533.689,189.044,203.023,546.022,533.199,210.409,486.351,107.783,522.419,225.775,398.956,460.137,622.357,511.842,229.321,81.425,401.112,698.1,638.721,385.79,461.257,260.887,100.371,49.912,663.029,290.501,515.125,214.901,255.408,237.755,311.941,592.466,86.027,350.354,261.747,406.626,312.008,202.152,259.052,502.356,569.3,137.127,427.1,89.15,448.828,501.152,189.651,441.18,642.787,47.672,354.871,313.609,221.332,484.933,442.732,385.32,278.279,104.083,320.084,426.971,19.411,587.036,221.405,605.255,413.502,700.474,692.524,362.24,356.385,477.095,167.471,631.859,273.573,316.792,352.241,198.106,0
