"","Allen","Anderson","Atchison","Barber","Barton","Bourbon","Brown","Butler","Chase","Chautauqua","Cherokee","Cheyenne","Clark","Clay","Cloud","Coffey","Comanche","Cowley","Crawford","Decatur","Dickinson","Doniphan","Douglas","Edwards","Elk","Ellis","Ellsworth","Finney","Ford","Franklin","Geary","Gove","Graham","Grant","Gray","Greeley","Greenwood","Hamilton","Harper","Harvey","Haskell","Hodgeman","Jackson","Jefferson","Jewell","Johnson","Kearny","Kingman","Kiowa","Labette","Lane","Leavenworth","Lincoln","Linn","Logan","Lyon","Marion","Marshall","McPherson","Meade","Miami","Mitchell","Montgomery","Morris","Morton","Nemaha","Neosho","Ness","Norton","Osage","Osborne","Ottawa","Pawnee","Phillips","Pottawatomie","Pratt","Rawlins","Reno","Republic","Rice","Riley","Rooks","Rush","Russell","Saline","Scott","Sedgwick","Seward","Shawnee","Sheridan","Sherman","Smith","Stafford","Stanton","Stevens","Sumner","Thomas","Trego","Wabaunsee","Wallace","Washington","Wichita","Wilson","Woodson","Wyandotte"
"Meade",442.962,517.42,582.311,528.72,310.344,521.386,613.74,324.376,241.52,419.937,521.869,241.43,353.716,249.424,295.327,483.464,229.637,325.006,504.202,307.418,369.447,598.266,186.8,127.544,498.96,249.161,268.657,111.542,73.302,518.651,404.58,199.706,279.255,449.228,139.599,537.058,358.195,401.137,230.32,359.69,83.209,114.108,468.14,560.328,386.097,158.983,152.617,206.954,209.604,504.922,532.512,594.154,123.912,457.577,314.691,407.544,346.462,509.768,288.499,0,576.4,262.396,456.961,261.485,323.459,561.667,537.852,155.612,315.356,542.964,335.389,505.313,177.507,336.928,455.783,151.299,330.559,547.646,463.9,415.728,444.474,300.252,198.119,260.481,347.271,580.205,294.884,196.311,577.618,281.123,460.224,293.027,199.792,161.357,100.057,285.217,266.931,219.82,464.654,313.542,474.372,277.267,269.947,425.897,592.259
"Miami",155.005,90.95,155.102,113.126,402.454,78.348,225.574,256.244,355.932,288.465,145.903,433.665,260.452,333.432,284.496,147.312,380.882,329.425,126.118,669.497,296.742,164.628,424.843,468.178,114.851,503.727,393.147,609.173,518.601,114.054,259.189,602.188,589.365,266.575,476.859,75.988,578.585,210.07,383.868,516.303,611.528,502.35,285.487,146.4,457.278,687.271,629.229,370.702,446.169,185.897,74.846,119.963,652.2,346.667,571.291,271.067,238.204,320.299,294.737,577.378,0,333.15,230.064,391.538,368.174,284.696,184.062,494.72,625.466,62.137,483.266,73.414,439.336,557.318,245.817,426.092,698.953,112.647,433.559,369.775,277.498,541.099,498.898,441.486,334.445,43.914,302.88,416.798,71.151,643.202,277.571,661.421,396.298,689.645,677.436,347.152,371.452,533.261,223.637,688.025,352.264,301.704,408.407,170.273,84.32
"Mitchell",198.701,273.656,358.173,380.023,92.701,348.353,378.073,151.343,22.782,292.098,373.172,66.003,105.548,63.092,146.63,239.7,47.732,197.167,355.505,350.39,140.138,374.128,95.821,135.934,256.54,184.62,51.014,257.495,212.52,369.954,175.271,283.081,270.258,219.919,143.709,293.294,279.935,228.104,140.242,199.415,279.715,169.2,238.831,336.19,168.454,355.458,296.079,97.01,200.13,356.225,288.748,351.734,320.387,228.268,272.641,178.235,98.294,280.459,39.349,263.195,332.636,0,308.264,160.241,92.662,332.358,389.155,161.57,306.359,383.736,158.298,261.549,106.186,258.668,226.474,120.011,379.846,305.226,234.303,186.131,215.165,221.992,116.602,122.379,98.063,336.441,114.105,84.329,333.854,324.095,230.915,342.314,90.495,357.832,335.152,157.755,31.039,214.154,235.345,368.918,245.063,133.666,78.4,252.864,349.839
"Montgomery",209.242,143.135,300.471,132.745,391.2,152.523,328.395,153.201,330.321,61.746,93.596,373.542,244.173,258.161,164.261,116.496,341.803,142.551,108.227,658.243,300.72,316.426,351.202,387.579,194.394,492.473,358.553,528.574,398.348,122.676,296.279,590.934,578.111,318.605,418.581,156.623,567.075,124.466,237.26,504.793,511.164,444.072,337.517,278.488,445.768,586.907,569.649,250.449,287.794,55.669,167.439,293.554,551.836,387.237,559.781,289.422,218.583,371.161,269.4,457.125,230.363,307.539,0,216.992,356.92,350.356,79.143,469.109,614.212,176.721,472.012,179.629,381.058,545.808,297.847,305.839,687.699,243.017,457.028,408.856,329.528,529.845,424.141,430.232,320.788,191.587,212.562,343.157,248.882,631.948,329.601,650.167,315.699,589.281,557.183,203.294,338.578,522.007,275.667,676.771,404.294,181.451,397.153,81.463,262.051
"Morris",257.097,331.555,396.446,344.286,258.064,335.521,427.875,138.511,186.004,169.285,310.289,231.366,200.155,123.446,110.893,297.599,204.82,84.014,319.768,515.753,234.903,412.401,206.856,230.646,313.095,349.983,216.377,342.149,230.326,334.217,265.59,430.313,435.621,310.238,274.235,351.193,445.298,215.272,36.529,364.778,343.142,288.752,329.15,374.463,354.699,418.885,383.224,84.071,74.032,271.145,346.647,408.289,383.814,327.939,438.004,258.733,178.477,385.597,178.331,261.464,390.535,181.118,217.724,0,265.851,449.836,285.1,330.256,471.722,357.099,323.661,319.448,236.712,424.031,316.793,135.276,545.209,361.781,365.959,317.787,305.595,387.355,273.665,280.076,229.719,394.34,112.308,198.811,391.753,489.458,321.234,507.677,168.971,421.259,361.522,44.225,196.402,379.517,325.664,534.281,344.734,86.328,243.763,240.032,406.394
"Morton",212.516,335.387,297.011,430.589,37.624,435.522,316.911,201.909,112.835,342.664,423.738,95.882,127.061,145.002,197.196,290.596,116.576,247.733,406.071,331.714,78.976,312.966,156.846,196.959,250.278,165.944,55.364,318.52,268.343,420.52,94.208,264.405,211.636,158.757,204.734,337.474,215.95,278.67,261.23,153.668,340.74,230.225,148.042,275.028,100.758,416.483,357.104,203.175,306.295,406.791,326.901,316.334,381.412,142.571,208.656,117.073,149.19,197.511,98.094,324.22,368.211,92.704,358.83,266.886,0,262.109,439.721,220.739,247.737,419.311,112.551,294.39,167.211,194.683,165.312,199.832,361.17,269.826,140.904,92.732,125.898,158.007,161.115,103.703,43.801,366.624,164.671,145.354,311.125,305.419,143.346,323.638,178.969,418.857,396.177,235.657,74.768,195.478,174.183,350.242,161.708,184.232,70.624,303.43,314.439
"Nemaha",205.194,255.178,120.567,385.151,302.729,350.373,61.821,314.568,350.893,400.105,417.928,333.94,236.441,342.102,342.82,234.823,354.634,387.749,369.993,403.994,197.017,118.834,394.904,435.017,178.161,404.002,293.422,556.578,522.459,386.079,159.464,502.463,368.168,132.746,442.792,257.265,317.86,282.471,442.192,279.731,578.798,468.283,118.692,137.466,209.728,654.541,595.162,400.275,504.493,387.412,246.692,158.238,619.47,117.515,326.672,171.342,243.64,64.597,295.194,562.278,283.062,333.607,350.279,449.862,268.449,0,420.342,458.797,347.829,334.162,282.21,214.181,405.269,296.593,108.996,429.95,447.497,189.617,181.713,169.535,141.266,331.235,399.173,341.761,234.72,286.415,320.128,383.412,217.303,417.448,130.061,440.402,406.633,656.915,634.235,405.476,312.826,433.536,122.514,588.3,100.415,360.028,308.682,269.912,201.928
"Neosho",279.236,172.99,328.007,85.748,467.824,106.447,398.479,229.825,406.945,130.921,43.309,450.166,320.797,334.785,240.885,186.49,418.427,211.726,62.652,734.867,377.344,337.533,427.826,464.203,258.881,569.097,435.177,605.198,474.972,75.679,381.213,667.558,654.735,388.599,495.205,186.478,643.699,201.09,306.435,581.417,587.788,520.696,407.511,319.305,522.392,663.531,646.273,327.073,356.969,32.414,197.294,292.868,628.46,468.691,636.405,366.046,295.207,441.155,346.024,533.749,184.287,384.163,81.363,286.167,433.544,420.35,0,545.733,690.836,130.645,548.636,209.484,457.682,622.432,367.841,382.463,764.323,285.552,533.652,485.48,399.522,606.469,500.765,506.856,397.412,178.725,289.186,419.781,244.056,708.572,399.595,726.791,392.323,665.905,633.807,272.469,415.202,598.631,345.661,753.395,474.288,258.075,473.777,151.457,257.225
"Ness",360.271,435.226,520.657,541.593,237.751,509.923,540.557,312.913,140.694,453.668,534.742,127.647,267.118,222.753,308.2,401.27,124.77,358.737,517.075,200.455,302.622,536.612,124.032,116.018,473.924,93.548,166.048,129.798,99.929,531.524,337.755,106.611,123.642,382.403,65.729,454.864,212.146,389.674,282.868,213.641,175.668,41.503,401.315,498.674,282.238,247.867,168.382,239.636,278.391,517.795,450.318,539.98,212.777,390.752,159.078,340.719,259.864,442.943,200.919,155.806,494.206,161.57,469.834,330.272,256.634,494.842,550.725,0,159.743,545.306,208.187,423.119,100.79,190.879,388.958,183.357,229.911,493.472,340.333,348.903,377.649,155.928,59.624,158.061,267.721,498.011,275.675,128.879,534.771,174.16,393.399,192.379,162.494,250.241,227.763,325.096,164.009,64.207,397.829,218.983,407.547,295.236,192.031,414.434,538.085
"Norton",467.43,590.301,439.617,685.777,233.911,690.436,380.871,457.097,285.841,597.852,678.926,240.73,382.249,400.19,452.384,545.784,270.197,502.921,661.259,57.222,333.89,437.884,265.819,257.805,505.192,124.816,254.247,269.616,259.683,675.708,369.023,136.446,42.59,313.825,225.483,592.388,69.429,533.858,429.749,92.479,318.479,201.257,315.093,456.516,164.408,370.299,299.884,386.517,414.183,661.979,581.815,477.288,344.279,265.147,52.395,371.987,404.378,283.446,353.282,315.56,623.125,305.262,614.018,464.06,246.174,348.044,694.909,159.753,0,674.225,133.597,549.304,242.577,51.465,357.822,328.784,100.725,524.74,203.065,232.219,300.443,88.884,186.755,189.329,298.989,621.538,419.859,274.306,566.039,72.489,303.099,95.443,307.921,370.723,384.855,490.845,274.222,95.071,351.485,205.439,247.643,439.42,223.299,558.618,569.353
"Osage",206.093,83.307,206.19,59.797,453.542,25.019,276.662,218.476,407.02,235.136,92.574,484.753,311.54,330.212,268.682,135.778,431.97,291.41,72.789,720.585,347.83,215.716,425.962,462.339,165.939,554.815,444.235,603.334,484.743,60.725,310.277,653.276,640.453,317.663,493.341,89.957,629.673,173.538,350.01,567.391,605.689,518.832,336.575,197.488,508.366,681.432,644.409,336.844,412.311,132.568,88.815,171.051,646.361,397.755,622.379,322.155,289.292,371.387,345.825,543.52,62.47,384.238,176.735,357.68,419.262,335.784,130.733,545.808,676.554,0,534.354,124.502,455.818,608.406,296.905,392.234,750.041,163.735,484.647,420.863,328.586,592.187,549.986,492.574,385.533,54.274,283.87,417.917,122.239,694.29,328.659,712.509,390.459,683.806,643.578,313.294,422.54,584.349,274.725,739.113,403.352,267.846,459.495,116.944,135.408
"Osborne",325.249,448.12,345.309,543.596,100.288,548.255,314.871,314.916,145.017,455.671,536.745,121.939,240.068,258.009,310.203,403.603,144.113,360.74,519.078,189.533,191.709,371.884,161.343,208.928,363.011,142.162,112.066,337.991,280.312,533.527,226.842,203.896,123.381,196.267,222.957,450.207,103.399,391.677,287.568,41.117,352.709,249.696,190.237,387.761,77.285,428.452,376.575,244.336,305.185,519.798,439.634,429.067,393.381,184.766,96.105,229.806,262.197,217.446,211.101,336.189,480.944,163.081,471.837,328.408,112.551,282.044,552.728,208.192,133.368,532.044,0,407.123,179.18,82.132,234.134,219.786,233.036,382.559,137.065,116.82,182.885,52.259,155.204,74.908,156.808,479.357,277.678,165.308,423.858,186.881,185.541,191.624,198.923,430.826,408.146,348.664,132.041,143.51,233.927,289.733,181.643,297.239,81.125,416.437,427.172
"Ottawa",82.251,37.799,132.489,163.429,327.783,128.651,193.623,184.025,283.713,237.17,176.594,334.197,188.233,261.213,212.277,75.093,308.663,257.206,152.614,594.826,222.071,148.444,352.624,395.959,44.756,429.056,318.476,536.954,446.382,164.357,184.518,527.517,514.694,191.904,404.64,39.886,503.914,137.851,311.649,441.632,539.309,430.131,210.816,99.523,382.607,615.052,557.01,298.483,373.95,176.727,37.126,118.967,579.981,271.996,496.62,196.396,165.985,244.46,222.518,505.159,73.044,260.931,177.386,319.319,293.503,215.584,209.657,422.501,550.795,124.144,408.595,0,367.117,482.647,171.146,353.873,624.282,58.747,358.888,295.104,202.827,466.428,377.533,366.815,259.774,76.849,230.661,344.579,74.295,568.531,202.9,586.75,324.079,617.426,605.217,274.933,299.233,458.59,148.966,613.354,277.593,229.485,333.736,110.182,87.464
"Pawnee",304.887,379.842,431.272,453.161,154.134,435.523,451.172,238.513,85.31,365.236,446.31,85.22,211.734,140.868,219.768,345.886,65.697,270.305,428.643,286.604,213.237,447.227,32.86,50.438,384.539,120.834,112.447,160.927,121.822,443.092,248.37,207.401,206.472,293.018,47.141,399.48,215.898,315.274,200.983,217.393,194.219,72.632,311.93,409.289,229.887,269.962,199.511,157.751,186.871,429.363,394.934,450.595,234.891,301.367,208.604,251.334,204.48,353.558,145.535,177.699,438.822,106.186,381.402,236.748,167.249,405.457,462.293,100.79,242.573,457.101,179.179,367.735,0,194.631,299.573,101.472,316.06,404.087,307.69,259.518,288.264,157.955,55.822,104.271,178.336,442.627,186.328,42.371,445.386,260.309,304.014,278.528,80.609,272.336,249.656,243.211,110.721,150.368,308.444,305.132,318.162,206.804,113.737,340.034,448.7
"Phillips",399.734,522.605,388.152,617.807,182.446,622.74,329.406,389.127,238.154,529.882,610.956,193.043,314.279,332.22,384.414,477.814,222.51,434.951,593.289,107.401,266.194,386.419,217.873,209.859,437.496,121.254,206.56,320.683,290.814,607.738,275.015,181.977,73.721,262.36,206.562,524.692,21.267,465.888,382.062,41.014,366.553,232.388,263.628,405.051,112.943,420.478,350.063,338.83,366.496,594.009,514.119,425.823,394.458,213.682,32.225,304.291,336.408,231.981,285.312,337.12,555.429,257.575,546.048,416.373,194.709,296.579,626.939,190.884,51.236,606.529,82.132,481.608,194.631,0,306.357,281.097,150.904,457.044,151.6,180.754,248.978,37.419,138.809,129.694,231.019,553.842,351.889,226.619,498.343,122.668,251.634,145.622,260.234,420.902,409.077,422.875,226.535,126.202,300.02,255.618,196.178,371.45,163.283,490.648,501.657
