"","Adams","Alexander","Bond","Boone","Brown","Bureau","Calhoun","Carroll","Cass","Champaign","Christian","Clark","Clay","Clinton","Coles","Cook","Crawford","Cumberland","De Witt","DeKalb","Douglas","DuPage","Edgar","Edwards","Effingham","Fayette","Ford","Franklin","Fulton","Gallatin","Greene","Grundy","Hamilton","Hancock","Hardin","Henderson","Henry","Iroquois","Jackson","Jasper","Jefferson","Jersey","Jo Daviess","Johnson","Kane","Kankakee","Kendall","Knox","Lake","LaSalle","Lawrence","Lee","Livingston","Logan","Macon","Macoupin","Madison","Marion","Marshall","Mason","Massac","McDonough","McHenry","McLean","Menard","Mercer","Monroe","Montgomery","Morgan","Moultrie","Ogle","Peoria","Perry","Piatt","Pike","Pope","Pulaski","Putnam","Randolph","Richland","Rock Island","Saline","Sangamon","Schuyler","Scott","Shelby","St. Clair","Stark","Stephenson","Tazewell","Union","Vermilion","Wabash","Warren","Washington","Wayne","White","Whiteside","Will","Williamson","Winnebago","Woodford"
"Madison",407.343,184.274,259.843,495.46,304.12,342.228,240.555,302.938,270.868,284.768,142.892,100.608,175.571,225.497,212.652,474.866,465.448,217.636,241.589,446.238,159.809,407.546,282.429,286.406,159.809,322.808,323.022,134.641,451.714,234.982,299.709,380.272,280.155,299.637,98.331,351.776,322.975,410.034,278.697,202.676,265.209,67.925,558.445,138.193,79.032,402.221,407.022,335.229,88.564,358.043,278.555,414.215,59.626,246.19,176.036,75.106,0,191.926,245.398,171.348,268.979,248.076,523.132,233.357,106.895,404.149,247.605,440.807,237.448,214.883,416.566,268.128,177.108,271.115,308.06,125.002,255.692,329.648,254.144,186.258,420.008,53.093,223.723,204.128,449.543,183.025,34.132,319.031,512.811,247.751,505.108,274.863,248.339,561.094,270.374,479.487,215.503,457.509,436.855,61.653,481.27,301.49
"Marion",527.575,326.937,225.071,615.692,331.329,495.939,190.339,318.197,413.531,300.027,232.497,279.932,157.24,303.98,227.911,513.676,519.005,232.895,347.232,566.47,175.068,491.941,297.688,429.069,175.068,362.66,338.281,310.812,594.377,69.303,419.941,441.839,467.272,486.754,277.655,494.439,477.079,425.293,90.397,138.075,76.909,247.249,712.58,229.776,258.356,417.48,468.589,477.892,120.171,478.275,213.954,534.447,202.289,57.89,246.866,254.43,191.802,0,260.657,154.356,80.679,427.4,591.344,392.425,90.308,546.812,71.422,542.968,252.707,230.142,559.229,410.791,356.432,294.321,428.292,144.512,67.392,486.867,368.491,201.517,562.671,189.906,277.364,383.452,569.775,223.34,175.127,461.694,633.043,390.414,598.018,290.122,263.598,681.326,426.924,557.901,90.118,601.532,452.114,204.316,601.502,421.722
"Marshall",360.627,238.592,66.487,448.744,164.381,328.991,114.327,67.205,341.549,133.079,182.442,312.484,128.059,186.568,73.349,346.728,352.057,27.251,180.284,399.522,87.004,324.993,43.313,288.729,87.004,195.712,171.333,250.944,454.037,211.197,252.993,274.891,433.929,396.954,310.207,354.099,310.131,194.325,348.417,157.619,334.929,279.801,545.632,179.721,290.908,250.532,301.641,337.552,196.05,311.327,75.297,367.499,214.67,315.91,133.099,226.313,245.165,261.646,0,108.769,338.699,365.04,424.396,225.477,318.28,406.472,236.714,376.02,58.036,92.714,418.889,270.451,317.277,127.373,261.344,164.073,325.412,319.919,201.543,113.253,422.331,209.61,140.715,287.665,402.827,105.691,259.348,321.354,466.095,236.755,431.07,35.747,4.646,514.378,259.976,390.953,165.318,434.584,285.166,216.652,434.554,254.774
"Mason",374.878,216.556,123.54,462.995,178.632,343.242,88.464,165.5,285.361,147.33,118.009,238.158,31.141,200.819,75.214,360.979,366.308,80.198,194.535,413.773,22.371,339.244,144.991,302.98,22.371,209.963,185.584,200.431,468.288,198.438,267.244,289.142,411.893,353.743,235.881,368.35,324.382,272.596,242.153,84.785,228.665,205.475,559.883,115.288,216.582,264.783,315.892,351.803,89.786,325.578,113.536,381.75,140.344,209.646,122.115,151.987,170.839,155.382,107.96,0,232.435,329.605,438.647,239.728,212.016,420.723,211.061,390.271,100.01,77.445,433.14,284.702,295.241,141.624,275.595,62.355,219.148,334.17,215.794,48.82,436.582,135.284,124.667,285.657,417.078,70.643,185.022,335.605,480.346,251.006,445.321,137.425,110.901,528.629,274.227,405.204,178.959,448.835,299.417,142.326,448.805,269.025
"Massac",605.294,404.656,231.72,693.411,409.048,573.658,206.501,395.916,491.25,377.746,310.216,357.651,234.959,381.699,305.63,591.395,596.724,310.614,424.951,644.189,252.787,569.66,375.407,506.788,252.787,440.379,416,388.531,672.096,109.637,497.66,519.558,544.991,564.473,355.374,572.158,554.798,503.012,20.719,215.794,4.964,324.968,790.299,307.495,336.075,495.199,546.308,555.611,197.89,555.994,220.603,612.166,280.008,17.633,324.585,332.149,269.521,80.888,338.376,232.075,0,505.119,669.063,470.144,164.217,624.531,83.105,620.687,330.426,307.861,636.948,488.51,434.151,372.04,506.011,222.231,57.017,564.586,446.21,279.236,640.39,267.625,355.083,461.171,647.494,301.059,252.846,539.413,710.762,468.133,675.737,367.841,341.317,759.045,504.643,635.62,130.8,679.251,529.833,282.035,679.221,499.441
"McDonough",294.446,117.799,430.331,347.948,219.774,190.471,374.619,310.366,37.766,238.031,194.792,155.947,334.071,174.401,256.945,396.284,386.088,355.74,188.034,298.272,293.119,328.186,326.414,142.805,293.119,232.057,255.218,134.855,192.338,472.503,176.778,302.183,61.745,31.784,172.724,87.105,177.347,323.755,516.218,440.197,502.73,180.105,270.883,204.333,173.929,309.026,310.623,100.809,307.457,246.579,439.141,290.883,239.406,483.711,204.999,194.123,248.61,429.447,363.844,312.212,506.5,0,383.722,140.138,344.161,90.702,485.126,341.644,310.884,237.58,91.304,119.755,91.936,244.441,217.309,294.337,493.213,177.891,162.719,267.755,119.377,274.239,206.194,45.321,302.031,245.931,271.398,157.869,279.704,144.109,357.596,351.926,366.785,281.276,175.595,343.987,453.024,198.133,334.067,238.495,333.758,192.659
"McHenry",118.191,411.421,490.177,43.288,256.721,216.845,482.965,370.576,385.332,298.241,407.246,498.518,462.691,306.958,377.185,88.412,91.076,415.586,317.588,84.808,415.887,117.813,386.26,298.218,415.887,221.91,255.609,423.317,225.281,633.585,258.109,146.504,454.457,424.496,513.98,316.742,237.179,229.259,677.3,493.348,663.812,498.473,221.736,399.234,496.174,173.921,94.869,326.655,524.933,189.513,498.987,140.579,465.164,644.793,365.091,458.095,521.848,590.529,423.69,437.652,667.582,394.159,0,291.324,608.794,320.305,646.208,74.622,370.73,395.197,340.819,315.313,490.106,333.762,227.036,492.956,654.295,236.516,281.135,403.693,282.982,499.997,350.366,420.024,105.83,413.678,536.031,279.204,142.199,293.152,33.42,411.772,426.631,190.482,289.069,54.363,614.106,207.446,146.745,464.253,110.658,244.291
"McLean",176.532,121.642,290.804,264.649,80.247,144.896,283.592,170.839,115.217,98.504,117.467,208.739,263.318,34.874,177.812,244.055,234.637,216.213,48.507,215.427,216.514,176.735,186.887,90.987,216.514,91.997,115.691,133.538,256.295,434.212,68.898,149.461,202.199,172.238,224.201,156.357,126.036,183.695,477.927,293.975,464.439,208.694,363.026,127.008,206.395,168.966,176.211,139.81,243.436,127.232,299.614,183.404,175.385,445.42,93.007,168.316,232.069,391.156,224.317,238.279,468.209,140.324,292.321,0,319.015,208.73,446.835,209.996,171.357,114.245,221.147,72.709,200.327,97.486,77.249,209.893,454.922,135.824,23.192,142.874,224.589,210.218,78.282,129.461,218.732,143.875,246.252,123.612,282,30.924,274.297,212.399,227.258,330.283,75.881,248.676,414.733,250.489,194.007,174.474,250.459,70.679
"Menard",492.108,269.039,281.595,580.225,388.556,426.993,248.57,375.424,355.633,357.254,227.657,195.063,214.467,310.262,285.138,559.631,550.213,290.122,326.354,531.003,232.295,492.311,354.915,371.171,232.295,407.573,395.508,229.096,536.479,158.653,384.474,465.037,367.534,387.016,192.786,436.541,407.74,482.52,173.019,194.599,159.531,162.38,643.21,222.958,173.487,474.707,491.787,419.994,113.166,442.808,270.478,498.98,144.391,140.512,260.801,169.561,107.222,90.629,317.884,211.583,163.301,342.531,607.897,318.122,0,488.914,160.772,525.572,309.934,287.369,501.331,352.893,271.563,355.88,392.825,151.436,123.179,414.413,338.909,258.744,504.773,137.858,308.488,298.583,534.308,267.79,74.565,403.796,597.576,332.516,589.873,347.349,320.825,645.859,355.139,564.252,165.721,542.274,509.341,146.418,566.035,386.255
"Mercer",220.102,208.471,471.889,273.604,261.332,156.883,464.677,351.924,120.18,279.589,288.391,246.619,444.403,236.845,358.897,321.94,311.744,397.298,247.475,223.928,397.599,253.842,367.972,118.033,397.599,252.745,279.605,225.527,117.994,590.1,178.973,227.839,130.137,120.783,263.396,53.844,129.227,344.443,633.815,475.06,620.327,270.777,196.064,297.932,264.601,305.965,236.279,76.037,414.36,172.235,480.699,216.539,346.309,601.308,279.138,339.24,402.993,547.044,405.402,419.364,624.097,90.446,309.378,208.499,489.939,0,602.723,267.3,352.442,319.44,20.514,136.218,182.608,287.047,237.997,401.24,610.81,120.259,211.022,385.405,44.902,381.142,280.253,135.993,227.687,330.006,417.176,106.527,205.36,178.573,283.252,393.484,408.343,206.932,150.823,269.643,570.621,123.789,304.75,345.398,259.414,190.348
