"","Autauga","Baldwin","Barbour","Bibb","Blount","Bullock","Butler","Calhoun","Chambers","Cherokee","Chilton","Choctaw","Clarke","Clay","Cleburne","Coffee","Colbert","Conecuh","Coosa","Covington","Crenshaw","Cullman","Dale","Dallas","DeKalb","Elmore","Escambia","Etowah","Fayette","Franklin","Geneva","Greene","Hale","Henry","Houston","Jackson","Jefferson","Lamar","Lauderdale","Lawrence","Lee","Limestone","Lowndes","Macon","Madison","Marengo","Marion","Marshall","Mobile","Monroe","Montgomery","Morgan","Perry","Pickens","Pike","Randolph","Russell","Shelby","St. Clair","Sumter","Talladega","Tallapoosa","Tuscaloosa","Walker","Washington","Wilcox","Winston"
"Randolph",72.155,173.718,225.12,27.402,155.51,218.526,196.679,151.958,61.452,298.002,181.931,196.679,186.031,123.133,196.844,236.975,223.23,227.183,196.807,248.375,191.35,172.014,241.067,140.378,238.945,99.339,280.925,184.497,149.684,160.133,282.675,130.772,92.076,264.574,197.835,211.417,138.263,231.894,279.358,242.927,228.076,248.113,115.361,169.09,239.474,157.843,58.877,208.361,374.018,181.312,107.206,57.367,58.877,137.541,186.292,0,284.572,47.599,155.707,81.183,112.184,135.799,83.891,156.678,106.196,227.138,196.336
"Russell",307.066,472.712,355.038,267.466,452.908,257.296,128.389,247.855,353.224,494.94,116.866,128.389,400.799,430.74,507.744,287.924,401.932,165.652,504.414,212.574,256.753,471.008,322.613,436.047,546.552,305.791,157.934,492.104,375.112,338.835,304.497,262.125,220.875,367.742,440.639,75.163,183.199,490.602,512.362,550.534,268.26,547.107,265.31,479.99,538.468,141.808,227.562,515.968,51.282,155.572,285.908,373.462,227.562,297.398,291.089,284.578,0,375.08,463.314,364.911,420.973,383.341,312.181,399.482,282.89,179.018,438.587
"Shelby",77.246,145.687,213.289,63.609,116.589,206.695,286.263,140.127,93.414,269.971,220.417,286.263,158,84.212,131.2,225.144,211.399,215.352,157.886,236.544,179.519,143.983,229.236,101.457,200.024,87.508,269.094,145.576,189.364,148.302,270.844,181.056,126.692,252.743,169.804,249.903,185.863,166.25,251.327,204.006,216.245,220.082,131.412,103.446,211.443,196.329,106.477,169.44,362.187,259.824,95.375,63.74,106.477,187.825,174.461,47.599,372.097,0,95.475,93.354,67.872,115,134.175,128.647,94.365,215.307,168.305
"St. Clair",191.99,87.282,328.033,153.863,27.12,321.439,313.708,254.871,120.859,208.646,313.572,313.708,163.473,47.626,90.767,339.888,256.802,330.096,49.055,351.288,294.263,79.685,343.98,57.761,91.193,202.252,383.838,36.745,194.837,263.046,385.588,208.501,213.559,367.487,128.138,343.058,265.798,125.817,190.002,95.175,330.989,155.867,246.156,41.553,147.228,289.484,190.518,60.609,476.931,374.568,210.119,95.042,190.518,215.27,289.205,156.073,464.324,95.638,0,110.987,61.125,156.929,161.62,134.12,209.109,330.051,173.778
"Sumter",158.318,120.651,294.361,56.675,100.847,287.767,215.192,221.199,20.2,244.935,216.384,215.192,104.305,78.679,158.434,306.216,292.471,296.424,152.353,317.616,260.591,118.947,310.308,83.986,194.491,168.58,350.166,140.043,117.386,229.374,351.916,109.985,115.043,333.815,116.109,245.87,167.282,193.484,226.291,198.473,297.317,195.046,212.484,130.68,186.407,192.296,93.33,163.907,443.259,238.903,176.447,32.787,93.33,116.754,255.533,82.892,365.808,99.641,111.253,0,128.792,177.835,63.104,74.952,175.437,296.379,114.61
"Talladega",138.615,168.665,241.069,124.811,87.818,252.512,328.773,185.944,135.924,292.949,328.637,328.773,180.978,92.682,53.566,254.741,197.204,261.169,80.463,282.361,225.336,166.961,258.833,109.927,132.872,122.832,314.911,69.909,212.342,145.444,300.441,223.566,228.624,282.672,192.782,358.123,280.863,88.616,274.305,126.241,245.842,243.06,177.229,38.805,234.421,304.549,205.583,101.121,408.004,305.641,136.066,106.25,205.583,230.335,204.058,112.479,417.914,68.167,60.697,128.492,0,97.331,176.685,151.625,140.182,261.124,191.283
"Tallapoosa",123.966,219.511,144.551,155.684,183.976,187.585,316.31,147.981,176.601,343.795,290.613,316.31,231.824,163.36,110.512,199.966,100.686,223.206,164.176,244.398,187.373,217.807,204.058,180.605,229.03,83.231,276.948,166.067,263.188,48.112,245.666,264.243,206.016,186.154,243.628,338.364,273.185,92.005,325.151,192.675,191.067,293.906,139.266,134.963,285.267,273.466,174.781,197.279,370.041,267.678,98.848,146.927,174.781,271.012,149.283,135.835,379.951,115.331,156.855,176.541,97.167,0,217.362,202.471,102.399,223.161,242.129
"Tuscaloosa",144.258,171.639,287.281,56.584,151.835,275.099,162.007,208.531,52.151,219.654,180.121,162.007,89.455,129.667,206.671,291.737,285.391,283.756,203.341,304.948,247.923,169.935,295.829,134.974,245.479,162.6,337.498,191.031,66.63,222.294,337.437,56.8,61.641,319.336,129.295,209.607,114.097,241.721,201.018,249.461,282.838,246.034,181.56,178.917,237.395,154.11,92.456,214.895,363.867,223.33,169.367,72.389,92.456,54.487,241.054,82.801,312.623,139.243,162.241,63.838,177.029,217.437,0,88.138,168.357,283.711,127.243
"Walker",192.763,68.72,328.806,146.45,112.593,322.212,249.194,255.644,113.446,168.079,306.159,249.194,32.365,101.83,181.585,340.661,326.916,330.869,175.504,352.061,295.036,67.016,344.753,95.732,217.642,203.025,384.611,163.194,63.728,263.819,386.361,143.987,148.828,368.26,42.103,335.645,201.284,216.635,149.443,221.624,331.762,143.115,246.929,153.831,134.476,241.297,183.105,187.058,477.704,375.341,210.892,95.637,183.105,127.754,289.978,156.846,399.81,134.086,134.404,73.012,151.943,202.543,88.28,0,209.882,330.824,40.604
"Washington",25.357,225.674,123.152,116.563,207.466,114.224,215.985,47.656,173.401,349.958,190.288,215.985,237.987,175.089,248.8,130.848,121.262,122.881,248.763,144.073,87.048,223.97,134.94,192.334,290.901,24.082,176.623,236.453,269.351,58.165,176.548,194.2,159.903,158.447,249.791,238.039,172.86,209.932,331.314,294.883,121.949,300.069,38.941,221.046,291.43,173.141,128.834,260.317,269.716,167.353,5.238,143.727,128.834,267.812,80.165,105.479,279.626,93.371,207.663,173.341,139.264,102.671,214.162,208.634,0,122.836,248.292
"Wilcox",147.088,347.405,195.06,207.234,329.197,97.318,191.928,87.877,295.132,471.689,128.644,191.928,359.718,296.82,370.531,114.238,241.954,15.479,370.494,49.494,96.775,345.701,147.372,314.065,412.632,145.813,73.223,358.184,391.082,178.857,123.657,226.895,193.558,207.764,371.522,134.639,174.26,330.624,453.045,416.614,108.282,421.8,105.332,342.777,413.161,149.084,179.588,382.048,166.316,63.953,125.93,265.458,179.588,287.353,131.111,227.21,176.226,215.102,329.394,295.072,260.995,223.363,335.893,330.365,122.912,0,370.023
"Winston",232.421,51.601,368.464,186.108,112.479,361.87,287.285,295.302,153.104,99.794,314.214,287.285,46.611,141.488,221.243,380.319,366.574,370.527,155.351,391.719,334.694,59.469,384.411,116.921,197.998,242.683,424.269,143.916,80.2,303.477,426.019,182.078,188.095,407.918,16.524,343.7,239.375,256.293,89.218,206.136,371.42,103.007,286.587,193.489,104.217,279.388,222.763,134.824,517.362,414.999,250.55,135.295,222.763,144.226,329.636,196.504,437.901,173.744,174.062,112.67,191.601,242.201,127.547,40.604,249.54,370.482,0
