"","Autauga","Baldwin","Barbour","Bibb","Blount","Bullock","Butler","Calhoun","Chambers","Cherokee","Chilton","Choctaw","Clarke","Clay","Cleburne","Coffee","Colbert","Conecuh","Coosa","Covington","Crenshaw","Cullman","Dale","Dallas","DeKalb","Elmore","Escambia","Etowah","Fayette","Franklin","Geneva","Greene","Hale","Henry","Houston","Jackson","Jefferson","Lamar","Lauderdale","Lawrence","Lee","Limestone","Lowndes","Macon","Madison","Marengo","Marion","Marshall","Mobile","Monroe","Montgomery","Morgan","Perry","Pickens","Pike","Randolph","Russell","Shelby","St. Clair","Sumter","Talladega","Tallapoosa","Tuscaloosa","Walker","Washington","Wilcox","Winston"
"DeKalb",275.135,146.37,411.178,237.008,110.284,404.584,396.853,338.016,204.004,243.731,396.717,396.853,246.618,130.771,113.55,423.033,311.406,413.241,71.592,434.433,377.408,138.773,427.125,140.925,0,285.397,466.983,60.467,277.982,346.191,468.733,291.646,296.704,450.632,187.226,426.203,348.943,167.073,225.087,37.417,414.134,166.619,329.301,99.911,128.794,372.629,273.663,55.704,560.076,457.713,293.264,178.187,273.663,298.415,372.35,239.218,547.469,200.774,91.454,194.132,133.504,229.308,244.765,217.265,292.254,413.196,197.972
"Elmore",19.04,219.35,144.131,107.181,201.142,137.537,214.874,70.969,167.077,343.634,213.601,214.874,231.663,168.765,168.236,155.986,142.241,146.194,242.439,167.386,110.361,217.646,160.078,186.01,284.577,0,199.936,230.129,263.027,79.144,201.686,254.719,157.513,183.585,243.467,261.352,171.992,163.738,324.99,288.559,147.087,293.745,62.254,160.479,285.106,176.038,126.278,253.993,293.029,190.666,26.217,137.403,126.278,261.488,105.303,99.155,302.939,87.047,201.339,167.017,122.683,83.123,207.838,202.31,25.207,146.149,241.968
"Escambia",200.846,401.163,219.21,260.992,382.955,118.732,194.234,141.635,348.89,525.447,126.448,194.234,413.476,350.578,424.289,140.774,295.712,41.947,424.252,73.969,150.533,399.459,173.908,367.823,466.39,199.571,0,411.942,444.84,232.615,137.93,245.079,223.186,220.32,425.28,132.443,192.781,384.382,506.803,470.372,138.661,475.558,159.09,396.535,466.919,151.39,209.216,435.806,138.882,61.757,179.688,319.216,209.216,305.537,184.869,280.968,148.792,268.86,383.152,348.83,314.753,277.121,285.012,384.123,176.67,72.798,423.781
"Etowah",220.845,92.328,356.888,182.718,55.994,350.294,342.563,283.726,149.714,213.692,342.427,342.563,192.328,76.481,73.112,368.743,253.345,358.951,13.531,380.143,323.118,84.731,372.835,86.635,59.987,231.107,412.693,0,223.692,291.901,414.443,237.356,242.414,396.342,133.184,371.913,294.653,109.012,195.048,59.231,359.844,148.234,275.011,37.419,139.595,318.339,219.373,36.016,505.786,403.423,238.974,123.897,219.373,244.125,318.06,184.928,493.179,146.484,37.164,139.842,71.012,166.816,190.475,162.975,237.964,358.906,143.93
"Fayette",252.646,131.29,388.689,122.347,172.476,382.095,224.418,315.527,117.914,157.726,251.347,224.418,42.342,161.713,241.468,400.544,386.799,390.752,235.387,411.944,354.919,133.983,404.636,155.615,277.525,262.908,444.494,223.077,0,323.702,446.244,119.211,127.404,428.143,96.213,280.833,176.508,276.518,139.09,281.507,391.645,210.082,306.812,213.714,201.443,216.521,158.219,246.941,426.278,289.093,270.775,138.152,158.219,65.509,349.861,148.564,375.034,193.969,194.287,117.736,211.826,262.426,66.856,63.696,269.765,390.707,80.13
"Franklin",75.066,275.383,96.406,166.272,257.175,138.685,267.41,99.081,223.11,399.667,241.713,267.41,287.696,224.798,158.634,151.066,70.525,174.306,212.298,195.498,138.473,273.679,143.197,242.043,340.61,73.791,228.048,286.162,319.06,0,196.766,245.625,211.328,147.57,299.5,289.464,224.285,159.622,381.023,240.797,142.167,349.778,90.366,183.085,341.139,224.566,180.259,310.026,321.141,218.778,49.948,193.436,180.259,317.521,100.383,155.188,331.051,143.08,257.372,223.05,145.289,48.121,263.871,258.343,53.499,174.261,298.001
"Geneva",204.636,404.953,122.921,295.842,386.745,77.585,298.694,183.096,352.68,529.237,236.061,298.694,417.266,354.368,345.695,49.926,181.432,124.087,428.042,74.994,102.189,403.249,65.744,371.613,470.18,203.361,137.896,415.732,448.63,201.309,0,333.661,300.324,98.578,429.07,242.056,281.026,330.84,510.593,474.162,66.612,479.348,171.342,337.938,470.709,255.85,284.087,439.596,252.111,165.935,179.518,323.006,284.087,447.091,97.199,284.758,301.688,272.65,386.942,352.62,300.142,245.815,393.441,387.913,176.66,123.612,427.571
"Greene",190.376,217.63,302.271,102.702,197.826,267.743,112.63,189.721,98.142,275.916,132.316,112.63,145.717,175.658,252.662,298.371,308.862,225.036,249.332,259.566,240.567,215.926,307.768,180.965,291.47,208.718,244.744,237.022,120.03,245.765,333.729,0,34.163,331.275,185.557,161.802,57.477,287.712,257.28,295.452,278.707,292.025,172.194,224.908,283.386,97.49,66.05,260.886,268.153,194.766,192.838,118.38,66.05,60.47,254.622,128.919,263.246,185.234,208.232,109.829,223.02,263.428,57.099,144.4,194.929,226.857,183.505
"Hale",137.804,222.24,267.998,61.87,202.436,233.47,108.424,155.448,93.634,280.367,118.48,108.424,150.168,180.268,257.272,264.098,274.589,191.959,253.942,226.489,206.294,220.536,273.495,185.575,296.08,158.081,230.235,241.632,127.343,211.492,300.652,34.163,0,297.002,190.008,147.966,55.159,292.322,261.731,300.062,244.434,296.635,137.921,229.518,287.996,84.619,32.089,265.496,254.317,161.689,158.565,122.99,32.089,94.621,220.349,91.779,221.121,126.772,212.842,114.439,227.63,206.322,61.55,148.851,160.656,193.78,187.956
"Henry",186.848,387.165,51.207,278.054,368.957,108.279,316.897,157.432,334.892,511.449,291.2,316.897,399.478,336.58,280.375,90.294,97.578,204.194,334.039,145.143,111.791,385.461,49.874,353.825,452.392,185.573,220.299,397.944,430.842,147.645,98.613,331.447,297.15,0,411.282,319.352,299.229,248.422,492.805,368.383,102.558,461.56,160.318,320.159,452.921,274.053,266.081,421.808,363.723,248.666,161.73,305.218,266.081,429.303,79.411,266.97,360.939,254.862,369.154,334.832,282.363,186.056,375.653,370.125,158.872,204.149,409.783
"Houston",233.946,40.855,369.989,187.633,101.733,363.395,290.377,296.827,154.629,119.37,347.342,290.377,62.694,118.179,222.768,381.844,368.099,372.052,144.605,393.244,336.219,48.723,385.936,106.175,187.252,244.208,425.794,133.17,96.283,305.002,427.544,185.17,190.011,409.443,0,376.828,242.467,257.818,100.726,195.39,372.945,107.272,288.112,195.014,98.633,282.48,224.288,124.078,518.887,416.524,252.075,136.82,224.288,160.309,331.161,198.029,440.993,175.269,128.231,114.195,193.126,243.726,129.463,42.129,251.065,372.007,16.524
"Jackson",213.569,351.446,307.57,193.512,331.642,209.828,99.799,200.387,225.276,475.73,42.912,99.799,297.365,309.474,386.478,240.456,354.464,118.184,383.148,165.097,209.285,349.742,262.975,314.781,425.286,258.323,129.542,370.838,280.819,291.367,239.26,161.543,146.921,320.274,375.563,0,109.245,421.528,457.086,429.268,220.792,425.841,180.176,358.724,417.202,67.854,153.608,394.702,108.421,76.883,238.44,252.196,153.608,222.001,243.621,210.624,75.225,251.172,342.048,245.007,356.836,335.873,208.747,334.406,235.422,131.55,335.153
"Jefferson",154.634,274.854,280.996,117.115,255.05,219.292,69.55,166.527,155.366,360.305,80.571,69.55,202.941,232.882,309.886,249.92,292.696,172.401,306.556,206.931,192.116,273.15,279.598,238.189,348.694,174.911,192.999,294.246,177.254,229.599,281.094,57.978,54.897,303.105,242.781,110.057,0,344.936,314.504,352.676,230.256,349.249,150.919,282.132,340.61,45.745,81.257,318.11,216.408,140.34,176.672,175.604,81.257,118.436,226.452,138.273,183.212,194.345,265.456,167.053,280.244,274.105,114.323,201.624,173.654,174.222,240.729
"Lamar",180.902,233.696,209.836,233.959,152.849,295.906,393.804,256.302,200.955,357.98,393.668,393.804,246.009,157.713,50.449,308.287,163.751,331.527,104.113,352.719,295.694,231.992,268.578,174.958,166.939,163.859,385.269,109.122,277.373,160.63,353.987,288.597,293.655,249.219,257.813,423.154,345.894,0,339.336,132.612,299.388,308.091,247.587,103.85,299.452,369.58,270.614,142.968,478.362,375.999,207.169,171.281,270.614,295.366,257.604,232.312,488.272,158.925,125.728,193.523,89.001,92.907,241.716,216.656,210.72,331.482,256.314
"Lauderdale",316.991,108.471,453.034,270.678,165.746,446.44,361.032,379.872,237.674,39.375,430.387,361.032,120.358,184.992,305.813,464.889,451.144,455.097,208.618,476.289,419.264,115.548,468.981,172.988,227.115,327.253,508.839,197.183,139.129,388.047,510.589,255.825,261.842,492.488,102.759,459.873,313.122,340.863,0,264.533,455.99,71.214,371.157,278.059,95.75,353.135,307.333,188.091,601.932,499.569,335.12,219.865,307.333,203.155,414.206,281.074,511.648,258.314,192.244,227.802,276.171,326.771,201.294,150.104,334.11,455.052,101.529
"Lawrence",278.739,149.229,323.069,240.612,113.888,408.188,400.457,341.62,207.608,281.15,400.321,400.457,250.222,134.375,82.946,426.637,281.603,416.845,56.498,438.037,381.012,141.632,430.729,144.529,37.418,289.001,470.587,59.071,281.586,240.789,472.337,295.25,300.308,367.071,190.085,429.807,352.547,132.651,262.506,0,417.738,204.038,332.905,93.011,166.213,376.233,277.267,75.824,563.68,461.317,296.868,181.791,277.267,302.019,375.954,242.822,551.073,204.378,95.058,197.736,126.604,192.676,248.369,220.869,295.858,416.8,200.831
"Lee",149.37,349.687,89.459,240.576,331.479,14.131,249.299,101.644,297.414,473.971,217.752,249.299,362,299.102,291.094,22.822,151.517,108.589,372.776,63.451,38.457,347.983,59.087,316.347,414.914,148.095,138.607,360.466,393.364,146.708,66.612,278.739,244.442,102.163,373.804,223.747,231.631,298.475,455.327,418.896,0,424.082,107.61,345.059,415.443,206.455,213.373,384.33,255.424,153.061,124.917,267.74,213.373,391.825,42.598,229.492,265.334,217.384,331.676,297.354,245.541,191.214,338.175,332.647,125.194,108.544,372.305
"Limestone",282.413,82.328,418.456,236.1,127.79,411.862,395.945,345.294,203.096,116.396,395.809,395.945,170.366,150.414,271.235,430.311,416.566,420.519,158.307,441.711,384.686,80.97,434.403,138.41,165.914,292.675,474.261,146.872,208.357,353.469,476.011,290.738,295.796,457.91,105.649,425.295,348.035,306.285,71.225,203.332,421.412,0,336.579,177.649,32.3,371.721,272.755,128.975,567.354,464.991,300.542,185.287,272.755,297.507,379.628,246.496,546.561,223.736,154.288,193.224,241.593,292.193,243.857,141.59,299.532,420.474,110.877
"Lowndes",63.512,263.829,146.678,125.239,245.621,96.659,177.243,17.858,161.429,388.113,151.546,177.243,276.142,213.244,286.955,127.287,158.378,105.321,286.918,126.513,69.483,262.125,136.684,230.489,329.056,62.237,159.063,274.608,307.506,95.281,171.42,172.239,137.942,160.191,287.946,181.032,159.575,247.048,369.469,333.038,107.623,338.224,0,259.201,329.585,134.399,106.873,298.472,252.156,126.016,42.354,181.882,106.873,232.697,83.538,117.122,262.066,131.526,245.818,211.496,177.419,139.787,183.868,246.789,39.336,105.276,286.447
"Macon",204.956,170.423,278.771,170.686,68.772,334.405,330.531,267.837,137.682,294.707,330.395,330.531,182.736,94.44,68.912,292.443,234.906,343.062,47.587,364.254,307.229,115.671,296.535,111.685,99.703,160.534,396.804,36.74,214.1,183.146,338.143,225.324,230.382,320.374,194.54,359.881,282.621,103.962,276.063,93.072,283.544,179.174,259.122,0,170.535,306.307,207.341,67.952,489.897,387.534,223.085,108.008,207.341,232.093,241.76,169.039,481.147,105.869,41.651,130.25,39.229,135.033,178.443,153.383,222.075,343.017,193.041
"Madison",275.743,75.658,411.786,229.43,121.12,405.192,389.275,338.624,196.426,121.67,389.139,389.275,163.696,143.744,264.565,423.641,409.896,413.849,151.637,435.041,378.016,74.3,427.733,131.74,129.06,286.005,467.591,140.202,201.687,346.799,469.341,284.068,289.126,451.24,98.979,418.625,341.365,299.615,103.026,166.478,414.742,44.558,329.909,170.979,0,365.051,266.085,102.772,560.684,458.321,293.872,178.617,266.085,290.837,372.958,239.826,539.891,217.066,147.618,186.554,234.923,285.523,237.187,134.92,292.862,413.804,104.128
