"","Fairfield","Hartford","Litchfield","Middlesex","New Haven","New London","Tolland","Windham"
"Fairfield",0,95.734,83.514,88.394,38.597,111.529,123.848,144.801
"Hartford",95.959,0,51.071,29.435,64.084,83.136,31.952,52
"Litchfield",83.241,51.763,0,76.999,87.836,138.39,82.888,102.936
"Middlesex",89.182,28.979,77.849,0,57.307,64.515,57.093,74.967
"New Haven",39.39,61.754,86.169,54.414,0,76.715,89.868,109.987
"New London",112.714,82.865,139.743,64.421,77.562,0,69.777,42.671
"Tolland",123.38,31.078,82.268,56.856,91.505,69.603,0,31.505
"Windham",144.231,51.843,103.033,77.621,109.079,42.497,31.558,0
