"","Barbour","Berkeley","Boone","Braxton","Brooke","Cabell","Calhoun","Clay","Doddridge","Fayette","Gilmer","Grant","Greenbrier","Hampshire","Hancock","Hardy","Harrison","Jackson","Jefferson","Kanawha","Lewis","Lincoln","Logan","Marion","Marshall","Mason","McDowell","Mercer","Mineral","Mingo","Monongalia","Monroe","Morgan","Nicholas","Ohio","Pendleton","Pleasants","Pocahontas","Preston","Putnam","Raleigh","Randolph","Ritchie","Roane","Summers","Taylor","Tucker","Tyler","Upshur","Wayne","Webster","Wetzel","Wirt","Wood","Wyoming"
"Putnam",255.736,521.476,76.864,163.874,310.163,62.24,264.002,115.101,190.892,140.003,175.926,366.466,714.976,392.605,463.758,197.335,127.148,99.53,26.248,123.957,53.781,174.326,119.483,216.092,76.21,74.716,220.536,192.448,379.186,257.644,288.615,252.172,87.02,179.919,284.916,353.604,164.153,267.714,309.424,0,140.185,257.788,172.591,97.485,194.327,368.288,288.527,199.385,220.063,84.187,262.34,196.953,118.769,37.973,189.374
"Raleigh",242.966,436.744,99.993,151.104,381.91,184.796,251.232,106.695,268.2,47.146,163.156,410.626,575.866,379.835,450.988,69.765,122.558,77.241,115.559,224.675,190.59,82.273,113.699,316.81,176.928,208.157,92.966,64.878,366.416,186.426,275.845,113.062,187.738,77.928,385.634,241.912,264.871,142.294,296.654,141.036,0,245.018,273.309,177.281,215.856,306.454,275.757,300.103,207.293,206.743,249.57,297.671,219.487,184.787,59.935
"Randolph",43.451,263.76,272.017,106,255.212,305.495,33.73,183.632,141.502,210.094,100.027,283.928,515.681,128.36,221.161,310.664,156.168,294.683,236.258,209.654,311.289,325.041,314.636,183.963,202.923,279.755,333.865,305.777,125.95,58.488,149.147,201.758,254.12,173.196,269.661,95.815,182.665,103.151,86.381,261.735,248.732,0,174.315,181.869,122.679,110.499,35.291,157.593,42.834,327.442,62.341,185.33,170.299,299.214,302.703
"Ritchie",115.862,369.87,223.204,86.425,164.538,256.682,125.441,124.489,34.116,199.132,73.697,216.038,687.921,240.999,312.152,331.132,116.787,245.87,187.445,51.428,146.258,320.666,265.823,90.725,93.614,121.529,354.333,326.245,268.804,230.728,137.009,281.848,95.894,162.234,136.595,268.055,24.434,250.029,157.818,172.803,273.982,172.239,0,88.218,28.014,245.927,166.488,42.609,134.514,278.629,110.734,73.205,51.78,134.835,323.171
"Roane",177.236,442.976,127.17,87.244,261.642,160.648,185.502,67.178,121.922,165.28,81.841,317.945,710.8,314.105,385.258,235.098,75.576,149.836,91.411,68.917,86.246,224.632,169.789,167.571,21.274,89.358,258.299,230.211,300.686,206.107,210.115,247.996,68.951,128.382,236.395,275.104,115.632,216.177,230.924,97.525,177.948,179.288,88.218,0,109.987,289.788,210.027,130.415,141.563,182.595,183.84,148.432,41.047,65.988,227.137
"Summers",105.215,359.223,244.828,65.427,176.417,278.306,114.794,151.672,23.469,178.134,52.699,227.917,636.265,230.352,301.505,278.704,124.208,267.494,209.069,73.052,167.882,293.081,287.447,104.929,131.041,143.153,301.905,273.817,258.157,179.072,126.362,260.85,117.518,141.236,148.474,216.399,46.063,229.031,147.171,194.427,216.772,120.583,28.014,109.987,0,231.083,151.322,53.087,82.858,300.253,100.087,87.409,82.428,156.459,270.743
"Taylor",133.918,140.728,382.421,216.404,285.03,415.899,133.506,294.036,213.823,320.498,210.431,313.746,453.536,79.086,135.867,315.277,266.572,405.087,346.662,281.975,421.693,389.941,425.04,240.426,313.327,352.076,390.516,362.428,65.45,167.327,168.297,250.526,326.441,283.6,299.479,64.542,254.986,167.354,116.001,372.139,306.359,110.403,246.636,292.273,233.083,0,93.229,229.914,153.238,437.846,140.952,252.152,280.703,365.382,367.603
"Tucker",50.767,228.469,300.634,134.617,202.68,334.112,50.355,212.249,134.538,238.711,128.644,231.396,541.277,93.069,185.87,339.281,184.785,323.3,264.875,202.69,339.906,353.658,343.253,176.999,231.54,272.791,362.482,334.394,90.659,93.804,92.378,237.074,247.156,201.813,217.129,99.531,175.701,138.467,51.089,290.352,277.349,35.315,167.351,210.486,151.296,92.704,0,150.629,71.451,356.059,65.643,178.366,198.916,286.097,331.32
"Tyler",99.386,353.394,249.745,111.655,123.329,283.223,108.965,166.995,28.279,245.948,98.927,174.829,671.445,224.523,295.676,357.673,192.022,272.411,213.986,77.969,172.799,347.207,292.364,51.841,160.266,148.07,380.874,352.786,252.328,214.252,120.533,328.664,122.435,209.05,95.386,251.579,50.98,258.915,141.342,199.344,300.523,155.763,42.63,130.724,53.033,229.451,150.012,0,118.038,305.17,94.258,34.321,97.763,161.376,349.712
"Upshur",34.241,343.028,233.037,67.02,216.232,266.515,46.832,144.652,102.522,171.114,61.047,244.948,556.3,164.426,285.31,271.684,117.188,255.703,197.278,170.674,272.309,286.061,275.656,144.983,163.943,240.775,294.885,266.797,162.016,99.107,110.167,253.83,215.14,134.216,230.681,136.434,143.685,143.77,106.288,222.755,209.752,40.618,135.335,142.889,83.699,151.118,71.357,118.613,0,288.462,52.394,146.35,131.319,260.234,263.723
"Wayne",322.63,588.37,99.981,230.768,416,28.078,330.896,181.995,296.729,206.897,242.82,472.303,781.87,459.499,530.652,264.229,194.042,122.647,94.729,229.794,101.753,148.838,93.995,321.929,182.047,122.688,216.995,259.342,446.08,324.538,355.509,319.066,192.857,246.813,390.753,420.498,269.99,334.608,376.318,84.333,207.079,324.682,278.428,182.4,300.164,435.182,355.421,305.222,286.957,0,329.234,302.79,224.606,119.781,171.176
"Webster",18.681,280.724,274.548,108.531,166.086,308.026,28.61,186.163,78.102,212.625,102.558,194.802,575.965,115.053,223.006,313.195,158.699,297.214,238.789,146.254,241.084,327.572,317.167,114.752,228.551,216.355,336.396,308.308,126.367,118.772,47.371,295.341,190.72,175.727,180.535,156.099,119.265,163.435,52.315,264.266,251.263,60.283,110.915,184.4,100.129,140.424,65.643,94.193,52.402,329.973,0,116.135,166.048,229.661,305.234
"Wetzel",127.186,357.68,247.771,169.654,89.008,281.249,136.765,197.583,62.614,273.748,133.262,140.508,771.835,228.809,299.962,355.699,189.881,270.437,212.012,86.702,170.825,345.233,290.39,17.52,158.292,146.094,378.9,350.812,256.614,242.052,109.909,410.536,120.459,236.85,61.065,279.379,53.391,286.715,160.978,197.37,298.549,183.563,73.218,148.996,87.368,251.328,177.812,34.334,145.838,303.196,116.135,0,107.949,159.402,347.738
"Wirt",183.07,437.078,173.964,102.416,220.595,207.442,192.649,108.226,101.324,206.532,89.688,276.898,799.533,308.207,379.36,281.892,116.828,196.63,138.205,28.82,97.018,271.426,216.583,126.524,42.771,92.943,305.093,277.005,336.012,226.705,204.217,336.729,52.4,169.634,195.348,264.032,74.585,257.429,225.026,123.563,224.742,168.216,51.793,41.047,82.441,278.716,198.955,109.817,130.491,229.389,177.942,107.385,0,85.595,273.931
"Wood",234.572,488.58,114.449,202.349,272.097,98.338,244.151,153.576,152.826,184.801,147.581,328.4,759.774,359.709,430.862,242.133,165.623,137.115,65.42,85.891,29.347,211.911,157.068,178.026,44.685,42.929,265.334,237.246,387.514,296.119,255.719,296.97,43.102,218.394,246.85,392.079,126.087,306.189,276.528,38.789,184.983,296.263,134.525,65.96,156.261,364.637,327.002,161.319,258.538,120.285,229.444,158.887,80.703,0,234.172
"Wyoming",296.497,498.286,93.197,204.635,435.441,234,304.763,160.226,321.731,100.677,216.687,464.157,637.408,433.366,504.519,99.749,176.089,70.445,164.763,273.879,239.794,22.337,78.212,366.014,226.132,257.361,67.913,78.239,419.947,247.968,329.376,174.604,236.942,131.459,434.838,303.454,314.075,203.836,350.185,190.24,59.92,298.549,322.513,226.485,269.387,367.996,329.288,349.307,260.824,171.27,303.101,346.875,268.691,233.991,0
