"","Aurora","Beadle","Bennett","Bon Homme","Brookings","Brown","Brule","Buffalo","Butte","Campbell","Charles Mix","Clark","Clay","Codington","Corson","Custer","Davison","Day","Deuel","Dewey","Douglas","Edmunds","Fall River","Faulk","Grant","Gregory","Haakon","Hamlin","Hand","Hanson","Harding","Hughes","Hutchinson","Hyde","Jackson","Jerauld","Jones","Kingsbury","Lake","Lawrence","Lincoln","Lyman","Marshall","McCook","McPherson","Meade","Mellette","Miner","Minnehaha","Moody","Oglala Lakota","Pennington","Perkins","Potter","Roberts","Sanborn","Spink","Stanley","Sully","Todd","Tripp","Turner","Union","Walworth","Yankton","Ziebach"
"Jones",360.747,237.598,226.04,146.336,362.19,343.301,257.526,593.684,119.555,223.349,92.876,337.201,231.472,386.471,296.737,473.148,177.033,341.942,413.738,508.094,123.76,323.449,402.294,267.929,242.552,20.156,292.466,417.435,203.984,184.922,639.248,216.786,172.14,182.412,108.81,201.85,0,290.777,381.162,107.568,125.676,111.677,435.106,234.055,363.366,450.565,308.535,235.798,254.806,342.602,299.175,411.106,148.8,283.38,523.422,198.279,253.815,208.203,49.438,130.501,145.074,224.894,322.221,338.512,189.648,375.807
"Kingsbury",78.629,54.208,469.897,202.824,66.963,189.394,238.198,613.131,356.016,164.115,221.276,68.888,248.61,91.426,162.681,591.632,114.366,64.138,108.342,693.682,185.295,230.463,613.62,193.077,171.73,291.194,410.95,93.057,124.488,111,658.695,237.562,163.592,162.002,229.72,116.45,290.709,0,90.384,214.052,163.349,228.394,186.306,86.716,255.233,518.839,158.801,67.963,155.9,112.75,543.032,529.59,218.374,259.837,187.106,93.306,234.487,243.175,284.242,366.962,168.021,176.384,213.726,316.351,185.457,403.987
"Lake",98.064,144.547,560.236,328.638,92.581,147.284,260.405,589.042,446.355,197.457,317.395,50.248,270.817,7.812,185.15,644.903,204.705,45.498,54.819,743.129,281.414,192.067,666.891,182.087,207.861,381.533,444.686,45.648,193.169,201.339,634.606,303.59,236.973,228.03,320.059,206.789,381.048,90.338,0,310.171,259.468,318.733,144.196,160.097,215.745,590.353,119.313,158.302,178.107,131.461,633.371,582.861,314.493,248.847,99.526,183.645,256.694,309.203,374.581,457.301,264.14,225.591,174.238,279.956,299.656,392.997
"Lawrence",266.339,177.482,318.558,48.676,267.782,283.185,159.866,674.388,212.073,252.339,30.366,277.085,133.812,302.489,199.934,553.852,102.273,277.956,319.33,600.612,34.202,315.469,494.812,278.083,144.892,112.674,373.17,323.027,212.16,107.701,719.952,297.49,74.48,248.785,47.364,132.831,107.568,213.817,304.202,0,59.378,192.381,374.99,150.073,342.547,531.269,248.419,164.105,182.014,248.194,391.693,491.81,40.949,344.843,429.014,138.163,156.155,288.907,143.473,223.019,47.414,127.234,314.241,401.357,91.988,456.511
"Lincoln",232.823,138.281,306.621,67.803,234.266,258.921,177.251,650.124,200.136,228.075,60.396,232.003,152.939,251.786,168.813,529.588,51.57,227.253,285.814,631.638,25.176,291.205,551.576,253.819,113.326,126.161,348.906,289.511,187.896,56.998,695.688,273.226,55.887,224.521,67.931,108.567,125.676,163.114,253.499,59.378,0,168.117,350.726,99.37,318.283,507.005,224.155,113.402,132.36,214.678,379.756,467.546,83.353,320.579,395.498,113.899,173.54,264.643,119.209,211.082,33,113.854,289.977,377.093,111.115,432.247
"Lyman",330.005,175.793,240.833,233.576,331.448,277.643,341.512,483.104,126.952,133.443,165.469,270.329,351.924,319.836,265.995,362.568,146.291,275.07,382.996,464.618,157.912,233.543,384.556,178.023,275.044,91.617,181.886,386.693,127.469,154.18,528.668,106.206,221.66,92.506,148.471,111.944,111.747,228.409,318.794,192.114,168.006,0,372.138,203.313,273.46,339.985,241.071,205.056,259.214,311.86,313.968,300.526,233.346,196.599,492.68,136.491,337.801,97.623,82.325,137.898,198.773,279.698,232.315,244.261,288.817,265.227
"Marshall",234.256,195.357,600.087,373.263,228.773,97.483,396.597,520.456,499.774,249.073,375.852,146.247,407.009,155.641,321.342,691.937,279.583,141.497,191.011,738.488,340.632,138.648,713.925,192.996,344.053,435.542,491.72,181.84,244.785,284.253,566.02,350.624,349.93,279.646,374.019,261.34,435.057,186.337,144.224,374.834,333.788,372.152,0,273.054,100.087,585.712,129.726,254.301,314.299,267.653,673.222,629.895,388.813,258.864,60.71,234.455,392.886,356.237,428.59,510.72,338.46,361.783,139.875,223.75,371.795,388.356
"McCook",139.974,133.532,442.518,127.722,115.49,293.635,151.481,684.789,328.637,262.74,157.297,155.605,161.893,152.415,75.964,564.253,60.338,150.855,192.965,666.303,121.316,328.432,586.241,291.046,85.013,234.481,383.571,154.043,222.561,48.796,730.353,307.891,76.875,259.186,173.007,143.281,233.996,86.716,159.619,150.073,99.37,202.782,273.023,0,352.997,541.67,258.869,70.315,69.183,121.829,515.653,502.211,154.395,357.806,248.095,104.181,147.77,299.308,227.529,339.583,104.042,89.667,327.204,414.32,98.74,466.912
"McPherson",310.778,205.852,501.362,383.84,305.295,62.802,473.119,420.368,401.049,150.348,330.977,186.321,483.531,222.707,397.864,593.212,296.555,191.062,267.533,638.4,308.128,39.923,615.2,94.271,420.575,343.633,392.995,258.362,146.06,304.444,465.932,251.899,371.924,180.921,313.979,228.029,363.763,255.201,215.71,342.33,318.222,273.427,100.087,353.577,0,485.624,97.224,280.935,390.821,344.175,574.497,531.17,383.562,160.139,160.336,234.202,469.408,257.512,334.341,411.995,349.037,438.305,41.15,125.025,439.081,288.268
"Meade",668.815,516.846,285.142,572.386,670.258,505.318,680.322,143.941,360.816,398.554,504.279,535.44,690.734,586.768,604.805,111.966,485.101,540.181,721.806,153.418,496.722,462.004,140.48,408.459,613.854,430.427,178.968,606.489,395.922,492.99,189.505,284.444,560.47,359.055,487.281,452.997,450.557,569.462,590.544,530.924,506.816,340.283,585.892,542.123,485.804,0,472.058,543.866,598.024,650.67,225.994,46.388,572.156,342.062,646.141,477.544,676.611,279.385,409.259,322.142,537.583,618.508,460.714,375.39,627.627,197.769
"Mellette",216.559,111.816,482.572,289.804,211.076,37.894,378.9,470.553,368.691,117.99,249.312,89.921,389.312,126.307,303.645,565.436,202.519,94.662,173.314,624.64,214.092,73.578,587.424,63.598,326.356,309.002,365.219,164.143,113.702,210.408,516.117,224.123,277.888,148.563,247.479,134.8,308.517,158.801,119.31,248.294,224.186,241.069,129.726,245.518,97.256,471.864,0,186.899,296.602,249.956,555.707,503.394,289.526,130.358,191.914,140.166,375.189,229.736,302.05,379.637,255.001,344.086,55.749,161.467,345.045,274.508
"Miner",130.705,76.201,444.252,153.067,122.677,221.622,221.797,610.525,330.371,186.636,171.519,136.852,232.209,159.39,146.28,565.987,59.387,132.102,176.306,668.037,135.538,253.906,587.975,216.52,155.329,236.215,385.305,161.021,147.009,56.066,656.089,235.811,141.151,190.151,174.741,71.285,235.73,67.963,158.348,164.295,113.592,204.516,254.27,70.315,280.984,543.404,186.856,0,139.499,112.56,517.387,503.945,168.617,283.28,255.07,46.85,218.086,240.737,229.263,341.317,118.264,159.983,252.678,339.794,169.056,404.746
