"","Aitkin","Anoka","Becker","Beltrami","Benton","Big Stone","Blue Earth","Brown","Carlton","Carver","Cass","Chippewa","Chisago","Clay","Clearwater","Cook","Cottonwood","Crow Wing","Dakota","Dodge","Douglas","Faribault","Fillmore","Freeborn","Goodhue","Grant","Hennepin","Houston","Hubbard","Isanti","Itasca","Jackson","Kanabec","Kandiyohi","Kittson","Koochiching","Lac qui Parle","Lake","Lake of the Woods","Le Sueur","Lincoln","Lyon","Mahnomen","Marshall","Martin","McLeod","Meeker","Mille Lacs","Morrison","Mower","Murray","Nicollet","Nobles","Norman","Olmsted","Otter Tail","Pennington","Pine","Pipestone","Polk","Pope","Ramsey","Red Lake","Redwood","Renville","Rice","Rock","Roseau","Scott","Sherburne","Sibley","St. Louis","Stearns","Steele","Stevens","Swift","Todd","Traverse","Wabasha","Wadena","Waseca","Washington","Watonwan","Wilkin","Winona","Wright","Yellow Medicine"
"Itasca",137.917,208.067,174.417,88.583,243.6,214.25,336.95,268.567,182.833,237.483,44.867,169.983,248.333,25.05,171.9,183.017,250.5,119.6,349.85,293.75,263.8,264.433,334.25,310.133,281.017,239.917,221.7,354.933,43.767,215.583,0,324.283,194.583,196.117,169.633,155.65,226.583,162.683,198.9,264.017,296.183,267.717,44.9,267.717,319.95,235.033,207.283,180.533,129.8,314.417,302.367,279.233,332.817,208.633,303.267,126.433,67.667,225.05,310.383,90.15,151.433,207.517,65.767,241.3,228.4,144.283,302.85,148.833,188.633,192.2,264.45,190.25,160.317,276.067,201.467,165.95,28.433,275.717,321.533,73.3,287.65,289.867,299.967,143,353.717,161.95,233.683
"Jackson",267.45,163.617,187.733,329.917,131.333,195.383,46.283,77.15,267.15,129.7,311.033,209.167,197.1,308.833,185.7,351.683,112.567,236.017,164.9,128.2,159.583,113.117,135.283,75,158.433,172.733,155.4,170,289.817,194.883,322.467,0,215.217,136.7,381.917,426.033,151.317,463.55,182.6,99.05,60.9,98.567,330.217,98.567,66.583,125.067,152.117,204.283,274.567,91.367,67.233,81.35,35.25,248.55,128.483,239.883,352,213.067,87.25,335.217,184.75,171.767,375.017,141.733,103.417,201.45,87.467,434.6,195.383,172.583,102.15,282.183,187.9,100.467,193.3,477.617,296.317,92.9,173.933,248.817,103.333,96.15,43.783,237.9,165.6,286.25,122.85
"Kanabec",64.75,61.767,56.7,242.933,100.433,196.283,193.183,164.183,83.85,94.3,148.583,148.617,72.933,177.7,61.617,168.383,177.783,81.333,204.533,148.433,118.5,121.25,188.933,166.967,135.7,89.333,78.533,209.617,158.167,41.75,194.1,219.467,0,118.567,323.333,246.583,176.017,309.883,42.65,120.85,160.567,194.983,204.233,194.983,267.783,117.783,106.55,16.15,68.6,171.25,229.633,146.267,235.633,65.233,157.95,152.883,179,40.5,237.667,265.367,119.8,56.333,225.783,98.133,155.683,51.767,230.117,329.717,167.65,48.65,141.717,98.883,49.117,132.9,180.483,294.85,165.2,132.55,176.217,118.9,144.467,146.683,180.25,178.933,208.4,78.95,160.967
"Kandiyohi",163.533,107.833,82.25,202.533,90.067,97.017,169.9,96.633,195.933,105.233,183.65,87.45,142.617,181.45,70.167,280.45,65.883,117.183,235.7,179.6,149.667,146.5,220.1,175.233,166.883,134.75,107.683,240.783,162.433,129.083,195.083,139.667,116.417,0,282.933,326.467,64.133,362.15,105.683,118.117,128.883,83.1,202.833,83.1,167.85,70.783,26,101.85,172.383,196.483,117.75,113.9,148.2,177.317,189.133,112.483,224.617,152.567,125.767,224.967,57.35,111.25,247.633,123.383,43.783,82.6,118.217,333.217,88.75,98.5,99.117,210.95,69.05,158.15,94.083,350.233,168.933,118.117,207.683,121.433,147.267,138.55,115.533,141.617,236.4,195.383,49.067
"Kittson",298.667,315.2,289.617,104.833,345.267,240.233,422.283,369.2,325.217,339.133,207.167,231.85,349.967,195.25,277.517,275.417,320.067,275.55,451.5,395.4,365.467,366.1,435.9,411.8,382.683,341.567,323.367,456.6,213.967,336.3,170.183,382.8,323.633,284.833,0,208.683,283.6,101.717,313.033,365.683,396.833,317.183,138.733,317.183,328.65,335.683,296.067,309.067,290.55,416.083,347.3,379.883,358.917,352.217,404.933,181.4,200.683,372.733,316.55,85.083,230.583,318.6,149.5,342.967,317.117,280.9,325.133,72.767,239.967,305.85,365.1,332.633,276.283,377.733,246.95,104.967,198.633,377.383,423.2,221.417,389.3,391.517,388.75,173.917,455.383,308.367,305.683
"Koochiching",188.017,274.117,287.8,208.2,311.983,362.617,386.9,381.933,168.183,305.85,153.9,312.683,258.483,153.017,285.267,76.7,384.183,220.667,390.083,333.983,304.05,317.1,374.483,362.8,321.267,274.9,276.367,395.183,177.983,253.833,157.4,422.383,240.367,329.8,207.567,0,369.283,118.683,281.417,329.517,369.217,401.4,190.017,401.4,468.317,329.333,324.317,255.9,179.9,367.083,436.05,354.917,444.3,200.25,343.517,274.817,112.133,220.767,444.067,200.833,294.133,278.5,112.317,289.95,362.083,257.667,436.517,138.517,331.333,287.433,353.267,171.117,273.7,328.733,344.167,103.667,171.133,341.2,361.783,216,340.3,347.783,388.917,291.367,388.767,181.167,367.367
"Lac qui Parle",222.033,166.333,140.75,202.367,130.05,53.917,190.917,130.25,254.417,145.217,230.233,69.017,201.117,213.267,128.65,338.95,47.317,175.667,285.417,226.633,198.617,195.45,269.817,213.033,215.817,191.817,164.767,290.5,194.25,187.583,227.317,150.6,174.917,64.2,282.783,366.683,0,362,164.183,151.917,154.45,53.867,202.667,53.867,139.833,110.3,90.2,160.35,230.883,234.233,93.35,147.7,128.783,235.8,238.833,111.55,271.217,211.067,97.75,224.8,82.967,169.75,287.867,172.317,49.767,141.1,91.683,333.05,55.25,157,132.933,269.45,127.55,199.383,53.167,365.25,198.9,151.917,256.633,153.25,185.067,172.35,141.1,120,286.1,253.867,32.933
"Lake",251.1,358.933,325.267,163.167,394.45,321.533,487.8,419.417,275.533,388.333,191.8,310.167,360.767,190.767,322.75,186.117,398.367,266.533,492.383,436.267,406.333,415.283,476.767,461,423.55,377.183,372.55,497.467,206.833,342.783,163.067,464.1,311.967,363.133,100.117,119.383,361.9,0,344.5,414.883,447.033,410.3,166.833,410.3,409.95,385.883,361.783,318.983,243,465.267,428.617,430.083,440.217,302.533,445.8,259.717,150.033,323.05,397.85,150.95,308.883,358.367,124.417,392.25,395.417,295.15,406.433,31.067,318.283,343.05,415.317,282.95,311.167,426.933,331.633,15.667,191.5,426.567,464.067,236.367,438.5,440.717,456.017,264.783,496.25,258.683,384
"Lake of the Woods",95.383,28.067,29.05,230.167,66.733,183.317,159.483,130.55,122.667,60.6,169.783,135.85,68.833,180.117,36.217,207.2,164.817,91.583,171.25,115.15,85.217,87.55,155.65,133.267,102.433,61.317,44.833,176.333,160.567,34.35,198.567,185.767,43.15,105.6,310.567,280.483,163.067,343.8,0,87.15,126.867,182.033,212.533,182.033,234.083,84.083,95.533,32.2,102.5,137.55,198.15,112.567,201.933,104.05,124.683,140.133,211.3,75.233,224.7,252.6,107.033,27.517,230.25,64.433,143.083,57.017,217.15,334.133,154.883,12.667,108.017,137.683,45.367,99.2,167.717,328.767,173.5,98.85,142.95,127.2,110.767,112.983,146.55,166.183,175.133,122.117,148
"Le Sueur",171.35,67.517,91.633,284.15,35.217,197.983,76.067,50.783,171.05,33.6,233.167,197.5,100.983,247.833,92.967,255.583,123.85,159.3,152.65,95.283,74.417,52.733,137.05,79.733,89.9,81.617,59.3,157.733,228.283,98.767,266.283,102.333,119.117,119.867,364.55,329.933,153.917,415.583,86.5,0,43.433,129.35,280.25,129.35,150.65,51.633,96.283,108.167,178.467,101.467,114.733,29.133,118.517,152.433,106.067,194.1,274.75,116.967,159.833,306.583,161.017,75.667,297.95,54.617,103.4,124.733,147.967,401.85,198.8,76.483,23.483,186.083,107.833,64.817,195.9,400.55,241.217,15.417,135.133,194.917,52.3,26.4,63.133,220.167,153.333,190.15,125.167
