"","Aitkin","Anoka","Becker","Beltrami","Benton","Big Stone","Blue Earth","Brown","Carlton","Carver","Cass","Chippewa","Chisago","Clay","Clearwater","Cook","Cottonwood","Crow Wing","Dakota","Dodge","Douglas","Faribault","Fillmore","Freeborn","Goodhue","Grant","Hennepin","Houston","Hubbard","Isanti","Itasca","Jackson","Kanabec","Kandiyohi","Kittson","Koochiching","Lac qui Parle","Lake","Lake of the Woods","Le Sueur","Lincoln","Lyon","Mahnomen","Marshall","Martin","McLeod","Meeker","Mille Lacs","Morrison","Mower","Murray","Nicollet","Nobles","Norman","Olmsted","Otter Tail","Pennington","Pine","Pipestone","Polk","Pope","Ramsey","Red Lake","Redwood","Renville","Rice","Rock","Roseau","Scott","Sherburne","Sibley","St. Louis","Stearns","Steele","Stevens","Swift","Todd","Traverse","Wabasha","Wadena","Waseca","Washington","Watonwan","Wilkin","Winona","Wright","Yellow Medicine"
"Nicollet",197.65,93.833,117.933,299.067,57.633,192.783,61.317,23.433,197.367,59.9,247.417,192.283,127.3,262.083,112.633,281.883,110.35,173.567,140.85,82.067,100.717,62.967,125.25,68.467,113.95,107.933,85.6,145.933,242.55,125.083,280.55,83.9,145.417,114.667,379.467,356.233,148.7,429.85,112.8,29.25,25,108.883,294.517,108.883,132.217,46.783,91.083,134.483,204.783,89.683,96.3,0,100.083,178.75,94.267,209.017,289.017,143.283,143.133,321.5,164.817,101.967,312.217,80.933,98.2,138.983,135.6,416.117,193.6,102.783,22.033,212.383,125.45,54.833,190.7,414.817,255.467,16.967,144.333,209.183,40.5,31.183,44.7,235.067,141.533,216.467,119.967
"Nobles",285.833,182,206.117,301.383,149.717,173.4,72.7,95.533,285.533,148.083,319.9,192.283,215.483,317.7,204.083,370.067,89.95,254.4,191.333,154.633,186.017,139.55,161.717,101.433,184.867,196.117,173.783,196.417,298.683,213.267,331.333,33.217,233.6,145.567,357.533,444.417,128.45,439.167,200.983,117.433,79.283,75.967,325.933,75.967,42.2,143.45,166.7,222.667,292.95,117.8,44.033,99.733,0,266.933,154.9,234.817,360.867,231.45,62.867,310.833,192.333,190.15,383.883,169.117,112.283,219.833,62.433,410.217,178.517,190.967,120.533,300.567,206.283,126.883,176.433,442.433,305.183,111.283,200.367,257.683,122.75,114.533,62.167,213.517,192.033,304.633,106.483
"Norman",83.067,98.483,118.267,282.067,136.35,257.85,211.267,200.167,40.55,130.217,165.7,210.183,82.85,206.833,123.183,125.083,239.35,126.917,214.467,158.35,128.417,141.467,198.85,187.167,145.633,99.267,100.733,219.55,189.283,78.217,211.217,246.75,64.75,180.133,354.167,199.433,237.6,302.733,104.217,153.883,193.583,256.567,254.367,256.567,300.8,153.7,168.117,77.717,83.317,191.45,264.883,179.283,268.667,0,167.883,214.467,173.917,45.133,299.233,274.7,181.383,102.867,223.133,114.333,212.717,113.333,291.683,322.55,229.217,110.233,177.633,55.583,110.7,153.1,242.05,287.7,202.933,165.567,186.15,169.033,164.667,172.15,213.283,240.517,218.333,59.65,222.533
"Olmsted",209.567,102.3,131.483,323.217,111.2,276.35,94.633,112.2,185.417,104.833,272.75,228.9,115.35,287.417,132.033,269.933,199.133,198.9,58.267,25.317,56.567,61.717,42.667,73.3,39.117,92.183,89.2,63.35,267.883,122.2,305.883,130.117,157.333,189.333,403.617,344.3,237.117,447.583,124.7,103.7,101.75,197.667,319.85,197.667,187.317,128.567,163.633,146.383,216.683,43.65,173.05,92.983,156,166.8,0,233.167,314.35,131.333,207.983,345.65,200.083,106.683,337.55,78.633,187.567,164.317,208.2,441.45,247.917,113.517,113.783,200.433,146.883,47.433,260.767,432.567,280.8,97.917,56.6,234.517,58.483,82.35,121.45,259.217,58.95,204.517,209.333
"Otter Tail",146.383,142.583,117,100.05,172.65,97.717,264.983,196.6,220.717,166.533,138.983,59.233,177.35,122.017,104.9,291.917,147.45,110.6,278.9,222.8,192.85,193.483,263.3,239.183,210.067,168.967,150.75,283.983,103,163.683,125.017,240.383,151.017,112.217,180.45,271.683,110.983,259.667,140.417,193.067,224.217,159.383,100.033,159.383,217.15,163.067,123.45,136.467,155.25,243.467,198.867,207.267,234.3,211.917,232.317,0,179.967,187.183,195.05,122.483,57.967,145.983,185.55,170.35,144.5,108.283,197.2,230.733,67.35,133.233,192.483,236.283,103.667,205.117,80.717,262.933,103.817,204.767,250.583,62,216.7,218.917,216.133,35.217,282.767,188.883,133.067
"Pennington",119.083,217.267,183.617,128.083,252.8,267.533,346.15,277.767,145.633,246.667,41.75,215.217,230.867,62.467,181.083,137.85,280.217,116.483,359.05,302.933,273,273.633,343.433,319.333,290.217,247.267,230.9,364.133,80.183,212.867,66.867,353.983,179.933,225.817,200.183,110.483,271.817,149.367,210.7,273.217,305.383,297.417,109.9,297.417,382.167,244.233,220.133,185.183,110.967,323.617,332.067,288.433,362.517,172.617,312.467,178.933,0,193.133,340.083,120.717,196.667,216.717,61.95,250.5,258.117,153.483,332.55,169.183,233.867,201.4,273.65,153.05,169.517,285.267,246.7,134.333,81.233,284.917,330.733,118.533,296.85,299.05,314.367,198.85,362.917,128.767,263.383
"Pine",97.483,62.45,92.05,279.983,100.317,233.333,175.233,164.133,61.4,94.2,181.5,185.667,46.817,216.817,93.2,145.917,214.533,126.933,178.433,122.333,92.4,105.433,162.833,151.133,109.6,63.233,64.7,183.517,197.283,42.183,227.033,210.717,40.217,155.617,360.383,220.283,213.067,323.567,75.083,117.85,157.567,230.917,239.283,230.917,264.783,117.683,140.817,53.2,99.133,155.417,228.85,143.267,232.633,42.783,131.85,189.933,194.75,0,273.583,295.533,156.85,66.833,243.967,78.3,176.683,88.817,266.033,343.4,204.7,73.683,141.6,76.417,86.183,117.067,217.533,308.55,212.783,129.55,150.117,153.95,128.65,136.133,177.25,216,182.3,80.5,198.45
"Pipestone",282.05,220.883,200.767,256.4,173.533,116.05,127.583,121.217,314.45,189.267,298.55,155.167,254.733,296.35,188.683,398.967,62.667,235.7,246.217,207.333,230.233,188.233,216.6,156.317,239.217,236,213.033,251.3,277.333,247.6,309.983,88.1,234.933,124.217,312.55,441.383,97.333,394.183,224.2,160.467,122.317,47.667,269.033,47.667,42.067,158.65,150.233,220.367,290.9,172.683,48.4,140.783,64.217,295.833,209.783,197.7,339.533,270.717,0,265.85,165.05,229.033,362.533,211.467,96.467,201.117,14.183,365.233,136.65,217.017,149,329.467,187.567,180.1,127.483,397.45,285.033,150.933,255.25,236.333,165.767,157.567,105.2,168.533,246.917,313.9,79.2
"Polk",217,254.383,228.8,20.183,284.45,195.283,376.783,308.4,243.533,278.333,125.5,171.05,289.167,113.583,216.7,225.1,259.25,194.583,390.7,334.6,304.667,305.283,375.1,351,321.883,280.767,262.567,395.783,132.3,275.5,88.517,352.183,262.833,224.017,83.767,197.733,222.783,150.95,252.233,304.883,336.033,271.183,57.767,271.183,282.35,274.867,235.267,248.267,208.883,355.283,310.683,319.067,312.6,270.533,344.117,120.6,119.017,291.05,270.233,0,169.767,257.8,107.633,282.167,256.317,212.6,278.817,122,179.167,245.05,304.3,250.967,215.467,316.933,192.517,154.2,116.95,316.583,362.383,140.45,328.5,330.717,327.95,124.033,394.567,226.683,244.883
"Pope",151.65,109.867,84.283,148.933,140.867,81.8,219.983,149.567,197.817,133.817,155.7,29.1,144.65,138.733,72.183,282.35,105.2,105.3,246.183,190.083,160.15,160.767,230.583,206.483,177.367,136.25,118.05,251.267,119.717,130.983,152.367,185.55,118.317,57.383,229.333,292.133,83.117,308.55,107.717,160.367,178.967,122.233,149.233,122.233,209.683,121.6,75.783,103.75,160.517,210.767,157.05,165.983,192.483,179.217,199.6,58.883,196.667,154.467,167.6,171.367,0,113.283,213.3,137.65,81.683,75.583,160.05,279.6,48.133,100.533,151.217,212.85,70.95,172.417,60.967,311.817,126.217,170.2,217.867,78.717,183.983,190.633,165.617,84.933,250.05,194.15,84.167
"Ramsey",111.717,9.65,33.65,237.717,57.783,190.867,148.35,121.6,121.733,51.667,174.9,143.4,51.667,189.567,45.683,206.267,172,101.05,154.1,98,68.067,76.7,138.5,122.4,85.283,44.167,32.033,159.183,170.033,35.167,208.033,174.617,56.8,113.15,318.117,280.617,170.6,360.133,26.867,76.017,115.717,188.383,222,188.383,222.933,75.15,97.317,48.533,118.833,126.683,187.017,101.417,190.8,103.117,107.533,147.667,216.5,67.65,231.05,260.15,114.583,0,239.7,53.567,134.15,66.467,223.517,343.6,162.433,15.683,99.067,136.767,54.833,88.333,175.267,345.1,182.95,87.7,125.8,136.667,99.917,101.85,135.417,173.733,157.983,133.2,155.917
"Red Lake",168.65,240.35,206.7,115.717,275.883,273.433,369.233,300.85,195.2,269.75,77.15,231.867,280.617,72.183,204.167,139.6,303.367,151.883,382.133,326.017,296.083,296.717,366.517,342.417,313.3,272.183,253.983,387.217,97.167,247.867,65.7,377.15,226.867,248.983,149.933,112.233,287.7,124.65,231.183,296.3,328.467,320.583,99.75,320.583,378.85,267.317,243.217,212.8,160.533,346.7,355.233,311.517,385.683,222.2,335.55,185.633,61.917,242.717,363.25,108.8,213.317,239.8,0,273.583,281.267,176.567,355.7,108.617,249.75,224.483,296.733,202.617,192.6,308.35,262.583,128.517,90.317,308,353.817,135.183,319.933,322.133,337.45,202.183,386,178.35,286.55
"Redwood",148.7,45.45,68.983,261.5,45.367,216.317,107.533,101.95,132.167,33.75,210.517,167.2,62.117,225.183,70.317,216.7,159.583,136.667,124.5,68.4,38.467,37.717,108.9,83.433,55.683,41.817,26.9,129.583,205.65,68.967,243.633,143.017,96.467,123.933,341.917,291.05,172.233,392.933,63.85,54.883,94.6,171.733,257.6,171.733,201.817,62.733,98.233,85.533,155.833,87.717,165.883,80.3,169.667,113.55,77.917,171.467,252.1,78.083,210.983,283.95,138.383,53.6,275.317,0,121.733,102.083,206.867,379.217,186.217,53.833,75.25,147.2,85.183,49.367,199.05,377.917,218.567,66.583,97.467,172.267,60.933,68.417,114.283,197.517,125.183,151.267,143.5
"Renville",200.5,127.617,119.233,229.917,80.267,94.583,144.483,80.933,232.9,95.433,217.017,100.033,161.467,214.817,107.133,317.433,37.833,154.15,235.15,173.117,149.117,145.95,219.55,159.517,166.333,142.733,119.767,240.233,195.8,158.867,228.45,104.167,153.383,42.683,310.317,359.833,50.5,389.533,144.2,102.133,108.033,55.05,230.217,55.05,139.8,65.383,68.183,138.833,209.367,180.733,89.7,97.917,112.7,214.283,188.583,139.867,257.983,177.45,97.717,252.35,80.983,135.75,281,122.833,0,119.567,90.183,360.583,94.567,134.183,83.15,247.933,106.033,145.867,92.483,383.6,202.3,102.133,207.15,154.8,131.55,122.567,94.667,154.2,235.85,232.35,21.75
"Rice",86.75,65.517,31.867,199.883,101.05,158.1,194.383,126,132.633,94.917,114.25,105.617,105.783,128.917,29.333,217.167,139.617,40.4,207.283,151.183,121.25,121.883,191.683,167.583,138.467,97.35,79.15,212.367,109.383,73.033,147.367,201.817,53.133,80.383,280.333,258.85,137.85,296.667,56.333,121.467,153.633,156.817,161.333,156.817,241.567,92.483,68.383,38.567,95.6,171.867,191.467,136.667,218,114.033,160.717,109.9,155.833,89.283,199.483,218.05,76.817,64.967,179.05,98.75,117.517,0,191.95,282.933,124.65,49.65,121.9,147.667,17.767,133.517,137.483,281.65,122.3,133.167,178.983,76,145.083,147.3,162.617,135.95,211.167,129.25,122.783
"Rock",274.967,213.783,193.683,267.033,166.45,124.3,126.55,114.117,307.35,182.183,291.467,157.617,247.65,289.267,181.583,391.883,55.583,228.6,245.183,194.55,223.133,175.45,215.55,155.283,226.433,228.9,205.95,250.267,270.25,240.517,302.9,87.067,227.833,117.133,323.183,434.283,93.767,404.817,217.1,147.683,109.533,40.567,291.267,40.567,57.533,151.567,143.133,213.283,283.817,171.65,33.733,133.7,62.567,288.733,206.767,200.15,332.433,263.617,15.45,276.5,157.967,221.933,355.45,204.383,89.383,194.017,0,375.883,143.833,209.917,141.917,322.383,180.483,167.317,135.75,408.083,276.75,143.85,254.217,229.25,152.983,144.783,94.167,179.167,245.867,306.8,72.117
"Roseau",269.667,344.083,310.417,135.283,379.6,293.65,472.95,404.567,294.1,373.483,180.883,282.283,379.333,174.683,307.9,204.683,370.5,255.6,485.85,429.75,399.817,400.433,470.25,446.15,417.017,375.917,357.7,490.933,193.4,351.583,149.617,436.233,330.533,335.267,72.25,137.95,334.033,30.967,334.9,400.033,432.183,382.417,134.033,382.417,382.083,371.033,346.5,316.533,261.55,450.433,400.733,415.233,412.35,321.1,439.267,231.833,168.583,341.617,369.983,123.083,281.017,343.517,108.95,377.317,367.55,280.3,378.55,0,290.4,328.2,400.467,301.517,296.333,412.083,303.75,34.233,178.05,411.717,457.533,216.717,423.65,425.867,439.183,236.917,489.717,277.233,356.117
"Scott",195.567,156.633,131.05,159.25,170.933,39.383,235.817,175.167,244.583,180.567,193.083,31.417,191.4,176.117,118.95,329.117,92.233,149.217,292.95,236.833,206.9,207.533,277.333,257.933,224.117,183,164.8,298.033,157.1,177.733,190.167,195.5,165.067,88.083,239.667,329.517,55.767,318.883,154.467,197.983,199.367,104.15,159.55,104.15,177.967,151.667,114.1,150.517,204.433,257.517,143.65,193.767,179.083,225.967,246.367,68.433,234.05,201.233,135.883,181.7,48.217,160.033,250.7,184.4,94.683,122.333,141.983,289.933,0,147.283,179,259.617,117.717,219.167,14.567,322.133,161.733,197.983,264.633,116.1,229.967,218.433,186.017,70.533,296.817,238.067,77.85
"Sherburne",100.6,17.383,17.95,222.033,56.983,175.183,149.75,120.8,127.883,50.867,159.217,127.717,58.133,173.883,30,212.417,156.683,85.367,160.567,104.467,74.517,77.817,144.967,123.533,91.733,50.633,35.1,165.65,154.35,39.567,192.35,176.033,48.367,97.467,302.433,285.7,154.917,341.65,10.783,77.417,117.133,173.883,206.317,173.883,224.35,74.35,84.45,37.433,107.733,127.817,188.417,102.833,192.2,109.267,113.983,131.983,200.817,74.117,216.567,244.467,98.9,16.817,224.017,54.7,133.35,50.783,209.017,327.917,146.75,0,98.267,142.917,39.133,89.467,159.583,326.617,167.267,89.117,132.25,120.983,101.033,103.25,136.817,158.033,164.433,127.333,139.867
"Sibley",191.433,89.983,109.733,284.067,42.65,177.783,81.9,35.167,193.9,57.217,232.433,177.3,123.833,247.1,97.633,278.433,103.65,158.567,161.433,102.65,98.183,79.217,145.833,89.05,113.667,105.1,82.15,166.517,227.55,121.233,265.55,104.483,139.2,99.667,364.467,352.783,133.7,414.85,106.583,23.733,45.583,109.15,279.517,109.15,152.8,31.783,76.083,128.25,198.55,110.267,116.233,22.317,120.667,175.283,114.85,194.017,274.017,139.817,151.817,306.5,149.833,98.133,297.233,79.417,83.2,124,144.283,401.117,178.6,96.567,0,208.933,110.45,75.417,175.7,399.817,240.483,26.533,158.9,194.183,61.083,46.967,65.283,220.083,162.117,213,104.967
"St. Louis",89.417,130.417,150.217,260.7,168.283,289.783,243.217,232.1,22.083,162.167,145.733,242.133,114.8,186.867,155.133,96.483,271.3,139.55,240.817,190.3,160.367,173.4,230.8,219.117,177.567,131.2,132.667,258.75,181.933,110.15,191.267,278.683,96.683,212.067,332.8,170.833,269.533,281.367,136.15,185.817,225.533,288.5,236.167,288.5,332.75,185.65,200.067,109.667,81.3,223.383,296.817,211.233,300.6,56.55,199.817,236.867,152.55,77.067,331.167,253.333,213.317,134.817,201.767,146.267,244.65,145.283,323.633,301.183,261.15,142.167,209.567,0,142.633,185.05,274,266.333,182.983,197.517,208.233,181.667,196.617,204.1,245.217,268.35,223.267,48.467,254.467
"Stearns",100.983,54.083,20.417,194.767,88.167,148.117,184.4,116.017,127.45,82.033,127.533,100.45,93.367,142.2,17.9,211.983,129.617,53.683,194.4,138.3,108.367,108.983,178.8,154.7,125.583,84.467,66.267,199.483,122.667,60.617,160.667,191.833,47.95,70.4,275.167,272.15,127.85,309.967,43.933,108.583,143.633,146.833,174.633,146.833,231.583,86.083,58.383,33.383,108.1,158.983,181.483,126.683,208,108.85,147.833,104.717,169.133,84.1,189.5,217.2,71.633,53.517,192.333,85.867,107.517,19.1,181.95,296.233,119.483,38.2,111.9,142.483,0,120.633,132.317,294.933,135.583,120.283,166.1,89.3,132.2,134.417,152.617,130.783,198.283,126.9,112.8
"Steele",182.767,79.517,103.067,295.583,79.45,240.9,66.517,73.65,169.3,67.817,244.583,201.267,99.25,259.25,104.4,253.833,160.567,170.733,96.167,37.383,65.8,19.333,80.567,42.417,70.317,78.95,60.983,101.25,239.717,103.367,277.717,102,130.55,158,375.983,328.183,196.817,427.017,97.917,63.767,63.2,159.1,291.683,159.1,159.217,96.8,132.3,119.6,189.9,43.55,134.483,54.433,127.883,150.683,49.583,205.533,286.183,115.217,179.583,318.017,172.45,87.667,309.383,47.95,151.4,136.15,167.733,413.283,220.3,87.9,75.233,184.333,119.267,0,233.133,411.983,252.633,59.35,99.633,206.35,19.933,43.8,82.9,231.583,96.85,188.4,168.35
"Stevens",206.717,169.883,144.3,172.5,172.367,22.117,233.217,172.567,257.833,187.533,204.217,44.667,204.65,187.267,132.2,342.367,89.633,160.367,306.183,250.083,220.15,220.783,290.583,255.333,237.367,196.25,178.05,311.283,168.233,190.983,201.317,192.9,178.317,93.933,245.117,340.667,53.15,332.133,167.717,194.233,196.767,101.55,172.8,101.55,171.9,152.6,119.933,163.75,215.567,276.55,141.05,190.017,176.483,239.217,259.617,81.683,245.2,214.467,129.817,194.933,61.467,173.283,261.85,197.65,92.083,135.583,138.467,303.183,14.433,160.533,175.233,272.85,130.967,232.417,0,335.383,172.883,194.233,277.883,127.233,227.367,214.667,183.417,77.1,310.067,249.217,75.25
"Swift",235.417,343.25,309.583,166.933,378.767,325.3,472.117,403.733,259.85,372.65,176.117,313.933,345.083,175.083,307.067,170.433,402.133,250.85,476.7,420.583,390.65,399.6,461.083,445.317,407.867,361.5,356.867,481.783,200.067,327.1,166.833,480.033,296.283,351.867,103.9,103.7,365.667,15.017,328.817,399.2,431.35,414.067,170.6,414.067,413.733,370.2,346.1,303.3,227.317,449.583,432.383,414.4,443.983,286.85,430.117,263.483,134.35,307.367,401.617,154.733,312.65,342.683,127.75,376.567,384.15,279.467,410.2,34.85,322.05,327.367,399.633,267.267,295.483,411.25,335.4,0,193.2,410.883,448.383,238.067,422.817,425.033,440.333,268.55,480.567,243,387.767
"Todd",116.817,183.833,150.183,117.767,219.367,193.15,312.7,244.317,174.433,213.233,40.767,144.317,224.1,22.15,147.65,196.317,224.85,98.683,325.6,269.5,239.567,240.2,310,285.9,256.783,215.667,197.467,330.7,18.117,191.35,29.183,298.633,165.417,170.467,198.817,168.95,200.083,191.867,174.65,239.783,271.95,242.067,74.083,242.067,298.85,210.8,181.633,156.283,121.4,290.183,276.717,255,307.167,200.233,279.033,105.35,81.733,212.283,284.15,119.333,125.767,183.283,90.117,217.067,202.75,120.05,277.183,178.017,162.133,167.967,240.217,181.85,136.083,251.833,174.967,192.717,0,251.483,297.3,47.633,263.4,265.617,274.317,121.9,329.483,153.567,208.033
"Traverse",184.233,80.4,104.517,297.033,48.117,196.967,69.4,38.25,183.933,46.483,246.05,196.483,113.883,260.717,105.85,268.467,122.85,172.2,145.5,86.717,87.3,58.067,129.9,73.433,99.15,94.517,72.183,150.583,241.167,111.667,279.167,95.683,132,118.867,377.433,342.817,152.9,428.467,99.383,15.833,36.783,128.333,293.133,128.333,144,50.967,95.267,121.05,191.35,94.333,108.067,16.6,111.85,165.317,98.917,207,287.633,129.85,153.167,319.467,169.017,88.55,310.85,67.5,102.383,137.617,141.3,414.733,197.783,89.367,26.233,198.967,120.717,59.467,194.883,413.433,254.1,0,147.15,207.8,45.15,25.833,56.467,233.05,146.183,203.033,124.15
"Wabasha",226.733,119.467,148.667,340.383,128.9,293.533,138.3,162.633,202.583,122.533,289.933,246.067,132.517,304.6,149.2,287.117,243.1,216.067,55.6,69.5,62.55,89.7,73.417,116.967,48.683,105.6,106.367,68.45,285.05,139.383,323.05,173.783,174.5,207.667,420.783,361.467,254.817,464.75,141.883,134.567,152.183,250.483,337.017,250.483,230.983,146.25,181.967,163.55,233.85,87.317,223.483,143.417,199.65,183.967,56.1,250.333,331.517,148.5,251.65,362.817,217.25,123.85,354.717,96.317,205.25,181.5,251.867,458.617,265.1,130.7,158.833,208.35,164.067,97.867,277.933,449.733,297.983,147.517,0,251.683,108.917,129.417,171.883,276.4,40.767,221.683,227.017
"Wadena",90.233,136.217,102.567,125.333,171.75,149,265.1,196.717,164.567,165.617,76.967,96.667,176.483,60.017,100.033,232.267,177.2,54.433,278,221.883,191.95,192.583,262.383,238.283,209.167,168.05,149.85,283.083,40.983,143.733,73.633,250.983,117.8,122.817,222.017,213.417,153.283,236.333,127.05,192.167,224.333,194.417,86.783,194.417,279.167,163.183,133.983,108.667,99.083,242.567,229.067,207.383,259.517,167.933,231.417,60.383,117.95,152.433,237.083,143.5,78.117,135.667,134.583,169.45,155.1,72.433,229.533,216.367,115.333,120.35,192.6,180.133,88.467,204.217,128.167,237.167,47.483,203.867,249.683,0,215.8,218,226.667,91.867,281.867,132.733,160.383
"Waseca",196.783,93.533,117.067,309.583,80.8,226.267,68.15,59.017,183.317,69.3,258.6,215.267,113.25,273.267,118.4,267.85,145.933,184.75,106.283,47.5,79.8,33.35,90.667,33,80.1,92.95,74.983,111.367,253.733,117.383,291.717,103.633,144.55,153.233,389.983,342.2,182.2,441.017,111.933,50.517,48.567,144.483,305.683,144.483,155.783,85.35,129.65,133.617,203.9,55.1,119.867,39.8,123.65,164.7,59.7,219.55,300.183,129.233,164.95,332.017,186.467,101.683,323.4,61.967,136.767,150.167,153.1,427.283,232.167,101.917,60.6,198.333,133.267,20.25,224.183,426,266.65,44.717,109.75,220.35,0,29.167,68.267,245.6,106.967,202.417,153.717
"Washington",197.15,93.333,117.45,309.967,61.033,218.383,72.417,50.233,190.283,59.417,258.967,217.883,120.217,273.633,118.783,274.817,137.167,185.117,130.467,71.683,85.617,40.667,114.867,57.917,91.633,99.933,81.967,135.55,254.1,124.35,292.1,98.7,144.933,140.267,390.367,349.167,174.3,441.4,112.3,27.417,39.783,135.7,306.067,135.7,147.017,72.383,116.683,133.983,204.283,79.3,111.083,31.017,114.867,171.667,83.883,219.917,300.567,136.2,156.183,332.4,190.417,101.483,323.767,68.933,123.8,150.533,144.317,427.667,219.2,102.283,47.633,205.317,133.65,44.45,216.3,426.367,267.017,23.317,129.75,220.733,30.117,0,59.483,245.967,131.15,209.383,145.567
"Watonwan",231.217,127.383,151.5,306.9,95.083,186.033,55.517,40.9,230.917,93.467,273.633,190.383,160.85,286.1,149.467,315.45,105.7,199.783,168.467,109.683,135.55,90.583,144.517,81.2,141.567,141.483,119.167,173.55,267.067,158.633,299.717,45.95,178.983,116.033,387.317,389.8,141.95,456.067,146.35,62.817,24.667,100.183,309.017,100.183,94.267,88.833,111.767,168.033,238.333,100.617,61.15,45.117,62.117,212.3,121.9,216.867,315.233,176.833,103.433,329.35,164.25,135.533,338.433,114.483,96.283,165.2,94.383,437.583,186.017,136.35,65.917,245.95,151.667,82.45,183.933,441.033,273.567,56.65,171.95,226.083,68.117,59.917,0,244.567,169.167,250.017,113.483
"Wilkin",176.767,167.967,142.383,103.9,198.033,71.233,277.667,221.983,251.1,191.917,157.333,80.233,202.75,140.367,130.283,312.617,157.083,140.967,304.283,248.183,218.25,218.867,288.683,264.583,235.45,194.35,176.133,309.367,133.383,189.083,142.65,238.183,176.417,137.6,172.8,289.317,120.6,254.433,165.817,218.467,249.6,169.633,115.267,169.633,184.033,188.45,148.833,161.85,185.617,268.867,209.133,232.65,214.283,237.3,257.7,34.383,198.3,212.567,171.917,126.35,83.35,171.383,203.183,195.75,155.317,133.683,180.5,225.5,71.5,158.633,217.883,266.667,129.05,230.517,77.967,257.7,121.433,230.15,275.967,92.383,242.083,244.3,241.517,0,308.15,219.267,139.65
"Winona",254.633,147.367,176.567,368.283,156.267,321.433,130.017,158.333,230.483,149.9,317.833,273.967,160.417,332.5,177.1,314.283,245.267,243.967,23.95,71.45,94.6,108.55,61.933,108.683,80.75,137.217,134.267,37.083,312.95,167.283,350.95,165.5,202.4,234.4,448.683,388.633,282.183,492.65,169.783,149.833,147.883,243.8,364.917,243.8,222.7,173.633,208.7,191.45,261.75,79.033,219.183,139.117,191.367,211.867,55.033,278.233,359.417,176.4,243.35,390.717,245.15,151.75,382.617,123.7,232.633,209.4,243.583,486.517,293,158.6,159.917,223.15,191.967,93.567,305.833,477.633,325.883,144.05,39.083,279.583,104.617,128.5,167.583,304.3,0,249.583,254.4
"Wright",42.833,132.817,135.917,238.667,170.667,275.217,245.6,234.483,34.9,164.55,117.1,217.033,117.183,158.233,140.85,120.9,257,92.983,248.783,192.683,162.75,175.783,233.183,221.5,179.967,133.6,135.067,253.867,140.7,104.367,162.633,281.083,79.217,197.783,310.767,182.75,255.25,259.333,121.867,188.2,227.917,274.217,207.533,274.217,335.133,188.033,185.783,95.383,34.733,225.783,299.217,213.617,303,58.95,202.217,190.3,130.517,79.467,316.883,231.3,197.05,132.867,179.733,148.65,234.9,129.983,309.35,279.15,241.55,127.883,211.967,50.467,128.35,187.433,254.383,244.3,154.35,199.9,220.483,135.1,199,206.483,247.617,221.767,252.667,0,240.183
"Yellow Medicine",205.933,149.817,124.667,224.517,102.467,77.4,164.067,103.417,238.333,117.65,222.45,84.85,183.667,220.25,112.567,322.867,20.467,159.583,258.567,199.783,171.317,168.15,242.967,186.183,188.533,164.933,141.967,263.65,201.233,171.5,233.883,123.75,158.817,48.117,304.917,365.267,33.317,384.133,148.083,124.333,127.617,37.683,224.817,37.683,122.433,87.583,74.117,144.267,214.8,207.4,72.333,120.117,107.767,219.717,211.983,133.7,263.417,194.983,80.35,246.95,84.133,153.65,286.433,145.033,22.2,125,72.8,355.2,77.383,140.9,105.35,253.367,111.467,172.533,75.317,387.4,207.733,124.333,229.35,160.233,158.217,144.783,114.25,139.033,259.25,237.783,0
