county,population,area,,,,,,,,,,,,,,,,,,,,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
Alameda,1671329,738,,,,,,,,,,,,,,,,,,,,246.043,261.512,187.384,572.76,362.634,174.544,75.939,687.505,643.434,189.835,395.787,674.939,137.794,187.882,676.222,784.632,24.452,259.071,357.165,43.906,506.991,64.181,109.116,355.917,63.141,499.501,73.06,83.988,215.305,195.35,284.041,483.662,351.686,206.048,550.959,137.544,175.329
Alpine,1129,739,,,,,,,,,,,,,,,,,,,,695.997,1072.044,662.805,1192.116,708.813,736.795,870.337,198.824,177.252,893.341,964.526,182.845,840.472,648.593,195.653,45.766,836.235,580.35,531.826,815.123,381.11,777.912,779.79,1108.498,768.355,1252.082,856.459,881.628,792.522,916.888,1036.622,1236.243,500.996,772.282,337.145,877.007,897.218
Amador,39752,606,,,,,,,,,,,,,,,,,,,,150.876,401.637,177.186,491.544,264.602,302.158,172.482,712.124,668.053,96.457,263.954,699.558,77.287,294.782,700.841,809.251,206.303,283.69,470.509,199.794,620.335,193.146,238.081,347.19,188.833,490.774,143.146,183.773,67.316,155.58,275.314,474.935,341.488,87.65,628.955,115.699,135.91
Butte,219186,1640,,,,,,,,,,,,,,,,,,,,713.378,252.837,654.719,449.789,747.298,643.347,435.943,1154.84,1110.769,524.276,502.837,1142.274,478.73,656.685,1143.557,1251.967,458.75,726.406,825.968,491.423,975.794,532.984,577.919,208.048,531.944,303.413,473.034,418.095,628.17,419.792,288.1,229.353,819.021,673.383,1019.762,440.022,417.099
Calaveras,45905,1020,,,,,,,,,,,,,,,,,,,,125.797,401.569,134.623,516.527,231.454,296.122,172.414,671.983,627.912,156.942,288.937,659.417,107.707,288.746,660.7,769.11,200.267,242.047,464.473,193.758,614.299,187.11,232.045,377.61,182.797,521.194,142.044,183.705,42.237,186,305.734,505.355,301.562,62.571,588.814,146.119,166.33
Colusa,21547,1151,,,,,,,,,,,,,,,,,,,,346.694,233.386,288.035,399.727,428.897,353.111,151.398,817.255,773.184,118.697,282.927,804.689,106.673,366.449,805.972,914.382,193.338,388.821,535.732,224.275,685.558,244.099,289.034,182.884,239.786,326.468,122.062,162.689,256.113,29.001,111.008,310.629,452.337,291.352,734.086,67.965,44.961
Contra Costa,1153526,720,,,,,,,,,,,,,,,,,,,,257.359,263.438,198.7,535.709,373.95,204.102,49.887,698.821,654.75,152.784,358.736,686.255,100.743,217.44,687.538,795.948,56.611,270.387,386.723,90.408,536.549,95.09,140.025,318.866,90.777,462.45,36.009,61.178,195.46,158.299,246.99,446.611,363.002,217.364,580.517,100.493,138.278
Del Norte,27812,1008,,,,,,,,,,,,,,,,,,,,826.734,366.193,768.075,447.77,879.329,756.703,549.299,1268.196,1224.125,647.354,634.868,1255.63,601.808,770.041,1256.913,1365.323,572.106,839.762,939.324,604.779,1089.15,646.34,691.275,331.126,645.3,259.683,586.39,531.451,751.248,542.87,411.178,351.047,932.377,786.739,1133.118,563.1,540.177
El Dorado,192843,1712,,,,,,,,,,,,,,,,,,,,193.616,387.525,204.562,482.456,263.472,360.083,158.37,739.5,695.429,49.829,254.866,726.934,63.175,322.158,728.217,836.627,200.31,311.066,497.885,231.247,647.711,251.071,296.006,333.078,246.758,476.662,129.034,169.661,110.056,141.468,261.202,460.823,368.864,130.39,656.331,101.587,121.798
Fresno,999101,5963,,,,,,,,,,,,,,,,,,,,124.691,535.516,91.499,755.435,273.062,247.338,333.809,446.287,402.216,321.893,527.845,433.721,272.658,205.445,435.004,543.414,299.707,50.338,221.149,293.198,407.083,249.804,251.682,542.561,240.247,686.145,287.706,345.1,221.216,350.951,470.685,670.306,75.866,200.976,363.118,311.07,331.281
Glenn,28393,1315,,,,,,,,,,,,,,,,,,,,396.626,278.881,337.967,370.136,478.829,403.043,201.33,867.187,823.116,157.685,251.571,854.621,156.605,416.381,855.904,964.314,243.27,438.753,585.664,274.207,735.49,294.031,338.966,153.293,289.718,296.877,171.994,212.621,306.045,68.436,65.08,281.038,502.269,341.284,784.018,117.897,84.396
Humboldt,135558,3573,,,,,,,,,,,,,,,,,,,,690.324,229.783,631.665,469.652,788.104,620.293,412.889,1131.786,1087.715,511.426,522.7,1119.22,465.88,633.631,1120.503,1228.913,435.696,703.352,802.914,468.369,952.74,509.93,554.865,227.911,508.89,323.276,449.98,395.041,659.586,411.875,275,249.216,795.967,650.329,996.708,427.172,427.835
Imperial,181215,4175,,,,,,,,,,,,,,,,,,,,804.416,1180.463,771.224,1246.475,763.172,845.214,978.756,237.981,319.875,1001.76,1018.885,250.147,948.891,757.012,250.432,188.389,944.654,688.769,638.533,923.542,487.817,886.331,888.209,1216.917,876.774,1360.501,964.878,990.047,900.941,1025.307,1145.041,1344.662,609.415,880.701,443.852,985.426,1005.637
Inyo,18039,10192,,,,,,,,,,,,,,,,,,,,338.978,775.645,398.945,666.828,183.525,652.204,598.597,345.52,394.293,476.277,439.238,348.792,503.402,564.002,331.986,503.028,539.836,500.181,517.213,533.327,466.468,526.679,571.614,719.327,522.366,800.146,513.783,609.888,389.413,581.695,701.429,835.55,399.422,359.309,422.503,541.814,562.025
Kern,900202,8142,,,,,,,,,,,,,,,,,,,,299.126,694.963,265.934,929.87,478.256,359.714,493.256,279.771,235.7,496.328,702.28,267.205,447.093,271.512,268.488,376.898,459.154,204.884,224.723,438.042,240.567,400.831,402.709,716.996,391.274,860.58,479.378,504.547,395.651,525.386,645.12,844.741,104.125,375.411,196.602,485.505,505.716
Kings,152940,1390,,,,,,,,,,,,,,,,,,,,267.451,678.276,234.259,898.195,411.996,390.098,476.569,542.642,498.571,464.653,670.605,530.076,415.418,345.818,531.359,639.769,442.467,195.444,366.255,435.958,503.438,392.564,394.442,685.321,383.007,828.905,430.466,487.86,363.976,493.711,613.445,813.066,172.221,343.736,459.473,453.83,474.041
Lake,64386,1258,,,,,,,,,,,,,,,,,,,,482.939,365.194,424.28,264.464,565.142,489.356,287.643,953.5,909.429,288.464,296.399,940.934,242.918,502.694,942.217,1050.627,329.583,525.066,671.977,360.52,821.803,380.344,425.279,47.621,376.031,191.205,258.307,298.934,392.358,183.98,52.288,175.366,588.582,427.597,870.331,204.21,181.287
Lassen,30573,4558,,,,,,,,,,,,,,,,,,,,544.446,426.701,485.787,229.08,465.296,550.863,349.15,1015.007,970.936,277.694,220.835,1002.441,304.425,564.201,1003.724,1112.134,391.09,586.573,733.484,422.027,883.31,441.851,486.786,119.617,437.538,243.756,319.814,360.441,453.865,202.625,111.907,247.362,650.089,489.104,931.838,265.717,209.42
Los Angeles,10039107,4060,,,,,,,,,,,,,,,,,,,,473.339,849.386,440.147,1104.225,545.209,514.137,647.679,99.1,52.223,670.683,876.635,86.748,617.814,425.935,95.707,193.421,613.577,357.692,304.039,592.465,153.323,555.254,557.132,885.84,545.697,1029.424,633.801,658.97,569.864,694.23,813.964,1013.585,278.338,549.624,109.358,654.349,674.56
Madera,157327,2138,,,,,,,,,,,,,,,,,,,,87.719,498.544,54.527,718.463,270.274,210.366,296.837,481.809,437.738,284.921,490.873,469.243,235.686,201.337,470.526,578.936,262.735,51.873,256.667,256.226,442.605,212.832,214.71,505.589,203.275,649.173,250.734,308.128,184.244,313.979,433.713,633.334,111.388,164.004,398.64,274.098,294.309
Marin,258826,520,,,,,,,,,,,,,,,,,,,,284.532,221.165,225.827,569.036,401.012,214.428,56.947,725.972,681.855,186.104,392.322,715.14,134.07,227.793,714.664,823.089,28.959,297.514,397.073,62.531,546.902,104.049,148.982,352.2,103.026,495.729,69.336,43.645,253.664,191.571,280.317,477.41,390.134,244.53,590.922,133.703,171.855
Mariposa,17203,1451,,,,,,,,,,,,,,,,,,,,0,503.983,60.013,723.901,182.444,248.984,302.2,570.311,526.194,290.353,496.571,559.479,241.125,239.982,559.003,667.428,268.187,140.331,345.142,261.665,530.804,254.974,253.31,511.035,250.678,654.564,255.947,313.571,124.835,319.363,439.152,636.245,199.871,104.718,487.17,279.42,299.998
Mendocino,86749,3509,,,,,,,,,,,,,,,,,,,,503.052,0,444.347,611.513,647.523,432.948,225.495,944.492,900.375,379.43,585.648,933.66,327.396,446.313,933.184,1041.609,247.479,516.034,615.593,281.051,765.422,322.569,367.502,394.677,321.546,538.206,262.662,207.727,472.184,262.582,322.794,475.558,608.654,463.05,809.442,277.818,278.596
Merced,277680,1929,,,,,,,,,,,,,,,,,,,,60.035,446.619,0,666.537,242.479,191.619,244.836,536.02,491.903,232.989,439.207,525.188,183.761,182.617,524.712,633.137,210.823,106.04,310.851,204.301,496.513,197.61,195.945,453.671,193.314,597.2,198.583,256.207,130.754,261.999,381.788,578.881,165.58,110.637,452.879,222.056,242.634
Modoc,8841,3944,,,,,,,,,,,,,,,,,,,,723.791,610.684,665.086,0,486.597,734.819,533.057,1012.377,1155.931,433.976,242.46,1015.622,487.136,748.184,998.818,1169.677,575.086,771.59,917.464,606.01,1067.293,625.791,670.724,239.559,621.495,262.032,503.797,544.428,507.206,406.506,297.778,298.592,829.393,548.47,1116.907,449.584,413.355
Mono,14444,3044,,,,,,,,,,,,,,,,,,,,182.422,647.34,242.435,486.415,0,431.406,418.109,528.844,577.571,295.871,259.085,532.089,322.99,422.404,515.285,686.144,383.339,322.753,488.441,376.817,649.489,370.126,415.059,538.922,365.83,619.686,388.849,429.48,221.705,401.228,521.017,652.61,343.166,178.86,605.855,361.285,381.863
Monterey,434061,3322,,,,,,,,,,,,,,,,,,,,249.658,433.847,192.301,734.856,432.102,0,248.958,610.007,565.89,351.924,558.142,599.175,299.89,117.368,598.699,707.124,192.008,220.277,230.126,161.94,379.955,124.686,69.955,518.02,115.146,661.549,235.156,256.327,332.905,357.391,446.137,643.23,321.968,294.521,423.975,299.523,337.675
Napa,137744,754,,,,,,,,,,,,,,,,,,,,299.042,226.768,240.337,530.716,415.877,245.712,0,740.482,696.365,147.784,354.002,729.65,95.75,259.077,729.174,837.599,76.554,312.024,428.357,107.478,578.186,136.684,181.617,313.88,132.388,457.409,31.016,23.617,219.138,153.251,241.997,439.09,404.644,228.799,622.206,95.383,133.535
Nevada,99755,958,,,,,,,,,,,,,,,,,,,,567.231,943.232,533.993,1009.663,526.296,607.956,741.449,0,77.027,764.522,782.333,20.217,711.66,519.781,13.2,174.272,707.436,451.518,401.299,686.311,250.307,649.057,650.933,979.693,639.517,1123.222,727.647,752.82,663.626,788.021,907.81,1104.903,372.189,643.509,206.673,748.078,768.656
Orange,3175692,948,,,,,,,,,,,,,,,,,,,,524.488,900.489,491.25,1155.327,596.247,565.213,698.706,78.689,0,721.779,927.997,58.4,668.917,477.038,75.493,147.198,664.693,408.775,354.653,643.568,203.661,606.314,608.19,936.95,596.774,1080.479,684.904,710.077,620.883,745.278,865.067,1062.16,329.446,600.766,160.027,705.335,725.913
Placer,398329,1407,,,,,,,,,,,,,,,,,,,,290.821,379.425,232.116,433.925,330.46,351.956,150.194,767.078,722.961,0,206.595,756.246,54.166,349.712,755.77,864.195,192.223,338.62,525.436,223.147,675.265,242.928,287.861,316.302,238.632,459.831,120.934,161.565,165.39,93.512,197.334,441.512,396.423,235.472,683.937,84.687,84.869
Plumas,18807,2554,,,,,,,,,,,,,,,,,,,,496.288,584.892,437.583,242.691,259.094,557.423,355.661,784.874,928.428,206.473,0,788.119,259.633,555.179,771.315,942.174,397.69,544.087,730.903,428.614,880.732,448.395,493.328,295.198,444.099,375.962,326.401,367.032,279.703,257.596,272.016,408.886,601.89,320.967,889.404,290.154,290.336
Riverside,2470546,7208,,,,,,,,,,,,,,,,,,,,556.45,932.451,523.212,1014.906,531.539,597.175,730.668,21.639,57.894,753.741,787.576,0,700.879,509,18.443,159.506,696.655,440.737,390.518,675.53,239.526,638.276,640.152,968.912,628.736,1112.441,716.866,742.039,652.845,777.24,897.029,1094.122,361.408,632.728,195.892,737.297,757.875
Sacramento,1552058,966,,,,,,,,,,,,,,,,,,,,243.3,326.954,184.595,487.448,325.392,299.485,97.723,713.838,669.721,53.9,260.118,703.006,0,296.472,702.53,810.955,139.752,285.38,472.196,170.676,622.025,190.457,235.39,269.881,186.161,413.41,68.463,109.094,152.589,78.209,197.998,395.091,348.902,187.951,630.697,38.266,58.844
San Benito,62808,1389,,,,,,,,,,,,,,,,,,,,240.049,446.32,182.692,747.329,422.493,116.781,261.431,521.559,477.442,349.293,555.511,510.727,296.431,0,510.251,618.676,204.481,169.91,170.496,174.413,320.325,137.159,121.107,530.493,127.619,674.022,247.629,268.8,325.423,372.792,458.61,655.703,200.756,284.912,364.345,311.996,353.427
San Bernardino,218008,20062,,,,,,,,,,,,,,,,,,,,557.949,933.95,524.711,997.913,514.546,598.674,732.167,15.217,75.272,755.24,770.583,18.462,702.378,510.499,0,172.517,698.154,442.236,392.017,677.029,241.025,639.775,641.651,970.411,630.235,1113.94,718.365,743.538,654.344,778.739,898.528,1095.621,362.907,634.227,197.391,738.796,759.374
San Diego,3338330,4204,,,,,,,,,,,,,,,,,,,,666.332,1042.333,633.094,1169.014,685.647,707.057,840.55,175.747,147.519,863.623,941.684,159.741,810.761,618.882,172.551,0,806.537,550.619,502.112,785.412,351.12,748.158,750.034,1078.794,738.618,1222.323,826.748,851.921,762.727,887.122,1006.911,1204.004,471.29,742.61,307.486,847.179,867.757
San Francisco,881549,47,,,,,,,,,,,,,,,,,,,,268.086,248.125,209.381,575.303,384.566,181.617,78.406,709.526,665.409,192.371,398.589,698.694,140.337,204.15,698.218,806.643,0,281.068,373.43,33.957,523.259,72.707,117.291,358.467,82.859,501.996,75.603,70.605,237.218,197.838,286.584,483.677,373.688,228.084,567.279,139.97,178.122
San Joaquin,762148,1399,,,,,,,,,,,,,,,,,,,,139.348,516.612,106.11,771.45,321.792,219.987,314.829,453.539,409.422,337.902,544.12,442.707,285.04,169.882,442.231,550.656,280.816,0,211.897,259.691,361.726,222.437,224.313,553.073,212.897,696.602,301.027,326.2,235.743,361.401,481.19,678.283,104.445,215.626,370.398,321.458,342.036
San Luis Obispo,283111,3304,,,,,,,,,,,,,,,,,,,,343.587,615.198,310.349,916.207,492.561,229.444,430.309,403.721,355.612,524.467,730.685,392.889,471.605,169.895,392.413,502.364,373.359,211.463,0,343.291,151.888,306.037,264.014,699.371,296.497,842.9,416.507,437.678,439.982,538.742,627.488,824.581,205.356,419.865,195.908,480.874,519.026
San Mateo,766573,449,,,,,,,,,,,,,,,,,,,,261.218,282.143,202.513,606.43,377.698,151.696,109.533,687.879,643.762,223.498,429.716,677.047,171.464,174.229,676.571,784.996,34.979,259.421,343.509,0,493.338,42.786,87.37,389.594,52.938,533.123,106.73,104.623,230.35,228.965,317.711,514.804,366.82,221.216,537.358,171.097,209.249
Santa Barbara,446449,2738,,,,,,,,,,,,,,,,,,,,493.808,765.419,460.57,1066.428,633.447,379.665,580.53,252.153,204.044,674.688,880.906,241.321,621.826,320.116,240.845,350.796,523.58,361.684,151.217,493.512,0,456.258,414.235,849.592,446.718,993.121,566.728,587.899,590.203,688.963,777.709,974.802,335.51,570.086,44.34,631.095,669.247
Santa Clara,1927852,1291,,,,,,,,,,,,,,,,,,,,254.627,323.245,195.922,625.71,371.107,123.518,139.812,650.533,606.416,242.778,448.996,639.701,190.744,136.883,639.225,747.65,73.144,222.075,306.163,43.076,455.992,0,50.275,408.874,15.592,552.403,126.01,145.725,223.759,248.245,336.991,534.084,323.766,214.625,500.012,190.377,228.529
