county,population,area
Barnstable,212990,396
Berkshire,124944,931
Bristol,565217,556
Essex,789034,498
Franklin,70180,702
Hampden,466372,618
Hampshire,160830,529
Middlesex,1611699,824
Norfolk,706775,400
Plymouth,521202,661
Suffolk,803907,58
Worcester,830622,1513
